,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Open,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
2014,64574000,23121000,41453000,0.6419,26165000,28231000,3216000,57612000,80733000,,1951000,7457000,-10787000,-0.167,-18345000,-0.2841,-1850000,-20195000,-0.3127,-78000.0,-20117000,-0.3115,-4.43,-4.43,4889901,4889901,30988000,0.0,30988000,14559000,0.0,2069000,47616000,3930000,45146000,34751000,79897000,,,4323000.0,88150000,0.0,135766000,2258000,10964000,,21182000,11041000,45445000,12407000,194000,3006000,3317000,18924000,,,64369000,,2000.0,-35226000.0,-1716000,108337000.0,71397000,135766000,0.0,135766000,-20117000,7457000,-295000,12297000,13437000,-1579000,,639000,2171000,-11602000,1177000,-861000,-6217000,,,,-7078000,-11451000,38846000.0,-97000.0,,5086000,32384000,-198000.0,26285000,30988000,4703000,316000,11.55,10.83,10.83,2961350.0,0,0,10.83
2015,69911000,26671000,43240000,0.6185,15778000,31166000,4064000,51008000,77679000,,1858000,8451000,-2316000,-0.0331,-10223000,-0.1462,-2402000,-12625000,-0.1806,1039000.0,-13664000,-0.1954,-0.91,-0.91,14939601,14939601,18473000,0.0,18473000,13972000,0.0,2603000,35048000,6001000,47422000,31526000,78948000,,,2417000.0,87366000,0.0,122414000,2548000,1500000,,19931000,10023000,34002000,22366000,8000,2818000,2950000,28142000,,,62144000,,2000.0,-48890000.0,-3289000,112447000.0,60270000,122414000,0.0,122414000,-13664000,8451000,207000,2741000,-1125000,741000,,157000,1046000,1887000,-1503000,-1747000,-7664000,,,-791000.0,-9411000,-24927000,-18000.0,-18000.0,,23742000,-1221000,-380000.0,-12515000,18473000,30988000,-3250000,7.83,7.76,7.76,591050.0,0,0,7.76
2016,74767000,27565000,47202000,0.6313,14919000,30446000,4778000,50143000,77708000,,2781000,9794000,592000,0.0079,-8524000,-0.114,-3459000,-11983000,-0.1603,1530000.0,-13513000,-0.1807,-0.82,-0.82,16472799,16472799,28758000,0.0,28758000,15254000,0.0,3287000,47299000,4356000,69097000,28512000,97609000,,,1324000.0,103289000,0.0,150588000,1268000,2190000,,23552000,12688000,39698000,45739000,247000,3404000,2487000,51877000,,,91575000,,2000.0,-62403000.0,-3152000,124566000.0,59013000,150588000,0.0,150588000,-13513000,9794000,529000,4333000,6555000,-361000,,-1453000,7601000,-3823000,3875000,-1078000,-12151000,,,-408000.0,-13229000,-8873000,-515000.0,-515000.0,,29428000,19525000,114000.0,10285000,28758000,18473000,2797000,7.465,7.640000000000001,7.640000000000001,338300.0,0,0,7.640000000000001
2017,97952000,33647000,64305000,0.6565,15795000,38598000,5956000,60349000,93996000,,6582000,11914000,1067000,0.0109,-11136000,-0.1137,-6293000,-17429000,-0.1779,1296000.0,-18725000,-0.1912,-1.02,-1.02,18411247,18411247,22326000,0.0,22326000,26504000,0.0,2856000,51686000,2927000,154607000,70043000,224650000,,,1996000.0,229573000,0.0,281259000,3887000,2301000,,43807000,25144000,75139000,108843000,1570000,3262000,1030000,114705000,,,189844000,,2000.0,-81128000.0,-2403000,174944000.0,91415000,281259000,0.0,281259000,-18725000,11914000,-262000,9977000,-31054000,-4710000,,1254000,-23453000,35866000,7716000,-451000,-110324000,,,-55000.0,-110775000,-13409000,43797000.0,,,65790000,96178000,449000.0,-6432000,22326000,28758000,7265000,21.565,21.815,21.815,2192300.0,0,0,21.815
2018,149885000,48589000,101296000,0.6758,21320000,52976000,13866000,88162000,136751000,,13273000,21347000,13972000,0.0932,-5594000,-0.0373,-15054000,-20648000,-0.1378,-9809000.0,-10839000,-0.0723,-0.5,-0.5,19985528,19985528,16738000,0.0,16738000,44535000,0.0,6015000,67288000,2827000,225322000,179572000,404894000,,,8189000.0,415910000,0.0,483198000,3494000,6015000,,57626000,40514000,107649000,273713000,578000,13311000,640000,288242000,,,395891000,,2000.0,-85675000.0,-7501000,180481000.0,87307000,483198000,0.0,483198000,-10839000,21347000,268000,14130000,-16908000,-5212000,,-3399000,-40361000,-651000,7347000,-935000,-160751000,,,,-161686000,-5825000,807000.0,,,154941000,149923000,-1172000.0,-5588000,16738000,22326000,6412000,30.075,30.055,30.055,4073250.0,0,0,30.055
2019,222637000,69117000,153520000,0.6896,29388000,83247000,25534000,138169000,207286000,,22313000,34621000,4758000,0.0214,-24306000,-0.1092,-27870000,-52176000,-0.2344,-6805000.0,-45371000,-0.2038,-1.96,-1.96,23099549,23906301,175024000,0.0,175024000,56049000,0.0,7807000,238880000,11973000,346134000,282727000,628861000,,,17114000.0,657948000,0.0,896828000,5904000,5726000,,76558000,41179000,129367000,521881000,496000,25685000,6538000,554600000,,8395000.0,683967000,,3000.0,-131046000.0,-1223000,345127000.0,212861000,896828000,0.0,896828000,-45371000,34621000,-9432000,25754000,149874000,3160000,,-73000,109513000,-143370000,12076000,-1736000,-216025000,,,-696000.0,-217761000,-384097000,151551000.0,,,596314000,363768000,203000.0,158286000,175024000,16738000,10340000,38.18000000000001,38.355,38.355,6711550.0,0,0,38.355
2021,302016000,99453000,202563000,0.6707,42693000,131998000,41315000,216006000,315459000,,31626000,52928000,17998000,0.0596,-34677000,-0.1148,-31879000,-66556000,-0.2204,-8344000.0,-58212000,-0.1927,-1.92,-1.92,30295769,30295769,189158000,0.0,189158000,55300000,0.0,18533000,262991000,9121000,457472000,279920000,737392000,,,19503000.0,766016000,0.0,1029007000,20362000,6713000,,102847000,26522000,156444000,521936000,2058000,22793000,9488000,556275000,,10319000.0,712719000,,3000.0,-240585000.0,-11514000,,316288000,1029007000,0.0,1029007000,-58212000,52928000,-11179000,53873000,-2384000,-1665000,,10865000,5575000,6712000,41738000,-1115000,-92417000,,,,-93532000,-5534000,274000.0,,,-2920000,-8180000,-897000.0,-60871000,189158000,250029000,40623000,41.305,39.985,39.985,4846750.0,0,0,39.985
