Ticker,Name,Currency,Sector,Industry,Country,Insider Percentage,Institution Percentage,Years since IPO,NR - Percentage Missing,NR - Percentage Missing (Only Core),R - Percentage Missing,R - Percentage Missing (Only Core),R - Percentage Missing (Trivial Fix),R - Percentage Missing (Only Core) (Trivial Fix),Market Cap,CAGR,CAGR with divs,Years,Madurez,Tamaño,Rentabilidad,Rentabilidad with divs,Insider Ownership,Institutional Ownership
A,"AGILENT TECHNOLOGIES, INC.",USD,Healthcare,Diagnostics & Research,US,0.0024,0.9126,23,0.16952129995608256,0.0,0.11922904527117885,0.0,0.004034065441506051,0.0,45286880000.0,0.0656791583660814,0.06058118631825482,23.0,Maduro,Grande,Normal,Normal,Baja,Alta
AA,ALCOA CORPORATION,USD,Basic Materials,Aluminum,US,0.0087,0.8436,8,0.2255892255892256,0.16666666666666666,0.1211340206185567,0.0,0.007731958762886598,0.0,7401580886.4800005,0.015177487067667306,0.008153360036137203,8.0,Medio,Mediana,Mala,Mala,Baja,Alta
AAL,AMERICAN AIRLINES GROUP INC.,USD,Industrials,Airlines,US,0.0108,0.5432,12,0.16399286987522282,0.03676470588235294,0.07731958762886598,0.0,0.0,0.0,9895509600.0,0.17199430482331968,0.1766525487945696,12.0,Maduro,Mediana,Muy Buena,Muy Buena,Baja,Media
AAOI,"APPLIED OPTOELECTRONICS, INC.",USD,Technology,Semiconductors,US,0.0712,0.5119,9,0.14814814814814814,0.013888888888888888,0.11984536082474227,0.0,0.006443298969072165,0.0,206953280.0,-0.12523858274838529,-0.12523858274838529,8.0,Medio,Pequeña,Muy Mala,Muy Mala,Media,Media
AAON,"AAON, INC.",USD,Industrials,Building Products & Equipment,US,0.2076,0.7240000000000001,31,0.25084175084175087,0.08333333333333333,0.1872852233676976,0.0,0.029896907216494847,0.0,3613793563.0400004,0.24495105078091317,0.24020552161617292,30.0,Maduro,Mediana,Muy Buena,Muy Buena,Alta,Media
AAPL,APPLE INC.,USD,Technology,Consumer Electronics,US,0.0007,0.5937,42,0.21512421512421512,0.0033783783783783786,0.1497709049255441,0.0,0.027777777777777776,0.0,2317217983640.0,0.2373161063299407,0.2296715712873183,36.0,Maduro,Grande,Muy Buena,Muy Buena,Baja,Media
AAT,"AMERICAN ASSETS TRUST, INC.",USD,Real Estate,REIT—Diversified,US,0.0161,0.9702,11,0.20477502295684114,0.011363636363636364,0.13195876288659794,0.0,0.002061855670103093,0.0,2155120344.8149996,0.07190105868289254,0.06586708592465329,10.0,Maduro,Mediana,Normal,Normal,Baja,Alta
AATC,AUTOSCOPE TECHNOLOGIES CORPORATION,USD,Technology,Scientific & Technical Instruments,US,0.4196999999999999,0.2729,21,0.2734754956977179,0.037037037037037035,0.2037309769268532,0.0,0.020127638684339717,0.0,35536160.0,-0.020605941395504646,-0.02064254842620239,21.0,Maduro,Pequeña,Mala,Mala,Alta,Baja
ABB,ABB LTD,USD,Industrials,Electrical Equipment & Parts,CH,,0.0598,21,0.11784511784511785,0.07142857142857142,0.08149239077074129,0.0,0.0,0.0,71087925000.0,0.09665443324054324,0.07496667021621128,21.0,Maduro,Grande,Buena,Normal,,Baja
ABBV,ABBVIE INC.,USD,Healthcare,Drug Manufacturers—General,US,0.0011,0.6899,9,0.12457912457912458,0.0,0.0836197021764032,0.0,0.0,0.0,192752503834.80002,0.1738333932915832,0.1533829886135032,9.0,Medio,Grande,Muy Buena,Muy Buena,Baja,Media
ABC,AMERISOURCEBERGEN CORPORATION,USD,Healthcare,Medical Distribution,US,0.2839,0.6587000000000001,29,0.20875420875420875,0.0,0.14852997327224132,0.0,0.012218403970981291,0.0,24198571285.0,0.16106582941560377,0.15569927574626674,27.0,Maduro,Grande,Muy Buena,Muy Buena,Alta,Media
