,https://roic.ai/company/EL,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2899100000,3194500000,3381600000,3618000000,3961300000,4366800000,4608100000,4743700000,5117600000,5790400000,6336300000,6463800000,7037500000,7910800000,7323800000,7795800000,8810000000,9713600000,10181700000,10968800000,10780400000,11262300000,11824000000,13683000000,14863000000,14294000000,16215000000
2,COGS,632800000,672200000,689100000,722000000,782600000,825300000,972300000,1273400000,1335700000,1476300000,1617400000,1686600000,1774800000,1996800000,1881600000,1829400000,1936900000,1995800000,2025900000,2158200000,2100600000,2181100000,2437000000,2844000000,3387000000,3552000000,3834000000
3,Gross Profit,2266300000,2522300000,2692500000,2896000000,3178700000,3541500000,3635800000,3470300000,3781900000,4314100000,4718900000,4777200000,5262700000,5914000000,5442200000,5966400000,6873100000,7717800000,8155800000,8810600000,8679800000,9081200000,9387000000,10839000000,11476000000,10742000000,12381000000
4,Gross Profit Ratio,0.7817,0.7896,0.7962,0.8004,0.8024,0.8110,0.7890,0.7316,0.7390,0.7450,0.7447,0.7391,0.7478,0.7476,0.7431,0.7653,0.7801,0.7945,0.8010,0.8032,0.8051,0.8063,0.7939,0.7922,0.7721,0.7515,0.7636
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,2257400000,2389400000,2604700000,2878900000,3086300000,3018500000,3244500000,3651300000,3998300000,4065500000,4511700000,5102900000,4883900000,5067000000,5696700000,6324800000,6597000000,6985900000,7073500000,7337800000,7469000000,8556000000,8857000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1993400000,2153200000,2257400000,2389400000,2604700000,2878900000,3086300000,3018500000,3244500000,3651300000,3998300000,4065500000,4511700000,5102900000,4883900000,5067000000,5696700000,6324800000,6597000000,6985900000,7073500000,7337800000,7469000000,8556000000,8857000000,8637000000,9371000000
9,Other Expenses,42000000,58800000,76000000,97500000,117300000,146800000,16300000,- -,20300000,18800000,- -,92100000,1100000,400000,- -,- -,29300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,2035400000,2212000000,2333400000,2486900000,2722000000,3025700000,3102600000,3018500000,3264800000,3670100000,3998300000,4157600000,4512800000,5103300000,4883900000,5067000000,5726000000,6324800000,6597000000,6985900000,7073500000,7337800000,7469000000,8556000000,8857000000,8637000000,9371000000
11,COGS and Expenses,2668200000,2884200000,3022500000,3208900000,3504600000,3851000000,4074900000,4291900000,4600500000,5146400000,5615700000,5844200000,6287600000,7100100000,6765500000,6896400000,7662900000,8320600000,8622900000,9144100000,9174100000,9518900000,9906000000,11400000000,12244000000,12189000000,13205000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14300000,15600000,28000000,56000000,58000000,48000000,51000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75700000,101600000,63900000,61100000,54800000,50800000,60000000,70700000,103000000,128000000,133000000,161000000,173000000
14,Depreciation and Amortization,42000000,58800000,76000000,97500000,117300000,146800000,162900000,162000000,174800000,191700000,196700000,198400000,207200000,250700000,254000000,263700000,- -,- -,336900000,384600000,409300000,414700000,464000000,531000000,557000000,611000000,651000000
15,EBITDA,271200000,357500000,426000000,495400000,557500000,645500000,642100000,468300000,655100000,766400000,894100000,702300000,911600000,984400000,664000000,1049500000,1086400000,1318600000,1862900000,2207200000,2025400000,2034400000,2177000000,2630000000,2988000000,1806000000,4150000000
16,EBITDA ratio,0.0935,0.1119,0.1260,0.1369,0.1407,0.1478,0.1393,0.0987,0.1280,0.1324,0.1411,0.1087,0.1295,0.1244,0.0907,0.1346,0.1233,0.1357,0.1830,0.2012,0.1879,0.1806,0.1841,0.1922,0.2010,0.1263,0.2559
17,Operating Income,230900000,310300000,359100000,409100000,456700000,515800000,495600000,341400000,495100000,644000000,720600000,619600000,749900000,810700000,418400000,789900000,1089400000,1311700000,1526000000,1827600000,1606300000,1610300000,1692000000,2052000000,2313000000,606000000,2618000000
18,Operating Income ratio,0.0796,0.0971,0.1062,0.1131,0.1153,0.1181,0.1075,0.0720,0.0967,0.1112,0.1137,0.0959,0.1066,0.1025,0.0571,0.1013,0.1237,0.1350,0.1499,0.1666,0.1490,0.1430,0.1431,0.1500,0.1556,0.0424,0.1615
19,Total Other Income Expenses (Gains),-1700000,-11600000,-9100000,-11200000,-16500000,-17100000,-14200000,-14500000,-8100000,-27100000,-13900000,-23800000,-38900000,-66800000,-75700000,-101600000,-63900000,-50600000,-50800000,-50800000,-45700000,-55100000,-75000000,-72000000,-6000000,440000000,713000000
20,Income Before Tax,229200000,298700000,350000000,397900000,440200000,498700000,481400000,326900000,487000000,616900000,706700000,595800000,711000000,743900000,342700000,688300000,1025500000,1261100000,1475200000,1776800000,1560600000,1555200000,1617000000,1980000000,2307000000,1046000000,3331000000
21,Income Before Tax Ratio,0.0791,0.0935,0.1035,0.1100,0.1111,0.1142,0.1045,0.0689,0.0952,0.1065,0.1115,0.0922,0.1010,0.0940,0.0468,0.0883,0.1164,0.1298,0.1449,0.1620,0.1448,0.1381,0.1368,0.1447,0.1552,0.0732,0.2054
22,Income Tax expense (Gain),108000000,138300000,152400000,161100000,167300000,184600000,174000000,114400000,160500000,232600000,291300000,259700000,255200000,259900000,115900000,205900000,321700000,400600000,451400000,567700000,467200000,434400000,361000000,863000000,513000000,350000000,456000000
23,Net Income,121200000,160400000,197600000,236800000,272900000,314100000,305200000,191900000,319800000,342100000,406100000,244200000,449200000,473800000,218400000,478300000,700800000,856900000,1019800000,1204100000,1088900000,1114600000,1249000000,1108000000,1785000000,684000000,2870000000
24,Net Income ratio,0.0418,0.0502,0.0584,0.0655,0.0689,0.0719,0.0662,0.0405,0.0625,0.0591,0.0641,0.0378,0.0638,0.0599,0.0298,0.0614,0.0795,0.0882,0.1002,0.1098,0.1010,0.0990,0.1056,0.0810,0.1201,0.0479,0.1770
25,EPS,0.23,0.29,0.36,0.45,0.53,0.61,0.59,0.35,0.64,0.75,0.90,0.57,1.10,1.22,0.56,1.21,1.78,2.20,2.63,3.12,2.87,3.01,3.40,3.01,4.91,1.90,7.91
26,EPS Diluted,0.23,0.29,0.36,0.45,0.52,0.60,0.58,0.35,0.63,0.74,0.89,0.56,1.08,1.20,0.55,1.19,1.74,2.16,2.58,3.06,2.82,2.96,3.35,2.95,4.82,1.86,7.79
27,Weighted Average Shares Outstanding,426222222,348813559,476800000,473600000,474000000,475400000,476800000,476400000,465200000,456400000,450600000,430000000,408600000,387800000,392400000,395400000,394000000,388700000,387600000,386200000,379300000,370000000,367100000,368000000,363500000,360600000,362900000
28,Weighted Average Shares Outstanding Diluted,426222222,348813559,476800000,478800000,482400000,485000000,484400000,482200000,469400000,463200000,457200000,434800000,415600000,394200000,397090909,401400000,402400000,397000000,394900000,393100000,385700000,376600000,373000000,375700000,370400000,366900000,368200000
