,https://roic.ai/company/IEP,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,18500000,58500000,62300000,62800000,56800000,58000000,58200000,65000000,61550726,69920466,71773403,70918000,93306000,98540000,314980000,297323000,326916000,283773000,453581000,1262493000,1477930000,2487626000,5027000000,7865000000,8111000000,9833000000,15394000000,18773000000,19322000000,15990000000,17469000000,19130000000,11223000000,10386000000,7423000000,10941000000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58493000,42599000,54640000,9129000,18486000,1018979000,1567720000,1766812000,8153000000,5295000000,6762000000,7872000000,12643000000,15809000000,16485000000,12741000000,13412000000,15005000000,8947000000,8212000000,6320000000,9481000000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,256487000,254724000,272276000,274644000,435095000,243514000,-89790000,720814000,-3126000000,2570000000,1349000000,1961000000,2751000000,2964000000,2837000000,3249000000,4057000000,4125000000,2276000000,2174000000,1103000000,1460000000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.8143,0.8567,0.8329,0.9678,0.9592,0.1929,-0.0608,0.2898,-0.6218,0.3268,0.1663,0.1994,0.1787,0.1579,0.1468,0.2032,0.2322,0.2156,0.2028,0.2093,0.1486,0.1334
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,2300000,2500000,2791123,2605331,2938684,3188000,3808000,4133000,7475000,7080000,7029000,14081000,20952000,188380000,108977000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,2300000,2500000,2791123,2605331,2938684,3188000,3808000,4133000,7475000,7080000,7029000,14081000,20952000,188380000,108977000,- -,- -,1056000000,1037000000,1241000000,1265000000,1417000000,1625000000,1908000000,2342000000,2565000000,1386000000,1376000000,1191000000,1241000000
9,Other Expenses,-1200000,-6100000,-6300000,-7600000,-10800000,-7100000,-20100000,-17200000,16446996,16868399,17752115,13521000,15217000,24307000,162168000,165822000,169833000,154549000,280230000,-27047000,- -,413769000,- -,- -,- -,426000000,418000000,527000000,581000000,643000000,1159000000,980000000,529000000,518000000,487000000,513000000
