,https://roic.ai/company/KMT,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,355400000,354500000,419900000,472200000,589000000,617800000,594500000,598500000,802500000,983900000,1080000000,1156300000,1678400000,1902900000,1853663000,1807896000,1583742000,1758957000,1971441000,2304167000,2329628000,2385493000,2705129000,1999859000,1884067000,2403493000,2736246000,2589373000,2837190000,2647195000,2098436000,2058368000,2367853000,2375234000,1885305000,1841441000
2,COGS,197900000,185200000,220500000,249400000,312500000,325800000,331700000,325300000,429300000,523800000,586900000,629900000,942700000,1128400000,1072093000,1192176000,1072918000,1190053000,1318074000,1513634000,1497462000,1543931000,1781889000,1423320000,1256339000,1519102000,1741996000,1744369000,1940187000,1841202000,1482369000,1400661000,1535561000,1543738000,1355834000,1288963000
3,Gross Profit,157500000,169300000,199400000,222800000,276500000,292000000,262800000,273200000,373200000,460100000,493100000,526400000,735700000,774500000,781570000,615720000,510824000,568904000,653367000,790533000,832166000,841562000,923240000,576539000,627728000,884391000,994250000,845004000,897003000,805993000,616067000,657707000,832292000,831496000,529471000,552478000
4,Gross Profit Ratio,0.4432,0.4776,0.4749,0.4718,0.4694,0.4726,0.4421,0.4565,0.4650,0.4676,0.4566,0.4552,0.4383,0.4070,0.4216,0.3406,0.3225,0.3234,0.3314,0.3431,0.3572,0.3528,0.3413,0.2883,0.3332,0.3680,0.3634,0.3263,0.3162,0.3045,0.2936,0.3195,0.3515,0.3501,0.2808,0.3000
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24100000,20400000,18800000,19246000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,263300000,293900000,328400000,333900000,452300000,498200000,483155000,425641000,389396000,464861000,512621000,574495000,579907000,554634000,605004000,489567000,477487000,538530000,561490000,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",112800000,112400000,125800000,140000000,182200000,204400000,200500000,200900000,263300000,293900000,328400000,333900000,452300000,498200000,483155000,425641000,389396000,464861000,512621000,574495000,579907000,554634000,605004000,489567000,477487000,538530000,561490000,- -,- -,- -,- -,- -,- -,- -,- -,- -
9,Other Expenses,18400000,20500000,24400000,26400000,29900000,32700000,31300000,30900000,43200000,39300000,40200000,41400000,67400000,96000000,101646000,24134000,2804000,4164000,2234000,3460000,5626000,15822000,14446000,13134000,13090000,11602000,16351000,548610000,615963000,581581000,515737000,479745000,512820000,488562000,402247000,421249000
