,https://roic.ai/company/CHGG,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
57,Other Non-Current Liabilities,- -,185564000,211483000,4979000,4365000,4170000,4383000,4305000,6964000,18477000,5705000,7383000
58,Total Non-Current Liabilities,- -,207979000,212032000,4979000,4365000,4170000,4383000,4305000,290632000,918780000,1531891000,1697985000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,19796000,25867000,19110000
61,Total Liabilities,- -,248227000,282494000,53131000,71084000,60281000,68713000,55868000,350304000,990169000,1641623000,1812329000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,12000,12000,82000,84000,88000,92000,110000,116000,122000,129000,137000
64,Retained Earnings,- -,-100222000,-149265000,-205115000,-269873000,-329083000,-371328000,-391611000,-406576000,-416292000,-422601000,-337191000
65,Other Comprehensive Income/Loss,- -,- -,50000,-6000,-13000,-172000,-176000,-282000,-1019000,-1096000,1530000,-5334000
66,Other Total Stockholders Equity,- -,48316000,63076000,479279000,516845000,560242000,593351000,782845000,818113000,916095000,1030577000,1449305000
67,Total Stockholders Equity,- -,-51894000,-86127000,274240000,247043000,231075000,221939000,391062000,410634000,498829000,609635000,1106917000
68,Total Liabilities And Stockholders Equity,- -,196333000,196367000,327371000,318127000,291356000,290652000,446930000,760938000,1488998000,2251258000,2919246000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,196333000,196367000,327371000,318127000,291356000,290652000,446930000,760938000,1488998000,2251258000,2919246000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1364954/000119312514086390/0001193125-14-086390-index.htm,https://www.sec.gov/Archives/edgar/data/1364954/000136495415000009/0001364954-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1364954/000136495416000291/0001364954-16-000291-index.htm,https://www.sec.gov/Archives/edgar/data/1364954/000136495417000031/0001364954-17-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1364954/000136495418000039/0001364954-18-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1364954/000136495419000027/0001364954-19-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1364954/000136495420000041/0001364954-20-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1364954/000136495421000013/0001364954-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1364954/000136495422000011/0001364954-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-25980000,-37601000,-49043000,-55850000,-64758000,-59210000,-42245000,-20283000,-14888000,-9605000,-6221000,-1458000
74,Depreciation and Amortization,55668000,61986000,67973000,74837000,81306000,55064000,23787000,19337000,22805000,30247000,62415000,74133000
75,Deferred Income Tax,- -,- -,- -,- -,-1291000,- -,- -,- -,-323000,-39000,-109000,- -
