,https://roic.ai/company/FR,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,46600000,106500000,140055000,223203000,349702000,374155000,386068000,384477000,346565000,341381000,319732000,367129000,396036000,434927000,526294000,411958000,288541000,317835000,327273000,328226000,344599000,365762000,378020000,396402000,403954000,425984000,448028000,476290000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,264502000,176539000,95232000,108590000,105126000,107390000,114499000,114628000,112324000,113494000,116854000,116585000,119195000,131300000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,261792000,235419000,193309000,209245000,222147000,220836000,230100000,251134000,265696000,282908000,287100000,309399000,328833000,344990000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.4974,0.5715,0.6700,0.6583,0.6788,0.6728,0.6677,0.6866,0.7029,0.7137,0.7107,0.7263,0.7340,0.7243
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1100000,3100000,4018000,6248000,12983000,13259000,17129000,18609000,19610000,26953000,39569000,55812000,77497000,92101000,84627000,37835000,26589000,20638000,25103000,23152000,23418000,25362000,26703000,28079000,27749000,28569000,32848000,34610000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1100000,3100000,4018000,6248000,12983000,13259000,17129000,18609000,19610000,26953000,39569000,55812000,77497000,92101000,84627000,37835000,26589000,20638000,25103000,23152000,23418000,25362000,26703000,28079000,27749000,28569000,32848000,34610000
9,Other Expenses,- -,- -,70559000,102147000,264371000,265945000,280371000,297542000,183106000,193833000,205405000,243517000,286399000,317638000,161027000,147216000,111517000,121604000,120897000,111031000,111897000,113814000,117282000,116364000,116459000,121229000,129638000,130953000
