,https://roic.ai/company/WDFC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,0.63,0.77,0.73,1.03,1.04,1.03,1.01,1.19,1.26,0.83,1.33,1.38,1.38,1.40,1.41,1.33,1.02,1.53,1.71,1.50,1.65,1.66,1.83,1.64,1.58,2.15,2.14,2.20,2.54,2.87,3.04,3.64,3.72,4.64,4.02,4.40,5.09
27,Weighted Average Shares Outstanding,14920635,15064935,15068493,15048544,15192308,15048544,15148515,15210084,15317460,15301205,15400478,15423728,15512140,15604160,15599501,15477250,15532285,15978961,16581247,16905587,16629057,16784473,17077870,16637740,16503265,16606000,16803000,15914000,15517000,15072000,14582000,14332000,14089000,13929000,13799000,13691000,13698000
28,Weighted Average Shares Outstanding Diluted,14920635,15064935,15068493,15048544,15192308,15048544,15148515,15210084,15317460,15301205,15400478,15428571,15588235,15664119,15652004,15479437,15542837,16154984,16758775,17118829,16807399,16912355,17271242,16815361,16655699,16725000,16982000,16046000,15619000,15148000,14649000,14379000,14123000,13962000,13830000,13719000,13733000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/105132/000089843095002264/0000898430-95-002264-index.html,- -,https://www.sec.gov/Archives/edgar/data/105132/000101706297002143/0001017062-97-002143-index.html,https://www.sec.gov/Archives/edgar/data/105132/000104746998041980/0001047469-98-041980-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/105132/000091205701537893/0000912057-01-537893-index.htm,https://www.sec.gov/Archives/edgar/data/105132/000091205702041599/0000912057-02-041599-index.htm,https://www.sec.gov/Archives/edgar/data/105132/000119312503071011/0001193125-03-071011-index.htm,https://www.sec.gov/Archives/edgar/data/105132/000119312504179631/0001193125-04-179631-index.htm,https://www.sec.gov/Archives/edgar/data/105132/000119312505218608/0001193125-05-218608-index.htm,https://www.sec.gov/Archives/edgar/data/105132/000119312506214744/0001193125-06-214744-index.htm,https://www.sec.gov/Archives/edgar/data/105132/000119312507225867/0001193125-07-225867-index.htm,https://www.sec.gov/Archives/edgar/data/105132/000119312508214535/0001193125-08-214535-index.htm,https://www.sec.gov/Archives/edgar/data/105132/000119312509209188/0001193125-09-209188-index.htm,https://www.sec.gov/Archives/edgar/data/105132/000119312510230979/0001193125-10-230979-index.htm,https://www.sec.gov/Archives/edgar/data/105132/000119312511275892/0001193125-11-275892-index.htm,https://www.sec.gov/Archives/edgar/data/105132/000119312512430241/0001193125-12-430241-index.htm,https://www.sec.gov/Archives/edgar/data/105132/000010513213000015/0000105132-13-000015-index.htm,https://www.sec.gov/Archives/edgar/data/105132/000010513214000025/0000105132-14-000025-index.htm,https://www.sec.gov/Archives/edgar/data/105132/000010513215000037/0000105132-15-000037-index.htm,https://www.sec.gov/Archives/edgar/data/105132/000010513216000097/0000105132-16-000097-index.htm,https://www.sec.gov/Archives/edgar/data/105132/000010513217000032/0000105132-17-000032-index.htm,https://www.sec.gov/Archives/edgar/data/105132/000010513218000035/0000105132-18-000035-index.htm,https://www.sec.gov/Archives/edgar/data/105132/000010513219000050/0000105132-19-000050-index.htm,https://www.sec.gov/Archives/edgar/data/105132/000010513220000046/0000105132-20-000046-index.htm,https://www.sec.gov/Archives/edgar/data/105132/000010513221000028/0000105132-21-000028-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,15100000,18800000,18000000,21600000,22400000,21600000,9200000,7100000,10900000,13500000,11100000,6700000,10900000,8600000,9700000,2619000,4380000,11091000,41971000,29433000,37120000,45206000,61078000,41983000,45956000,75928000,56393000,69719000,53434000,57803000,53896000,50891000,37082000,48866000,27233000,56462000,85961000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,533000,1033000,37516000,45050000,48603000,57633000,80166000,219000,- -,- -,- -
33,Cash and Short-Term Investments,15100000,18800000,18000000,21600000,22400000,21600000,9200000,7100000,10900000,13500000,11100000,6700000,10900000,8600000,9700000,2619000,4380000,11091000,41971000,29433000,37120000,45206000,61078000,41983000,45956000,75928000,56926000,70752000,90950000,102853000,102499000,108524000,117248000,49085000,27233000,56462000,85961000
34,Net Receivables,12400000,13600000,14600000,14300000,14400000,16400000,13300000,15700000,14000000,14900000,17100000,21400000,22600000,27000000,28600000,29544000,33833000,43754000,41925000,40643000,44487000,45876000,48681000,49271000,48061000,47846000,58324000,55491000,56878000,63618000,58750000,64680000,64259000,69025000,72864000,80672000,89558000
35,Inventory,2500000,2500000,2800000,3600000,3100000,3700000,4300000,4700000,5500000,6200000,4900000,6200000,5500000,3700000,8000000,7000000,10535000,6143000,4709000,6322000,8041000,15269000,13208000,18280000,15858000,13037000,17604000,29797000,32433000,34989000,32052000,31793000,35340000,36536000,40682000,41264000,55752000
