,https://roic.ai/company/APH,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1360000,-2938000,-33342000,-198228000,-181880000,-379605000,-741062000,-721000000,-134700000,-232400000,-40200000,-44500000,-65400000,-141600000,-164000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,7400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,146373000,261800000,687391000,660800000,470600000,108500000,148000000,67200000,61600000,123200000,155000000
88,Other Investing Activites,- -,-1400000,-15100000,-1800000,-2600000,-1000000,-29500000,- -,- -,-12200000,- -,- -,- -,-51101000,- -,- -,5921000,5354000,940000,3224000,139863000,8118000,4828000,3712000,5600000,8700000,7100000,-222500000,-305600000,-287600000,-264700000,-373000000
89,Cash Used for Investing Activites,- -,-11400000,-21800000,-7800000,-13500000,-21400000,-49800000,-20700000,-59000000,-35700000,-120821000,-99073000,-52612000,-81297000,-86002000,-569428000,-98973000,-279078000,-246085000,-373190000,-348225000,-430884000,-493599000,-693314000,-781900000,-27300000,-1612700000,-380200000,-441800000,-1228800000,-333500000,-2604000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-641159000,-748017000,-301900000,-988800000,-620374000,-3904000000,-217700000,- -,-375000000,-15200000,-1340500000,-2358300000,-912000000
91,Common Stock Issued,- -,153700000,- -,- -,66900000,- -,- -,341000000,- -,181800000,1915000,- -,5777000,35919000,30335000,36450000,21882000,34550000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-69800000,- -,- -,- -,-52700000,-1048500000,- -,- -,- -,- -,- -,- -,-45643000,-8704000,-72658000,-93594000,-293625000,- -,- -,-672191000,-380023000,-324655000,-539400000,-248900000,-325800000,-618000000,-935200000,-601700000,-641300000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8034000,-10724000,-10710000,-10617000,-10279000,-10413000,-10282000,-70122000,-96771000,-101900000,-159300000,-172700000,-205000000,-253700000,-279500000,-297600000,-346000000
94,Other Financing Activites,- -,-153100000,66000000,-51000000,-140600000,-50400000,26300000,642700000,4200000,-200400000,-23560000,-16387000,-92044000,-111152000,-100302000,328589000,-93658000,65313000,110302000,617116000,823151000,833225000,1425861000,1150389000,4559400000,445800000,365000000,1057900000,134000000,1573300000,2780600000,1113000000
95,Cash Used/Provided by Financing Activities,- -,600000,-3800000,-51000000,-73700000,-50400000,-26400000,-64800000,4200000,-18600000,-21645000,-16387000,-86267000,-75233000,-115610000,348301000,-155158000,-4441000,-193940000,-34322000,64721000,-151148000,-13084000,108589000,14100000,-180100000,-133500000,-140100000,-1070100000,-648400000,-516600000,-145000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5126000,-10152000,-5159000,-114000,6023000,7768000,11663000,-31000000,-54800000,-34000000,60600000,-40600000,-13200000,68900000,-12000000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,9800000,11687000,3390000,-7316000,2874000,6639000,8497000,35466000,109506000,31346000,169626000,141275000,-10802000,175764000,195988000,82100000,768300000,-702600000,684500000,-439800000,-388100000,810800000,-505000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,12900000,24585000,27975000,20659000,23533000,30172000,38669000,74135000,183641000,214987000,384613000,525888000,515086000,690850000,886838000,968900000,1737200000,1034600000,1719100000,1279300000,891200000,1702000000,1197000000
99,Cash at the Beginning of Period,- -,7700000,7200000,5200000,2900000,4600000,12000000,4000000,4700000,3100000,12898000,24585000,27975000,20659000,23533000,30172000,38669000,74135000,183641000,214987000,384613000,525888000,515086000,690850000,886800000,968900000,1737200000,1034600000,1719100000,1279300000,891200000,1702000000
100,Free Cash Flow,- -,400000,16800000,50500000,78000000,58800000,47900000,58200000,-5800000,40600000,101048000,80295000,112747000,129208000,163910000,172503000,207176000,284127000,373243000,519239000,315435000,464985000,545580000,610602000,671800000,858400000,886800000,917600000,802100000,1207300000,1315200000,1163000000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/820313/000104746904003700/0001047469-04-003700-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000110465905011114/0001104659-05-011114-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000110465906016969/0001104659-06-016969-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000110465907012769/0001104659-07-012769-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000110465908012896/0001104659-08-012896-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000110465909011495/0001104659-09-011495-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000110465910008799/0001104659-10-008799-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000110465911010845/0001104659-11-010845-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000110465912012448/0001104659-12-012448-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000110465913013180/0001104659-13-013180-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000110465914012225/0001104659-14-012225-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000110465915012575/0001104659-15-012575-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000110465916098503/0001104659-16-098503-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000155837017000659/0001558370-17-000659-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000155837018000871/0001558370-18-000871-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000155837019000636/0001558370-19-000636-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000155837020000728/0001558370-20-000728-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000155837021000881/0001558370-21-000881-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000155837022000961/0001558370-22-000961-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
