,https://roic.ai/company/APH,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,-0.0318,-0.0072,0.0247,0.0629,0.1003,0.1337,0.1413,0.0985,0.0696,0.0754,0.1274,0.1226,0.1155,0.1271,0.1617,0.1703,0.1510,0.1757,0.1799,0.1583,0.1867,0.1819,0.1815,0.1835,0.1819,0.1891,0.1815,0.1929,0.1937,0.1819,0.1775,0.1829
22,Income Tax expense (Gain),-1300000,3000000,2700000,13300000,27100000,41800000,42100000,35900000,27500000,31900000,65314000,51645000,42318000,53571000,84130000,101629000,117581000,147790000,163003000,119311000,161275000,187910000,219333000,207896000,257300000,280500000,308500000,691700000,371500000,331900000,313300000,-409000000
23,Net Income,-12100000,-6500000,8600000,24700000,38300000,62900000,67600000,26700000,36500000,35600000,107904000,83710000,80344000,103990000,163311000,206339000,255691000,353194000,419151000,317834000,496405000,524191000,555317000,635672000,709100000,763500000,822900000,650500000,1205000000,1155000000,1203400000,2398000000
24,Net Income ratio,-0.0287,-0.0133,0.0188,0.0409,0.0553,0.0803,0.0871,0.0302,0.0397,0.0352,0.0794,0.0758,0.0757,0.0839,0.1067,0.1141,0.1035,0.1239,0.1295,0.1127,0.1397,0.1331,0.1294,0.1378,0.1327,0.1371,0.1309,0.0928,0.1469,0.1404,0.1399,0.2205
25,EPS,-0.04,-0.01,0.01,0.02,0.03,0.04,0.05,0.03,0.06,0.06,0.16,0.13,0.12,0.15,0.23,0.29,0.36,0.49,0.60,0.46,0.71,0.77,0.86,1.00,1.13,1.24,1.33,1.06,2.00,1.94,2.02,4.02
26,EPS Diluted,-0.04,-0.01,0.01,0.02,0.03,0.04,0.05,0.03,0.06,0.06,0.16,0.12,0.12,0.15,0.23,0.28,0.35,0.48,0.58,0.46,0.70,0.76,0.85,0.98,1.10,1.21,1.30,1.03,1.93,1.88,1.96,3.90
27,Weighted Average Shares Outstanding,328135593,533333333,1058461538,1362758621,1494634146,1502089552,1492785312,889800320,565222784,576952896,665345104,670729856,679133584,688805504,704184656,708413040,715710576,713812996,702655188,686430572,695142600,678560460,646088320,636371148,626273582,618158246,616600000,611400000,602400000,595000000,596000000,596000000
28,Weighted Average Shares Outstanding Diluted,328135593,533333333,1058461538,1362758621,1494634146,1502089552,1897674419,896095264,574156704,586624256,686062752,687953936,695129600,705053760,717893248,723773896,733389304,730015876,715252052,695767008,705303972,687302352,655788444,649097996,640860280,633056210,630400000,633000000,625200000,615800000,615000000,615000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/820313/000104746904003700/0001047469-04-003700-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000110465905011114/0001104659-05-011114-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000110465906016969/0001104659-06-016969-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000110465907012769/0001104659-07-012769-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000110465908012896/0001104659-08-012896-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000110465909011495/0001104659-09-011495-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000110465910008799/0001104659-10-008799-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000110465911010845/0001104659-11-010845-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000110465912012448/0001104659-12-012448-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000110465913013180/0001104659-13-013180-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000110465914012225/0001104659-14-012225-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000110465915012575/0001104659-15-012575-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000110465916098503/0001104659-16-098503-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000155837017000659/0001558370-17-000659-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000155837018000871/0001558370-18-000871-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000155837019000636/0001558370-19-000636-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000155837020000728/0001558370-20-000728-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000155837021000881/0001558370-21-000881-index.htm,https://www.sec.gov/Archives/edgar/data/820313/000155837022000961/0001558370-22-000961-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,5900000,7200000,5200000,2900000,4600000,12000000,4000000,4700000,3100000,12900000,24585000,27975000,20659000,23533000,30172000,38669000,74135000,183641000,214987000,384613000,525888000,515086000,690850000,886838000,968900000,1737200000,1034600000,1719100000,1279300000,891200000,1702000000,1197000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98341000,133848000,251653000,305324000,360700000,23200000,138600000,34600000,12400000,17400000,36100000,44000000
33,Cash and Short-Term Investments,5900000,7200000,5200000,2900000,4600000,12000000,4000000,4700000,3100000,12900000,24585000,27975000,20659000,23533000,30172000,38669000,74135000,183641000,214987000,384613000,624229000,648934000,942503000,1192162000,1329600000,1760400000,1173200000,1753700000,1291700000,908600000,1738100000,1241000000
34,Net Receivables,65900000,72700000,83300000,44600000,59000000,67400000,64900000,70000000,83100000,111700000,170222000,113370000,131252000,172488000,214158000,302867000,383858000,510411000,515999000,449591000,718545000,767181000,910711000,1001012000,1123700000,1104600000,1349300000,1598600000,1791800000,1736400000,1951600000,2454000000
35,Inventory,111200000,136800000,148100000,137100000,130600000,134800000,153300000,167000000,184400000,189400000,197626000,208316000,205643000,221385000,247303000,325865000,416499000,456882000,512507000,461750000,549169000,649862000,733718000,792644000,865600000,851800000,928900000,1106900000,1233800000,1310100000,1462200000,1894000000
36,Other Current Assets,14500000,16500000,20900000,12800000,11600000,11500000,11600000,13100000,17100000,21200000,20237000,20596000,31610000,33943000,37382000,42413000,60113000,72874000,92371000,124441000,100187000,115260000,119983000,171749000,185200000,133200000,139800000,196800000,254300000,256100000,338900000,369000000
37,Total Current Assets,197500000,233200000,257500000,197400000,205800000,225700000,233800000,254800000,287700000,335200000,412670000,370257000,389164000,451349000,529015000,709814000,934605000,1223808000,1335864000,1420395000,1992130000,2181237000,2706915000,3157567000,3504100000,3850000000,3591200000,4656000000,4571600000,4211200000,5490800000,5958000000
38,PP&E,107800000,106600000,102300000,89700000,88600000,94700000,102100000,111600000,126800000,120000000,160985000,164887000,160690000,178266000,197753000,253889000,274143000,316194000,344515000,332875000,366996000,380501000,417436000,532425000,590700000,609500000,711400000,816800000,875800000,999000000,1054600000,1175000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,460442000,- -,- -,- -,- -,926242000,1091828000,1232335000,1368672000,1533299000,1746113000,1932740000,2289085000,2616700000,2692900000,3678800000,4042600000,4103200000,4867100000,5032100000,6376000000
40,Intangible Assets,218900000,311100000,375200000,364300000,353500000,342600000,346600000,339200000,360300000,361000000,411182000,- -,486841000,516335000,545411000,886720000,- -,- -,- -,- -,107600000,- -,140600000,164900000,235500000,216400000,288300000,441600000,397900000,442000000,397500000,756000000
41,Intangible Assets,218900000,311100000,375200000,364300000,353500000,342600000,346600000,339200000,360300000,361000000,411182000,460442000,486841000,516335000,545411000,886720000,926242000,1091828000,1232335000,1368672000,1640899000,1746113000,2073340000,2453985000,2852200000,2909300000,3967100000,4484200000,4501100000,5309100000,5429600000,7132000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1197000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37831000,28420000,28081000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,424000000
44,Other Non-Current Assets,17900000,44300000,31400000,39900000,29200000,26900000,28200000,31600000,32600000,20200000,19485000,31157000,4382000,7014000,6451000,82117000,60407000,43903000,81445000,97242000,15832000,137374000,17772000,24051000,80000000,89600000,229000000,46900000,96400000,296200000,352300000,-1208000000
45,Total Non-Current Assets,344600000,462000000,508900000,493900000,471300000,464200000,476900000,482400000,519700000,501200000,591652000,656486000,689744000,730035000,777696000,1222726000,1260792000,1451925000,1658295000,1798789000,2023727000,2263988000,2508548000,3010461000,3522900000,3608400000,4907500000,5347900000,5473300000,6604300000,6836500000,8720000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
