,https://roic.ai/company/PTC,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,4100000,6900000,28400000,52600000,89700000,128400000,219400000,323800000,428100000,577200000,657200000,710460000,685037000,572335000,502183000,397505000,427268000,505512000,541810000,592310000,586160000,627579000,693067000,730527000,740981000,758302000,769151000,775609000,786180000,838629000,816097000,880565000,1053098000
11,COGS and Expenses,8800000,18000000,30300000,55700000,96900000,142100000,246200000,363500000,482200000,704200000,825500000,915107000,937608000,789293000,720669000,579680000,635510000,775145000,832620000,923096000,895919000,935274000,1049835000,1102655000,1114020000,1131985000,1103885000,1101274000,1115199000,1164823000,1141475000,1214836000,1424200000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4557000,3009000,3844000,2920000,2862000,3117000,3697000,3437000,3249000,3819000,4100000,- -,1800000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3197000,1526000,3310000,4746000,6976000,8155000,14742000,29882000,42400000,41673000,43047000,76428000,50478000
14,Depreciation and Amortization,500000,700000,1000000,1800000,3300000,5200000,9500000,16800000,22400000,29900000,62300000,78769000,76370000,72625000,41637000,35157000,25881000,33887000,39199000,60021000,61610000,62182000,18319000,66471000,76551000,77307000,84433000,86554000,86742000,87408000,77824000,119504000,122534000
15,EBITDA,2800000,9300000,16900000,35100000,71700000,112100000,137200000,232900000,359600000,214900000,243500000,73702000,65509000,-1714000,-40792000,72196000,117193000,109312000,138859000,178907000,81978000,145844000,126177000,191953000,209761000,271574000,125700000,49244000,127736000,157737000,141171000,330638000,564767000
16,EBITDA ratio,0.2545,0.3647,0.3781,0.4048,0.4396,0.4589,0.3480,0.3881,0.4446,0.2111,0.2302,0.0794,0.0701,-0.0023,-0.0607,0.1094,0.1626,0.1279,0.1475,0.1672,0.0874,0.1444,0.1081,0.1529,0.1622,0.2001,0.1001,0.0432,0.1097,0.1270,0.1124,0.2267,0.3125
17,Operating Income,2200000,7500000,14400000,31000000,66200000,102200000,148100000,236600000,326600000,313800000,232100000,13307000,-3002000,-78486000,-79625000,37416000,85786000,71726000,92768000,125245000,19295000,74775000,117114000,128096000,127324000,196576000,41616000,-37014000,40898000,73237000,63042000,210863000,380748000
18,Operating Income ratio,0.2000,0.2941,0.3221,0.3576,0.4059,0.4183,0.3756,0.3943,0.4038,0.3083,0.2195,0.0143,-0.0032,-0.1058,-0.1185,0.0567,0.1190,0.0839,0.0986,0.1170,0.0206,0.0740,0.1004,0.1020,0.0984,0.1449,0.0332,-0.0325,0.0351,0.0590,0.0502,0.1446,0.2107
19,Total Other Income Expenses (Gains),100000,1100000,1500000,2300000,2200000,4700000,-20400000,-20500000,10600000,-109800000,-50900000,-18374000,-7859000,4147000,-2804000,-377000,5526000,3699000,6892000,-6359000,-2124000,7361000,-12566000,-7360000,-1090000,-10464000,-15091000,-30178000,-42304000,-44581000,-42742000,-76157000,11007000
20,Income Before Tax,2300000,8600000,15900000,33300000,68400000,106900000,127700000,216100000,337200000,204000000,181200000,-5067000,-10861000,-74339000,-82429000,37039000,91312000,75425000,99660000,118886000,17171000,82136000,104548000,120736000,126234000,186112000,26525000,-67192000,-1406000,28656000,20300000,134706000,391755000
21,Income Before Tax Ratio,0.2091,0.3373,0.3557,0.3841,0.4194,0.4376,0.3239,0.3601,0.4169,0.2004,0.1713,-0.0055,-0.0116,-0.1002,-0.1227,0.0561,0.1267,0.0882,0.1059,0.1111,0.0183,0.0813,0.0896,0.0962,0.0976,0.1372,0.0211,-0.0589,-0.0012,0.0231,0.0162,0.0924,0.2168
22,Income Tax expense (Gain),700000,3000000,5600000,12200000,25500000,40000000,50300000,78200000,118000000,98300000,61900000,-1087000,-2647000,19282000,15851000,2226000,7720000,14559000,-43996000,39184000,-14351000,57768000,19124000,156134000,-17535000,25918000,-21032000,-12727000,-7645000,-23331000,47760000,4011000,-85168000
23,Net Income,1600000,5600000,10300000,21100000,42900000,66900000,77400000,137900000,219200000,86700000,119300000,-3980000,-8214000,-93621000,-98280000,34813000,83592000,60866000,143656000,79702000,31522000,24368000,85424000,-35398000,143769000,160194000,47557000,-54465000,6239000,51987000,-27460000,130695000,476923000
24,Net Income ratio,0.1455,0.2196,0.2304,0.2434,0.2630,0.2738,0.1963,0.2298,0.2710,0.0852,0.1128,-0.0043,-0.0088,-0.1262,-0.1463,0.0527,0.1160,0.0712,0.1526,0.0745,0.0336,0.0241,0.0732,-0.0282,0.1111,0.1181,0.0379,-0.0478,0.0054,0.0419,-0.0219,0.0896,0.2639
25,EPS,0.05,0.07,0.13,0.25,0.47,0.28,0.75,1.30,2.05,0.80,1.10,-0.03,-0.07,-0.90,-0.93,0.33,0.78,0.55,1.27,0.70,0.27,0.21,0.73,-0.30,1.20,1.36,0.54,-0.48,0.05,0.45,-0.23,1.13,4.08
26,EPS Diluted,0.05,0.07,0.13,0.25,0.47,0.25,0.75,1.30,2.05,0.78,1.07,-0.03,-0.07,-0.90,-0.93,0.33,0.75,0.54,1.22,0.68,0.27,0.20,0.71,-0.30,1.19,1.34,0.54,-0.48,0.05,0.44,-0.23,1.12,4.03
