,https://roic.ai/company/PTC,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,- -,4700000,8800000,28000000,32300000,82600000,119000000,229700000,266300000,193500000,150800000,51851000,51079000,-22614000,6495000,101336000,128139000,65164000,127374000,222240000,69676000,156644000,78698000,217975000,224683000,304552000,179903000,183168000,134590000,247811000,285145000,233808000,368809000
84,CAPEX,- -,-500000,-800000,-3600000,-7400000,-9100000,-46400000,-51800000,-33800000,-76400000,-136500000,-41138000,-61388000,-29666000,-20824000,-12448000,-14958000,-19472000,-24057000,-25439000,-30087000,-26729000,-27817000,-31413000,-29328000,-25275000,-30628000,-26189000,-25444000,-39041000,-64411000,-31246000,-25263000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7922000,- -,- -,- -,-9822000,-198897000,-75084000,-31092000,-261592000,-32790000,-2721000,-280026000,-220000,-245843000,-323525000,-98411000,-165802000,-4960000,-3000000,-86737000,-483478000,-718030000
86,Purchases of Investments,- -,-19000000,- -,-7700000,-28100000,-83100000,-264900000,- -,- -,- -,-95400000,-53732000,-38048000,-40220000,-17119000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11000000,-45165000,-19726000,-25311000,-30852000,-43290000,-11562000
87,Sales/Maturities of Investments,- -,- -,300000,- -,- -,68800000,171200000,- -,- -,593400000,196900000,115262000,55681000,40295000,48556000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34003000,18140000,31976000,32042000,66996000
88,Other Investing Activites,- -,-500000,-500000,-700000,-600000,-800000,-1200000,-92700000,-154500000,-413500000,-24100000,28052000,-2982000,8193000,-5108000,- -,-1177000,- -,- -,- -,- -,- -,- -,- -,721000,- -,- -,- -,- -,-3000000,- -,-11050000,-550000
89,Cash Used for Investing Activites,- -,-20000000,-1000000,-12000000,-36100000,-24200000,-141300000,-144500000,-188300000,103500000,-59100000,40522000,-46737000,-21398000,5505000,-22270000,-215032000,-94556000,-55149000,-287031000,-62877000,-29450000,-307843000,-31633000,-274450000,-348800000,-140039000,-237156000,-16127000,-49212000,-150024000,-525972000,-687859000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32136000,-50832000,-50000000,-60000000,-111875000,-1032500000,-128750000,-580000000,-190000000,-320000000,-180000000,-1110125000,-168354000
91,Common Stock Issued,- -,17700000,2800000,15200000,25400000,15400000,26100000,40800000,65500000,70400000,23900000,79621000,24232000,8627000,7688000,9712000,10162000,7831000,15649000,12701000,5136000,15284000,24756000,21210000,4884000,877000,41000,21000,10778000,1015654000,12975000,18382000,21575000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-4400000,- -,-66600000,-184800000,-50000000,-90000000,-90020000,-131708000,-4998000,-167000,- -,- -,- -,-9952000,-27297000,-14157000,-62542000,-54921000,-34953000,-74871000,-224915000,-64940000,- -,-50991000,-1100000000,-114994000,- -,-30000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-300000,-400000,-100000,- -,- -,-700000,-100000,-100000,-275600000,- -,- -,- -,- -,- -,- -,-12180000,-1287000,-6721000,77053000,8705000,-22645000,230585000,208406000,-14662000,1361891000,151494000,631678000,112752000,193500000,159059000,1389153000,547043000
95,Cash Used/Provided by Financing Activities,- -,17400000,2400000,15100000,25400000,11000000,25400000,-25900000,-119400000,-255200000,-66100000,-10399000,-107476000,3629000,7521000,9712000,-2018000,6544000,-1024000,62457000,-32452000,-120735000,150420000,134663000,-196524000,105353000,-42155000,51699000,-117461000,-210846000,-122960000,297410000,370264000
96,Effect of Forex Changes on Cash,- -,- -,- -,300000,-400000,1000000,400000,-3300000,-6100000,-4400000,8200000,4109000,-5369000,1839000,6966000,797000,-1553000,1873000,8622000,-3996000,3834000,-1328000,6350000,660000,-1339000,-9364000,-17946000,6807000,1066000,-7810000,-2565000,25000,-127000
97,Net Change In Cash,- -,17400000,2400000,15100000,25400000,11000000,3400000,56000000,-47400000,37400000,33800000,86083000,-108503000,-38544000,26487000,89575000,-90464000,-20975000,79823000,-6330000,-21819000,5131000,-72375000,321665000,-247630000,51741000,-20237000,4518000,2068000,-20057000,9596000,5271000,51087000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,145600000,201600000,154200000,206000000,239800000,325872000,217369000,178825000,205312000,294887000,204423000,183448000,263271000,256941000,235122000,240253000,167878000,489543000,241913000,293654000,273417000,277935000,280003000,259946000,270689000,275960000,327047000
99,Cash at the Beginning of Period,- -,3300000,5500000,15700000,47000000,68200000,142200000,145600000,201600000,168600000,206000000,239789000,325872000,217369000,178825000,205312000,294887000,204423000,183448000,263271000,256941000,235122000,240253000,167878000,489543000,241913000,293654000,273417000,277935000,280003000,261093000,270689000,275960000
100,Free Cash Flow,- -,4200000,8000000,24400000,24900000,73500000,72600000,177900000,232500000,117100000,14300000,10713000,-10309000,-52280000,-14329000,88888000,113181000,45692000,103317000,196801000,39589000,129915000,50881000,186562000,195355000,279277000,149275000,156979000,109146000,208770000,220734000,202562000,343546000
101,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/857005/000095010995005433/0000950109-95-005433-index.html,https://www.sec.gov/Archives/edgar/data/857005/000092701696002061/0000927016-96-002061-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/857005/000092701603000282/d10k.htm,https://www.sec.gov/Archives/edgar/data/857005/000119312503099084/d10k.htm,https://www.sec.gov/Archives/edgar/data/857005/000119312504212702/d10k.htm,https://www.sec.gov/Archives/edgar/data/857005/000119312505242673/d10k.htm,https://www.sec.gov/Archives/edgar/data/857005/000119312506253501/d10k.htm,https://www.sec.gov/Archives/edgar/data/857005/000095013507007240/0000950135-07-007240-index.html,https://www.sec.gov/Archives/edgar/data/857005/000119312508244400/0001193125-08-244400-index.html,https://www.sec.gov/Archives/edgar/data/857005/000119312509241507/0001193125-09-241507-index.html,https://www.sec.gov/Archives/edgar/data/857005/000119312510267323/0001193125-10-267323-index.html,https://www.sec.gov/Archives/edgar/data/857005/000119312511320097/0001193125-11-320097-index.html,https://www.sec.gov/Archives/edgar/data/857005/000085700512000031/0000857005-12-000031-index.html,https://www.sec.gov/Archives/edgar/data/857005/000085700513000038/0000857005-13-000038-index.html,https://www.sec.gov/Archives/edgar/data/857005/000085700514000032/0000857005-14-000032-index.html,https://www.sec.gov/Archives/edgar/data/857005/000085700515000042/0000857005-15-000042-index.html,https://www.sec.gov/Archives/edgar/data/857005/000085700516000071/0000857005-16-000071-index.html,https://www.sec.gov/Archives/edgar/data/857005/000085700517000021/0000857005-17-000021-index.html,https://www.sec.gov/Archives/edgar/data/857005/000085700518000025/0000857005-18-000025-index.html,https://www.sec.gov/Archives/edgar/data/857005/000085700519000040/0000857005-19-000040-index.html,https://www.sec.gov/Archives/edgar/data/857005/000156459020054803/0001564590-20-054803-index.htm,https://www.sec.gov/Archives/edgar/data/857005/000156459021057806/0001564590-21-057806-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
