,https://roic.ai/company/DBI,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
22,Income Tax expense (Gain),- -,- -,5847000,10507000,18420000,-5263000,-42163000,-33516000,17383000,-37150000,-69655000,-12176000,-95427000,-92705000,95713000,83806000,-78853000,-59617000,-29833000,25277000,-119928000,18544000
23,Net Income,5242000,239000,8060000,14807000,34955000,37200000,65500000,53800000,26902000,54700000,107600000,174800000,146400000,151300000,153299000,136034000,124419000,67452000,-20466000,94497000,-488719000,154481000
24,Net Income ratio,0.0124,0.0005,0.0125,0.0187,0.0364,0.0325,0.0512,0.0383,0.0184,0.0341,0.0590,0.0864,0.0648,0.0639,0.0614,0.0519,0.0458,0.0240,-0.0064,0.0271,-0.2187,0.0483
25,EPS,0.09,0.00,0.15,0.27,0.63,0.50,0.74,0.61,0.30,0.62,1.23,2.48,1.65,1.67,1.71,1.55,1.53,0.84,-0.26,1.28,-6.77,2.14
26,EPS Diluted,0.09,0.00,0.15,0.27,0.63,0.50,0.74,0.60,0.30,0.61,1.20,2.27,1.61,1.65,1.69,1.54,1.52,0.83,-0.26,1.27,-6.77,2.14
27,Weighted Average Shares Outstanding,55406000,55406000,55406000,55406000,55406000,74438000,87828000,87906000,87996000,88186000,88032000,70440000,88846000,90472000,89499000,87561000,81536000,80160000,80026000,73602000,72198000,72198000
28,Weighted Average Shares Outstanding Diluted,55406000,55406000,55406000,55406000,55406000,74694000,88444000,88546000,88436000,89034000,89836000,74276000,90606000,91901000,90612000,88501000,82135000,80687000,80026000,74605000,72198000,72198000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1319947/000095015206003177/l19155ae10vk.htm,https://www.sec.gov/Archives/edgar/data/1319947/000095015207003067/0000950152-07-003067-index.html,https://www.sec.gov/Archives/edgar/data/1319947/000095015208002818/0000950152-08-002818-index.html,https://www.sec.gov/Archives/edgar/data/1319947/000095015209003376/0000950152-09-003376-index.html,https://www.sec.gov/Archives/edgar/data/1319947/000095012310027316/0000950123-10-027316-index.html,https://www.sec.gov/Archives/edgar/data/1319947/000114036111018136/form10k.htm,https://www.sec.gov/Archives/edgar/data/1319947/000131994712000011/0001319947-12-000011-index.html,https://www.sec.gov/Archives/edgar/data/1319947/000131994713000009/0001319947-13-000009-index.html,https://www.sec.gov/Archives/edgar/data/1319947/000131994714000008/dsw-20140201.htm,https://www.sec.gov/Archives/edgar/data/1319947/000131994715000012/dsw-20150131.htm,- -,https://www.sec.gov/Archives/edgar/data/1319947/000131994717000012/0001319947-17-000012-index.html,https://www.sec.gov/Archives/edgar/data/1319947/000131994718000008/0001319947-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1319947/000131994719000016/0001319947-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/1319947/000131994720000025/0001319947-20-000025-index.html,https://www.sec.gov/Archives/edgar/data/1319947/000131994721000010/0001319947-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1319947/000131994722000010/0001319947-22-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,3481000,7076000,8339000,124800000,73200000,61800000,54782000,125000000,93600000,79000000,81100000,112000000,59171000,32495000,110657000,175932000,99369000,86564000,59581000,72691000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,98700000,70000000,101404000,164300000,241600000,296700000,232100000,224100000,171201000,226027000,98530000,124605000,69718000,24974000,- -,- -
33,Cash and Short-Term Investments,- -,- -,3481000,7076000,8339000,124800000,171900000,131800000,156186000,289300000,335200000,375700000,313200000,336100000,230372000,258522000,209187000,300537000,169087000,111538000,59581000,72691000
34,Net Receivables,- -,- -,5229000,2264000,2291000,4100000,8300000,14300000,7187000,5500000,12500000,17000000,26800000,26600000,24407000,15464000,19006000,19236000,68870000,89151000,196049000,- -
35,Inventory,- -,- -,141112000,150019000,208015000,216700000,237700000,262000000,244008000,262300000,309000000,334400000,393800000,397800000,450836000,484236000,499995000,501903000,645317000,632587000,473183000,586429000
36,Other Current Assets,- -,- -,18473000,18049000,29201000,32500000,40100000,43500000,46666000,49900000,60500000,140900000,88000000,52300000,62855000,37446000,31078000,49197000,71945000,67534000,51772000,255096000
37,Total Current Assets,- -,- -,168295000,177408000,247846000,378100000,458000000,451600000,454047000,607000000,717200000,868000000,821800000,812800000,768470000,795668000,759266000,870873000,955219000,900810000,780585000,914216000
38,PP&E,- -,- -,66911000,74143000,90056000,95900000,116900000,192800000,233366000,206400000,210400000,235700000,300300000,318600000,337903000,374241000,375251000,355199000,409576000,1313810000,996950000,904007000
39,Goodwill,- -,- -,25899000,25899000,25899000,25900000,25900000,25900000,25899000,25900000,25900000,25900000,25900000,25900000,25899000,25899000,79689000,25899000,89513000,113644000,93655000,93655000
40,Intangible Assets,- -,- -,8801000,7943000,7079000,6200000,5400000,4500000,- -,2800000,2100000,1200000,- -,- -,- -,- -,35108000,135000,46129000,22846000,15635000,15527000
41,Intangible Assets,- -,- -,34700000,33842000,32978000,32100000,31300000,30400000,25899000,28700000,28000000,27100000,25900000,25900000,25899000,25899000,114797000,26034000,135642000,136490000,109290000,109182000
42,Investments,- -,- -,22014000,1440000,23676000,- -,- -,12500000,1266000,1000000,49987000,53858000,96712000,243188000,242643000,93141000,93734000,6096000,58125000,57760000,58598000,- -
43,Tax Assets,- -,- -,3783000,4351000,881000,- -,- -,- -,6619000,- -,- -,- -,- -,- -,11332000,21815000,- -,- -,- -,2009000,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,1600000,2100000,6600000,- -,7700000,3313000,23242000,17388000,20712000,51996000,58345000,85428000,163315000,62022000,54191000,31172000,- -
45,Total Non-Current Assets,- -,- -,127408000,113776000,147591000,129600000,150300000,242300000,267150000,243800000,291700000,339900000,440300000,608400000,669773000,573441000,669210000,550644000,665365000,1564260000,1196010000,1013189000
46,Other Assets,230660000,232821000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,230660000,232821000,295703000,291184000,395437000,507700000,608300000,693900000,721197000,850800000,1008900000,1207900000,1262100000,1421200000,1438243000,1369109000,1428476000,1421517000,1620584000,2465070000,1976595000,1927405000
48,Accounts Payable,- -,- -,61232000,52237000,72120000,85500000,95000000,114600000,95211000,120600000,149700000,151200000,152100000,168700000,170610000,215626000,186271000,179308000,261625000,299072000,245071000,340877000
49,Short-Term Debt,- -,- -,227000,138000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,186695000,307286000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,10228000,- -,15438000,13128000,16192000,13581000,16798000,17004000,21764000,17812000,16491000,19399000,24206000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,18591000,18046000,20302000,- -,29130000,30535000,116473000,67397000,18130000,40313000,43446000,14934000,27671000,- -,- -,45821000,- -
52,Other Current Liabilities,- -,- -,19695000,21789000,36807000,35509000,46254000,33998000,63115000,74970000,73465000,39827000,55803000,97570000,72867000,64354000,115400000,120555000,201535000,194264000,154505000,418040000
53,Total Current Liabilities,- -,- -,81154000,74164000,108927000,139600000,159300000,168900000,158326000,224700000,253700000,307500000,275300000,284400000,283790000,323426000,316605000,327534000,463160000,680031000,752683000,758917000
54,Long-Term Debt,513000,325000,54116000,35000000,55000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,160000000,190000000,950054000,818965000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,74457000,91497000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,31369000,38149000,52684000,63400000,-57000,3000,97287000,101200000,114400000,113800000,128200000,138300000,143333000,140759000,174383000,138732000,165047000,874125000,30841000,24356000
58,Total Non-Current Liabilities,513000,325000,85485000,73149000,107684000,63400000,74400000,91500000,97287000,101200000,114400000,113800000,128200000,138300000,143333000,140759000,174383000,138732000,325047000,1064125000,980895000,843321000
59,Other Liabilities,110408000,112142000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,227000,138000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1033279000,922521000,- -
61,Total Liabilities,109895000,111817000,166639000,147313000,216611000,203000000,233700000,260400000,255613000,325900000,368100000,421300000,403500000,422700000,427123000,464185000,490988000,466266000,788207000,1744156000,1733578000,1602238000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,101442000,101442000,101442000,281100000,283100000,288400000,- -,306100000,314400000,796800000,872000000,890700000,908679000,930011000,946351000,961245000,978794000,971380000,990153000,- -
64,Retained Earnings,- -,- -,27622000,42429000,77384000,26000000,91500000,145100000,172017000,218800000,326400000,-1700000,17000000,134400000,220826000,287140000,346602000,354979000,254718000,267094000,-228785000,- -
65,Other Comprehensive Income/Loss,- -,- -,-32060000,-46068000,-62485000,-2410000,-96300000,-116400000,-655000,- -,-6000000,-8486000,-8758000,- -,-6454000,-20703000,-13941000,-10074000,-2706000,-2495000,-3286000,-3617000
66,Other Total Stockholders Equity,120765000,121004000,32060000,46068000,62485000,26000,96279000,116380000,294567000,-19000,5964000,-27000,-21663000,-26556000,-111931000,- -,-341524000,-355795000,-398429000,-515065000,-515065000,416013000
67,Total Stockholders Equity,120765000,121004000,129064000,143871000,178826000,304716000,374579000,433480000,465584000,524881000,640764000,786587000,858579000,998544000,1011120000,904924000,937488000,950355000,832377000,720914000,243017000,412396000
68,Total Liabilities And Stockholders Equity,230660000,232821000,295703000,291184000,395437000,507716000,608279000,693880000,721197000,850781000,1008864000,1207887000,1262079000,1421244000,1438243000,1369109000,1428476000,1416621000,1620584000,2465070000,1976595000,2014634000
69,Minority Interest,- -,- -,- -,- -,- -,-16000,21000,20000,- -,19000,36000,13000,21000,-44000,- -,- -,- -,4896000,- -,- -,- -,-87229000
70,Total Liabilities & Equity,230660000,232821000,295703000,291184000,395437000,507700000,608300000,693900000,721197000,850800000,1008900000,1207900000,1262100000,1421200000,1438243000,1369109000,1428476000,1421517000,1620584000,2465070000,1976595000,1927405000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1319947/000095015206003177/l19155ae10vk.htm,https://www.sec.gov/Archives/edgar/data/1319947/000095015207003067/0000950152-07-003067-index.html,https://www.sec.gov/Archives/edgar/data/1319947/000095015208002818/0000950152-08-002818-index.html,https://www.sec.gov/Archives/edgar/data/1319947/000095015209003376/0000950152-09-003376-index.html,https://www.sec.gov/Archives/edgar/data/1319947/000095012310027316/0000950123-10-027316-index.html,https://www.sec.gov/Archives/edgar/data/1319947/000114036111018136/form10k.htm,https://www.sec.gov/Archives/edgar/data/1319947/000131994712000011/0001319947-12-000011-index.html,https://www.sec.gov/Archives/edgar/data/1319947/000131994713000009/0001319947-13-000009-index.html,https://www.sec.gov/Archives/edgar/data/1319947/000131994714000008/dsw-20140201.htm,https://www.sec.gov/Archives/edgar/data/1319947/000131994715000012/dsw-20150131.htm,- -,https://www.sec.gov/Archives/edgar/data/1319947/000131994717000012/0001319947-17-000012-index.html,https://www.sec.gov/Archives/edgar/data/1319947/000131994718000008/0001319947-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1319947/000131994719000016/0001319947-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/1319947/000131994720000025/0001319947-20-000025-index.html,https://www.sec.gov/Archives/edgar/data/1319947/000131994721000010/0001319947-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1319947/000131994722000010/0001319947-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,8060000,14807000,34955000,37200000,65500000,53800000,26902000,54700000,107600000,174800000,146400000,151300000,153299000,136034000,124419000,67452000,-20466000,94497000,-488719000,154481000
74,Depreciation and Amortization,- -,- -,12986000,15478000,18275000,20333000,20804000,25173000,36336000,46260000,47825000,51237000,57801000,64100000,68243000,73577000,81639000,80216000,79048000,86649000,88026000,77923000
75,Deferred Income Tax,- -,- -,-3715000,26000,-7813000,2084000,2372000,-5605000,-889000,-12105000,11694000,-104818000,85168000,41834000,-1361000,9265000,6881000,-12787000,-11748000,-2931000,34485000,-1001000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,4522000,5488000,4024000,4850000,8080000,9342000,10495000,13501000,12687000,14704000,17393000,17059000,20236000,23923000
77,Change in Working Capital,- -,- -,-48738000,16103000,35675000,99581000,60200000,-16000000,13021000,86579000,81200000,97000000,-14000000,-18100000,-43720000,-12438000,-29581000,100678000,-51280000,-271280000,-192877000,127397000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,3693000,-1662000,-7510000,-3810000,-9382000,138000,2239000,8943000,-2206000,-230000,36151000,265000,23179000,8703000
79,Inventory,- -,- -,-24475000,-8907000,-57996000,-8683000,-21039000,-24300000,18029000,-18276000,-46729000,-25377000,-59404000,-3974000,-53068000,-33400000,14411000,-1908000,-4162000,9290000,160312000,-113248000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,-15112000,26666000,26650000,-1909000,2793000,15957000,7083000,38031000,-30572000,-8855000,-38059000,36995000,-47014000,92894000
81,Other Working Capital,- -,- -,87141000,103244000,138919000,238500000,298700000,282700000,295721000,382300000,463500000,560500000,546500000,528400000,484680000,472242000,442661000,543339000,492059000,220779000,27902000,155299000
82,Other Non-Cash Items,- -,- -,569000,-1290000,-65398000,-49941000,-60708000,13492000,17217000,-16469000,-111394000,-8281000,-24885000,50249000,10440000,22712000,16861000,-59247000,162387000,272713000,385056000,-211294000
83,Cash Provided by Operating Activities,- -,- -,-30838000,45124000,15694000,109257000,88168000,70860000,97109000,164453000,140949000,214788000,258564000,298725000,197396000,242651000,212906000,191016000,175334000,196707000,-153793000,171429000
84,CAPEX,- -,- -,-23140000,-22324000,-34293000,-25344000,-41882000,-98971000,-82191000,-23080000,-46960000,-74707000,-134477000,-86412000,-98126000,-103939000,-87580000,-56282000,-65355000,-77820000,-31114000,-33030000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-199000,1151000,- -,- -,-4580000,-59776000,-57396000,-256230000,4965000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-188250000,-209855000,-207558000,-225136000,-302382000,-393764000,-353822000,-414158000,-176452000,-279735000,-95905000,-133153000,-16735000,-20973000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,89600000,226000000,185604000,160678000,173020000,329052000,367740000,265308000,246256000,353344000,220744000,187866000,71136000,66389000,24755000,- -
88,Other Investing Activites,- -,- -,-23140000,-22324000,-34293000,91000,15000,10000,- -,- -,-26000,- -,- -,-6147000,-77160000,3798000,-1772000,- -,-14829000,- -,8990000,-1998000
89,Cash Used for Investing Activites,- -,- -,-23140000,-22324000,-34293000,-25253000,-140517000,-82816000,-104145000,-87538000,-176123000,-139618000,-119408000,-241409000,-105482000,-31112000,-24289000,-58965000,-282013000,-27439000,2631000,-35028000
90,Debt Repayment,- -,- -,-169000,-205000,-138000,- -,- -,- -,- -,- -,- -,-11000000,- -,- -,- -,- -,- -,- -,- -,-433300000,-522263000,-449653000
91,Common Stock Issued,- -,- -,- -,- -,- -,277986000,601000,64000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28000,-6411000,-4757000,-86987000,-181989000,-52586000,-10484000,-47530000,-141629000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-98859000,-129215000,-33854000,-66912000,-69720000,-65073000,-63823000,-79795000,-72565000,-7160000,- -
94,Other Financing Activites,- -,- -,52563000,-19000000,20000000,-245570000,194000,488000,17000,-6677000,3771000,14594000,-1436000,12219000,9135000,10227000,7204000,2878000,157289000,464141000,652377000,328163000
95,Cash Used/Provided by Financing Activities,- -,- -,52394000,-19205000,19862000,32416000,795000,552000,17000,-6677000,3771000,-95293000,-137062000,-26392000,-144764000,-241482000,-110455000,-71429000,29964000,-183353000,122954000,-121490000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3267000,- -,- -,1351000,81000,1225000,-33000
97,Net Change In Cash,- -,- -,-1584000,3595000,1263000,116420000,-51554000,-11404000,-7019000,70238000,-31403000,-20123000,2094000,30924000,-52850000,-26676000,78162000,60622000,-75364000,-14004000,-26983000,14878000
98,Cash at the End of Period,- -,- -,3481000,7076000,8339000,124759000,73205000,61801000,54782000,125020000,93617000,79003000,81097000,112021000,59171000,32495000,110657000,175932000,100568000,86564000,59581000,74459000
99,Cash at the Beginning of Period,- -,- -,5065000,3481000,7076000,8339000,124759000,73205000,61801000,54782000,125020000,99126000,79003000,81097000,112021000,59171000,32495000,115310000,175932000,100568000,86564000,59581000
100,Free Cash Flow,- -,- -,-53978000,22800000,-18599000,83913000,46286000,-28111000,14918000,141373000,93989000,140081000,124087000,212313000,99270000,138712000,125326000,134734000,109979000,118887000,-184907000,138399000
101,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1319947/000095015206003177/l19155ae10vk.htm,https://www.sec.gov/Archives/edgar/data/1319947/000095015207003067/0000950152-07-003067-index.html,https://www.sec.gov/Archives/edgar/data/1319947/000095015208002818/0000950152-08-002818-index.html,https://www.sec.gov/Archives/edgar/data/1319947/000095015209003376/0000950152-09-003376-index.html,https://www.sec.gov/Archives/edgar/data/1319947/000095012310027316/0000950123-10-027316-index.html,https://www.sec.gov/Archives/edgar/data/1319947/000114036111018136/form10k.htm,https://www.sec.gov/Archives/edgar/data/1319947/000131994712000011/0001319947-12-000011-index.html,https://www.sec.gov/Archives/edgar/data/1319947/000131994713000009/0001319947-13-000009-index.html,https://www.sec.gov/Archives/edgar/data/1319947/000131994714000008/dsw-20140201.htm,https://www.sec.gov/Archives/edgar/data/1319947/000131994715000012/dsw-20150131.htm,- -,https://www.sec.gov/Archives/edgar/data/1319947/000131994717000012/0001319947-17-000012-index.html,https://www.sec.gov/Archives/edgar/data/1319947/000131994718000008/0001319947-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1319947/000131994719000016/0001319947-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/1319947/000131994720000025/0001319947-20-000025-index.html,https://www.sec.gov/Archives/edgar/data/1319947/000131994721000010/0001319947-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1319947/000131994722000010/0001319947-22-000010-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
