,https://roic.ai/company/TSSI,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,- -,5107534,9550000,11698895,12270546,12683764,13266531,13608161,14172513,14375040,15017000,15543000,15405000,15505000,15231250,12600000,17958000,17958000
28,Weighted Average Shares Outstanding Diluted,- -,5107534,9550000,11698895,12270546,12683764,14126631,14853760,14172513,14375040,15017000,15543000,15405000,15505000,18746154,12600000,17958000,17958000
29,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1320760/000114420406013019/0001144204-06-013019-index.htm,https://www.sec.gov/Archives/edgar/data/1320760/000114420407016129/0001144204-07-016129-index.html,https://www.sec.gov/Archives/edgar/data/1320760/000114420408019293/0001144204-08-019293-index.htm,https://www.sec.gov/Archives/edgar/data/1320760/000114420409017984/0001144204-09-017984-index.html,https://www.sec.gov/Archives/edgar/data/1320760/000114420410017623/0001144204-10-017623-index.html,https://www.sec.gov/Archives/edgar/data/1320760/000114420411018049/0001144204-11-018049-index.htm,https://www.sec.gov/Archives/edgar/data/1320760/000114420412018791/0001144204-12-018791-index.html,https://www.sec.gov/Archives/edgar/data/1320760/000114420413016696/0001144204-13-016696-index.html,https://www.sec.gov/Archives/edgar/data/1320760/000114420414022809/0001144204-14-022809-index.htm,https://www.sec.gov/Archives/edgar/data/1320760/000114420415024300/v406814_10k.htm,https://www.sec.gov/Archives/edgar/data/1320760/000114420416091505/0001144204-16-091505-index.html,https://www.sec.gov/Archives/edgar/data/1320760/000114420417018084/0001144204-17-018084-index.html,https://www.sec.gov/Archives/edgar/data/1320760/000143774918005336/0001437749-18-005336-index.html,https://www.sec.gov/Archives/edgar/data/1320760/000143774919005421/0001437749-19-005421-index.html,https://www.sec.gov/Archives/edgar/data/1320760/000143774920006028/0001437749-20-006028-index.html,https://www.sec.gov/Archives/edgar/data/1320760/000143774921007443/0001437749-21-007443-index.htm,https://www.sec.gov/Archives/edgar/data/1320760/000143774922007676/0001437749-22-007676-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,30000,990000,10000,13170000,12448157,2263146,10980420,6730000,5608322,3290000,1378000,1132000,2152000,2268000,6178000,8678000,19012000,7992000
32,Short-Term Investments,- -,42600000,44670000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,30000,43590000,44680000,13170000,12448157,2263146,10980420,6730000,5608322,3290000,1378000,1132000,2152000,2268000,6178000,8678000,19012000,7992000
34,Net Receivables,- -,- -,- -,19240000,21288660,14196772,10134475,7150000,7525340,8410000,3951000,6997000,2389000,990000,727000,3865000,1721000,1846000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,220000,154000,66000,59000,134000,108000,1353000,197000,847000
36,Other Current Assets,- -,60000,10000,1630000,4281654,2063914,1635188,3230000,1242437,1490000,1285000,1319000,791000,337000,420000,289000,58000,1123000
37,Total Current Assets,30000,43650000,44690000,34040000,38018471,18523832,22750083,17110000,14376099,13410000,6768000,9514000,5391000,3729000,7433000,14185000,20988000,11808000
38,PP&E,- -,- -,- -,1050000,824487,612569,375926,310000,273451,440000,670000,702000,544000,418000,390000,2186000,1538000,5847000
39,Goodwill,- -,- -,- -,20720000,4811000,3811127,3811127,3840000,1768861,1910000,1907000,1907000,1907000,1907000,780000,780000,780000,780000
40,Intangible Assets,- -,- -,- -,21090000,13559234,60000,60000,60000,60000,1120000,979000,841000,704000,561000,398000,307000,217000,126000
41,Intangible Assets,- -,- -,- -,41810000,18370234,3871127,3871127,3900000,1828861,3030000,2886000,2748000,2611000,2468000,1178000,1087000,997000,906000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,10000,130000,1360000,500000,225853,246218,40210,10000,19358,150000,91000,30000,30000,112000,109000,109000,285000,720000
45,Total Non-Current Assets,10000,130000,1360000,43360000,19420574,4729914,4287263,4220000,2121670,3620000,3647000,3480000,3185000,2998000,1677000,3382000,2820000,7473000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,40000,43780000,46050000,77400000,57439045,23253746,27037346,21330000,16497769,17030000,10415000,12994000,8576000,6727000,9110000,17567000,23808000,19281000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,4934862,4060000,2485876,5290000,- -,- -,- -,- -,- -,7890000,- -,- -
49,Short-Term Debt,10000,- -,- -,1650306,1688845,183679,200572,375000,500000,3137000,1320000,2455000,983000,- -,- -,645000,748000,644000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,2819368,- -,2316360,2009000,2476000,2818000,2494000,2181000,2104000,3962000,2435000
52,Other Current Liabilities,- -,440000,2060000,19999694,30442755,14575410,12328044,2825632,6296098,2296640,5547000,7590000,5319000,2841000,2390000,961000,13374000,9039000
53,Total Current Liabilities,10000,440000,2060000,21650000,32131600,14759089,17463478,10080000,9281974,13040000,8876000,12521000,9120000,5335000,4571000,11600000,18084000,12118000
54,Long-Term Debt,- -,- -,- -,7850000,4311709,4152343,2750000,2460000,1957301,720000,575000,1036000,825000,1656000,1838000,2028000,2234000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,112000,114000,99000,22000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-40000,71000,- -,20000,112000,114000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,50000,137198,186905,137218,70000,52626,20000,58000,-34000,62000,21000,-4000,842000,208000,4938000
58,Total Non-Current Liabilities,- -,- -,- -,7900000,4448907,4339248,2887218,2530000,2009927,740000,593000,1073000,887000,1697000,2058000,3098000,2541000,4960000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1601000,956000,- -
61,Total Liabilities,10000,440000,2060000,29550000,36580507,19098337,20350696,12610000,11291901,13780000,9469000,13594000,10007000,7032000,6629000,14698000,20625000,17078000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,8390000,8390000,- -,1279,1314,1386,- -,1509,- -,2000,2000,2000,2000,2000,2000,2000,2000
64,Retained Earnings,- -,130000,780000,-6600000,-39535578,-58328730,-57477472,-55640000,-59597909,-62390000,-65195000,-67400000,-68423000,-67657000,-65220000,-65094000,-65015000,-66312000
65,Other Comprehensive Income/Loss,- -,- -,- -,-400000,-870000,-1260000,-1600000,-1140000,-1370000,-990000,- -,- -,- -,- -,- -,-1856000,- -,- -
66,Other Total Stockholders Equity,20000,26430503,26425775,54850000,61262837,63742825,65762736,65500000,66172268,66630000,66139000,66798000,66990000,67350000,67699000,69817000,68196000,68513000
67,Total Stockholders Equity,20000,34950503,35595775,47853675,20858538,4155409,6686650,8718800,5205868,3250116,946000,-600000,-1431000,-305000,2481000,2869000,3183000,2203000
68,Total Liabilities And Stockholders Equity,30000,35390503,37655775,77403675,57439045,23253746,27037346,21328800,16497769,17030116,10415000,12994000,8576000,6727000,9110000,17567000,23808000,19281000
69,Minority Interest,10000,8389497,8394225,-3675,- -,- -,- -,1200,- -,-116,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,40000,43780000,46050000,77400000,57439045,23253746,27037346,21330000,16497769,17030000,10415000,12994000,8576000,6727000,9110000,17567000,23808000,19281000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1320760/000114420406013019/0001144204-06-013019-index.htm,https://www.sec.gov/Archives/edgar/data/1320760/000114420407016129/0001144204-07-016129-index.html,https://www.sec.gov/Archives/edgar/data/1320760/000114420408019293/0001144204-08-019293-index.htm,https://www.sec.gov/Archives/edgar/data/1320760/000114420409017984/0001144204-09-017984-index.html,https://www.sec.gov/Archives/edgar/data/1320760/000114420410017623/0001144204-10-017623-index.html,https://www.sec.gov/Archives/edgar/data/1320760/000114420411018049/0001144204-11-018049-index.htm,https://www.sec.gov/Archives/edgar/data/1320760/000114420412018791/0001144204-12-018791-index.html,https://www.sec.gov/Archives/edgar/data/1320760/000114420413016696/0001144204-13-016696-index.html,https://www.sec.gov/Archives/edgar/data/1320760/000114420414022809/0001144204-14-022809-index.htm,https://www.sec.gov/Archives/edgar/data/1320760/000114420415024300/v406814_10k.htm,https://www.sec.gov/Archives/edgar/data/1320760/000114420416091505/0001144204-16-091505-index.html,https://www.sec.gov/Archives/edgar/data/1320760/000114420417018084/0001144204-17-018084-index.html,https://www.sec.gov/Archives/edgar/data/1320760/000143774918005336/0001437749-18-005336-index.html,https://www.sec.gov/Archives/edgar/data/1320760/000143774919005421/0001437749-19-005421-index.html,https://www.sec.gov/Archives/edgar/data/1320760/000143774920006028/0001437749-20-006028-index.html,https://www.sec.gov/Archives/edgar/data/1320760/000143774921007443/0001437749-21-007443-index.htm,https://www.sec.gov/Archives/edgar/data/1320760/000143774922007676/0001437749-22-007676-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,- -,205736000,977686000,-7377111000,-32934225,-18793152,851258,1839894,-3960331,-2794405,-2803000,-2205000,-1023000,766000,2437000,126000,79000,-1297000
74,Depreciation and Amortization,- -,- -,- -,2957654,3812898,1951539,342220,233727,291709,357932,392000,566000,602000,481000,385000,370000,529000,536000
75,Deferred Income Tax,- -,-132000,-358675,-499155,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,2031496,2180613,554821,510838,500440,401807,499000,499000,193000,68000,241000,358000,392000,469000
77,Change in Working Capital,- -,43190000,-580000,-30240000,-6503129,-2122128,1521862,1743395,-1935875,-4724125,-2478000,-899000,-722000,2123000,4468000,-277000,319000,-3214000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-478000,-3138000,2950000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-84370,63000,88000,7000,-75000,26000,-1245000,1156000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,20000,43210000,42630000,12390000,5886871,3764743,5286605,7030000,5094125,370000,-2108000,-3007000,-3729000,-1606000,2862000,2585000,2904000,-310000
82,Other Non-Cash Items,- -,-249046074,-977527821,7400337709,37407459,9165159,5426115,-8004769,4641630,4683765,5012000,487000,3182000,-3483000,-5631000,2438000,8678000,3506000
83,Cash Provided by Operating Activities,- -,-252074,-780496,-4554792,3814499,-7617969,8696276,-3676915,-462427,-2075026,622000,-1552000,2232000,-45000,1900000,3015000,9997000,- -
84,CAPEX,- -,- -,- -,-357974,-269824,-211190,-105577,-163264,-259697,-371158,-507000,-411000,-290000,-212000,-242000,-594000,-396000,- -
85,Acquisitions Net,- -,- -,- -,-18029127,-2094560,-1053187,386863,-28734,- -,-1469243,- -,- -,792000,314000,2144000,175000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,165626,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-41964000,-224704,44673994,- -,766200,- -,- -,27000,-370858,-507000,-411000,-290000,-212000,-242000,-594000,-396000,- -
89,Cash Used for Investing Activites,- -,-41964000,-224704,26286893,-2364384,-498177,281286,-26372,-232697,-1840101,-507000,-411000,502000,102000,1902000,-419000,-396000,- -
90,Debt Repayment,- -,- -,- -,- -,-2118985,-1978275,-135450,-180000,-375000,-1200000,-200000,-200000,-2450000,-250000,- -,- -,- -,- -
91,Common Stock Issued,- -,46825000,- -,73500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,114000,62000,2000,- -
92,Common Stock Repurchased,30000,-25000,- -,-2036015,-55183,-90590,-124838,-365646,-53041,-8190,- -,-19000,-1000,-4000,-6000,-158000,-174000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-3616379,20000,-6604723,- -,- -,- -,- -,- -,2805984,-1828000,1936000,737000,313000,- -,- -,905000,- -
95,Cash Used/Provided by Financing Activities,30000,43183621,20000,-8567238,-2174168,-2068865,-260288,-545646,-428041,1597794,-2028000,1717000,-1714000,59000,108000,-96000,733000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,30000,967547,-985200,13164863,-724053,-10185011,8717274,-4248933,-1123165,-2317333,-1913000,-246000,1020000,116000,3910000,2500000,10334000,- -
98,Cash at the End of Period,30000,992547,7347,13172210,12448157,2263146,10980420,6731487,5608322,3290989,1378000,1132000,2152000,2268000,6178000,8678000,19012000,- -
99,Cash at the Beginning of Period,- -,25000,992547,7347,13172210,12448157,2263146,10980420,6731487,5608322,3291000,1378000,1132000,2152000,2268000,6178000,8678000,19012000
100,Free Cash Flow,- -,-252074,-780496,-4912766,3544675,-7829159,8590699,-3840179,-722124,-2446184,115000,-1963000,1942000,-257000,1658000,2421000,9601000,- -
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1320760/000114420406013019/0001144204-06-013019-index.htm,https://www.sec.gov/Archives/edgar/data/1320760/000114420407016129/0001144204-07-016129-index.html,https://www.sec.gov/Archives/edgar/data/1320760/000114420408019293/0001144204-08-019293-index.htm,https://www.sec.gov/Archives/edgar/data/1320760/000114420409017984/0001144204-09-017984-index.html,https://www.sec.gov/Archives/edgar/data/1320760/000114420410017623/0001144204-10-017623-index.html,https://www.sec.gov/Archives/edgar/data/1320760/000114420411018049/0001144204-11-018049-index.htm,https://www.sec.gov/Archives/edgar/data/1320760/000114420412018791/0001144204-12-018791-index.html,https://www.sec.gov/Archives/edgar/data/1320760/000114420413016696/0001144204-13-016696-index.html,https://www.sec.gov/Archives/edgar/data/1320760/000114420414022809/0001144204-14-022809-index.htm,https://www.sec.gov/Archives/edgar/data/1320760/000114420415024300/v406814_10k.htm,https://www.sec.gov/Archives/edgar/data/1320760/000114420416091505/0001144204-16-091505-index.html,https://www.sec.gov/Archives/edgar/data/1320760/000114420417018084/0001144204-17-018084-index.html,https://www.sec.gov/Archives/edgar/data/1320760/000143774918005336/0001437749-18-005336-index.html,https://www.sec.gov/Archives/edgar/data/1320760/000143774919005421/0001437749-19-005421-index.html,https://www.sec.gov/Archives/edgar/data/1320760/000143774920006028/0001437749-20-006028-index.html,https://www.sec.gov/Archives/edgar/data/1320760/000143774921007443/0001437749-21-007443-index.htm,https://www.sec.gov/Archives/edgar/data/1320760/000143774922007676/0001437749-22-007676-index.htm
102,false,,,,,,,,,,,,,,,,,,
