,https://roic.ai/company/MSCI,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,91277000,178446000,278474000,310698000,369886000,430961000,442948000,662901000,900941000,950141000,1035667000,996680000,1075013000,1150669000,1274172000,1433984000,1557796000,1695390000,2043544000
2,COGS,- -,- -,106598000,115426000,121711000,124671000,118665000,198626000,277147000,288075000,328311000,308574000,267695000,252107000,273913000,287335000,294961000,291704000,358684000
3,Gross Profit,- -,- -,171876000,195272000,248175000,306290000,324283000,464275000,623794000,662066000,707356000,688106000,807318000,898562000,1000259000,1146649000,1262835000,1403686000,1684860000
4,Gross Profit Ratio,- -,- -,0.6172,0.6285,0.6709,0.7107,0.7321,0.7004,0.6924,0.6968,0.6830,0.6904,0.7510,0.7809,0.7850,0.7996,0.8107,0.8279,0.8245
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,77320000,75204000,75884000,81411000,98334000,101053000,111564000
6,General and Administrative Exp.,- -,- -,70220000,85820000,92477000,142000000,- -,- -,212972000,233183000,255345000,279352000,86007000,87235000,87903000,99882000,110093000,114627000,147893000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,162294000,166666000,177297000,192923000,219298000,216496000,243185000
8,"Selling, General and Administrative Exp.",- -,- -,70220000,85820000,92477000,142000000,135780000,190244000,212972000,233183000,255345000,279352000,248301000,253901000,265200000,292805000,329391000,331123000,391078000
9,Other Expenses,- -,- -,28031000,26156000,26353000,28500000,37511000,59012000,85230000,81998000,80505000,71588000,77799000,81353000,79987000,85535000,79409000,86746000,93480000
10,Operating Expenses,- -,- -,98251000,111976000,118830000,170500000,173291000,249256000,298202000,315181000,335850000,350940000,403420000,410458000,421071000,459751000,507134000,518922000,596122000
11,COGS and Expenses,- -,- -,204849000,227402000,240541000,295171000,291956000,447882000,575349000,603256000,664161000,659514000,671115000,662565000,694984000,747086000,802095000,810626000,954806000
12,Interest Income ,- -,- -,- -,- -,- -,- -,1053000,993000,848000,954000,1031000,851000,1166000,2906000,6314000,19669000,16403000,5030000,1497000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,19683000,51337000,55819000,56428000,26265000,31820000,62387000,101651000,116098000,133114000,148041000,156324000,159614000
14,Depreciation and Amortization,- -,- -,32077000,29655000,27828000,33470000,37511000,59012000,85230000,81998000,80505000,74547000,77799000,81353000,79987000,85535000,79409000,110795000,134125000
15,EBITDA,5476000,20853000,117080000,137197000,161120000,143113000,188915000,263840000,404462000,427835000,452391000,499876000,483350000,568942000,662984000,848545000,830768000,953344000,1151875000
16,EBITDA ratio,0.0600,0.1169,0.4204,0.4416,0.4356,0.3321,0.4265,0.3980,0.4489,0.4503,0.4368,0.5015,0.4496,0.4944,0.5203,0.5917,0.5333,0.5623,0.5637
17,Operating Income,16525000,178446000,73625000,83296000,129345000,135790000,150992000,206123000,321998000,346936000,371506000,337166000,403898000,488104000,579188000,686898000,755701000,884764000,1072725000
18,Operating Income ratio,0.1810,1.0000,0.2644,0.2681,0.3497,0.3151,0.3409,0.3109,0.3574,0.3651,0.3587,0.3383,0.3757,0.4242,0.4546,0.4790,0.4851,0.5219,0.5249
19,Total Other Income Expenses (Gains),-11049000,- -,7272000,16173000,3947000,-26147000,-19271000,-52632000,-58585000,-57527000,-25885000,-28828000,-54344000,-102166000,-112289000,-57002000,-152383000,-198539000,-214589000
20,Income Before Tax,5476000,- -,80897000,99469000,133292000,109643000,131721000,153491000,263413000,289409000,345621000,308338000,349554000,385938000,466899000,629896000,603318000,686225000,858136000
21,Income Before Tax Ratio,0.0600,- -,0.2905,0.3201,0.3604,0.2544,0.2974,0.2315,0.2924,0.3046,0.3337,0.3094,0.3252,0.3354,0.3664,0.4393,0.3873,0.4048,0.4199
22,Income Tax expense (Gain),-5921000,- -,30449000,36097000,52181000,41375000,49920000,61321000,89959000,105171000,123064000,109396000,119516000,125083000,162927000,122011000,39670000,84403000,132153000
23,Net Income,11397000,20853000,54554000,71445000,81111000,68268000,81801000,92170000,173454000,184238000,222557000,284113000,223648000,260855000,303972000,507885000,563648000,601822000,725983000
24,Net Income ratio,0.1249,0.1169,0.1959,0.2299,0.2193,0.1584,0.1847,0.1390,0.1925,0.1939,0.2149,0.2851,0.2080,0.2267,0.2386,0.3542,0.3618,0.3550,0.3553
25,EPS,0.40,0.37,0.65,0.86,0.96,0.68,0.81,0.82,1.43,1.50,1.85,2.45,2.05,2.72,3.36,5.83,6.66,7.19,8.67
