,https://roic.ai/company/NSEC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,147000,364000,783000,1383000,954000,1595000,805000,782000,360000,2350000,1106000,3299000,3027000,4686000,1572000,3393000,6779000,4987000,6426000,6763000,7368000,6644000,5676000,11809000,19887000,10034000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4575000,3524000,3290000,2129000,1675000,1796000,2998000,2190000,250000,699000,508000,1027000,- -,- -,- -,- -,- -,- -,- -,- -,- -,100267000,95125000,100260000,- -,2671000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4722000,3888000,4073000,3512000,2629000,3391000,3803000,2972000,610000,3049000,1614000,4326000,3027000,4686000,1572000,3393000,6779000,4987000,6426000,6763000,7368000,106911000,100801000,112069000,19887000,12705000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12488000,8489000,6833000,4687000,3534000,3524000,3972000,4401000,5783000,12856000,5340000,9371000,11500000,9700000,9531000,10474000,9006000,10282000,10948000,11296000,12375000,12412000,14420000,12304000,12345000,14379000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9469000,- -,- -,- -,- -,- -,-10474000,-9006000,-10282000,-10948000,-11296000,-12375000,-112679000,-109545000,-112564000,-12345000,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6436000,- -,- -,- -,- -,- -,3393000,6779000,4987000,6426000,6763000,7368000,6644000,5676000,11809000,19887000,27084000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1798000,2230000,16907000,12393000,11242000,2930000,2844000,2537000,2437000,2528000,2392000,2077000,2013000,1946000,1880000,1781000,1649000,1630000,1572000,1536000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84072000,96568000,91592000,90823000,97326000,100105000,76881000,85620000,93179000,85004000,82968000,84639000,95008000,99255000,99732000,101990000,100987000,107002000,87191000,109148000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2403000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-90823000,- -,- -,- -,- -,- -,-31545000,-57344000,-37157000,-68928000,-73219000,-74333000,-79476000,-77545000,-86182000,-87191000,-109148000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12393000,- -,- -,- -,- -,- -,55987000,28016000,49559000,28093000,27982000,27279000,24295000,25091000,22450000,1572000,3939000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98219000,106958000,103973000,98105000,97563000,99484000,101602000,114802000,128631000,- -,134911000,135585000,124890000,131396000,136867000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,128538000
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98219000,106958000,103973000,98105000,97563000,99484000,101602000,114802000,128631000,18829000,134911000,135585000,124890000,131396000,136867000,59380000,34795000,54546000,34519000,34745000,34647000,30939000,30767000,34259000,21459000,151683000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1516000,1190000,776000,912000,1107000,1905000,2445000,3051000,- -,- -,11580000,900000,- -,- -,500000,485000,1292000,1866000,857000,857000,17126000,1300000,2200000,500000,500000,500000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1205000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,280000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,706000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67449000,66200000,72800000,- -,73800000,77800000,77800000,80300000,81515000,78908000,77734000,82536000,85001000,68075000,83174000,84013000,86309000,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1516000,1190000,776000,912000,1107000,1905000,2445000,70500000,66200000,72800000,11580000,74700000,77800000,77800000,80800000,82000000,80200000,79600000,83393000,85858000,85201000,84474000,86213000,86809000,1206000,500000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3004000,2672000,2401000,2108000,3380000,3059000,15836000,22906000,9279000,12372000,12372000,12372000,12372000,12372000,25339000,20889000,18715000,17358000,- -,14339000,12152000,13664000,13677000,12690000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2852000,4078000,4145000,3014000,3419000,3083000,2501000,3088000,3473000,2502000,2031000,- -,- -,61000,1043000,86000,- -,- -,- -,- -,- -,- -,- -,96000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4753000,-3509000,-2508000,- -,28000,28000,-33000,-1015000,-58000,-39000,11000,- -,-258000,15326000,- -,- -,-96000,-13177000,94691000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7149000,5686000,5820000,5191000,5881000,10900000,15800000,22900000,11310000,12400000,12400000,12400000,12400000,12400000,25300000,20900000,18715000,17100000,15326000,14339000,12152000,13664000,500000,107381000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56184000,59416000,68378000,60991000,58496000,57886000,62879000,- -,- -,- -,88562000,24838000,24842000,24828000,- -,24839000,- -,41808000,- -,34458000,- -,- -,- -,- -,104468000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57700000,60606000,62005000,56217000,53783000,54600000,59443000,68930000,81203000,94781000,88832000,87138000,90242000,90228000,93157000,94439000,105489000,100508000,102108000,103216000,100527000,98813000,98365000,100473000,105174000,107881000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2340000,2340000,2340000,2340000,2340000,2467000,2467000,2467000,2467000,2467000,2467000,2467000,2467000,2467000,2467000,2467000,2467000,2495000,2508000,2512000,2517000,2522000,2527000,2532000,2533000,2535000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30513000,31888000,31106000,33197000,35225000,28848000,27770000,29825000,30854000,30278000,32345000,36165000,28741000,31485000,33270000,26957000,19484000,24894000,32210000,36505000,39116000,36974000,39355000,42891000,33665000,33639000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5616000,- -,- -,- -,- -,4000000,3000000,1000000,3000000,1000000,1000000,3000000,-2000000,2000000,3585000,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7666000,12124000,8522000,6351000,6215000,13569000,11922000,13580000,13355000,10811000,4951000,9815000,3440000,7216000,7973000,4591000,5276000,5083000,5039000,4866000,5419000,5129000,5984000,6038000,5583000,7628000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40519000,46352000,41968000,41888000,43780000,44884000,42159000,45872000,46676000,43556000,45379000,48447000,34648000,41168000,43710000,38015000,30227000,33472000,42757000,44883000,48052000,47625000,45866000,53461000,45366000,43802000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98219000,106958000,103973000,98105000,97563000,99484000,101602000,114802000,127879000,138337000,134211000,135585000,124890000,131396000,136867000,132454000,135716000,133980000,144865000,148099000,148579000,146438000,144231000,153934000,150540000,151683000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,752000,-119508000,700000,- -,- -,- -,- -,-73074000,-100921000,-79434000,-110346000,-113354000,-113932000,-115499000,-113464000,-119675000,-129081000,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98219000,106958000,103973000,98105000,97563000,99484000,101602000,114802000,128631000,18829000,134911000,135585000,124890000,131396000,136867000,59380000,34795000,54546000,34519000,34745000,34647000,30939000,30767000,34259000,21459000,151683000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/865058/000086505806000014/0000865058-06-000014-index.htm,- -,https://www.sec.gov/Archives/edgar/data/865058/000086505808000016/0000865058-08-000016-index.htm,https://www.sec.gov/Archives/edgar/data/865058/000086505809000011/0000865058-09-000011-index.htm,https://www.sec.gov/Archives/edgar/data/865058/000086505810000021/0000865058-10-000021-index.htm,https://www.sec.gov/Archives/edgar/data/865058/000086505811000007/0000865058-11-000007-index.htm,https://www.sec.gov/Archives/edgar/data/865058/000086505812000010/0000865058-12-000010-index.htm,https://www.sec.gov/Archives/edgar/data/865058/000086505813000008/0000865058-13-000008-index.htm,https://www.sec.gov/Archives/edgar/data/865058/000086505814000007/0000865058-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/865058/000086505815000012/0000865058-15-000012-index.htm,https://www.sec.gov/Archives/edgar/data/865058/000086505816000073/0000865058-16-000073-index.htm,https://www.sec.gov/Archives/edgar/data/865058/000086505817000008/0000865058-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/865058/000086505818000006/0000865058-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/865058/000086505819000007/0000865058-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/865058/000086505820000008/0000865058-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/865058/000086505821000010/0000865058-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/865058/000086505822000011/0000865058-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,2800000,2500000,3800000,3700000,3700000,200000,1356000,2998000,930000,3756000,3776000,4130000,908000,4090000,3113000,1558000,4250000,6040000,-5204000,4224000,3265000,-4956000,-6671000,5658000,7616000,4697000,3063000,-1203000,779000,4067000,-8619000,582000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,100000,100000,1200000,1400000,1600000,100000,116000,118000,142000,219000,115000,-42000,195000,541000,700000,944000,793000,363000,409000,229000,277000,322000,657000,703000,480000,299000,303000,514000,312000,365000,261000,289000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-400000,- -,-200000,-400000,-200000,- -,-156000,-484000,219000,-166000,284000,169000,266000,-275000,362000,174000,349000,-357000,-885000,116000,706000,-1163000,-4920000,1573000,519000,523000,1173000,295000,1331000,-255000,-1106000,-1281000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,4300000,- -,- -,- -,- -,- -,-1516000,326000,414000,-136000,-195000,-798000,-540000,-68055000,4300000,-164000,54784000,-63120000,-3100000,- -,-3000000,2193000,5186000,-1192000,-2354000,-2128000,1262000,3000,-2707000,5537000,93681000,7903000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-2900000,-3800000,-5800000,3400000,1600000,100000,9000,-36000,2000,-52000,-153000,29000,-10357000,10135000,266000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1414000,-1406000,1496000,-6598000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,2000000,-2000000,2700000,13300000,1900000,5100000,-900000,2000000,-1000000,-4405000,-3008000,376000,3949000,7473000,2150000,7382000,-1540000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1516000,-1190000,-776000,-912000,-1107000,-1905000,-2445000,-70500000,-66200000,-66364000,-11580000,-74700000,-77800000,-77800000,-80800000,-78607000,-73421000,-74613000,-76967000,-79095000,-77833000,-77830000,-80537000,-75000000,18681000,26584000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,-2300000,-2500000,-200000,3400000,-4100000,-3900000,1654000,4520000,-3602000,-2805000,-4422000,-546000,3492000,74412000,-7589000,-7961000,-52374000,60907000,2335000,4154000,1545000,-3148000,-7958000,-4083000,5606000,3489000,-4653000,2707000,3462000,-4341000,-98107000,-2311000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,4500000,100000,4600000,8100000,1000000,-3600000,1454000,7478000,-1897000,868000,-442000,2913000,4321000,10713000,886000,-5449000,7802000,3833000,-6445000,8723000,2793000,-6752000,-13706000,2659000,11867000,6880000,1148000,2316000,3177000,5373000,-13890000,5182000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,-300000,-102000,-210000,-110000,-230000,-378000,-335000,-1092000,-852000,-1327000,-2908000,-1152000,-1147000,-368000,-116000,-294000,-473000,-303000,-75000,-324000,-138000,-94000,-62000,-29000,-105000,-51000,-62000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-90000,-38000,-30000,51000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-4800000,-5500000,-14600000,-20200000,-12000000,-4900000,-11070000,-17239000,-10612000,-13949000,-7834000,-18121000,-22467000,-40790000,-27670000,-24679000,-25880000,-27116000,-28631000,-33409000,-38931000,-19782000,-29206000,-21036000,-19114000,-31056000,-26832000,-18720000,-16621000,-18396000,-19532000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,2700000,8200000,9400000,13100000,12000000,9900000,10327000,12302000,15472000,15713000,10049000,17434000,21265000,41598000,29381000,25903000,21575000,24081000,38305000,28527000,34555000,30252000,33585000,20817000,12175000,23985000,27606000,17757000,14351000,20176000,42612000,- -
