,https://roic.ai/company/SM,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,27600000,27800000,50700000,38600000,44800000,38700000,59600000,91000000,78700000,74000000,195666000,207469000,196394000,393934000,433099000,739590000,787701000,990094000,1301301000,832201000,1092834000,1603318000,1528254000,2267177000,2521661000,1513934000,1180376000,1260404000,1640155000,1589243000,1126582000,2597915000
2,COGS,12400000,12600000,14300000,18300000,19900000,20800000,22600000,24200000,28700000,30300000,48094000,74518000,70340000,115162000,124078000,211968000,228479000,319379000,403635000,326622000,325661000,407897000,1167332000,1477564000,1507870000,1658564000,1388310000,1064942000,1152680000,1324507000,1176204000,1279802000
3,Gross Profit,15200000,15200000,36400000,20300000,24900000,17900000,37000000,66800000,50000000,43700000,147572000,132951000,126054000,278772000,309021000,527622000,559222000,670715000,897666000,505579000,767173000,1195421000,360922000,789613000,1013791000,-144630000,-207934000,195462000,487475000,264736000,-49622000,1318113000
4,Gross Profit Ratio,0.5507,0.5468,0.7179,0.5259,0.5558,0.4625,0.6208,0.7341,0.6353,0.5905,0.7542,0.6408,0.6418,0.7077,0.7135,0.7134,0.7099,0.6774,0.6898,0.6075,0.7020,0.7456,0.2362,0.3483,0.4020,-0.0955,-0.1762,0.1551,0.2972,0.1666,-0.0440,0.5074
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60121000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,8000000,12800000,29100000,19800000,17456000,16447000,- -,- -,- -,- -,- -,- -,- -,- -,141104000,- -,119815000,149551000,167103000,157668000,126428000,120585000,116504000,132797000,99160000,111945000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2800000,3200000,4500000,4700000,9500000,5300000,8000000,12800000,29100000,19800000,17456000,16447000,22281000,37408000,36234000,32756000,38873000,60149000,79503000,76036000,106663000,118526000,119815000,149551000,167103000,157668000,126428000,120585000,116504000,132797000,99160000,111945000
9,Other Expenses,4400000,5600000,6200000,8800000,10100000,10200000,12700000,18400000,24900000,22600000,40129000,54592000,58084000,88053000,120872000,248872000,210851000,286399000,236110000,325895000,313626000,466107000,68337000,82338000,104666000,131656000,76413000,69846000,73494000,71388000,65822000,60386000
