,https://roic.ai/company/MHK,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,300100000,352500000,734000000,1437400000,1648600000,1795100000,1901400000,2639200000,3083300000,3255846000,3445945000,4522336000,5005053000,5880372000,6620099000,7905842000,7586018000,6826348000,5344024000,5319072000,5642258000,5787980000,7348754000,7803446000,8071563000,8959087000,9491290000,9983634000,9970672000,9552197000,11200613000
2,COGS,212700000,264600000,543600000,1058400000,1243200000,1313200000,1405400000,1931000000,2201100000,2350651000,2613043000,3285222000,3645677000,4259531000,4896965000,5674531000,5471234000,5088584000,4111794000,3916472000,4225379000,4297922000,5427945000,5649254000,5660877000,6146262000,6494876000,7145564000,7294629000,7121507000,7931879000
3,Gross Profit,87400000,87900000,190400000,379000000,405400000,481900000,496000000,708200000,882200000,905195000,832902000,1237114000,1359376000,1620841000,1723134000,2231311000,2114784000,1737764000,1232230000,1402600000,1416879000,1490058000,1920809000,2154192000,2410686000,2812825000,2996414000,2838070000,2676043000,2430690000,3268734000
4,Gross Profit Ratio,0.2912,0.2494,0.2594,0.2637,0.2459,0.2685,0.2609,0.2683,0.2861,0.2780,0.2417,0.2736,0.2716,0.2756,0.2603,0.2822,0.2788,0.2546,0.2306,0.2637,0.2511,0.2574,0.2614,0.2761,0.2987,0.3140,0.3157,0.2843,0.2684,0.2545,0.2918
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,307000000,289600000,406200000,482100000,505734000,505745000,718002000,- -,- -,- -,- -,- -,1318501000,1188500000,1088431000,1101337000,1110550000,1373878000,1381396000,1573120000,1532882000,1642241000,1742744000,1848819000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",60300000,54100000,118200000,231100000,304800000,307000000,289600000,406200000,482100000,505734000,505745000,718002000,817347000,985251000,1095862000,1392251000,1364678000,1318501000,1188500000,1088431000,1101337000,1110550000,1373878000,1381396000,1573120000,1532882000,1642241000,1742744000,1848819000,1794688000,1933723000
9,Other Expenses,6400000,7400000,23100000,49500000,52600000,55200000,59300000,67900000,105300000,82346000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,66700000,61500000,141300000,280600000,357400000,362200000,348900000,474100000,587400000,588080000,505745000,718002000,817347000,985251000,1095862000,1392251000,1364678000,1318501000,1188500000,1088431000,1101337000,1110550000,1373878000,1381396000,1573120000,1532882000,1642241000,1742744000,1848819000,1794688000,1933723000
