,https://roic.ai/company/VIVE,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,396000,555000,337000,567000,415000,1370000,3169000,4372000,4354000,910000,1000000
14,Depreciation and Amortization,- -,100000,200000,300000,400000,600000,1200000,2000000,3200000,2378000,3641000,904000,211000,122000,122000,140000,118000,109000,145000,96000,42000,9000,43000,53000,56000,77000,111000,449000,786000,1182000,1297000,1139000
15,EBITDA,-100000,-2200000,-27900000,-3700000,-2200000,2700000,-300000,-12400000,-13400000,-4177000,-3769000,-2998000,516000,639000,-658000,-1128000,1462000,-2272000,-1865000,-1530000,-463000,-5845000,-7789000,3889000,-5557000,-11934000,-18630000,-33341000,-44823000,-36990000,-19708000,-19888000
16,EBITDA ratio,-1.0000,-22.0000,-11.6250,-1.1212,-0.4231,0.2030,-0.0252,-1.3933,-2.3509,-0.3590,-0.3681,-0.3065,0.0584,0.0767,-0.0869,-0.1477,0.2046,-0.3784,-0.3499,-0.3248,-0.1184,-8.7109,-7.2120,3.0526,-61.7444,-8.2474,-2.6089,-2.1809,-2.4206,-5.6327,-3.5970,-3.0949
17,Operating Income,- -,-1900000,-3300000,-4200000,-2900000,1400000,-2000000,-14600000,-17100000,-6766000,-7803000,-4153000,231000,714000,-955000,-1516000,908000,-2807000,-2109000,-1629000,- -,- -,-4125000,-4704000,-5662000,-11990000,-18704000,-33730000,-44965000,-30679000,-18495000,-21553000
18,Operating Income ratio,- -,-19.0000,-1.3750,-1.2727,-0.5577,0.1053,-0.1681,-1.6404,-3.0000,-0.5815,-0.7620,-0.4246,0.0261,0.0857,-0.1261,-0.1985,0.1271,-0.4675,-0.3957,-0.3458,- -,- -,-3.8194,-3.6923,-62.9111,-8.2861,-2.6192,-2.2063,-2.4283,-4.6717,-3.3756,-3.3540
19,Total Other Income Expenses (Gains),- -,-400000,-24800000,300000,400000,700000,500000,200000,500000,211000,393000,251000,74000,-197000,175000,248000,436000,426000,99000,3000,98000,-3578000,-4262000,8203000,-518000,-436000,-1407000,-3229000,-4359000,-11220000,-3037000,-218000
20,Income Before Tax,- -,- -,- -,- -,- -,2100000,- -,- -,- -,- -,- -,- -,- -,- -,-780000,-1268000,1344000,-2381000,-2010000,-1626000,- -,-6990000,-8387000,3499000,-6180000,-12426000,-20111000,-36959000,-49324000,-41899000,-21532000,-21771000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,0.1579,- -,- -,- -,- -,- -,- -,- -,- -,-0.1030,-0.1661,0.1881,-0.3966,-0.3771,-0.3451,- -,-10.4173,-7.7657,2.7465,-68.6667,-8.5874,-2.8163,-2.4175,-2.6637,-6.3802,-3.9299,-3.3880
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,53000,- -,25000,-14000,-70000,- -,- -,-492000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-100000,-2300000,-28100000,-4000000,-2600000,2000000,-1500000,-14400000,-16600000,-6555000,-7410000,-3902000,305000,517000,-833000,-1268000,1319000,-2367000,-1940000,-1626000,-505000,-5758000,-8387000,3499000,-6180000,-12426000,-20111000,-36959000,-49981000,-42526000,-21915000,-22027000
24,Net Income ratio,-1.0000,-23.0000,-11.7083,-1.2121,-0.5000,0.1504,-0.1261,-1.6180,-2.9123,-0.5633,-0.7236,-0.3990,0.0345,0.0620,-0.1100,-0.1661,0.1846,-0.3942,-0.3640,-0.3451,-0.1292,-8.5812,-7.7657,2.7465,-68.6667,-8.5874,-2.8163,-2.4175,-2.6992,-6.4757,-3.9998,-3.4278
25,EPS,-24000.00,-384000.00,-2208000.00,-248000.00,-144000.00,104000.00,-75000.00,-626086.96,-664000.00,-252115.38,-255517.24,-108388.89,8243.24,13972.97,-22513.51,-34270.27,35648.65,-63972.97,-52432.43,-43945.95,-13648.65,-155621.62,-209675.00,22429.49,-2744.23,-2480.00,-2180.00,-2110.00,-1610.00,-343.90,-16.56,-14.00
26,EPS Diluted,-24000.00,-384000.00,-2208000.00,-248000.00,-144000.00,96000.00,-75000.00,-626086.96,-664000.00,-252115.38,-255517.24,-108388.89,8243.24,13972.97,-22513.51,-34270.27,35648.65,-63972.97,-52432.43,-43945.95,-13648.65,-155621.62,-209675.00,22429.49,-2744.23,-2480.00,-2180.00,-2110.00,-1610.00,-343.90,-16.56,-14.00
27,Weighted Average Shares Outstanding,12,12,15,16,19,19,20,23,25,26,29,36,37,37,37,37,37,37,37,37,37,37,40,156,2252,5022,9222,17496,31059,124776,1573528,1573528
28,Weighted Average Shares Outstanding Diluted,12,12,15,16,19,19,20,23,25,26,29,36,37,37,37,37,37,37,37,37,37,37,40,156,2252,5022,9222,17496,31059,124776,1573528,1573528
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/879682/000091205702012342/0000912057-02-012342-index.htm,https://www.sec.gov/Archives/edgar/data/879682/000104746903010302/0001047469-03-010302-index.htm,https://www.sec.gov/Archives/edgar/data/879682/000110465904008581/0001104659-04-008581-index.htm,https://www.sec.gov/Archives/edgar/data/879682/000110465905012894/0001104659-05-012894-index.htm,https://www.sec.gov/Archives/edgar/data/879682/000110465906019725/0001104659-06-019725-index.htm,https://www.sec.gov/Archives/edgar/data/879682/000110465907024310/0001104659-07-024310-index.htm,https://www.sec.gov/Archives/edgar/data/879682/000104746908003619/0001047469-08-003619-index.htm,https://www.sec.gov/Archives/edgar/data/879682/000110465909020267/0001104659-09-020267-index.htm,https://www.sec.gov/Archives/edgar/data/879682/000110465910017307/0001104659-10-017307-index.htm,https://www.sec.gov/Archives/edgar/data/879682/000110465911017352/0001104659-11-017352-index.htm,https://www.sec.gov/Archives/edgar/data/879682/000110465912022855/0001104659-12-022855-index.htm,https://www.sec.gov/Archives/edgar/data/879682/000110465913025838/0001104659-13-025838-index.htm,https://www.sec.gov/Archives/edgar/data/879682/000143774914005495/0001437749-14-005495-index.htm,https://www.sec.gov/Archives/edgar/data/879682/000143774915005194/0001437749-15-005194-index.htm,https://www.sec.gov/Archives/edgar/data/879682/000143774916028367/0001437749-16-028367-index.htm,https://www.sec.gov/Archives/edgar/data/879682/000143774917002708/0001437749-17-002708-index.htm,https://www.sec.gov/Archives/edgar/data/879682/000143774918004790/0001437749-18-004790-index.htm,https://www.sec.gov/Archives/edgar/data/879682/000143774919004974/0001437749-19-004974-index.htm,https://www.sec.gov/Archives/edgar/data/879682/000143774920005684/0001437749-20-005684-index.htm,https://www.sec.gov/Archives/edgar/data/879682/000143774921006480/0001437749-21-006480-index.htm,https://www.sec.gov/Archives/edgar/data/879682/000143774922006580/0001437749-22-006580-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,2000000,3700000,4500000,3700000,700000,3000000,3500000,4800000,4467000,5726000,4977000,5932000,6377000,9678000,2560000,6034000,8060000,5026000,2686000,1324000,2585000,258000,769000,895000,7360000,8086000,20730000,29523000,13308000,6523000,19162000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,288000,- -,- -,- -,- -,6900000,4000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,2000000,3700000,4500000,3700000,700000,3000000,3500000,4800000,4467000,6014000,4977000,5932000,6377000,9678000,9460000,10034000,8060000,5026000,2686000,1324000,2585000,258000,769000,895000,7360000,8086000,20730000,29523000,13308000,6523000,19162000
34,Net Receivables,- -,- -,300000,500000,400000,6700000,2600000,1300000,2300000,2536000,3080000,4054000,2197000,1615000,1405000,787000,918000,998000,802000,720000,338000,453000,402000,502000,6000,593000,2091000,6213000,5704000,1573000,770000,549000
35,Inventory,- -,- -,2000000,1600000,1300000,1800000,2300000,2500000,3000000,2348000,1440000,1001000,912000,885000,1112000,963000,1255000,852000,1136000,876000,836000,238000,182000,117000,131000,1549000,2687000,2390000,4119000,4861000,3254000,1472000
36,Other Current Assets,- -,- -,100000,200000,8200000,7000000,6300000,13400000,500000,460000,259000,222000,371000,490000,592000,798000,595000,823000,598000,505000,604000,233000,178000,129000,923000,1615000,1066000,2741000,2558000,2447000,2296000,1055000
37,Total Current Assets,- -,2000000,6100000,6800000,13600000,16200000,14200000,20700000,10600000,9811000,10793000,10254000,9412000,9367000,12787000,12008000,12802000,10733000,7562000,4787000,3102000,3509000,1020000,1517000,1955000,11117000,13930000,32074000,41904000,22189000,12843000,22238000
38,PP&E,- -,100000,400000,600000,600000,1700000,4700000,5600000,5100000,3336000,1049000,383000,204000,206000,293000,235000,166000,269000,160000,69000,27000,36000,67000,37000,187000,239000,483000,1303000,2916000,3046000,2759000,1554000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2500000,1843000,1216000,833000,577000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,3200000,300000,200000,100000,400000,500000,700000,600000,2172000,3236000,1661000,712000,276000,247000,224000,208000,198000,191000,186000,186000,4000,4000,4000,156000,138000,136000,202000,171000,526000,195000,1544000
45,Total Non-Current Assets,- -,3300000,700000,800000,700000,2100000,5200000,6300000,5700000,5508000,4285000,2044000,916000,482000,540000,459000,374000,467000,351000,255000,213000,40000,71000,41000,343000,377000,619000,4005000,4930000,4788000,3787000,3675000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,5300000,6800000,7600000,14300000,18300000,19400000,27000000,16300000,15319000,15078000,12298000,10328000,9849000,13327000,12467000,13176000,11200000,7913000,5042000,3315000,3549000,1091000,1558000,2298000,11494000,14549000,36079000,46834000,26977000,16630000,25913000
48,Accounts Payable,- -,100000,500000,200000,300000,500000,900000,900000,1000000,1338000,1276000,968000,400000,297000,328000,352000,456000,623000,296000,336000,373000,149000,377000,425000,416000,1432000,3086000,4799000,3994000,1608000,881000,1480000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,3800000,1200000,824000,1975000,1691000,985000,376000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2500000,4833000,1867000,- -,- -,268000,1050000,225000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,149000,259000,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,354000,555000,1070000,1681000,1784000,2096000,2405000,2084000,1109000,277000,317000,- -,- -,- -,- -,- -,686000,770000,376000,448000
52,Other Current Liabilities,- -,1300000,900000,700000,800000,2200000,2000000,3200000,3400000,2190000,2532000,1810000,1203000,734000,731000,1011000,713000,1092000,663000,503000,399000,284000,446000,558000,223000,1293000,2186000,4605000,6080000,3660000,1908000,2380000
53,Total Current Liabilities,- -,1400000,1400000,900000,1100000,2700000,2900000,7900000,5600000,4352000,5783000,4469000,2942000,1962000,2129000,3044000,2953000,3811000,3364000,2923000,1881000,710000,1140000,983000,3139000,7558000,7139000,9404000,10760000,6306000,4215000,4533000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,100000,- -,2082000,3079000,1519000,408000,- -,- -,- -,- -,- -,- -,- -,- -,5327000,8098000,4537000,- -,- -,7762000,28948000,30528000,3983000,4943000,5124000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1358000,390000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,-100000,- -,- -,100000,100000,30000,- -,40000,- -,- -,- -,253000,331000,4369000,3880000,3094000,2439000,- -,- -,- -,1600000,3800000,2680000,- -,- -,53000,327000,634000,167000,498000,1190000
58,Total Non-Current Liabilities,- -,-100000,- -,- -,100000,100000,30000,100000,40000,2082000,3079000,1519000,661000,331000,4369000,3880000,3094000,2439000,1358000,390000,- -,6927000,11898000,7217000,- -,- -,7815000,29275000,31162000,4150000,5441000,6314000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,268000,132000,225000
61,Total Liabilities,- -,1300000,1400000,900000,1200000,2800000,2900000,8000000,5600000,6434000,8862000,5988000,3603000,2293000,6498000,6924000,6047000,6250000,4722000,3313000,1881000,7637000,13038000,8200000,3139000,7558000,14954000,38679000,41922000,10456000,9656000,10847000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,84380000,89417000,93419000,93586000,93636000,93731000,93737000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000,2000,5000,1000,- -,1000
64,Retained Earnings,-500000,-2900000,-31100000,-35000000,-37600000,-35600000,-37100000,-51500000,-68100000,-74691000,-82101000,-86003000,-85698000,-85749000,-86582000,-87850000,-86531000,-88898000,-90838000,-92464000,-92969000,-98727000,-107114000,-103615000,-36085000,-48511000,-68622000,-105581000,-155385000,-197911000,-219826000,-241853000
65,Other Comprehensive Income/Loss,- -,- -,-700000,-200000,-1300000,-1600000,-2400000,-4300000,-5900000,-7533000,-10242000,-7118000,-1163000,-331000,-320000,-344000,-323000,-313000,-338000,-327000,-338000,-250000,-266000,-265000,-232000,-295000,-314000,-729000,-1513000,-2281000,- -,- -
66,Other Total Stockholders Equity,- -,6900000,37200000,41900000,52000000,52700000,56000000,74800000,84700000,6729000,9142000,6012000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68530000,103708000,161805000,216712000,- -,- -
67,Total Stockholders Equity,-500000,4000000,5400000,6700000,13100000,15500000,16500000,19000000,10700000,8885000,6216000,6310000,6725000,7556000,6829000,5543000,7129000,4950000,3191000,1729000,1434000,-4088000,-11947000,-6642000,-841000,3936000,-405000,-2600000,4912000,16521000,6974000,15066000
68,Total Liabilities And Stockholders Equity,- -,5300000,6800000,7600000,14300000,18300000,19400000,27000000,16300000,15319000,15078000,12298000,10328000,9849000,13327000,12467000,13176000,11200000,7913000,5042000,3315000,3549000,1091000,1558000,2298000,11494000,14549000,36079000,46834000,26977000,16630000,25913000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,5300000,6800000,7600000,14300000,18300000,19400000,27000000,16300000,15319000,15078000,12298000,10328000,9849000,13327000,12467000,13176000,11200000,7913000,5042000,3315000,3549000,1091000,1558000,2298000,11494000,14549000,36079000,46834000,26977000,16630000,25913000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/879682/000091205702012342/0000912057-02-012342-index.htm,https://www.sec.gov/Archives/edgar/data/879682/000104746903010302/0001047469-03-010302-index.htm,https://www.sec.gov/Archives/edgar/data/879682/000110465904008581/0001104659-04-008581-index.htm,https://www.sec.gov/Archives/edgar/data/879682/000110465905012894/0001104659-05-012894-index.htm,https://www.sec.gov/Archives/edgar/data/879682/000110465906019725/0001104659-06-019725-index.htm,https://www.sec.gov/Archives/edgar/data/879682/000110465907024310/0001104659-07-024310-index.htm,https://www.sec.gov/Archives/edgar/data/879682/000104746908003619/0001047469-08-003619-index.htm,https://www.sec.gov/Archives/edgar/data/879682/000110465909020267/0001104659-09-020267-index.htm,https://www.sec.gov/Archives/edgar/data/879682/000110465910017307/0001104659-10-017307-index.htm,https://www.sec.gov/Archives/edgar/data/879682/000110465911017352/0001104659-11-017352-index.htm,https://www.sec.gov/Archives/edgar/data/879682/000110465912022855/0001104659-12-022855-index.htm,https://www.sec.gov/Archives/edgar/data/879682/000110465913025838/0001104659-13-025838-index.htm,https://www.sec.gov/Archives/edgar/data/879682/000143774914005495/0001437749-14-005495-index.htm,https://www.sec.gov/Archives/edgar/data/879682/000143774915005194/0001437749-15-005194-index.htm,https://www.sec.gov/Archives/edgar/data/879682/000143774916028367/0001437749-16-028367-index.htm,https://www.sec.gov/Archives/edgar/data/879682/000143774917002708/0001437749-17-002708-index.htm,https://www.sec.gov/Archives/edgar/data/879682/000143774918004790/0001437749-18-004790-index.htm,https://www.sec.gov/Archives/edgar/data/879682/000143774919004974/0001437749-19-004974-index.htm,https://www.sec.gov/Archives/edgar/data/879682/000143774920005684/0001437749-20-005684-index.htm,https://www.sec.gov/Archives/edgar/data/879682/000143774921006480/0001437749-21-006480-index.htm,https://www.sec.gov/Archives/edgar/data/879682/000143774922006580/0001437749-22-006580-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-100000,-2300000,-28100000,-4000000,-2600000,2000000,-1500000,-14400000,-16600000,-6555000,-7410000,-3902000,305000,517000,-833000,-1268000,1319000,-2367000,-1940000,-1626000,-505000,-5758000,-8387000,3499000,-6180000,-12426000,-20111000,-36959000,-49981000,-42526000,-21915000,-22027000
74,Depreciation and Amortization,- -,100000,200000,300000,400000,600000,1200000,2000000,3200000,2378000,3641000,904000,211000,122000,122000,140000,118000,109000,145000,96000,42000,9000,43000,53000,56000,77000,111000,449000,786000,1182000,1297000,1139000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-492000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,204000,153000,221000,148000,544000,201000,184000,220000,981000,1872000,3035000,2400000,2651000,3779000
77,Change in Working Capital,- -,100000,-100000,-100000,600000,-5800000,3200000,2400000,-900000,300000,1804000,-1612000,421000,-289000,4069000,1001000,-1121000,286000,-1377000,-996000,-1106000,-227000,583000,-148000,-556000,-800000,275000,-1303000,398000,-2337000,-497000,4116000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,206000,63000,385000,-321000,48000,-80000,-6000,-587000,-1498000,-3901000,330000,3103000,349000,96000
79,Inventory,- -,- -,-100000,100000,300000,-400000,-600000,-100000,-500000,607000,908000,439000,89000,22000,-226000,148000,-292000,403000,-284000,260000,40000,72000,56000,42000,97000,-1438000,-1237000,-67000,-1986000,-1070000,1360000,2207000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-327000,39000,37000,-194000,228000,48000,-551000,1016000,1654000,1713000,-805000,-2386000,-727000,599000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-688000,-347000,-769000,-1291000,-1365000,368000,32000,-349000,-112000,18000,2000,208000,533000,-559000,792000,- -
82,Other Non-Cash Items,- -,400000,24800000,300000,100000,- -,200000,-100000,- -,84000,- -,- -,- -,257000,- -,- -,178000,169000,- -,- -,2000,2927000,4052000,-8409000,505000,734000,657000,1088000,2672000,10045000,3230000,115000
83,Cash Provided by Operating Activities,-100000,-1700000,-3200000,-3500000,-1500000,-3200000,3100000,-10100000,-14300000,-3793000,-1965000,-4610000,937000,607000,3358000,-127000,494000,-1803000,-2968000,-2373000,-1346000,-3393000,-3165000,-4804000,-5991000,-12195000,-18087000,-34853000,-43090000,-31236000,-15234000,-12878000
84,CAPEX,- -,-100000,-200000,-300000,-400000,-1600000,-4200000,-2600000,-2600000,-1166000,-1303000,-207000,-2000,-91000,-180000,-57000,-102000,-200000,-29000,- -,- -,-18000,-74000,- -,-117000,-109000,-256000,-905000,-2142000,-1087000,-781000,-456000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-3400000,- -,- -,-7900000,-8500000,-19400000,-17800000,-2000000,- -,-288000,-333000,- -,- -,- -,-8400000,-4000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,9900000,20400000,10500000,14800000,- -,- -,- -,- -,- -,- -,1500000,6900000,4000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-400000,-100000,- -,- -,- -,- -,-100000,100000,581000,- -,621000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,- -,- -,- -,- -,- -,-2500000,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,-3900000,-300000,-300000,-8300000,-200000,-3200000,-10000000,10300000,-585000,-1591000,81000,-2000,-91000,-180000,-6957000,2798000,3800000,-29000,- -,- -,982000,-74000,- -,-117000,-109000,-256000,-3405000,-2142000,-1087000,-781000,-456000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1631000,-167000,-4833000,-10000000,- -,- -,- -,- -
91,Common Stock Issued,100000,6300000,6700000,4800000,8500000,400000,2500000,2000000,600000,3803000,5037000,4002000,167000,50000,95000,6000,145000,9000,2000,- -,- -,- -,- -,- -,4204000,16433000,13886000,31641000,53792000,16274000,341000,25826000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-100000,1300000,-1600000,-100000,500000,100000,100000,18800000,4800000,176000,10000,-236000,-121000,-137000,- -,- -,- -,- -,- -,- -,- -,3605000,920000,5329000,4000000,2503000,10016000,29261000,233000,-166000,8889000,147000
95,Cash Used/Provided by Financing Activities,- -,7600000,5100000,4700000,9000000,500000,2600000,20800000,5400000,3979000,5047000,3766000,46000,-87000,95000,6000,145000,9000,2000,- -,- -,3605000,920000,5329000,6573000,18769000,19069000,50902000,54025000,16108000,9230000,25973000
