,https://roic.ai/company/WEC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,1020900000,947800000,1005500000,1126600000,1143700000,1228900000,2227700000,2663500000,2684100000,2932700000,2481300000,2475900000,2625900000,2612900000,3017800000,1719200000,1540700000,1700700000,485600000,456800000,513200000,726200000,957300000,993500000,1042700000,1128100000,5535000000,1284600000
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,1349400000,1293200000,1337400000,1571300000,1605100000,1817000000,2909800000,3323600000,3278200000,3503500000,3074200000,3252600000,3427900000,3609300000,4258500000,3694900000,3392100000,3599100000,3246100000,3438900000,3885000000,4675600000,5790200000,5863300000,6211100000,5991700000,7854000000,6601100000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,156700000,206400000,262500000,248200000,252100000,241500000,331400000,402700000,415700000,445100000,501500000,493700000,471100000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,349400000,317400000,336400000,371700000,400200000,419400000,583500000,762600000,798600000,845800000,926300000,975000000,1074300000
15,EBITDA,167500000,157700000,169500000,183200000,194000000,186700000,189300000,169700000,188500000,309200000,379800000,347500000,84700000,284300000,320100000,280100000,369400000,272700000,379400000,386700000,457900000,491400000,552000000,576200000,1105800000,1230200000,1389000000,1472500000,1567600000,1610900000,1989000000,2672000000,2802700000,2521200000,2688000000,2896700000,3047200000
16,EBITDA ratio,0.1162,0.1118,0.1242,0.1189,0.1299,0.1294,0.1230,0.1094,0.1147,0.1775,0.2145,0.1959,0.0473,0.1436,0.1408,0.0835,0.0940,0.0730,0.0936,0.1127,0.1200,0.1230,0.1303,0.1300,0.2679,0.2927,0.3096,0.3468,0.3469,0.3224,0.3356,0.3576,0.3664,0.3283,0.3573,0.4000,0.3664
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,392800000,477300000,436500000,218300000,374800000,455700000,444900000,604900000,458000000,550800000,356900000,562900000,568500000,628500000,172500000,663700000,810400000,887300000,1000300000,1080100000,1112100000,1250500000,1682100000,1785200000,1468400000,1531400000,1706100000,1714900000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2255,0.2696,0.2461,0.1220,0.1893,0.2005,0.1326,0.1540,0.1226,0.1359,0.1040,0.1475,0.1423,0.1483,0.0389,0.1608,0.1928,0.1978,0.2356,0.2390,0.2225,0.2110,0.2251,0.2334,0.1912,0.2036,0.2356,0.2062
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,-83600000,-97500000,-89000000,-133600000,-90500000,-135600000,-164800000,-246000000,-185300000,-171400000,-154400000,-110100000,-81000000,-75600000,403200000,-69200000,-106100000,-110600000,-147700000,-164800000,-162100000,-176400000,-175400000,-196800000,-238100000,-271700000,-277100000,-216100000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,309200000,379800000,347500000,84700000,284300000,320100000,280100000,358900000,272700000,379400000,202500000,452800000,487500000,552900000,575700000,594500000,704300000,776700000,852600000,915300000,950000000,1074100000,1506700000,1588400000,1230300000,1259700000,1429000000,1498800000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1775,0.2145,0.1959,0.0473,0.1436,0.1408,0.0835,0.0914,0.0730,0.0936,0.0590,0.1187,0.1220,0.1305,0.1299,0.1440,0.1676,0.1731,0.2008,0.2025,0.1901,0.1812,0.2016,0.2077,0.1602,0.1674,0.1973,0.1802
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,128300000,145800000,129400000,24000000,96200000,111100000,125900000,150400000,105700000,135100000,80300000,149200000,175000000,216400000,217100000,217300000,249900000,263900000,306300000,337900000,361700000,433800000,566500000,383500000,169800000,125000000,227000000,200300000
23,Net Income,167500000,157700000,169500000,183200000,194000000,186700000,189300000,169700000,188500000,180900000,234000000,218100000,60700000,188100000,209000000,154200000,219000000,167000000,244300000,306400000,308700000,316400000,335600000,359100000,382400000,456500000,526200000,546300000,577400000,588300000,640300000,940200000,1204900000,1060500000,1135200000,1201000000,1301500000
24,Net Income ratio,0.1162,0.1118,0.1242,0.1189,0.1299,0.1294,0.1230,0.1094,0.1147,0.1038,0.1322,0.1229,0.0339,0.0950,0.0920,0.0460,0.0557,0.0447,0.0603,0.0893,0.0809,0.0792,0.0792,0.0810,0.0926,0.1086,0.1173,0.1287,0.1278,0.1177,0.1080,0.1258,0.1575,0.1381,0.1509,0.1659,0.1565
25,EPS,0.27,0.26,0.57,0.61,0.64,0.62,0.62,0.83,0.90,0.83,1.06,0.98,0.27,0.82,0.90,0.64,0.94,0.72,1.04,1.30,1.32,1.35,1.44,1.53,1.64,1.96,2.26,2.37,2.54,2.61,2.36,2.98,3.81,3.36,3.60,3.80,4.13
26,EPS Diluted,0.27,0.26,0.57,0.61,0.64,0.62,0.62,0.83,0.90,0.83,1.06,0.98,0.27,0.82,0.90,0.64,0.93,0.72,1.03,1.28,1.30,1.33,1.42,1.52,1.62,1.93,2.24,2.35,2.51,2.59,2.34,2.96,3.79,3.34,3.58,3.79,4.11
27,Weighted Average Shares Outstanding,199634000,199634000,199638000,201974000,201974000,201972000,201972000,203233533,209444444,216050000,219700000,221966000,225140000,228630000,234038000,241200000,234200000,230800000,234200000,235400000,234000000,234000000,233800000,233800000,233800000,233800000,232600000,230200000,227600000,225600000,271100000,315600000,315600000,315500000,315400000,315400000,315400000
28,Weighted Average Shares Outstanding Diluted,199634000,199634000,199638000,201974000,201974000,201972000,201972000,203233533,209444444,216050000,219872611,221966000,225140000,228739496,234038000,242400000,235800000,232600000,236800000,238200000,236800000,236800000,237000000,236400000,235800000,236800000,235400000,232800000,229700000,227500000,272700000,316900000,317200000,316900000,316700000,316500000,316500000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/107815/000010781599000003/0000107815-99-000003-index.html,https://www.sec.gov/Archives/edgar/data/107815/000010781500000005/0000107815-00-000005-index.html,https://www.sec.gov/Archives/edgar/data/783325/000010781501000007/0000107815-01-000007-index.html,https://www.sec.gov/Archives/edgar/data/783325/000010781502000008/0000107815-02-000008-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781503000006/0000107815-03-000006-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781504000107/0000107815-04-000107-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000119312505042628/0001193125-05-042628-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781506000089/0000107815-06-000089-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000119312507041253/0001193125-07-041253-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781508000059/0000107815-08-000059-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781509000025/0000107815-09-000025-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781510000046/0000107815-10-000046-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781511000028/0000107815-11-000028-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781512000039/0000107815-12-000039-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781513000055/0000107815-13-000055-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781514000041/0000107815-14-000041-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781515000040/0000107815-15-000040-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781516000248/0000107815-16-000248-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781517000104/0000107815-17-000104-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781518000134/0000107815-18-000134-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781519000128/0000107815-19-000128-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781520000089/0000107815-20-000089-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781521000079/0000107815-21-000079-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781522000116/0000107815-22-000116-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23600000,10700000,19600000,16600000,73500000,40500000,47000000,43600000,53500000,35600000,73200000,37000000,435500000,32500000,20900000,24500000,14100000,35600000,26000000,61900000,49800000,37500000,38900000,84500000,37500000,24000000,16300000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1764000000,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23600000,10700000,19600000,16600000,73500000,40500000,47000000,43600000,53500000,35600000,73200000,37000000,435500000,32500000,20900000,24500000,14100000,35600000,26000000,61900000,49800000,37500000,38900000,84500000,37500000,1788000000,16300000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,290300000,307300000,287000000,320600000,376900000,802400000,729200000,688300000,473500000,349300000,441800000,379300000,361800000,369500000,304400000,344600000,504500000,661500000,727100000,643400000,1028600000,1241700000,1350700000,1280900000,1176500000,1202000000,1505700000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,153700000,184400000,197200000,199000000,231600000,381700000,431000000,455100000,514800000,409500000,451600000,417200000,361300000,344700000,379300000,379100000,382000000,360700000,329400000,400600000,687000000,587600000,539000000,548200000,549800000,528000000,635800000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63900000,63500000,69500000,71900000,123900000,639000000,507700000,152700000,394200000,382100000,410400000,394500000,691100000,946400000,757100000,582900000,525600000,256100000,468600000,429500000,441400000,301900000,284900000,334000000,329800000,- -,498900000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,531500000,565900000,573300000,608100000,805900000,1863600000,1714900000,1339700000,1436000000,1176500000,1377000000,1228000000,1849700000,1693100000,1461700000,1331100000,1426200000,1313900000,1551100000,1535400000,2206800000,2168700000,2213500000,2247600000,2093600000,3518000000,2656700000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2910600000,3057900000,3185000000,3238400000,3846600000,4152400000,4188000000,4398800000,5926100000,5903100000,6362900000,6834100000,7599300000,8517000000,9070500000,9601500000,10160400000,10572200000,10906600000,11257700000,19189700000,19915500000,21347000000,22000900000,23620100000,25707000000,26982400000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,441900000,441900000,441900000,441900000,441900000,441900000,3023500000,3046200000,3053500000,3052800000,3052800000,3052000000,3052800000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13900000,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,826900000,832100000,833100000,835900000,441900000,441900000,441900000,441900000,441900000,441900000,441900000,441900000,441900000,441900000,441900000,3037400000,3046200000,3053500000,3052800000,3052800000,3052000000,3052800000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,358700000,376300000,393300000,413800000,438800000,456900000,1466700000,1443900000,1553400000,1665300000,1720800000,1764300000,1789400000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1118600000,1187000000,1279400000,1515300000,1580600000,1563200000,1593700000,1793300000,1827700000,2043900000,2280200000,2626200000,1829400000,1965800000,1365100000,1309000000,1440300000,1543200000,1431000000,1471500000,3454600000,3548900000,3423100000,4509200000,4464500000,-1764300000,4507200000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4029200000,4244900000,4464400000,4753700000,5427200000,6542500000,6613800000,7025200000,8589700000,8388900000,9085000000,9902200000,9870600000,10924700000,11236200000,11728700000,12435900000,12971100000,13218300000,13628000000,27148400000,27954500000,29377000000,31228200000,32858200000,28759000000,36331800000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4560700000,4810800000,5037700000,5361800000,6233100000,8406100000,8328700000,8364900000,10025700000,9565400000,10462000000,11130200000,11720300000,12617800000,12697900000,13059800000,13862100000,14285000000,14769400000,15163400000,29355200000,30123200000,31590500000,33475800000,34951800000,32277000000,38988500000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,108500000,148400000,148600000,187500000,174000000,427000000,309800000,317600000,300800000,309700000,418100000,404500000,478300000,441000000,292200000,315400000,325700000,368400000,342600000,363300000,815400000,861500000,859900000,876400000,908100000,880000000,1005700000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,208800000,259500000,410000000,406000000,576600000,1441500000,1034700000,993400000,777100000,439000000,952300000,1208600000,1253500000,664100000,1120800000,1131300000,702500000,806700000,879600000,1041700000,1252700000,1017400000,2286700000,1805100000,1524000000,2562700000,2066400000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4059000000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,118800000,119100000,151000000,141700000,148000000,340200000,262600000,314900000,310200000,243700000,276400000,274900000,771000000,629700000,468900000,274400000,336300000,268200000,274200000,263700000,640900000,552700000,722700000,650200000,750600000,-786700000,680900000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,436100000,527000000,709600000,735200000,898600000,2208700000,1607100000,1625900000,1388100000,992400000,1646800000,1888000000,2502800000,1734800000,1881900000,1721100000,1364500000,1443300000,1496400000,1668700000,2709000000,2431600000,3869300000,3331700000,3182700000,6715000000,3753000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1367600000,1416100000,1532400000,1749000000,2134600000,2732700000,3237300000,3030500000,3574300000,3239500000,3031000000,3073400000,3172500000,4074700000,3875800000,3932000000,4614300000,4453800000,4363200000,4186400000,9124100000,9158200000,8746600000,9994000000,11211000000,785000000,13523700000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,739100000,805500000,754500000,709700000,664200000,614100000,579400000,566200000,543300000,520400000,497100000,- -,389200000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,573100000,599200000,612600000,655000000,704800000,667900000,547200000,638900000,713500000,530400000,593700000,572900000,599500000,855600000,1017900000,1188800000,1696100000,2117000000,2634000000,2906700000,4622300000,5146600000,2999800000,3388100000,3769300000,- -,4308500000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,282300000,292700000,289000000,289000000,256600000,549400000,650500000,699600000,1961200000,2281100000,2480300000,2676700000,2316000000,2585700000,1585900000,1579900000,1439000000,1395700000,1348200000,1337400000,3635200000,3860400000,5939700000,6398900000,6037100000,- -,5900800000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2223000000,2308000000,2434000000,2693000000,3096000000,3950000000,4435000000,4369000000,6249000000,6051000000,6105000000,6323000000,6088000000,7516000000,7218700000,7506200000,8503900000,8676200000,9009600000,9044600000,17961000000,18731400000,18229400000,20301400000,21514500000,785000000,24122200000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4868700000,- -,6192300000,8100200000,9070100000,8938200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45900000,63400000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2658900000,2835000000,3144300000,3428200000,3994900000,6358900000,6242200000,6195100000,7636700000,7042600000,7751500000,8210800000,8590700000,9250500000,9100600000,9227300000,9868400000,10119500000,10506000000,10713300000,20670000000,21163000000,22098700000,23633100000,24697200000,-5930000000,27875200000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30400000,30400000,30400000,30400000,30400000,30400000,30400000,- -,- -,- -,- -,- -,- -,- -,30400000,30400000,30400000,30400000,30400000,30400000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1100000,1100000,1100000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,2300000,2300000,2300000,2300000,3200000,3200000,3200000,3200000,3200000,3000000,3200000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1193200000,1244100000,1132100000,1144100000,1170800000,1159700000,1284900000,1359500000,1510100000,1718700000,1924500000,2133300000,2351400000,2584200000,2808800000,3078300000,3362500000,3632500000,3881000000,4117300000,4299800000,4613900000,5176800000,5538200000,5927700000,6329000000,6775100000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2288100000,-2442000000,-2700800000,-3007700000,-3250000000,-3912900000,-3826400000,200000,5600000,-12600000,-15900000,-1000000,-900000,-800000,-500000,-100000,-3797800000,-4122800000,-4349600000,-4583400000,4600000,2900000,2900000,-2600000,-4100000,-6800000,-3200000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2995600000,3172600000,3461000000,3796000000,4316200000,4799200000,4626800000,778500000,841700000,785100000,770300000,755500000,747500000,752300000,787800000,753100000,4426700000,4653500000,4729700000,4913900000,4377600000,4309800000,4278500000,4250100000,4186600000,4144500000,4138100000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1901800000,1975800000,1893400000,1933600000,2238200000,2047200000,2086500000,2169800000,2389000000,2522800000,2710500000,2919400000,3129600000,3367300000,3597300000,3832500000,3993700000,4165500000,4263400000,4450100000,8685200000,8960200000,9491800000,9819300000,10143800000,10500100000,10943600000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4560700000,4810800000,5037700000,5361800000,6233100000,8406100000,8328700000,8364900000,10025700000,9565400000,10462000000,11130200000,11720300000,12617800000,12697900000,13059800000,13862100000,14285000000,14769400000,15163400000,29355200000,30123200000,31590500000,33452400000,34841000000,4570100000,38818800000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23400000,110800000,27706900000,169700000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4560700000,4810800000,5037700000,5361800000,6233100000,8406100000,8328700000,8364900000,10025700000,9565400000,10462000000,11130200000,11720300000,12617800000,12697900000,13059800000,13862100000,14285000000,14769400000,15163400000,29355200000,30123200000,31590500000,33475800000,34951800000,32277000000,38988500000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/107815/000010781599000003/0000107815-99-000003-index.html,https://www.sec.gov/Archives/edgar/data/107815/000010781500000005/0000107815-00-000005-index.html,https://www.sec.gov/Archives/edgar/data/783325/000010781501000007/0000107815-01-000007-index.html,https://www.sec.gov/Archives/edgar/data/783325/000010781502000008/0000107815-02-000008-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781503000006/0000107815-03-000006-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781504000107/0000107815-04-000107-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000119312505042628/0001193125-05-042628-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781506000089/0000107815-06-000089-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000119312507041253/0001193125-07-041253-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781508000059/0000107815-08-000059-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781509000025/0000107815-09-000025-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781510000046/0000107815-10-000046-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781511000028/0000107815-11-000028-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781512000039/0000107815-12-000039-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781513000055/0000107815-13-000055-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781514000041/0000107815-14-000041-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781515000040/0000107815-15-000040-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781516000248/0000107815-16-000248-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781517000104/0000107815-17-000104-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781518000134/0000107815-18-000134-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781519000128/0000107815-19-000128-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781520000089/0000107815-20-000089-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781521000079/0000107815-21-000079-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781522000116/0000107815-22-000116-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,180900000,234000000,218100000,60700000,188100000,209000000,154200000,219000000,167000000,244300000,306400000,308700000,316400000,335600000,359100000,382400000,456500000,526200000,546300000,577400000,588300000,640300000,940200000,1204900000,1060500000,1135200000,1201000000,1301500000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,349400000,317400000,336400000,371700000,400200000,419400000,583500000,762600000,798600000,845800000,926300000,975000000,1074300000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25100000,-2800000,-1600000,7900000,-700000,33600000,10300000,-7800000,-25000000,70900000,6500000,63400000,-54000000,20400000,296600000,187400000,104900000,430600000,352200000,312700000,328100000,418700000,493800000,271700000,297300000,162900000,209000000,151100000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
