,https://roic.ai/company/TCI,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,32900000,29700000,28900000,24600000,27800000,32000000,37893000,46770000,46878000,55961000,70636000,82492000,139357000,134911000,109726000,114422000,125509000,105444000,128064000,134490000,142344000,151647000,129862000,114087000,116051000,86237000,75858000,102220000,118471000,125233000,120955000,47970000,57022000,40774000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24859000,- -,- -,80624000,88035000,85087000,73974000,63473000,57242000,40948000,39484000,52257000,61918000,63056000,59420000,25213000,24360000,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100650000,- -,- -,53866000,54309000,66560000,55888000,50614000,58809000,45289000,36374000,49963000,56553000,62177000,61535000,22757000,32662000,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.8019,- -,- -,0.4005,0.3815,0.4389,0.4304,0.4436,0.5068,0.5252,0.4795,0.4888,0.4774,0.4965,0.5087,0.4744,0.5728,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,4200000,3600000,3300000,2000000,1765000,1960000,2685000,2645000,2312000,3335000,8506000,11412000,8774000,9149000,9312000,8255000,4006000,9793000,22768000,22966000,20400000,- -,14341000,14817000,14536000,13876000,14966000,16264000,22022000,16757000,17935000,12425000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,4200000,3600000,3300000,2000000,1765000,1960000,2685000,2645000,2312000,3335000,8506000,11412000,8774000,9149000,9312000,8255000,4006000,9793000,22768000,22966000,20400000,19171000,14341000,14817000,14536000,13876000,14966000,16264000,22022000,16757000,17935000,12425000
9,Other Expenses,- -,- -,- -,- -,- -,- -,34747000,41183000,53814000,62933000,74290000,89557000,69555000,69150000,62244000,64454000,49865000,85751000,109232000,33327000,24938000,71611000,51271000,20618000,26287000,32583000,21067000,26786000,23940000,25808000,23392000,13736000,14755000,44512000
10,Operating Expenses,- -,- -,- -,- -,- -,- -,36512000,43143000,56499000,65578000,76602000,92892000,78061000,80562000,71018000,73603000,59177000,94006000,113238000,43120000,47706000,94577000,71671000,39789000,40628000,47400000,35603000,40662000,38906000,42072000,45414000,30493000,32690000,56937000
