,https://roic.ai/company/EXPE,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,536497000,1499075000,2339813000,1843013000,2119455000,2237586000,2665332000,2937013000,2955426000,3348109000,3449009000,4030347000,4771259000,5763485000,6672317000,8773564000,10059844000,11223000000,12067000000,5199000000,8598000000
2,COGS,- -,- -,1199414000,412701000,470716000,502638000,562401000,634744000,607251000,692832000,761272000,898604000,1038034000,1179081000,1309559000,1596698000,1756531000,1965000000,2163000000,1680000000,1544000000
3,Gross Profit,- -,- -,1140399000,1430312000,1648739000,1734948000,2102931000,2302269000,2348175000,2655277000,2687737000,3131743000,3733225000,4584404000,5362758000,7176866000,8303313000,9258000000,9904000000,3519000000,7054000000
4,Gross Profit Ratio,- -,- -,0.4874,0.7761,0.7779,0.7754,0.7890,0.7839,0.7945,0.7931,0.7793,0.7770,0.7824,0.7954,0.8037,0.8180,0.8254,0.8249,0.8208,0.6769,0.8204
5,Research and Development Exp.,- -,- -,- -,- -,- -,140371000,182483000,208952000,319708000,362447000,380999000,484898000,577820000,686154000,830244000,1235019000,1386787000,1617000000,1763000000,1010000000,- -
6,General and Administrative Exp.,- -,- -,- -,- -,909018000,1075844000,1313810000,355431000,290484000,314109000,330563000,345354000,377078000,425373000,573913000,678292000,675961000,808000000,847000000,597000000,705000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,1101403000,1027062000,1204141000,1474641000,1721037000,2196145000,2808329000,3381086000,4367417000,5297832000,5767000000,6135000000,2546000000,4221000000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,909018000,1075844000,1313810000,1456834000,1317546000,1518250000,1805204000,2066391000,2573223000,3233702000,3954999000,5045709000,5973793000,6575000000,6982000000,3143000000,4926000000
9,Other Expenses,520686000,- -,885217000,1189839000,342669000,167404000,77569000,69436000,105339000,37123000,21925000,31705000,71731000,79615000,163665000,317141000,275445000,283000000,198000000,893000000,- -
10,Operating Expenses,520686000,- -,885217000,1189839000,1251687000,1383619000,1573862000,1735222000,1742593000,1917820000,2208128000,2582994000,3222774000,3999471000,4948908000,6597869000,7636025000,8475000000,8943000000,5046000000,4926000000
11,COGS and Expenses,520686000,- -,2084631000,1602540000,1722403000,1886257000,2136263000,2369966000,2349844000,2610652000,2969400000,3481598000,4260808000,5178552000,6258467000,8194567000,9392556000,10440000000,11106000000,6726000000,6470000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,30411000,6206000,7160000,20218000,26396000,24779000,27288000,16695000,19726000,34137000,71000000,59000000,18000000,9000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,71984000,84233000,101291000,90718000,87788000,87358000,98089000,126195000,173148000,181712000,190000000,173000000,360000000,-351000000
14,Depreciation and Amortization,- -,- -,241410000,344782000,280834000,249468000,199944000,207527000,202124000,155525000,154934000,195952000,283475000,345432000,500345000,794202000,889544000,1001000000,910000000,1068000000,814000000
15,EBITDA,8901000,76713000,450019000,614626000,695541000,633853000,698922000,-2232286000,740283000,873324000,793677000,610989000,688018000,933309000,1594219000,1264513000,1494625000,1684000000,1851000000,-1607000000,531000000
16,EBITDA ratio,0.0166,0.0512,0.1923,0.3335,0.3282,0.2833,0.2622,-0.7601,0.2505,0.2608,0.2301,0.1516,0.1442,0.1619,0.2389,0.1441,0.1486,0.1500,0.1534,-0.3091,0.0618
17,Operating Income,15811000,193770000,243518000,240473000,397052000,351329000,529069000,-2428953000,571414000,731915000,479609000,431724000,366060000,517764000,413566000,461702000,625138000,714000000,903000000,-2719000000,186000000
