,https://roic.ai/company/FUBO,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
53,Total Current Liabilities,207022,247015,407643,519806,5684699,14370000,3185000,18551000,67442000,227314000,337297000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,46687000,3859000,350483000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,35000000,30879000,5100000,2431000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,503000,128000,8686000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,35000000,78069000,9087000,361600000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,3520000,4658000,38762000
61,Total Liabilities,207022,247015,407643,519806,5684699,14370000,3185000,53551000,145511000,236401000,698897000
62,Preferred Stock,- -,- -,- -,- -,- -,5000,1000,- -,- -,406665000,- -
63,Common Stock,2964,2969,3011,5424,9396,- -,8000,1000,3000,9000,16000
64,Retained Earnings,-826498,-967859,-1396523,-4016719,-11593864,-21697000,-11153000,-21763000,-135832000,-626456000,-1009293000
65,Other Comprehensive Income/Loss,-1472,-3934,-6558,-9697,-10556,-12000,- -,-14000,-770000,- -,172000
66,Other Total Stockholders Equity,974123,1025080,1497662,4136124,6379599,- -,8045000,227584000,257002000,853824000,1691206000
67,Total Stockholders Equity,149117,56256,97592,115132,-5215425,-14066000,-3099000,205808000,120403000,634042000,682101000
68,Total Liabilities And Stockholders Equity,356139,303271,505235,634938,469274,304000,86000,259359000,265914000,870443000,1380998000
69,Minority Interest,-9,-9,-29431,-86176,-155934,-189000,- -,26742000,22602000,-11094000,-11220000
70,Total Liabilities & Equity,356130,303262,475804,548762,313340,115000,86000,286101000,288516000,859349000,1369778000
