,https://roic.ai/company/ES,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,464984000,322933000,396330000,302192000,519010000,610777000,614657000,665856000,715466000,274008000,1071956000,1080658000,1159059000,1334973000
15,EBITDA,332800000,300900000,253100000,272500000,209100000,256000000,236700000,303100000,249800000,610000000,583100000,105600000,-107500000,-114400000,155500000,147301000,424711000,239972000,181832000,173903000,-410694000,394708000,355903000,1100618000,1112109000,1231979000,1108079000,1649826000,2165117000,2264606000,2456728000,2613726000,2262651000,2892733000,2796407000,3248864000,3482057000
16,EBITDA ratio,0.1599,0.1481,0.1348,0.1311,0.0948,0.0978,0.0860,0.0942,0.0688,0.1675,0.1555,0.0278,-0.0280,-0.0304,0.0348,0.0251,0.0618,0.0460,0.0300,0.0260,-0.0555,0.0573,0.0611,0.1898,0.2045,0.2515,0.2481,0.2630,0.2965,0.2925,0.3088,0.3422,0.2919,0.3424,0.3280,0.3649,0.3530
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,842000000,853600000,339800000,193700000,307100000,525500000,694794000,-102782000,279542000,433366000,412952000,-153865000,223924000,539481000,590765000,751375000,799891000,794176000,1118206000,1529435000,1632849000,1764164000,1859859000,1918154000,1699930000,1590491000,1988734000,1993321000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2311,0.2276,0.0896,0.0505,0.0815,0.1175,0.1182,-0.0150,0.0536,0.0714,0.0618,-0.0208,0.0325,0.0927,0.1019,0.1381,0.1633,0.1778,0.1782,0.2095,0.2109,0.2218,0.2435,0.2474,0.2012,0.1865,0.2233,0.2021
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,-232000000,-270500000,-234200000,-301200000,-421500000,-370000000,-313612000,549925000,-39570000,-246793000,-239049000,-232564000,-173644000,-184165000,-218717000,-235836000,-195375000,-222710000,-310203000,-308805000,-337487000,-338193000,-355041000,-343747000,-370439000,-400420000,-429862000,-421052000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,610000000,583100000,105600000,-107500000,-114400000,155500000,381182000,447143000,239972000,186573000,173903000,-386429000,50280000,355316000,372048000,515539000,604516000,571466000,808003000,1220630000,1295362000,1425971000,1504818000,1574407000,1329491000,1190071000,1558872000,1572269000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1675,0.1555,0.0278,-0.0280,-0.0304,0.0348,0.0649,0.0651,0.0460,0.0307,0.0260,-0.0522,0.0073,0.0610,0.0641,0.0948,0.1234,0.1280,0.1288,0.1672,0.1673,0.1793,0.1970,0.2031,0.1574,0.1396,0.1751,0.1594
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,280100000,261300000,70000000,-2100000,5900000,98500000,161725000,173952000,82304000,59862000,51756000,-162765000,-81429000,109420000,105661000,179947000,210409000,170953000,274926000,426941000,468297000,539967000,554997000,578892000,288972000,273499000,346186000,344223000
23,Net Income,332800000,300900000,253100000,272500000,209100000,256000000,236700000,303100000,249800000,329900000,321800000,35600000,-105400000,-120300000,57000000,-14424000,250759000,157668000,121970000,122147000,-247929000,476137000,246483000,260828000,335592000,387949000,394693000,525945000,786007000,819546000,878485000,942302000,987996000,1033000000,909053000,1205167000,1220527000
24,Net Income ratio,0.1599,0.1481,0.1348,0.1311,0.0948,0.0978,0.0860,0.0942,0.0688,0.0906,0.0858,0.0094,-0.0275,-0.0319,0.0127,-0.0025,0.0365,0.0302,0.0201,0.0183,-0.0335,0.0692,0.0423,0.0450,0.0617,0.0792,0.0884,0.0838,0.1077,0.1059,0.1104,0.1234,0.1275,0.1223,0.1066,0.1353,0.1237
25,EPS,2.72,2.78,1.97,2.15,1.92,1.94,2.12,2.02,2.02,2.30,2.24,0.01,-1.05,-1.12,0.26,-0.20,1.80,1.18,0.91,0.91,-1.93,3.06,1.59,1.68,1.91,2.20,2.22,1.90,2.49,2.59,2.77,2.97,3.11,3.25,2.83,3.56,3.57
26,EPS Diluted,2.72,2.78,1.97,2.15,1.92,1.94,2.12,2.02,2.02,2.30,2.24,0.01,-1.05,-1.12,0.26,-0.20,1.79,1.18,0.91,0.91,-1.93,3.05,1.59,1.67,1.91,2.19,2.22,1.89,2.49,2.58,2.76,2.96,3.11,3.25,2.81,3.55,3.56
27,Weighted Average Shares Outstanding,106066176,93237410,108883249,108790698,88697917,108762887,91556604,126782178,123663366,124739130,126071429,127960382,129567708,130549760,131415126,141549860,135632126,129150549,127114743,128245860,131638953,153767527,154759727,155531846,172567928,176636086,177410167,277209819,315311387,316136748,317336881,317650180,317411097,317370369,321416086,338836147,344023846
28,Weighted Average Shares Outstanding Diluted,106066176,93237410,108883249,108790698,88697917,108762887,91556604,126782178,123663366,124739130,126071429,128196721,129736842,134000000,131415126,141967216,135917423,129341360,127240724,128396076,131638953,154146669,155304361,155999240,172717246,176885387,177804568,277993631,316211160,317417414,318432687,318454239,318031580,317993934,322941636,339847062,344669782
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/880416/000007274195000017/0000072741-95-000017-index.html,https://www.sec.gov/Archives/edgar/data/72741/000007274196000049/0000072741-96-000049-index.html,https://www.sec.gov/Archives/edgar/data/72741/000007274197000054/0000072741-97-000054-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/106170/000007274101000075/0000072741-01-000075-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/72741/000007274105000042/0000072741-05-000042-index.htm,https://www.sec.gov/Archives/edgar/data/72741/000007274106000036/0000072741-06-000036-index.htm,https://www.sec.gov/Archives/edgar/data/72741/000007274107000034/0000072741-07-000034-index.htm,https://www.sec.gov/Archives/edgar/data/72741/000007274108000107/0000072741-08-000107-index.htm,https://www.sec.gov/Archives/edgar/data/72741/000007274109000127/0000072741-09-000127-index.htm,https://www.sec.gov/Archives/edgar/data/72741/000007274110000081/0000072741-10-000081-index.htm,- -,https://www.sec.gov/Archives/edgar/data/72741/000007274112000020/0000072741-12-000020-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/72741/000007274116000063/0000072741-16-000063-index.htm,https://www.sec.gov/Archives/edgar/data/72741/000007274117000007/0000072741-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/72741/000007274118000028/0000072741-18-000028-index.htm,https://www.sec.gov/Archives/edgar/data/72741/000007274119000017/0000072741-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/72741/000007274120000008/0000072741-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/72741/000007274121000005/0000072741-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/72741/000007274122000015/0000072741-22-000015-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,34600000,30900000,194200000,143400000,136200000,255200000,200017000,96658000,85393000,37196000,46989000,45782000,481911000,15104000,89816000,26952000,23395000,6559000,45748000,43364000,38703000,23947000,30251000,38165000,108068000,15432000,106599000,66773000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,109825000,98021000,78306000,70970000,91975000,- -,- -,- -,- -,- -,- -,- -,1107143000,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,34600000,30900000,194200000,143400000,136200000,255200000,200017000,96658000,85393000,37196000,46989000,45782000,481911000,15104000,199641000,124973000,101701000,77529000,137723000,43364000,38703000,23947000,30251000,38165000,108068000,15432000,1213742000,66773000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,357300000,435900000,477000000,214900000,237200000,385900000,593953000,957619000,893325000,830774000,915695000,1077369000,449371000,503143000,917195000,742096000,822116000,668140000,1008862000,990373000,1405411000,1283486000,1096262000,1126444000,1170340000,1170389000,1428950000,1436948000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,190100000,200600000,211400000,212700000,202700000,173000000,163711000,108516000,119853000,154076000,185180000,206557000,173882000,210850000,300049000,277085000,244043000,248958000,267713000,303233000,349664000,336476000,328721000,223063000,238042000,235500000,265600000,267500000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,197600000,250000000,184300000,399700000,356800000,257200000,192674000,222861000,422553000,750685000,519357000,1047135000,625887000,557159000,88679000,123700000,149882000,362845000,812997000,750079000,898687000,974877000,1022438000,1099427000,775774000,993218000,221851000,1498899000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,779600000,917400000,1066900000,970700000,932900000,1071300000,1150355000,1385654000,1521124000,1772731000,1667221000,2376843000,1731051000,1286256000,1505564000,1267854000,1317742000,1357472000,2227295000,2087049000,2692465000,2618786000,2477672000,2487099000,2292224000,2414539000,3130143000,3270120000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,6603400000,7000800000,6732200000,6463200000,6170900000,3947400000,3547215000,3822139000,4728369000,5429916000,5864161000,6417230000,6242186000,7229945000,8207876000,8839965000,9567726000,10403065000,16605010000,17576200000,18647000000,19892400000,21350500000,23617500000,25610400000,27585500000,30882500000,33377700000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,287591000,287591000,287591000,287591000,3519401000,3519401000,3519401000,3519401000,3519401000,4427266000,4427266000,4427266000,4445988000,4477269000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,324389000,322600000,345867000,342942000,339347000,287591000,287591000,287591000,287591000,287591000,287591000,287591000,3519401000,3519401000,3519401000,3519401000,3519401000,4427266000,4427266000,4427266000,4445988000,4477269000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30757000,54905000,51201000,60311000,400329000,488515000,515025000,516478000,544642000,585419000,417508000,1320763000,1563760000,1896640000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,3201900000,2626700000,2942600000,2980500000,3283600000,4669400000,5195190000,4711016000,3672257000,3763295000,3785105000,3487411000,3042408000,2778030000,3956692000,3607364000,3297782000,3538627000,5550789000,4124386000,4404043000,4033203000,4160948000,5103102000,5493830000,5375847000,6077184000,5470465000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,9805300000,9627500000,9674800000,9443700000,9454500000,8616800000,9066794000,8855755000,8746493000,9536153000,9988613000,10192232000,9572185000,10295566000,12482916000,12789825000,13204300000,14289594000,26075529000,25708502000,27085469000,27961482000,29575491000,33733287000,35949004000,38709376000,42969432000,45222074000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,10584900000,10544900000,10741700000,10414400000,10387400000,9688100000,10217149000,10241409000,10267617000,11308884000,11655834000,12569075000,11303236000,11581822000,13988480000,14057679000,14522042000,15647066000,28302824000,27795551000,29777934000,30580268000,32053163000,36220386000,38241228000,41123915000,46099575000,48492144000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,280900000,319000000,507100000,402900000,338600000,347300000,538983000,669545000,766128000,768783000,825247000,972368000,569940000,598546000,678614000,457582000,417285000,633282000,764350000,742251000,868231000,813646000,884521000,1085034000,1119995000,1147872000,1370647000,1672230000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,438000000,401700000,377500000,502100000,548000000,899800000,1762663000,340962000,112906000,169936000,270759000,54673000,4877000,233286000,673183000,166599000,333286000,648582000,1883534000,1626346000,1202408000,1389836000,1922383000,1637718000,1799651000,1259705000,2345721000,2741757000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12527000,50246000,107067000,69592000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4095339000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,316700000,325500000,320000000,315400000,241200000,323400000,240150000,239933000,425318000,507516000,467396000,948189000,789018000,374318000,351665000,355231000,487504000,665818000,995806000,907054000,1063742000,786308000,831701000,866293000,1193236000,1197986000,-2896695000,1433052000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1035600000,1046200000,1204600000,1220400000,1127800000,1570500000,2541796000,1250440000,1304352000,1446235000,1563402000,1975230000,1363835000,1206150000,1703462000,979412000,1238075000,1947682000,3643690000,3275651000,3134381000,2989790000,3638605000,3589045000,4112882000,3605563000,4915012000,5847039000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,3942000000,3705200000,3613700000,3645700000,3282100000,2372300000,2029593000,2292556000,2287144000,2481331000,2789974000,3027288000,2960435000,3483599000,4789673000,4492935000,4814438000,4727173000,7282295000,7776833000,8606017000,8805574000,8829354000,11775889000,12832074000,14310950000,15622788000,17477279000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2156200000,2314000000,2212500000,2113200000,1992100000,1828500000,1738649000,1611465000,1542978000,1390006000,1533527000,1401784000,1131860000,1096335000,1248832000,1402288000,1693860000,1868316000,3463347000,4029026000,4467473000,5147678000,5607207000,3297518000,3506030000,3755777000,4095339000,4597120000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,531800000,673800000,1120800000,1003100000,1666800000,1576200000,1536758000,2853979000,2806878000,3611663000,3356499000,3619928000,2932705000,2766066000,3110495000,3488942000,2963036000,3088269000,4676442000,3102499000,3593289000,3285052000,3266273000,6471692000,6303453000,6821631000,7402893000,5815292000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,6630000000,6693000000,6947000000,6762000000,6941000000,5777000000,5305000000,6758000000,6637000000,7483000000,7680000000,8049000000,7025000000,7346000000,9149000000,9384165000,9471334000,9683758000,15422084000,14908358000,16666779000,17238304000,17702834000,21545099000,22641557000,24888358000,27121020000,27889691000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,13260200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14050022000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,7665800000,7549200000,7952500000,7805200000,7936200000,7247300000,7747366000,8007569000,7940896000,8928564000,9242923000,10023631000,8388857000,8551787000,10851968000,10363577000,10709409000,11631440000,19065774000,18184009000,19801160000,20228094000,21341439000,25134144000,26754439000,28493921000,32036032000,33736730000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,116200000,116200000,116200000,116200000,116200000,116200000,116200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,671100000,678100000,680300000,684200000,685200000,687000000,693345000,744453000,746879000,751992000,756155000,874489000,877101000,879623000,881061000,977276000,978909000,980264000,1662547000,1665351000,1666796000,1669313000,1669392000,1669392000,1669392000,1729292000,1789092000,1789092000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,946900000,1007300000,832500000,664700000,560800000,581800000,495873000,678460000,765611000,808932000,845343000,504301000,862660000,946792000,1078594000,1246543000,1452777000,1651875000,1802714000,2125980000,2448661000,2797355000,3175171000,3561084000,3953974000,4177048000,4613201000,5005391000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3293700000,-3629600000,-3979800000,-4330600000,-4224400000,-6088300000,-7041279000,-3418577000,-72819000,-47703000,-61767000,-26897000,-30268000,-16993000,-37265000,-43467000,-43370000,-70686000,-72854000,-46031000,-74009000,-66844000,-65282000,-66403000,-60000000,-65059000,-76411000,-42275000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,4594800000,4939900000,5256200000,5590900000,5429600000,7260300000,8321844000,4229504000,770850000,750899000,756980000,1077351000,1088686000,1104413000,1097922000,1397550000,1422860000,1451217000,5844643000,5866228000,5935367000,5952391000,5932453000,5922169000,5923451000,6788713000,7737684000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2919100000,2995700000,2789200000,2609200000,2451200000,2440800000,2469783000,2233840000,2326721000,2380320000,2412911000,2545444000,2914379000,3030035000,3136512000,3577902000,3811176000,4012670000,9237050000,9611528000,9976815000,10352215000,10711734000,11086242000,11486817000,12629994000,14063566000,14599844000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,10584900000,10544900000,10741700000,10414400000,10387400000,9688100000,10217149000,10241409000,10267617000,11308884000,11655834000,12569075000,11303236000,11581822000,13988480000,13941479000,14520585000,15644110000,28302824000,27795537000,29777975000,30580309000,32053173000,36220386000,38241256000,41123915000,46099598000,48336574000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,116200000,1457000,2956000,- -,14000,-41000,-41000,-10000,- -,-28000,- -,-23000,155570000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,10584900000,10544900000,10741700000,10414400000,10387400000,9688100000,10217149000,10241409000,10267617000,11308884000,11655834000,12569075000,11303236000,11581822000,13988480000,14057679000,14522042000,15647066000,28302824000,27795551000,29777934000,30580268000,32053163000,36220386000,38241228000,41123915000,46099575000,48492144000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/880416/000007274195000017/0000072741-95-000017-index.html,https://www.sec.gov/Archives/edgar/data/72741/000007274196000049/0000072741-96-000049-index.html,https://www.sec.gov/Archives/edgar/data/72741/000007274197000054/0000072741-97-000054-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/106170/000007274101000075/0000072741-01-000075-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/72741/000007274105000042/0000072741-05-000042-index.htm,https://www.sec.gov/Archives/edgar/data/72741/000007274106000036/0000072741-06-000036-index.htm,https://www.sec.gov/Archives/edgar/data/72741/000007274107000034/0000072741-07-000034-index.htm,https://www.sec.gov/Archives/edgar/data/72741/000007274108000107/0000072741-08-000107-index.htm,https://www.sec.gov/Archives/edgar/data/72741/000007274109000127/0000072741-09-000127-index.htm,https://www.sec.gov/Archives/edgar/data/72741/000007274110000081/0000072741-10-000081-index.htm,- -,https://www.sec.gov/Archives/edgar/data/72741/000007274112000020/0000072741-12-000020-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/72741/000007274116000063/0000072741-16-000063-index.htm,https://www.sec.gov/Archives/edgar/data/72741/000007274117000007/0000072741-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/72741/000007274118000028/0000072741-18-000028-index.htm,https://www.sec.gov/Archives/edgar/data/72741/000007274119000017/0000072741-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/72741/000007274120000008/0000072741-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/72741/000007274121000005/0000072741-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/72741/000007274122000015/0000072741-22-000015-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,329900000,321800000,35600000,-105400000,-120300000,57000000,-14424000,250759000,157668000,121970000,122147000,-247929000,476137000,246483000,260828000,335592000,387949000,394693000,525945000,786007000,819546000,878485000,942302000,987996000,1033000000,909053000,1205167000,1220527000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,464984000,322933000,396330000,302192000,519010000,610777000,614657000,665856000,715466000,274008000,1071956000,1080658000,1159059000,1334973000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,146600000,164200000,45700000,22400000,23500000,-183400000,-16117000,-116704000,-149325000,-120603000,111710000,-202789000,-204212000,6933000,86810000,125890000,210939000,196761000,292000000,431413000,443259000,491736000,466463000,110499000,174812000,209812000,257154000,347056000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13518000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,104100000,127200000,-8900000,-112000000,54800000,-304300000,-892241000,1526655000,81558000,109724000,-222677000,297794000,-34397000,-287110000,-278004000,486340000,-208775000,-669877000,-826185000,227793000,746686000,70912000,-789929000,58987000,-718712000,629634000,-593845000,-271617000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20214000,-163549000,-122139000,-39797000,-142699000,-50896000,-141433000,-98716000,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29700000,12450000,55195000,-27590000,-34223000,-31104000,-17848000,16718000,-33727000,-74531000,25957000,38126000,-11033000,34321000,-14811000,-41310000,34112000,7755000,-24610000,-831000,-8074000,-15404000,-1859000
