,https://roic.ai/company/ETN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,3674500000,3811600000,3137900000,3468500000,3671000000,3639000000,3381000000,3869000000,4401000000,6052000000,6822000000,6961000000,7563000000,6625000000,8402000000,8309000000,7299000000,7209000000,8061000000,9817000000,11115000000,12370000000,13033000000,15376000000,11873000000,13715000000,16049000000,16311000000,22046000000,22552000000,20855000000,19747000000,20404000000,21609000000,21390000000,17858000000,19628000000
2,COGS,2607100000,2766600000,2133500000,2375500000,2552200000,2588000000,2439000000,2773000000,3088000000,4146000000,4747000000,4845000000,5114000000,4428000000,5600000000,5630000000,5503000000,5272000000,5897000000,7082000000,8012000000,9050000000,9382000000,11191000000,8782000000,9633000000,11261000000,11448000000,15369000000,15646000000,14292000000,13400000000,13756000000,14511000000,14338000000,12408000000,13293000000
3,Gross Profit,1067400000,1045000000,1004400000,1093000000,1118800000,1051000000,942000000,1096000000,1313000000,1906000000,2075000000,2116000000,2449000000,2197000000,2802000000,2679000000,1796000000,1937000000,2164000000,2735000000,3103000000,3320000000,3651000000,4185000000,3091000000,4082000000,4788000000,4863000000,6677000000,6906000000,6563000000,6347000000,6648000000,7098000000,7052000000,5450000000,6335000000
4,Gross Profit Ratio,0.2905,0.2742,0.3201,0.3151,0.3048,0.2888,0.2786,0.2833,0.2983,0.3149,0.3042,0.3040,0.3238,0.3316,0.3335,0.3224,0.2461,0.2687,0.2685,0.2786,0.2792,0.2684,0.2801,0.2722,0.2603,0.2976,0.2983,0.2981,0.3029,0.3062,0.3147,0.3214,0.3258,0.3285,0.3297,0.3052,0.3228
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,213000000,227000000,267000000,319000000,334000000,314000000,269000000,228000000,203000000,223000000,261000000,287000000,321000000,335000000,417000000,395000000,425000000,417000000,439000000,644000000,647000000,625000000,589000000,584000000,584000000,606000000,551000000,616000000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2894000000,3886000000,3810000000,3596000000,3505000000,3565000000,3548000000,3583000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",605800000,631700000,522400000,549100000,567600000,595000000,638000000,683000000,800000000,882000000,927000000,995000000,1088000000,1050000000,1318000000,1299000000,1220000000,1217000000,1351000000,1587000000,1757000000,1946000000,2139000000,2513000000,2252000000,2486000000,2738000000,2894000000,3886000000,3810000000,3596000000,3505000000,3565000000,3548000000,3583000000,3075000000,3256000000
9,Other Expenses,96100000,103900000,106300000,143500000,175800000,163000000,169000000,184000000,196000000,251000000,281000000,320000000,342000000,331000000,441000000,462000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,701900000,735600000,628700000,692600000,743400000,758000000,807000000,867000000,996000000,1346000000,1435000000,1582000000,1749000000,1715000000,2073000000,2030000000,1448000000,1420000000,1574000000,1848000000,2044000000,2267000000,2474000000,2930000000,2647000000,2911000000,3155000000,3333000000,4530000000,4457000000,4221000000,4094000000,4149000000,4132000000,4189000000,3626000000,3872000000
11,COGS and Expenses,3309000000,3502200000,2762200000,3068100000,3295600000,3346000000,3246000000,3640000000,4084000000,5492000000,6182000000,6427000000,6863000000,6143000000,7673000000,7660000000,6951000000,6692000000,7471000000,8930000000,10056000000,11317000000,11856000000,14121000000,11429000000,12544000000,14416000000,14781000000,19899000000,20103000000,18513000000,17494000000,17905000000,18643000000,18527000000,16034000000,17165000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,150000000,- -,- -,208000000,271000000,227000000,232000000,233000000,246000000,271000000,236000000,149000000,144000000
14,Depreciation and Amortization,96100000,103900000,106300000,143500000,175800000,163000000,169000000,184000000,196000000,251000000,281000000,320000000,342000000,331000000,441000000,462000000,449000000,376000000,394000000,400000000,409000000,434000000,469000000,592000000,573000000,551000000,556000000,598000000,997000000,983000000,925000000,929000000,914000000,903000000,884000000,811000000,922000000
15,EBITDA,482600000,324000000,429600000,513100000,526500000,423000000,263000000,97000000,465000000,739000000,873000000,805000000,956000000,816000000,1404000000,1104000000,727000000,775000000,902000000,1181000000,1405000000,1461000000,1545000000,1723000000,1024000000,1579000000,2107000000,2054000000,3140000000,2961000000,3300000000,3286000000,4527000000,3597000000,3709000000,2701000000,3960000000
