,https://roic.ai/company/AN,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,600000,600000,31800000,51600000,110000000,102700000,48800000,260300000,2365500000,10305600000,16118200000,20111800000,20609600000,19989300000,19478500000,19381100000,19424700000,19253400000,18988600000,17691500000,14131900000,10757800000,12461000000,13832300000,15668800000,17517600000,19108800000,20862000000,21609000000,21534600000,21412800000,21335700000,20390000000,25844000000
2,COGS,800000,800000,18100000,28500000,72100000,65700000,26100000,148600000,692400000,7641500000,12480900000,17276600000,17577100000,17115400000,16492000000,16418300000,16412000000,16189700000,15944200000,14847100000,11752400000,8829000000,10333500000,11528300000,13182400000,14757700000,16120100000,17600500000,18295800000,18175600000,18015500000,17812700000,16823600000,20891400000
3,Gross Profit,-200000,-200000,13700000,23100000,37900000,37000000,22700000,111700000,1673100000,2664100000,3637300000,2835200000,3032500000,2873900000,2986500000,2962800000,3012700000,3063700000,3044400000,2844400000,2379500000,1928800000,2127500000,2304000000,2486400000,2759900000,2988700000,3261500000,3313200000,3359000000,3397300000,3523000000,3566400000,4952600000
4,Gross Profit Ratio,-0.3333,-0.3333,0.4308,0.4477,0.3445,0.3603,0.4652,0.4291,0.7073,0.2585,0.2257,0.1410,0.1471,0.1438,0.1533,0.1529,0.1551,0.1591,0.1603,0.1608,0.1684,0.1793,0.1707,0.1666,0.1587,0.1576,0.1564,0.1563,0.1533,0.1560,0.1587,0.1651,0.1749,0.1916
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,200000,8200000,10000000,22700000,22300000,8500000,54100000,1096800000,1281800000,2050500000,2311200000,2177700000,2207200000,2200900000,2157700000,2158700000,2175500000,2165000000,2046200000,1813800000,1464400000,1552100000,1649400000,1613800000,1768600000,1914700000,2075000000,2152700000,2243400000,2312000000,2370800000,2260300000,2705900000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,135700000,166400000,164900000,188500000,196700000,192800000,197800000,187800000,161700000,170300000
8,"Selling, General and Administrative Exp.",- -,200000,8200000,10000000,22700000,22300000,8500000,54100000,1096800000,1281800000,2050500000,2311200000,2177700000,2207200000,2200900000,2157700000,2158700000,2175500000,2165000000,2046200000,1813800000,1464400000,1552100000,1649400000,1749500000,1935000000,2079600000,2263500000,2349400000,2436200000,2509800000,2558600000,2422000000,2876200000
9,Other Expenses,100000,- -,1600000,2700000,5200000,6700000,4700000,21000000,540500000,1003600000,1051600000,123000000,133800000,222200000,57800000,91000000,87100000,81200000,82800000,93400000,104000000,52700000,78800000,82600000,87400000,84600000,88300000,109500000,74300000,79400000,101500000,131200000,205400000,173600000
