,https://roic.ai/company/MDT,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,402800000,502000000,653300000,741700000,836600000,1021400000,1176900000,1328200000,1390900000,1742400000,2169100000,2438200000,2604800000,4134100000,5014600000,5551800000,6410800000,7665200000,9087200000,10054600000,11292000000,12299000000,13515000000,14599000000,15817000000,15933000000,16184000000,16590000000,17005000000,20261000000,28833000000,29710000000,29953000000,30557000000,28913000000,30117000000
2,COGS,117500000,142800000,181000000,194400000,232400000,285200000,322400000,350500000,353100000,433600000,477900000,493300000,532800000,889700000,1076300000,1113300000,1652700000,1890300000,2252900000,2446400000,2815300000,3168000000,3446000000,3518000000,3812000000,3912000000,3889000000,4126000000,4333000000,6309000000,9142000000,9267000000,9039000000,9064000000,9269000000,10483000000
3,Gross Profit,285300000,359200000,472300000,547300000,604200000,736200000,854500000,977700000,1037800000,1308800000,1691200000,1944900000,2072000000,3244400000,3938300000,4438500000,4758100000,5774900000,6834300000,7608200000,8476700000,9131000000,10069000000,11081000000,12005000000,12021000000,12295000000,12464000000,12672000000,13952000000,19691000000,20443000000,20914000000,21493000000,19644000000,19634000000
4,Gross Profit Ratio,0.7083,0.7155,0.7229,0.7379,0.7222,0.7208,0.7261,0.7361,0.7461,0.7511,0.7797,0.7977,0.7955,0.7848,0.7854,0.7995,0.7422,0.7534,0.7521,0.7567,0.7507,0.7424,0.7450,0.7590,0.7590,0.7545,0.7597,0.7513,0.7452,0.6886,0.6829,0.6881,0.6982,0.7034,0.6794,0.6519
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,156300000,191400000,236700000,280200000,297200000,429200000,479700000,577600000,646300000,749400000,851500000,951300000,1112900000,1239000000,1275000000,1355000000,1460000000,1508000000,1490000000,1557000000,1477000000,1640000000,2224000000,2193000000,2256000000,2330000000,2331000000,2493000000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6904000000,9469000000,10018000000,9953000000,10232000000,9875000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",185700000,227100000,313200000,373000000,399800000,483300000,549100000,613000000,470300000,574600000,695600000,763300000,757600000,1280100000,1587900000,1685200000,1962800000,2371900000,2801400000,3213600000,3659400000,4153000000,4707000000,5152000000,5789000000,5533000000,5623000000,5698000000,5847000000,6904000000,9469000000,9711000000,9974000000,10418000000,10109000000,10148000000
9,Other Expenses,23300000,26400000,29000000,44600000,39400000,46500000,59400000,69600000,78600000,106500000,111800000,116900000,137600000,213100000,243300000,297300000,- -,- -,- -,- -,- -,- -,- -,396000000,468000000,459000000,335000000,439000000,530000000,1432000000,2637000000,3156000000,2082000000,2962000000,2826000000,2098000000
10,Operating Expenses,209000000,253500000,342200000,417600000,439200000,529800000,608500000,682600000,705200000,872500000,1044100000,1160400000,1192400000,1922400000,2310900000,2560100000,2609100000,3121300000,3652900000,4164900000,4772300000,5392000000,5982000000,6903000000,7717000000,7500000000,7448000000,7694000000,7854000000,9976000000,14330000000,15060000000,14312000000,15710000000,15266000000,14739000000
11,COGS and Expenses,326500000,396300000,523200000,612000000,671600000,815000000,930900000,1033100000,1058300000,1306100000,1522000000,1653700000,1725200000,2812100000,3387200000,3673400000,4261800000,5011600000,5905800000,6611300000,7587600000,8560000000,9428000000,10421000000,11529000000,11412000000,11337000000,11820000000,12187000000,16285000000,23472000000,24327000000,23351000000,24774000000,24535000000,25222000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,188000000,156000000,172000000,200000000,237000000,271000000,386000000,431000000,366000000,397000000,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,217000000,402000000,450000000,349000000,388000000,379000000,666000000,1386000000,1094000000,1146000000,1444000000,1092000000,925000000
14,Depreciation and Amortization,23300000,26400000,29000000,44600000,39400000,46500000,59400000,69600000,78600000,106500000,111800000,116900000,137600000,213100000,243300000,297300000,329800000,408100000,442600000,463300000,543600000,583000000,637000000,699000000,772000000,804000000,833000000,819000000,850000000,1306000000,2820000000,2917000000,2644000000,2659000000,2663000000,2702000000
15,EBITDA,101000000,135100000,160100000,194900000,199300000,242800000,302300000,368700000,425400000,548600000,780200000,926100000,839600000,1035100000,1872300000,1846700000,1854000000,2749400000,3239500000,3006800000,3704900000,4098000000,3522000000,3510000000,5143000000,4977000000,5529000000,5458000000,4934000000,5458000000,8542000000,8617000000,9474000000,9281000000,7856000000,7498000000
16,EBITDA ratio,0.2507,0.2691,0.2451,0.2628,0.2382,0.2377,0.2569,0.2776,0.3058,0.3149,0.3597,0.3798,0.3223,0.2504,0.3734,0.3326,0.2892,0.3587,0.3565,0.2990,0.3281,0.3332,0.2606,0.2404,0.3252,0.3124,0.3416,0.3290,0.2901,0.2694,0.2963,0.2900,0.3163,0.3037,0.2717,0.2490
17,Operating Income,76300000,105700000,130100000,129700000,165000000,206400000,246000000,295100000,332600000,436300000,647100000,784500000,879600000,1322000000,1627400000,1878400000,2149000000,2653600000,3181400000,3443300000,3704400000,3739000000,4087000000,4178000000,4288000000,4521000000,4847000000,4770000000,4818000000,3766000000,5291000000,5330000000,6651000000,6268000000,4791000000,4484000000
18,Operating Income ratio,0.1894,0.2106,0.1991,0.1749,0.1972,0.2021,0.2090,0.2222,0.2391,0.2504,0.2983,0.3218,0.3377,0.3198,0.3245,0.3383,0.3352,0.3462,0.3501,0.3425,0.3281,0.3040,0.3024,0.2862,0.2711,0.2838,0.2995,0.2875,0.2833,0.1859,0.1835,0.1794,0.2220,0.2051,0.1657,0.1489
19,Total Other Income Expenses (Gains),15400000,3000000,1000000,20600000,-5100000,-10100000,-3100000,18400000,14200000,5800000,21300000,24700000,-177600000,-500000000,1600000,-329000000,-624800000,-312300000,-384500000,-899800000,-543100000,-224000000,-1202000000,-1584000000,-319000000,-798000000,-702000000,-519000000,-1113000000,-280000000,-955000000,-728000000,-976000000,-1071000000,-736000000,-589000000
20,Income Before Tax,91700000,108700000,131100000,150300000,159900000,196300000,242900000,313500000,346800000,442100000,668400000,809200000,702000000,822000000,1629000000,1549400000,1524200000,2341300000,2796900000,2543500000,3161300000,3515000000,2885000000,2594000000,3969000000,3723000000,4145000000,4251000000,3705000000,3486000000,4336000000,4602000000,5675000000,5197000000,4055000000,3895000000
21,Income Before Tax Ratio,0.2277,0.2165,0.2007,0.2026,0.1911,0.1922,0.2064,0.2360,0.2493,0.2537,0.3081,0.3319,0.2695,0.1988,0.3249,0.2791,0.2378,0.3054,0.3078,0.2530,0.2800,0.2858,0.2135,0.1777,0.2509,0.2337,0.2561,0.2562,0.2179,0.1721,0.1504,0.1549,0.1895,0.1701,0.1402,0.1293
22,Income Tax expense (Gain),24300000,34900000,44600000,52900000,51200000,62900000,81400000,101900000,114400000,148100000,230600000,279200000,244600000,353600000,530500000,503400000,540200000,741500000,837600000,739600000,614600000,713000000,654000000,425000000,870000000,627000000,730000000,784000000,640000000,811000000,798000000,578000000,2580000000,547000000,-688000000,265000000
23,Net Income,53400000,73800000,86500000,97400000,108700000,133400000,161500000,197200000,232400000,294000000,437800000,530000000,457400000,468400000,1098500000,1046000000,984000000,1599800000,1959300000,1803900000,2546700000,2802000000,2231000000,2169000000,3099000000,3096000000,3617000000,3467000000,3065000000,2675000000,3538000000,4028000000,3104000000,4631000000,4789000000,3606000000
24,Net Income ratio,0.1326,0.1470,0.1324,0.1313,0.1299,0.1306,0.1372,0.1485,0.1671,0.1687,0.2018,0.2174,0.1756,0.1133,0.2191,0.1884,0.1535,0.2087,0.2156,0.1794,0.2255,0.2278,0.1651,0.1486,0.1959,0.1943,0.2235,0.2090,0.1802,0.1320,0.1227,0.1356,0.1036,0.1516,0.1656,0.1197
25,EPS,0.06,0.09,0.10,0.11,0.12,0.14,0.17,0.21,0.25,0.32,0.47,0.56,0.49,0.41,0.92,0.87,0.81,1.31,1.61,1.49,2.11,2.44,1.97,1.94,2.80,2.87,3.43,3.40,3.06,2.44,2.51,2.92,2.29,3.44,3.57,2.68
26,EPS Diluted,0.06,0.09,0.10,0.11,0.12,0.14,0.17,0.21,0.25,0.32,0.47,0.56,0.48,0.40,0.90,0.85,0.80,1.30,1.60,1.48,2.09,2.41,1.95,1.93,2.79,2.86,3.41,3.37,3.02,2.41,2.48,2.89,2.27,3.41,3.54,2.66
27,Weighted Average Shares Outstanding,890000000,820000000,865000000,885454545,905833333,952857143,950000000,939047619,918464000,921920000,932628000,954772000,937872000,1156400000,1194700000,1203000000,1211600000,1217500000,1213700000,1209000000,1204500000,1149700000,1130700000,1117800000,1106300000,1077400000,1053900000,1019300000,1002100000,1095500000,1409600000,1378900000,1356700000,1346400000,1340700000,1344900000
28,Weighted Average Shares Outstanding Diluted,890000000,820000000,865000000,885454545,905833333,952857143,950000000,939047619,920000000,921920000,932628000,985897436,951168000,1185800000,1220800000,1226000000,1224400000,1227900000,1225200000,1220800000,1217300000,1161800000,1142100000,1124000000,1109400000,1081700000,1059900000,1027500000,1013600000,1109000000,1425900000,1391400000,1368200000,1357500000,1351100000,1354000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1613103/000161310315000028/0001613103-15-000028-index.html,https://www.sec.gov/Archives/edgar/data/1613103/000161310316000093/0001613103-16-000093-index.html,https://www.sec.gov/Archives/edgar/data/1613103/000161310317000018/0001613103-17-000018-index.html,https://www.sec.gov/Archives/edgar/data/1613103/000161310318000024/0001613103-18-000024-index.html,https://www.sec.gov/Archives/edgar/data/1613103/000161310319000028/0001613103-19-000028-index.html,https://www.sec.gov/Archives/edgar/data/1613103/000161310320000021/0001613103-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1613103/000161310321000027/0001613103-21-000027-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1470100000,1593700000,2232200000,2994300000,1256000000,1060000000,1271000000,1400000000,1382000000,1248000000,860000000,1403000000,4843000000,2876000000,4967000000,3669000000,4393000000,4140000000,3593000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22700000,333800000,1159400000,3107100000,1822000000,553000000,405000000,2375000000,1046000000,1344000000,10211000000,12838000000,14637000000,9758000000,8741000000,7558000000,5455000000,6808000000,7224000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1492800000,1927500000,3391600000,6101400000,3078000000,1613000000,1676000000,3775000000,2428000000,2592000000,11071000000,14241000000,19480000000,12634000000,13708000000,11227000000,9848000000,10948000000,10817000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1761400000,1994300000,2292700000,2429000000,2737000000,3360000000,3123000000,3335000000,3822000000,3808000000,4266000000,4547000000,5112000000,5562000000,5591000000,5987000000,6222000000,4645000000,5462000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,942400000,877700000,981400000,1176900000,1215000000,1280000000,1426000000,1481000000,1695000000,1800000000,1712000000,1725000000,3463000000,3473000000,3338000000,3579000000,3753000000,4229000000,4313000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,408900000,513200000,755800000,669300000,888000000,1069000000,1235000000,1248000000,1172000000,1315000000,744000000,697000000,2789000000,1931000000,2236000000,2187000000,2144000000,2209000000,1956000000
