,https://roic.ai/company/BMY,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,7558000000,8558000000,9189000000,10300000000,11159000000,11156000000,11413000000,11984000000,13767000000,15065000000,16701000000,18284000000,20222000000,18216000000,19423000000,18119000000,20894000000,19380000000,19207000000,17914000000,19348000000,20597000000,18808000000,19484000000,21244000000,17621000000,16385000000,15879000000,16560000000,19427000000,20776000000,22561000000,26145000000,42518000000,46385000000
2,COGS,2141000000,2299000000,2460000000,2630000000,2684000000,2562000000,2721000000,2794000000,3189000000,3446000000,3873000000,4231000000,4861000000,4013000000,5575000000,6388000000,7592000000,5989000000,5928000000,5956000000,6218000000,6396000000,5140000000,5277000000,5598000000,4610000000,4619000000,3932000000,3909000000,4946000000,6066000000,6547000000,8078000000,11773000000,9940000000
3,Gross Profit,5417000000,6259000000,6729000000,7670000000,8475000000,8594000000,8692000000,9190000000,10578000000,11619000000,12828000000,14053000000,15361000000,14203000000,13848000000,11731000000,13302000000,13391000000,13279000000,11958000000,13130000000,14201000000,13668000000,14207000000,15646000000,13011000000,11766000000,11947000000,12651000000,14481000000,14710000000,16014000000,18067000000,30745000000,36445000000
4,Gross Profit Ratio,0.7167,0.7314,0.7323,0.7447,0.7595,0.7703,0.7616,0.7669,0.7684,0.7713,0.7681,0.7686,0.7596,0.7797,0.7130,0.6474,0.6366,0.6910,0.6914,0.6675,0.6786,0.6895,0.7267,0.7292,0.7365,0.7384,0.7181,0.7524,0.7639,0.7454,0.7080,0.7098,0.6910,0.7231,0.7857
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,1108000000,1199000000,1276000000,1385000000,1577000000,1843000000,1939000000,2259000000,2218000000,2279000000,2500000000,2746000000,3067000000,3282000000,3585000000,3647000000,3566000000,3839000000,3904000000,3731000000,4534000000,5920000000,4940000000,6411000000,6345000000,6148000000,11143000000,11354000000
6,General and Administrative Exp.,3789000000,4304000000,5450000000,5037000000,5463000000,6339000000,5981000000,4533000000,5316000000,5871000000,6414000000,6730000000,6987000000,5532000000,3903000000,3923000000,4660000000,5016000000,5106000000,4919000000,4855000000,4825000000,4078000000,3705000000,4203000000,158000000,165000000,877000000,160000000,91000000,162000000,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1433000000,1295000000,1416000000,1411000000,1476000000,1351000000,1465000000,1550000000,1136000000,977000000,957000000,5017000000,4939000000,4822000000,4841000000,4911000000,4687000000,4551000000,4871000000,7661000000,- -
8,"Selling, General and Administrative Exp.",3789000000,4304000000,5450000000,5037000000,5463000000,6339000000,5981000000,4533000000,5316000000,5871000000,6414000000,6730000000,6987000000,5532000000,5336000000,5218000000,6076000000,6427000000,6582000000,6270000000,6320000000,6375000000,5214000000,4682000000,5160000000,5175000000,5104000000,5699000000,5001000000,5002000000,4849000000,4551000000,4871000000,7661000000,7690000000
9,Other Expenses,161000000,185000000,196000000,244000000,246000000,295000000,308000000,328000000,448000000,519000000,591000000,625000000,678000000,746000000,- -,- -,- -,- -,- -,- -,- -,- -,-931000000,284000000,- -,- -,- -,- -,- -,- -,- -,- -,1135000000,10294000000,-7690000000
10,Operating Expenses,3950000000,4489000000,5646000000,5281000000,5709000000,6634000000,6289000000,5969000000,6963000000,7666000000,8390000000,8932000000,9508000000,8217000000,7595000000,7436000000,8355000000,8927000000,9328000000,9337000000,9602000000,9960000000,7930000000,8532000000,8999000000,9079000000,8835000000,10233000000,10921000000,9942000000,11260000000,10896000000,12154000000,29098000000,11354000000
11,COGS and Expenses,6091000000,6788000000,8106000000,7911000000,8393000000,9196000000,9010000000,8763000000,10152000000,11112000000,12263000000,13163000000,14369000000,12230000000,13170000000,13824000000,15947000000,14916000000,15256000000,15293000000,15820000000,16356000000,13070000000,13809000000,14597000000,13689000000,13454000000,14165000000,14830000000,14888000000,17326000000,17443000000,20232000000,40871000000,21294000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54000000,75000000,91000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,184000000,145000000,145000000,182000000,199000000,203000000,184000000,167000000,196000000,183000000,656000000,1420000000,- -
14,Depreciation and Amortization,161000000,185000000,196000000,244000000,246000000,295000000,308000000,328000000,448000000,519000000,591000000,625000000,678000000,746000000,781000000,735000000,789000000,909000000,929000000,927000000,892000000,816000000,707000000,744000000,801000000,681000000,763000000,467000000,376000000,382000000,789000000,637000000,1746000000,10380000000,10686000000
15,EBITDA,1789000000,2074000000,1473000000,2768000000,3133000000,2706000000,2879000000,2883000000,2850000000,4532000000,5073000000,4893000000,6445000000,6839000000,6485000000,3236000000,5110000000,4816000000,4861000000,3122000000,3860000000,7383000000,12685000000,5549000000,6376000000,2662000000,3836000000,3026000000,2571000000,6414000000,6148000000,6761000000,7356000000,4909000000,18784000000
16,EBITDA ratio,0.2367,0.2423,0.1603,0.2687,0.2808,0.2426,0.2523,0.2406,0.2070,0.3008,0.3038,0.2676,0.3187,0.3754,0.3339,0.1786,0.2446,0.2485,0.2531,0.1743,0.1995,0.3585,0.6744,0.2848,0.3001,0.1511,0.2341,0.1906,0.1553,0.3302,0.2959,0.2997,0.2814,0.1155,0.4050
