,https://roic.ai/company/BLK,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,341500000,380981000,476872000,533144000,576977000,598212000,725311000,1191386000,2097976000,4844655000,5064000000,4700000000,8612000000,9081000000,9337000000,10180000000,11081000000,11401000000,11155000000,12491000000,14198000000,14539000000,16205000000,19374000000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,547620000,597000000,477000000,408000000,386000000,4297000000,4622000000,4997000000,5229000000,5109000000,5668000000,6993000000,7133000000,7939000000,9556000000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,4297035000,4467000000,4223000000,8204000000,8695000000,5040000000,5558000000,6084000000,6172000000,6046000000,6823000000,7205000000,7406000000,8266000000,9818000000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.8870,0.8821,0.8985,0.9526,0.9575,0.5398,0.5460,0.5490,0.5414,0.5420,0.5462,0.5075,0.5094,0.5101,0.5068
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,148400000,48570000,58311000,76567000,90076000,107333000,128738000,204850000,443260000,2765544000,2560000000,2676000000,4944000000,5177000000,1359000000,1540000000,990000000,1015000000,976000000,1129000000,1196000000,1324000000,1618000000,1945000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,413000000,365000000,325000000,333000000,361000000,350000000,229000000,238000000
8,"Selling, General and Administrative Exp.",148400000,48570000,58311000,76567000,90076000,107333000,128738000,204850000,443260000,2765544000,2560000000,2676000000,4944000000,5177000000,1359000000,1540000000,1403000000,1380000000,1301000000,1462000000,1557000000,1674000000,1847000000,2183000000
9,Other Expenses,-255900000,221468000,275523000,286401000,271762000,262603000,424678000,645995000,1182916000,237827000,276000000,247000000,262000000,237000000,157000000,161000000,157000000,128000000,99000000,89000000,50000000,97000000,106000000,147000000
10,Operating Expenses,-107500000,270038000,333834000,362968000,361838000,369936000,553416000,850845000,1626176000,3003371000,2836000000,2923000000,5206000000,5414000000,1516000000,1701000000,1560000000,1508000000,1400000000,1551000000,1607000000,1771000000,1953000000,2330000000
11,COGS and Expenses,-107500000,270038000,333834000,362968000,361838000,369936000,553416000,850845000,1626176000,3550991000,3433000000,3400000000,5614000000,5800000000,5813000000,6323000000,6557000000,6737000000,6509000000,7219000000,8600000000,8904000000,9892000000,11886000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,74466000,65000000,20000000,29000000,34000000,36000000,22000000,29000000,26000000,40000000,49000000,104000000,97000000,62000000,87000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,49412000,66000000,68000000,150000000,176000000,215000000,211000000,232000000,204000000,205000000,205000000,184000000,203000000,205000000,205000000
14,Depreciation and Amortization,12900000,18153000,19995000,26021000,20238000,21366000,20686000,30902000,72809000,198824000,232000000,239000000,310000000,299000000,295000000,291000000,278000000,247000000,229000000,240000000,220000000,405000000,358000000,415000000
15,EBITDA,80900000,121603000,169912000,207012000,244186000,272015000,216091000,403368000,584874000,1707340000,1472000000,1557000000,3494000000,3608000000,3998000000,4456000000,4935000000,5046000000,4896000000,5685000000,5785000000,6345000000,6733000000,8489000000
16,EBITDA ratio,0.2369,0.3192,0.3563,0.3883,0.4232,0.4547,0.2979,0.3386,0.2788,0.3524,0.2907,0.3313,0.4057,0.3973,0.4282,0.4377,0.4454,0.4426,0.4389,0.4551,0.4075,0.4364,0.4155,0.4382
17,Operating Income,- -,110943000,143038000,170176000,215139000,228276000,165798000,340541000,471800000,1293664000,1593000000,1278000000,2998000000,3249000000,3524000000,3857000000,4474000000,4664000000,4570000000,5272000000,5457000000,5551000000,5695000000,7450000000
18,Operating Income ratio,- -,0.2912,0.3000,0.3192,0.3729,0.3816,0.2286,0.2858,0.2249,0.2670,0.3146,0.2719,0.3481,0.3578,0.3774,0.3789,0.4038,0.4091,0.4097,0.4221,0.3843,0.3818,0.3514,0.3845
19,Total Other Income Expenses (Gains),-381000000,-7493000,6879000,10815000,8809000,22626000,34640000,35214000,56433000,529055000,-574000000,-6000000,23000000,-114000000,-54000000,116000000,-79000000,-62000000,-110000000,5000000,-79000000,236000000,829000000,723000000
20,Income Before Tax,68000000,103450000,149917000,180991000,223948000,250902000,200438000,375755000,528233000,1822719000,1019000000,1272000000,3021000000,3135000000,3470000000,3973000000,4395000000,4602000000,4460000000,5277000000,5378000000,5787000000,6524000000,8173000000
21,Income Before Tax Ratio,0.1991,0.2715,0.3144,0.3395,0.3881,0.4194,0.2763,0.3154,0.2518,0.3762,0.2012,0.2706,0.3508,0.3452,0.3716,0.3903,0.3966,0.4036,0.3998,0.4225,0.3788,0.3980,0.4026,0.4219
22,Income Tax expense (Gain),32400000,44033000,62556000,73557000,90699000,95247000,52264000,138558000,189463000,463832000,388000000,375000000,971000000,796000000,1030000000,1022000000,1131000000,1250000000,1290000000,270000000,1076000000,1261000000,1238000000,1968000000
23,Net Income,35600000,59417000,87361000,107434000,133249000,155402000,143141000,233908000,322602000,995272000,786000000,875000000,2063000000,2337000000,2458000000,2932000000,3294000000,3345000000,3172000000,4970000000,4305000000,4476000000,4932000000,5901000000
24,Net Income ratio,0.1042,0.1560,0.1832,0.2015,0.2309,0.2598,0.1974,0.1963,0.1538,0.2054,0.1552,0.1862,0.2395,0.2574,0.2633,0.2880,0.2973,0.2934,0.2844,0.3979,0.3032,0.3079,0.3044,0.3046
25,EPS,0.67,1.04,1.37,1.67,2.06,2.40,2.25,3.64,4.00,7.75,6.07,6.24,10.67,12.56,14.03,17.23,19.58,20.10,19.29,30.54,26.86,28.69,32.13,38.45
26,EPS Diluted,0.67,1.04,1.35,1.65,2.04,2.36,2.17,3.50,3.87,7.53,5.91,6.11,10.55,12.37,13.79,16.87,19.25,19.79,19.04,30.12,26.58,28.43,31.85,38.11
27,Weighted Average Shares Outstanding,53508950,57057014,63886353,64271538,64756290,64653352,63688955,64182766,80638167,128488561,129543443,136669164,190554510,184265367,174961018,170185870,168225154,166390009,164425858,162148003,160301116,156014343,153489422,153489422
28,Weighted Average Shares Outstanding Diluted,53684125,57268912,64590707,64926199,65307548,65860368,65960473,66875149,83358394,132088810,132996426,139481449,192692047,187116410,178017679,173828902,171112261,169038571,166579752,164400000,161948732,157459546,154840582,154840582
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1364742/000119312507053304/0001193125-07-053304-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000119312508041884/0001193125-08-041884-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000119312509041298/0001193125-09-041298-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000119312510052764/0001193125-10-052764-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000119312511050218/0001193125-11-050218-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000119312512085869/0001193125-12-085869-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000119312513084957/0001193125-13-084957-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000119312514076587/0001193125-14-076587-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000119312515069955/0001193125-15-069955-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459016013511/0001564590-16-013511-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459017002816/0001564590-17-002816-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459018003744/0001564590-18-003744-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459019005479/0001564590-19-005479-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459020007807/0001564590-20-007807-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459021008796/0001564590-21-008796-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459022007117/0001564590-22-007117-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,157129000,192590000,186451000,255234000,315941000,457673000,484223000,1160304000,1656200000,2032000000,4708000000,3460000000,3560000000,4903000000,4551000000,6001000000,6231000000,6175000000,7038000000,6488000000,4829000000,8664000000,9323000000
32,Short-Term Investments,2500000,2255000,13316000,139126000,208743000,234923000,227497000,298668000,2097574000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7262000000
33,Cash and Short-Term Investments,2500000,159384000,205906000,325577000,463977000,550864000,685170000,782891000,3257878000,1656200000,2032000000,4708000000,3460000000,3560000000,4903000000,4551000000,6001000000,6231000000,6175000000,7038000000,6488000000,4829000000,8664000000,16585000000
34,Net Receivables,- -,2111000,83284000,96659000,114070000,127316000,165342000,339578000,1077550000,1410793000,1210000000,1919000000,2245000000,2102000000,2327000000,2247000000,2120000000,2237000000,2350000000,2699000000,2657000000,3179000000,3535000000,3789000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,222100000,69153000,10073000,10044000,9391000,9958000,16912000,112098000,-2210758000,174849000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
37,Total Current Assets,224600000,230648000,299263000,432280000,587438000,688138000,867424000,1234567000,2124670000,3241842000,3242000000,6627000000,5705000000,5662000000,7230000000,6798000000,8121000000,8468000000,8525000000,9737000000,9145000000,8008000000,12199000000,20374000000
38,PP&E,12300000,22677000,45598000,70510000,93923000,87006000,93701000,129451000,214784000,266460000,260000000,445000000,428000000,537000000,557000000,525000000,467000000,581000000,559000000,592000000,643000000,715000000,681000000,2383000000
39,Goodwill,- -,194257000,- -,- -,- -,- -,- -,- -,5257017000,5519714000,5533000000,12570000000,12805000000,12792000000,12910000000,12980000000,12961000000,13123000000,13118000000,13220000000,13526000000,14562000000,14551000000,15351000000
40,Intangible Assets,203900000,- -,192142000,181688000,182827000,192079000,184110000,483982000,5882430000,6553122000,6441000000,17648000000,17512000000,17356000000,17402000000,17501000000,17344000000,17372000000,17363000000,17389000000,17839000000,18369000000,18263000000,18453000000
41,Intangible Assets,203900000,194257000,192142000,181688000,182827000,192079000,184110000,483982000,11139447000,12072836000,11974000000,30218000000,30317000000,30148000000,30312000000,30481000000,30305000000,30495000000,30481000000,30609000000,31365000000,32931000000,32814000000,33804000000
42,Investments,- -,- -,- -,- -,208743000,234923000,227497000,298668000,2097574000,1999944000,1429000000,1049000000,2852000000,3270000000,1750000000,2151000000,1921000000,1578000000,1595000000,1981000000,1796000000,5489000000,6919000000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,-208743000,-234923000,-227497000,-298668000,-2097574000,4980433000,3019000000,139655000000,139157000000,140279000000,160602000000,179918000000,198994000000,184139000000,179017000000,177298000000,116624000000,121479000000,124369000000,- -
45,Total Non-Current Assets,216200000,216934000,237740000,252198000,276750000,279085000,277811000,613433000,11354231000,19319673000,16682000000,171367000000,172754000000,174234000000,193221000000,213075000000,231687000000,216793000000,211652000000,210480000000,150428000000,160614000000,164783000000,36187000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,168461000000
47,Total Assets,440800000,447582000,537003000,684478000,864188000,967223000,1145235000,1848000000,13478901000,22561515000,19924000000,177994000000,178459000000,179896000000,200451000000,219873000000,239808000000,225261000000,220177000000,220217000000,159573000000,168622000000,176982000000,152648000000
48,Accounts Payable,- -,705000,- -,- -,- -,- -,- -,- -,- -,788968000,545000000,845000000,1068000000,923000000,1055000000,1084000000,1035000000,1068000000,1094000000,1161000000,1292000000,1167000000,1028000000,- -
49,Short-Term Debt,18800000,28200000,- -,- -,- -,- -,- -,- -,- -,300000000,200000000,2234000000,100000000,100000000,100000000,- -,- -,- -,- -,- -,- -,- -,- -,7488000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3673000000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,9435000000,1200937000,929000000,1921000000,1577000000,1405000000,14000000,- -,- -,- -,- -,- -,- -,- -,-3673000000,- -
53,Total Current Liabilities,18800000,28905000,- -,- -,- -,- -,- -,- -,9435000000,2289905000,1674000000,5000000000,2745000000,2428000000,1169000000,1084000000,1035000000,1068000000,1094000000,1161000000,1292000000,1167000000,1028000000,7488000000
54,Long-Term Debt,178200000,28200000,- -,- -,- -,- -,- -,253791000,497003000,947021000,946000000,3434000000,4537000000,6264000000,8089000000,7308000000,8327000000,4930000000,4915000000,5014000000,5063000000,4955000000,7264000000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,1738670000,2059980000,1825000000,5526000000,5477000000,5323000000,5293000000,5085000000,4989000000,4851000000,4840000000,3538000000,3571000000,3734000000,3673000000,2758000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,-1982673000,5089444000,2922000000,139432000000,139366000000,140519000000,160315000000,179780000000,197972000000,185832000000,180178000000,178629000000,117214000000,125153000000,129683000000,103509000000
58,Total Non-Current Liabilities,178200000,28200000,- -,- -,- -,- -,- -,253791000,253000000,8096445000,5693000000,148392000000,149380000000,152106000000,173697000000,192173000000,211288000000,195613000000,189933000000,187181000000,125848000000,133842000000,140620000000,106267000000
59,Other Liabilities,494000000,166351000,168762000,198361000,229534000,252676000,359714000,1169934000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,334600000,167056000,168762000,198361000,229534000,252676000,359714000,916143000,8578520000,10386350000,7367000000,153392000000,152125000000,154534000000,174866000000,193257000000,212323000000,196681000000,191027000000,188342000000,127140000000,135009000000,141648000000,113755000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,126000,126000,- -,1000000,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,639000,640000,646000,652000,653000,647000,653000,1174000,1186000,1000000,1000000,1000000,1000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000
64,Retained Earnings,53300000,112703000,200064000,307498000,440747000,570535000,650016000,806884000,993821000,1622041000,1991000000,2436000000,3798000000,5118000000,6473000000,8230000000,10145000000,12033000000,13660000000,16966000000,19282000000,21662000000,24334000000,27688000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,231000,6027000,8254000,2673000,44666000,71020000,-186000000,-96000000,-96000000,-127000000,-59000000,-35000000,-273000000,-448000000,-716000000,-432000000,-691000000,-571000000,-337000000,-550000000
66,Other Total Stockholders Equity,52900000,167184000,167537000,177973000,193024000,136093000,109435000,112033000,9742093000,9902582000,10260000000,21987000000,22390000000,20056000000,18987000000,18263000000,17492000000,16916000000,16152000000,15289000000,13781000000,12454000000,11284000000,10666000000
67,Total Stockholders Equity,106200000,280526000,368241000,486117000,634654000,713308000,768352000,922243000,10781880000,11596955000,12066000000,24329000000,26094000000,25048000000,25403000000,26460000000,27366000000,28503000000,29098000000,31825000000,32374000000,33547000000,35283000000,37806000000
68,Total Liabilities And Stockholders Equity,440800000,447582000,537003000,684478000,864188000,965984000,1128066000,1838386000,19360400000,21983305000,19433000000,177721000000,178219000000,179582000000,200269000000,219717000000,239689000000,225184000000,220125000000,220167000000,159514000000,168556000000,176931000000,151561000000
69,Minority Interest,- -,- -,- -,- -,- -,1239000,17169000,9614000,-5881499000,578210000,491000000,273000000,240000000,314000000,182000000,156000000,119000000,77000000,52000000,50000000,59000000,66000000,51000000,1087000000
70,Total Liabilities & Equity,440800000,447582000,537003000,684478000,864188000,967223000,1145235000,1848000000,13478901000,22561515000,19924000000,177994000000,178459000000,179896000000,200451000000,219873000000,239808000000,225261000000,220177000000,220217000000,159573000000,168622000000,176982000000,152648000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1364742/000119312507053304/0001193125-07-053304-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000119312508041884/0001193125-08-041884-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000119312509041298/0001193125-09-041298-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000119312510052764/0001193125-10-052764-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000119312511050218/0001193125-11-050218-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000119312512085869/0001193125-12-085869-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000119312513084957/0001193125-13-084957-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000119312514076587/0001193125-14-076587-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000119312515069955/0001193125-15-069955-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459016013511/0001564590-16-013511-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459017002816/0001564590-17-002816-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459018003744/0001564590-18-003744-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459019005479/0001564590-19-005479-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459020007807/0001564590-20-007807-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459021008796/0001564590-21-008796-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459022007117/0001564590-22-007117-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,35600000,59417000,87361000,107434000,133249000,155402000,143141000,233908000,322602000,995272000,786000000,875000000,2063000000,2337000000,2458000000,2932000000,3294000000,3345000000,3172000000,4970000000,4305000000,4476000000,4932000000,5901000000
74,Depreciation and Amortization,12900000,18153000,19995000,26021000,20238000,21366000,20686000,30902000,72809000,198824000,232000000,239000000,310000000,299000000,295000000,291000000,278000000,247000000,229000000,240000000,220000000,405000000,358000000,415000000
75,Deferred Income Tax,- -,- -,- -,-8460000,7053000,-2311000,-25149000,18895000,-42509000,-104654000,-232000000,-89000000,3000000,-137000000,-61000000,-193000000,-104000000,-156000000,-14000000,-1221000000,-226000000,17000000,-157000000,-865000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,188256000,278000000,317000000,445000000,497000000,451000000,448000000,453000000,514000000,521000000,542000000,564000000,567000000,622000000,734000000
77,Change in Working Capital,7000000,6048000,68615000,133017000,155158000,100700000,179286000,367143000,-8544897000,8262267000,616063000,59000000,1333000000,274000000,2827000000,-347000000,1372000000,314000000,31000000,1145000000,-723000000,-1012000000,4330000000,1715000000
78,Accounts Receivable,-68800000,37393000,-22093000,-13346000,16884000,-8045000,-27852000,-204577000,-185809000,-273199000,339000000,-223000000,-364000000,124000000,-292000000,14000000,78000000,-154000000,-86000000,-521000000,4000000,-433000000,-313000000,-322000000
