,https://roic.ai/company/AU,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,805400000,2235600000,2205200000,2208000000,2041000000,1799000000,2062000000,2521000000,2485000000,2715000000,3280000000,3655000000,3784000000,5334000000,6570000000,6353000000,5497000000,5218000000,4015000000,4085000000,4356000000,3943000000,3525000000,4427000000,4029000000
2,COGS,- -,607700000,1702800000,1558700000,1523000000,1299000000,938000000,1246000000,2022000000,1679000000,1642000000,2034000000,2159000000,2313000000,2656000000,3959000000,4141000000,4146000000,4190000000,3294000000,3263000000,3582000000,3173000000,2626000000,2699000000,2857000000
3,Gross Profit,- -,197700000,532800000,646500000,685000000,742000000,861000000,816000000,499000000,806000000,1073000000,1246000000,1496000000,1471000000,2678000000,2611000000,2212000000,1351000000,1028000000,721000000,822000000,774000000,770000000,899000000,1728000000,1172000000
4,Gross Profit Ratio,- -,0.2455,0.2383,0.2932,0.3102,0.3635,0.4786,0.3957,0.1979,0.3243,0.3952,0.3799,0.4093,0.3887,0.5021,0.3974,0.3482,0.2458,0.1970,0.1796,0.2012,0.1777,0.1953,0.2550,0.3903,0.2909
5,Research and Development Exp.,- -,- -,- -,7000000,8000000,2000000,1000000,- -,- -,44000000,16000000,16000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,115000000,- -,- -,80000000,- -,- -,214000000,158000000,377000000,275000000,285000000,195000000,112000000,102000000,100000000,87000000,99000000,123000000,85000000,90000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,13000000,- -,- -,13000000,10000000,14000000,9000000,10000000,6000000,1000000,1000000,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,49700000,42200000,88100000,81000000,62000000,115000000,129000000,110000000,93000000,170000000,203000000,227000000,168000000,391000000,284000000,295000000,201000000,113000000,103000000,100000000,87000000,99000000,123000000,85000000,90000000
9,Other Expenses,- -,42500000,135500000,196300000,237000000,-7000000,333000000,321000000,31000000,593000000,699000000,655000000,741000000,765000000,926000000,307000000,421000000,301000000,176000000,203000000,204000000,181000000,180000000,170000000,165000000,259000000
