,https://roic.ai/company/MYE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,85300000,89600000,131700000,183800000,194800000,202100000,195600000,229300000,245100000,274100000,300700000,320900000,339600000,392000000,580800000,652659900,607950431,607991158,661091504,803070387,903679161,779984388,918792960,867830285,701834000,737618000,755654000,791188000,825210000,623649000,601538000,558062000,547043000,566735000,515698000,510369000,199579000
2,COGS,56100000,80200000,86900000,161000000,129200000,131200000,123500000,147600000,156100000,174400000,195600000,207900000,219200000,238900000,330100000,392254416,403011346,406572783,460803696,564295649,657506277,572438757,683107307,664714763,530939000,573094000,557385000,575907000,607582000,462370000,423260000,393422000,389590000,387442000,344386000,338409000,147763000
3,Gross Profit,29200000,9400000,44800000,22800000,65600000,70900000,72100000,81700000,89000000,99700000,105100000,113000000,120400000,153100000,250700000,260405484,204939085,201418375,200287808,238774738,246172884,207545631,235685653,203115522,170895000,164524000,198269000,215281000,217628000,161279000,178278000,164640000,157453000,179293000,171312000,171960000,51816000
4,Gross Profit Ratio,0.3423,0.1049,0.3402,0.1240,0.3368,0.3508,0.3686,0.3563,0.3631,0.3637,0.3495,0.3521,0.3545,0.3906,0.4316,0.3990,0.3371,0.3313,0.3030,0.2973,0.2724,0.2661,0.2565,0.2340,0.2435,0.2230,0.2624,0.2721,0.2637,0.2586,0.2964,0.2950,0.2878,0.3164,0.3322,0.3369,0.2596
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66800000,65900000,68900000,86100000,143700000,154308093,158999924,149247798,165566855,188248826,191231308,146623068,189884253,168451717,77297000,65968000,77136000,77906000,81956000,78400000,86665000,78158000,78889000,79832000,76780000,74009000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70999000,74185000,81475000,85519000,91739000,60261000,60752000,60440000,56614000,59503000,56350000,56322000,- -
8,"Selling, General and Administrative Exp.",20600000,- -,30100000,- -,40600000,44700000,46900000,52100000,54800000,59500000,66800000,65900000,68900000,86100000,143700000,154308093,158999924,149247798,165566855,188248826,191231308,146623068,189884253,168451717,148296000,140153000,158611000,163425000,173695000,138661000,147417000,138598000,135503000,139335000,133130000,130331000,41302000
9,Other Expenses,2100000,2000000,3300000,5300000,5000000,5400000,5700000,6400000,7700000,9500000,10500000,11300000,13200000,17600000,37500000,42827529,- -,- -,- -,- -,-1049193,- -,- -,70148239,- -,- -,- -,- -,- -,- -,- -,- -,- -,33331000,- -,-11924000,- -
