,https://roic.ai/company/AFG,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,51500000,253500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,0.0203,0.0987,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-17000000,44700000,2527300000,2387900000,1421400000,1546500000,1725000000,2154300000,824000000,798000000,436300000,171100000,980900000,1270900000,159884000,117570000,137518000,253025000,219869000,259266000,266647000,342415000,414986000,364700000,344100000,294100000,226400000,181000000,175000000,183000000,97000000,102000000,243000000,224000000,206000000,199000000,201000000,72000000,- -
20,Income Before Tax,34500000,298200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,319610000,204754000,302061000,109893000,55898000,178019000,301006000,589538000,356814000,697600000,638900000,315900000,812900000,689000000,560000000,537000000,689000000,626000000,565000000,787000000,724000000,639000000,1108000000,848000000,1335000000
21,Income Before Tax Ratio,0.0136,0.1161,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0795,0.0506,0.0906,0.0288,0.0142,0.0475,0.0896,0.1509,0.0884,0.1641,0.1450,0.0736,0.1881,0.1532,0.1179,0.1061,0.1353,0.1096,0.0919,0.1211,0.1055,0.0894,0.1345,0.1086,0.2038
22,Income Tax expense (Gain),14800000,128200000,99900000,134200000,20400000,50600000,58300000,47200000,41900000,40900000,-52600000,40400000,56500000,91300000,120127000,79584000,98198000,29041000,10078000,17880000,-47454000,186089000,115843000,235700000,225800000,115900000,282200000,266000000,240000000,135000000,236000000,220000000,195000000,119000000,247000000,122000000,239000000,127000000,254000000
23,Net Income,19700000,170000000,110800000,154200000,36200000,103400000,174100000,97800000,2600000,305400000,232000000,300000,191200000,233300000,192250000,124400000,141440000,-56035000,-14840000,84640000,293815000,359860000,206580000,453400000,383200000,195800000,519300000,479000000,343000000,488000000,471000000,452000000,352000000,649000000,475000000,530000000,897000000,732000000,1995000000
24,Net Income ratio,0.0078,0.0662,0.0438,0.0646,0.0255,0.0669,0.1009,0.0454,0.0015,0.1658,0.1316,0.0002,0.0527,0.0567,0.0478,0.0307,0.0424,-0.0147,-0.0038,0.0226,0.0875,0.0921,0.0512,0.1067,0.0870,0.0456,0.1202,0.1065,0.0722,0.0964,0.0925,0.0791,0.0573,0.0999,0.0692,0.0741,0.1089,0.0937,0.3045
25,EPS,0.16,1.27,0.92,1.29,0.31,0.97,1.65,1.07,0.02,4.32,4.57,-0.55,2.59,2.56,0.43,1.35,1.58,-0.63,-0.15,0.82,2.76,3.26,1.79,3.84,3.25,1.71,4.58,4.38,3.51,5.48,5.29,5.15,4.02,7.47,5.38,5.94,9.93,8.48,23.10
26,EPS Diluted,0.16,1.27,0.92,1.29,0.31,0.97,1.65,1.07,0.02,4.32,4.57,-0.55,2.57,2.53,0.43,1.33,1.57,-0.63,-0.15,0.81,2.75,3.21,1.75,3.75,3.10,1.67,4.45,4.33,3.33,5.09,5.16,4.97,3.94,7.33,5.28,5.85,9.85,8.20,22.37
27,Weighted Average Shares Outstanding,123100000,133500000,120374595,119784667,117984486,106179787,105249794,91641679,73578595,70659115,50777531,72963518,71446236,91087269,89490000,91833000,89598000,88357500,101892000,103200000,104905500,110446500,115827000,118000000,117700000,114400000,115800000,109200000,97846402,88979303,88979303,87708793,87474452,86900000,88275460,89291724,90303686,86345246,86345246
28,Weighted Average Shares Outstanding Diluted,123100000,133500000,120374595,119784667,117984486,106179787,105249794,91641679,73578595,70659115,50777531,72963518,72002960,92288948,91122000,93277500,90315000,88611000,102552000,103804500,105408000,112237500,117769500,120500000,123200000,116700000,116800000,110500000,102900000,95900000,91200000,91000000,89400000,88500000,89800000,90600000,91000000,89200000,89200000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1042046/000104204604000018/afg10k03.htm,https://www.sec.gov/Archives/edgar/data/1042046/000104204605000010/afg10k04.htm,https://www.sec.gov/Archives/edgar/data/1042046/000104204606000014/afg10k05.htm,https://www.sec.gov/Archives/edgar/data/1042046/000104204607000014/afg10k06.htm,https://www.sec.gov/Archives/edgar/data/1042046/000104204608000010/afg10k07.htm,https://www.sec.gov/Archives/edgar/data/1042046/000104204609000011/afg10k08.htm,https://www.sec.gov/Archives/edgar/data/1042046/000104204610000008/afg10k09.htm,https://www.sec.gov/Archives/edgar/data/1042046/000095012311019459/c10092e10vk.htm,https://www.sec.gov/Archives/edgar/data/1042046/000095012312003679/c25109e10vk.htm,- -,https://www.sec.gov/Archives/edgar/data/1042046/000104204614000014/afg-2013123110k.htm,https://www.sec.gov/Archives/edgar/data/1042046/000104204615000015/afg-2014123110k.htm,https://www.sec.gov/Archives/edgar/data/1042046/000104204616000074/afg-2015123110k.htm,https://www.sec.gov/Archives/edgar/data/1042046/000104204617000014/afg-2016123110k.htm,https://www.sec.gov/Archives/edgar/data/1042046/000104204618000014/afg-2017123110k.htm,https://www.sec.gov/Archives/edgar/data/1042046/000104204619000014/afg-2018123110k.htm,https://www.sec.gov/Archives/edgar/data/1042046/000104204620000013/afg-2019123110k.htm,https://www.sec.gov/Archives/edgar/data/1042046/000104204621000011/0001042046-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1042046/000104204622000010/0001042046-22-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,318000000,38000000,193000000,1078600000,1072000000,757900000,16100000,34600000,15000000,38000000,32000000,37000000,544000000,448000000,257000000,297000000,391000000,439000000,544000000,871000000,594000000,861742000,471849000,1329000000,815900000,1264000000,1119500000,1099000000,1324000000,1705000000,1639000000,1343000000,1220000000,2107000000,2338000000,1515000000,2314000000,2810000000,2131000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24118000000,26456000000,32235000000,33837000000,36046000000,39979000000,41997000000,46505000000,43207000000,10357000000
33,Cash and Short-Term Investments,318000000,38000000,193000000,1078600000,1072000000,757900000,16100000,34600000,15000000,38000000,32000000,37000000,544000000,448000000,257000000,297000000,391000000,439000000,544000000,871000000,594000000,861742000,471849000,1329000000,815900000,1264000000,1119500000,1099000000,1324000000,25823000000,28095000000,33578000000,35057000000,38153000000,42317000000,43512000000,48819000000,46017000000,12488000000
34,Net Receivables,- -,- -,404900000,296100000,319200000,241200000,372800000,514800000,332900000,330900000,289900000,343800000,703300000,609400000,934335000,925019000,880677000,940946000,920426000,1015335000,822975000,4318802000,4226088000,4649600000,1036000000,1044500000,1095800000,1209000000,1460000000,4925000000,4750000000,5037000000,4393000000,4642000000,5545000000,5673000000,5725000000,12282000000,5641000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,904300000,788200000,640200000,1018900000,2120600000,2056400000,2476500000,2629800000,3225700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-149549717000,-148503017000,-148763945000,18955500000,23751600000,23909000000,25261000000,29960000000,33072000000,- -,-4011000000,-36188000000,-37127000000,-39635000000,-44316000000,-4439000000,- -,-18609000000,- -
37,Total Current Assets,- -,- -,1502200000,2162900000,2031400000,2018000000,2509500000,2605800000,2824400000,2998700000,3547600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-148132742000,-143322473000,-144066008000,24934100000,25603500000,26217500000,27476300000,32268000000,35856000000,- -,28834000000,2427000000,2323000000,3160000000,3546000000,44746000000,- -,39690000000,- -
38,PP&E,1090000000,1122000000,1065900000,571400000,345100000,301500000,335600000,412000000,149800000,135800000,95200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,299408000,281769000,332072000,318920000,312819000,248683000,168330000,165882000,166882000,167800000,204400000,210200000,207600000,186000000,186000000,185000000,185000000,201000000,199000000,199000000,199000000,207000000,207000000,207000000,234000000
40,Intangible Assets,- -,- -,305800000,198200000,116400000,80800000,333100000,529100000,408900000,396600000,406800000,394500000,314100000,278600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,305800000,198200000,116400000,80800000,333100000,529100000,408900000,396600000,406800000,394500000,314100000,278600000,299408000,281769000,332072000,318920000,312819000,248683000,168330000,165882000,166882000,167800000,204400000,210200000,207600000,186000000,186000000,185000000,185000000,201000000,199000000,199000000,199000000,207000000,207000000,207000000,234000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12307355000,12752237000,14240751000,15155124000,15630100000,16338100000,14713400000,17606400000,20411000000,23175000000,25378000000,27940000000,32696000000,34257000000,36461000000,40389000000,45290000000,50243000000,46817000000,12944000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,155409433000,151475367000,151559994000,-15630900000,-16338500000,-14713600000,-17607000000,-20411000000,-23175000000,- -,-14872000000,12211000000,13080000000,15252000000,16524000000,-26787000000,- -,- -,- -
45,Total Non-Current Assets,- -,- -,1371700000,769600000,461500000,382300000,668700000,941100000,558700000,532400000,502000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,168330000000,165882000000,166882000000,167000000,204000000,210000000,207000000,186000000,186000000,- -,13253000000,45108000000,47536000000,51912000000,57112000000,18710000000,- -,- -,- -
46,Other Assets,2874000000,2766000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,4194000000,14953900000,15051100000,15755349000,15845203000,16054075000,16415541000,17401681000,19504826000,- -,- -,- -,- -,- -,- -,- -,- -,- -,39171000000,- -,- -,- -,- -,- -,- -,70130000000,33876000000,28939000000
47,Total Assets,2874000000,2766000000,2873900000,2932500000,2492900000,2400300000,3178200000,3546900000,3383100000,3531100000,4049600000,4194000000,14953900000,15051100000,15755349000,15845203000,16054075000,16415541000,17401681000,19504826000,20197258000,22559527000,22815992000,25101100000,25807500000,26427500000,27683300000,32454000000,36042000000,39171000000,42087000000,47535000000,49859000000,55072000000,60658000000,63456000000,70130000000,73566000000,28939000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,350200000,403100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,504100000,462700000,320000000,475000000,3191000000,2630000000,2872000000,2792000000,2936000000,3700000000,3694000000,3838000000,3924000000,920000000
49,Short-Term Debt,323000000,328000000,71200000,21400000,10400000,8700000,6300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1109000000,819000000,976800000,673600000,778600000,621300000,994500000,- -,1904000000,- -,2327000000,- -,12632000000,12979000000,13512000000,13537000000,13981000000,14087000000,15023000000,16834000000,17284000000,19100000000,19358000000,21251000000,21824000000,22403900000,22611300000,26712000000,30088000000,- -,33945000000,38723000000,41455000000,45937000000,50327000000,53490000000,58550000000,1286000000,- -
53,Total Current Liabilities,1432000000,1147000000,1048000000,695000000,789000000,630000000,1351000000,- -,1904000000,- -,2327000000,- -,12632000000,12979000000,13512000000,13537000000,13981000000,14087000000,15023000000,16834000000,17284000000,19100000000,19358000000,21251000000,21824000000,22908000000,23074000000,27032000000,30563000000,- -,36575000000,41595000000,44247000000,48873000000,54027000000,57184000000,62388000000,5210000000,- -
54,Long-Term Debt,- -,- -,241700000,86700000,188900000,159700000,372500000,525400000,670800000,656100000,523200000,507300000,882100000,517900000,580745000,592432000,732656000,779956000,879712000,945181000,836862000,371368000,942743000,921000000,936900000,1029700000,827600000,952000000,934000000,953000000,913000000,1061000000,1020000000,1283000000,1301000000,1302000000,1473000000,1963000000,1964000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,97200000,34800000,32600000,29700000,29700000,29700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,557000000,572000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,100000,255000,-432000,344000,44000,288000,-181000,138000,657632000,57257000,- -,100000,300000,400000,- -,- -,- -,- -,- -,-22000000,- -,- -,- -,- -,9299000000,- -
58,Total Non-Current Liabilities,- -,- -,338900000,121500000,221500000,189400000,402200000,555100000,670800000,656100000,523200000,507300000,882000000,518000000,581000000,592000000,733000000,780000000,880000000,945000000,837000000,1029000000,1000000000,921000000,937000000,1030000000,828000000,952000000,934000000,953000000,913000000,1061000000,998000000,1283000000,1301000000,1302000000,1473000000,11262000000,1964000000
59,Other Liabilities,- -,- -,- -,266800000,47000000,400000,- -,2440500000,- -,2667800000,- -,3146400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35376000000,- -,- -,- -,- -,- -,- -,- -,72829000000,25891000000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,1432000000,1147000000,1048000000,840300000,836000000,630400000,1333900000,1885400000,1886100000,2011700000,2312200000,2639100000,13199400000,13002300000,13579643000,13607250000,14224827000,14358978000,15448572000,17307954000,17933538000,19909394000,20097340000,21888300000,22661500000,23825900000,23764400000,27834000000,31351000000,34423000000,37318000000,42481000000,45089000000,50153000000,55327000000,58484000000,63861000000,66777000000,23927000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,35000000,51000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61049000,60928000,58420000,67410000,68492000,69129000,73056000,76634000,78068000,119300000,113500000,- -,- -,- -,- -,89000000,90000000,88000000,87000000,87000000,88000000,89000000,90000000,86000000,85000000
64,Retained Earnings,329000000,474000000,584700000,737000000,428200000,524400000,669300000,736300000,705100000,707000000,912300000,867500000,387100000,559700000,477071000,527028000,557538000,442454000,359513000,409777000,664721000,976340000,1134074000,1533600000,1733500000,1841600000,2273600000,2720000000,2769000000,2595000000,2826000000,2912000000,2987000000,3343000000,3248000000,3588000000,4009000000,4149000000,3478000000
65,Other Comprehensive Income/Loss,-306000000,-382000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,323900000,302600000,231700000,50800000,55500000,12600000,-703000000,162700000,479000000,557000000,831000000,560000000,727000000,304000000,375000000,813000000,48000000,863000000,1273000000,119000000
66,Other Total Stockholders Equity,1383000000,1476000000,1241200000,1355200000,1228700000,1245500000,1175000000,925200000,791900000,812400000,825100000,687400000,1367400000,1489100000,1637586000,1649997000,1213290000,1546699000,1525104000,923042000,1035784000,1145873000,1194600000,1220500000,1186500000,1463000000,1482300000,1421000000,1342000000,- -,1123000000,1152000000,1214000000,1111000000,1181000000,1245000000,1307000000,1281000000,- -
67,Total Stockholders Equity,1441000000,1619000000,1825900000,2092200000,1656900000,1769900000,1844300000,1661500000,1497000000,1519400000,1737400000,1554900000,1754500000,2048800000,2175706000,2237953000,1829248000,2056563000,1953109000,1725848000,2076161000,2430547000,2457542000,2928900000,3046100000,2490000000,3781100000,4470000000,4545000000,4578000000,4599000000,4879000000,4592000000,4916000000,5330000000,4970000000,6269000000,6789000000,5012000000
68,Total Liabilities And Stockholders Equity,2873000000,2766000000,2873900000,2932500000,2492900000,2400300000,3178200000,3546900000,3383100000,3531100000,4049600000,4194000000,14953900000,15051100000,15755349000,15845203000,16054075000,16415541000,17401681000,19033802000,20009699000,22339941000,22554882000,24817200000,25707600000,26315900000,27545500000,32304000000,35896000000,39001000000,41917000000,47360000000,49681000000,55069000000,60657000000,63454000000,70130000000,73566000000,28939000000
69,Minority Interest,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,471024000,187559000,219586000,261110000,283900000,99900000,111600000,137800000,150000000,146000000,170000000,170000000,175000000,178000000,3000000,1000000,2000000,- -,- -,- -
70,Total Liabilities & Equity,2874000000,2766000000,2873900000,2932500000,2492900000,2400300000,3178200000,3546900000,3383100000,3531100000,4049600000,4194000000,14953900000,15051100000,15755349000,15845203000,16054075000,16415541000,17401681000,19504826000,20197258000,22559527000,22815992000,25101100000,25807500000,26427500000,27683300000,32454000000,36042000000,39171000000,42087000000,47535000000,49859000000,55072000000,60658000000,63456000000,70130000000,73566000000,28939000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1042046/000104204604000018/afg10k03.htm,https://www.sec.gov/Archives/edgar/data/1042046/000104204605000010/afg10k04.htm,https://www.sec.gov/Archives/edgar/data/1042046/000104204606000014/afg10k05.htm,https://www.sec.gov/Archives/edgar/data/1042046/000104204607000014/afg10k06.htm,https://www.sec.gov/Archives/edgar/data/1042046/000104204608000010/afg10k07.htm,https://www.sec.gov/Archives/edgar/data/1042046/000104204609000011/afg10k08.htm,https://www.sec.gov/Archives/edgar/data/1042046/000104204610000008/afg10k09.htm,https://www.sec.gov/Archives/edgar/data/1042046/000095012311019459/c10092e10vk.htm,https://www.sec.gov/Archives/edgar/data/1042046/000095012312003679/c25109e10vk.htm,- -,https://www.sec.gov/Archives/edgar/data/1042046/000104204614000014/afg-2013123110k.htm,https://www.sec.gov/Archives/edgar/data/1042046/000104204615000015/afg-2014123110k.htm,https://www.sec.gov/Archives/edgar/data/1042046/000104204616000074/afg-2015123110k.htm,https://www.sec.gov/Archives/edgar/data/1042046/000104204617000014/afg-2016123110k.htm,https://www.sec.gov/Archives/edgar/data/1042046/000104204618000014/afg-2017123110k.htm,https://www.sec.gov/Archives/edgar/data/1042046/000104204619000014/afg-2018123110k.htm,https://www.sec.gov/Archives/edgar/data/1042046/000104204620000013/afg-2019123110k.htm,https://www.sec.gov/Archives/edgar/data/1042046/000104204621000011/0001042046-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1042046/000104204622000010/0001042046-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,19700000,170000000,110800000,154200000,36200000,103400000,174100000,97800000,2600000,305400000,232000000,300000,191200000,233300000,192250000,124400000,141440000,-56035000,-14840000,84640000,293815000,359860000,206580000,453400000,383200000,195800000,519300000,479000000,343000000,488000000,471000000,452000000,352000000,649000000,475000000,530000000,897000000,732000000,1995000000
74,Depreciation and Amortization,117400000,120900000,93700000,52900000,35400000,35700000,52900000,65500000,41800000,40700000,32800000,27500000,47800000,79400000,76400000,106000000,95000000,117388000,147588000,174990000,176857000,174220000,213035000,167000000,194300000,220500000,198400000,214000000,192000000,257000000,142000000,144000000,132000000,134000000,107000000,210000000,259000000,299000000,187000000
75,Deferred Income Tax,14800000,17600000,12000000,- -,- -,- -,- -,- -,31200000,34900000,-57900000,36300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,2400000,285000000,1601200000,1013700000,-225500000,145600000,-229500000,1447300000,-1685400000,2078300000,-1778100000,-1220600000,-12632000000,-347000000,-533000000,-25000000,-444000000,-106000000,-936000000,-1811000000,-148582742000,2994269000,-1001535000,167107108000,96400000,-470000000,1092800000,833700000,57000000,-5293000000,-7741000000,-31427000000,-2756000000,-3789000000,-4768000000,38043000000,-49950000000,96868000000,-18659000000
