,https://roic.ai/company/PFG,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,360600000,362424242,347073171,327324561,315114504,289807074,275748663,267734628,261100000,298900000,323000000,317600000,300400000,298200000,298700000,298000000,292700000,293100000,288800000,276600000,273300000,266100000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1126328/000112632802000031/0001126328-02-000031-index.html,https://www.sec.gov/Archives/edgar/data/1126328/000112632803000122/0001126328-03-000122-index.html,https://www.sec.gov/Archives/edgar/data/1126328/000112632804000056/0001126328-04-000056-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1126328/000104746906002772/a2167692z10-k.htm,https://www.sec.gov/Archives/edgar/data/1126328/000104746907001453/a2176222z10-k.htm,https://www.sec.gov/Archives/edgar/data/1126328/000104746908001808/0001047469-08-001808-index.html,https://www.sec.gov/Archives/edgar/data/1126328/000104746909001547/0001047469-09-001547-index.html,https://www.sec.gov/Archives/edgar/data/1126328/000104746910000948/0001047469-10-000948-index.html,https://www.sec.gov/Archives/edgar/data/1126328/000104746911000974/a2201860z10-k.htm,https://www.sec.gov/Archives/edgar/data/1126328/000104746912001065/0001047469-12-001065-index.html,https://www.sec.gov/Archives/edgar/data/1126328/000104746913000940/0001047469-13-000940-index.html,https://www.sec.gov/Archives/edgar/data/1126328/000104746914000817/a2218175z10-k.htm,https://www.sec.gov/Archives/edgar/data/1126328/000104746915000727/a2222934z10-k.htm,https://www.sec.gov/Archives/edgar/data/1126328/000104746916010094/0001047469-16-010094-index.html,https://www.sec.gov/Archives/edgar/data/1126328/000104746917000589/0001047469-17-000589-index.html,https://www.sec.gov/Archives/edgar/data/1126328/000104746918000695/0001047469-18-000695-index.html,https://www.sec.gov/Archives/edgar/data/1126328/000104746919000469/0001047469-19-000469-index.html,https://www.sec.gov/Archives/edgar/data/1126328/000110465920021174/0001104659-20-021174-index.html,https://www.sec.gov/Archives/edgar/data/1126328/000110465921022074/0001104659-21-022074-index.htm,https://www.sec.gov/Archives/edgar/data/1126328/000110465922020401/0001104659-22-020401-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,927000000,623800000,1038600000,1692900000,452500000,1641300000,1590800000,1344400000,2608000000,2240400000,1877400000,2833900000,4177200000,2371800000,1863900000,2564800000,2719600000,2470800000,2977500000,2515900000,2849800000,2332000000
32,Short-Term Investments,- -,829800000,1200100000,1463000000,1585700000,1113500000,1410700000,2118600000,1814800000,- -,- -,- -,51075800000,48867600000,49793800000,50071000000,54945000000,59484400000,60108500000,70106200000,78710300000,78154500000
33,Cash and Short-Term Investments,927000000,1453600000,2238700000,3155900000,2038200000,2754800000,3001500000,3463000000,4422800000,2240400000,1877400000,2833900000,55253000000,51239400000,51657700000,52635800000,57664600000,61955200000,63086000000,72622100000,81560100000,80486500000
34,Net Receivables,- -,531300000,459700000,719800000,628500000,592700000,1252300000,951200000,988100000,1065400000,1063000000,1245200000,1084400000,1241000000,1213000000,1429300000,1361900000,1469800000,1413100000,1740300000,1723800000,1842400000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,84619000000,86485100000,103125300000,110274400000,122784900000,137640300000,148257000000,120953500000,132727600000,65580600000,65523500000,-51907400000,-49391700000,17932900000,18865800000,20109200000,21759100000,23881200000,25191500000,127635000000,137138200000
37,Total Current Assets,- -,86603900000,89183500000,107001000000,112941100000,126132400000,141894100000,152671200000,126364400000,136033400000,68521000000,69602600000,4430000000,3088700000,70803600000,72930900000,79135700000,85184100000,88380300000,99553900000,210918900000,219467100000
38,PP&E,- -,518200000,482500000,447800000,429400000,419800000,422500000,469000000,518200000,489300000,458700000,457200000,464200000,500700000,590200000,633800000,699000000,759500000,767300000,967700000,1019000000,1038000000
39,Goodwill,- -,- -,106500000,184200000,232900000,282300000,361900000,374700000,375500000,386400000,345400000,482300000,543400000,1100300000,1007400000,1009000000,1020800000,1068800000,1100000000,1693800000,1711000000,1627600000
40,Intangible Assets,- -,1228400000,88800000,121400000,196500000,202600000,981000000,1006900000,925300000,851700000,834600000,890600000,927200000,1459000000,1323500000,1359200000,1325300000,1314700000,1315100000,1786700000,1723000000,1600600000
41,Intangible Assets,- -,1228400000,195300000,305600000,429400000,484900000,1342900000,1381600000,1300800000,1238100000,1180000000,1372900000,1470600000,2559300000,2330900000,2368200000,2346100000,2383500000,2415100000,3480500000,3434000000,3228200000
42,Investments,- -,- -,35866200000,39728100000,43357600000,44158600000,46985200000,49973000000,41361300000,47688500000,50243400000,50460300000,51955300000,50147600000,51238600000,51960500000,56756800000,61821000000,62588300000,72661500000,81255800000,80923900000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,-35866200000,-39728100000,-43359400000,-44160300000,-46986600000,-49974600000,-41362300000,-47689900000,25228000000,26405000000,103606400000,151895100000,94123700000,90792500000,89076700000,103793100000,88885100000,99424200000,- -,- -
45,Total Non-Current Assets,- -,1746600000,677800000,753400000,857000000,903000000,1764000000,1849000000,1818000000,1726000000,77110100000,78695400000,157496500000,205102700000,148283400000,145755000000,148878600000,168757100000,154655800000,176533900000,85708800000,85190100000
46,Other Assets,84404900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,382336500000,389847300000
47,Total Assets,84404900000,88350500000,89861300000,107754400000,113798100000,127035400000,143658100000,154520200000,128182400000,137759400000,145631100000,148298000000,161926500000,208191400000,219087000000,218685900000,228014300000,253941200000,243036100000,276087800000,296627700000,304657200000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,511600000,564800000,1617800000,281700000,476400000,84100000,290800000,500900000,101600000,107900000,105200000,40800000,150600000,28000000,181100000,51400000,39500000,42900000,93400000,84700000,79800000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22300000,15500000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,76815000000,79640400000,81306200000,95970200000,105128300000,117852600000,134158900000,145409200000,123918100000,128179400000,134211100000,136990800000,149461200000,195755400000,206343800000,205902400000,214609900000,237874000000,228343600000,257642300000,- -,- -
53,Total Current Liabilities,76815000000,80152000000,81871000000,97588000000,105410000000,118329000000,134243000000,145700000000,124419000000,128281000000,134319000000,137096000000,149502000000,195906000000,206371800000,206083500000,214661300000,237913500000,228386500000,257735700000,84700000,79800000
54,Long-Term Debt,1336500000,1378400000,1332500000,2767300000,843500000,898800000,1553800000,1398800000,1290500000,1584600000,1583700000,1564800000,2671300000,2601400000,2531200000,3290800000,3125700000,3178400000,3259600000,3734100000,4279200000,4280200000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,894600000,1177700000,1644000000,1131700000,974800000,917200000,576300000,102800000,120200000,409900000,533400000,626500000,824000000,1035300000,697200000,972400000,1092500000,958400000,1796600000,2330800000,2320200000
57,Other Non-Current Liabilities,500000,-895000000,-1177200000,-1644300000,-1131200000,-974600000,-917000000,-576100000,-102300000,-119800000,-409600000,-533200000,-626800000,-824400000,-1035300000,-722800000,-972400000,-1092500000,-958400000,-1796600000,- -,- -
58,Total Non-Current Liabilities,1337000000,1378000000,1333000000,2767000000,844000000,899000000,1554000000,1399000000,1291000000,1585000000,1584000000,1565000000,2671000000,2601000000,2531200000,3265200000,3125700000,3178400000,3259600000,3734100000,6610000000,6600400000
59,Other Liabilities,2674400000,2756200000,2666100000,- -,- -,1798200000,3108300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,286535700000,295052000000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,78152400000,81530200000,83204100000,100354800000,106253800000,119228200000,135797300000,147098500000,125709600000,129743000000,135746100000,138285000000,152153300000,198414400000,208855000000,209308500000,217720500000,241019300000,231580100000,261402000000,280010400000,288531400000
62,Preferred Stock,- -,- -,- -,- -,- -,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,3800000,3800000,3800000,3800000,3800000,3800000,3900000,3900000,4500000,4500000,4500000,4500000,4600000,4600000,4700000,4700000,4700000,4800000,4800000,4800000,4800000
64,Retained Earnings,6312500000,-29100000,29400000,630400000,1289500000,2008600000,2824100000,3414300000,3722500000,4160700000,4612300000,5077500000,4940200000,5405400000,6114100000,6875900000,7720400000,9482900000,10290200000,11074300000,11838000000,12884500000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,995000000,847000000,420000000,-4912000000,-1042000000,272000000,258000000,640000000,183000000,50000000,-883000000,-675000000,166000000,-1565000000,1038000000,2383100000,1610900000
66,Other Total Stockholders Equity,- -,6845600000,6624000000,6765400000,6251000000,4799700000,4185800000,3583400000,3658300000,4770200000,4838900000,4296900000,4168400000,4091100000,4015200000,3314000000,3177200000,3195700000,2660000000,2500900000,2333000000,- -
67,Total Stockholders Equity,6252500000,6820300000,6657200000,7399600000,7544300000,7807200000,7860800000,7421700000,2472800000,7893500000,9727800000,9637000000,9753200000,9684200000,10184000000,9311600000,10227300000,12849300000,11390000000,14618000000,16558900000,16069400000
68,Total Liabilities And Stockholders Equity,84404900000,88350500000,89861300000,107754400000,113798100000,127035400000,143658100000,154520200000,128182400000,137636500000,145473900000,147922000000,161906500000,208098600000,219039000000,218620100000,227947800000,253868600000,242970100000,276020000000,296569300000,304600800000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,122900000,157200000,376000000,20000000,92800000,48000000,65800000,66500000,72600000,66000000,67800000,58400000,56400000
70,Total Liabilities & Equity,84404900000,88350500000,89861300000,107754400000,113798100000,127035400000,143658100000,154520200000,128182400000,137759400000,145631100000,148298000000,161926500000,208191400000,219087000000,218685900000,228014300000,253941200000,243036100000,276087800000,296627700000,304657200000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1126328/000112632802000031/0001126328-02-000031-index.html,https://www.sec.gov/Archives/edgar/data/1126328/000112632803000122/0001126328-03-000122-index.html,https://www.sec.gov/Archives/edgar/data/1126328/000112632804000056/0001126328-04-000056-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1126328/000104746906002772/a2167692z10-k.htm,https://www.sec.gov/Archives/edgar/data/1126328/000104746907001453/a2176222z10-k.htm,https://www.sec.gov/Archives/edgar/data/1126328/000104746908001808/0001047469-08-001808-index.html,https://www.sec.gov/Archives/edgar/data/1126328/000104746909001547/0001047469-09-001547-index.html,https://www.sec.gov/Archives/edgar/data/1126328/000104746910000948/0001047469-10-000948-index.html,https://www.sec.gov/Archives/edgar/data/1126328/000104746911000974/a2201860z10-k.htm,https://www.sec.gov/Archives/edgar/data/1126328/000104746912001065/0001047469-12-001065-index.html,https://www.sec.gov/Archives/edgar/data/1126328/000104746913000940/0001047469-13-000940-index.html,https://www.sec.gov/Archives/edgar/data/1126328/000104746914000817/a2218175z10-k.htm,https://www.sec.gov/Archives/edgar/data/1126328/000104746915000727/a2222934z10-k.htm,https://www.sec.gov/Archives/edgar/data/1126328/000104746916010094/0001047469-16-010094-index.html,https://www.sec.gov/Archives/edgar/data/1126328/000104746917000589/0001047469-17-000589-index.html,https://www.sec.gov/Archives/edgar/data/1126328/000104746918000695/0001047469-18-000695-index.html,https://www.sec.gov/Archives/edgar/data/1126328/000104746919000469/0001047469-19-000469-index.html,https://www.sec.gov/Archives/edgar/data/1126328/000110465920021174/0001104659-20-021174-index.html,https://www.sec.gov/Archives/edgar/data/1126328/000110465921022074/0001104659-21-022074-index.htm,https://www.sec.gov/Archives/edgar/data/1126328/000110465922020401/0001104659-22-020401-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,620200000,358800000,142300000,746300000,825600000,919000000,1064300000,860300000,458100000,622700000,699300000,715000000,805900000,912700000,1144100000,1234000000,1316500000,2310400000,1546500000,1394200000,1395800000,1710600000
74,Depreciation and Amortization,549500000,723500000,615400000,694800000,321600000,101600000,344500000,487500000,145000000,138500000,164700000,115800000,141300000,153900000,169500000,193000000,186600000,195700000,205100000,226800000,251900000,275300000
75,Deferred Income Tax,75000000,54500000,408400000,312300000,37500000,-453400000,169600000,-70300000,-219700000,65700000,60900000,51300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,31500000,37200000,47600000,43400000,63800000,68500000,75300000,84500000,84400000,82700000,77400000,82600000,87600000,96100000
77,Change in Working Capital,92000000,83266900000,860600000,2100500000,-1881900000,272300000,-152300000,-679900000,-5025800000,5807000000,-73550400000,-1695400000,-77578600000,-47745300000,57249100000,2415600000,-2373000000,-17203800000,12723200000,-18175600000,158181800000,1546900000
78,Accounts Receivable,- -,-25600000,25200000,-69700000,-46700000,-28300000,-320200000,-40000000,-39200000,-126900000,-9600000,-220400000,70600000,-131900000,26900000,-211500000,98700000,-114200000,37800000,-247600000,16400000,-100900000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,1869200000,2102200000,2049400000,1981200000,2138500000,1851800000,2276700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-76815000000,6451900000,7312500000,9413000000,7531100000,7803400000,7651100000,6971200000,1945400000,7752400000,-65798000000,-67493400000,-145072000000,-192817300000,-135568200000,-133152600000,-135525600000,-152729400000,-140006200000,-158181800000,- -,170600000
82,Other Non-Cash Items,1300600000,-80458900000,3537300000,-140100000,2953100000,1544700000,852400000,2362400000,6835700000,-4428100000,75369600000,3483200000,79648500000,48831400000,-55535100000,450000000,4643300000,18803000000,-9395700000,21965200000,-156178500000,-410100000
83,Cash Provided by Operating Activities,2637300000,3944800000,5564000000,3713800000,2255900000,2384200000,2278500000,2960000000,2224800000,2243000000,2791700000,2713300000,3080900000,2221200000,3102900000,4377100000,3857800000,4188000000,5156500000,5493200000,3738600000,3218800000
84,CAPEX,-303000000,-1348300000,-1265000000,-1381700000,-389400000,-260900000,-79600000,-213600000,-105000000,-26200000,-21500000,-56900000,-151800000,-85600000,-281700000,-322000000,-109700000,281400000,-24600000,-31200000,-108800000,-129900000
85,Acquisitions Net,- -,- -,- -,- -,- -,172000000,-622000000,-138000000,17000000,-108000000,-54000000,-400000000,-232000000,-1354000000,-282000000,-404000000,-74000000,281000000,-209000000,-1240000000,- -,27000000
86,Purchases of Investments,- -,-55512200000,-66900800000,-73769400000,-15728300000,-11517000000,-2610100000,-13628300000,-6831000000,-8057400000,-7322900000,-6924400000,-8421100000,-8993500000,-9135700000,-10019100000,-13702300000,-13442400000,-14212500000,-14626200000,-15779800000,-16732500000
87,Sales/Maturities of Investments,- -,52345800000,63377100000,72563800000,15851100000,6005000000,7137300000,9365800000,4551400000,8007900000,6845900000,6741500000,7951200000,9278300000,8756700000,8188900000,9633300000,10156800000,10030700000,9461600000,11863400000,13695300000
88,Other Investing Activites,-970300000,-152100000,-221100000,-1059400000,-2912100000,3992900000,-7738500000,114900000,-549600000,1210500000,580000000,437700000,-870600000,-97700000,-375700000,-797000000,-856000000,-883400000,-1219400000,-1151500000,-1000600000,-2518000000
89,Cash Used for Investing Activites,-1273300000,-3698400000,-4078100000,-2548300000,-3178700000,-1608000000,-3912900000,-4499200000,-2917200000,1026800000,27500000,-202100000,-1611400000,-1226300000,-1172700000,-3167600000,-5153900000,-4052800000,-5702500000,-7688500000,-5025800000,-5658100000
90,Debt Repayment,- -,-7443100000,-110000000,-85300000,-447200000,-72600000,-21000000,-115000000,-83300000,-468200000,-11100000,-12200000,-519400000,-218200000,-218600000,-52600000,-930700000,-72000000,-1300000,-32200000,-78400000,-1800000
91,Common Stock Issued,- -,2019300000,22000000,18300000,41200000,143900000,66200000,73600000,36400000,1123000000,20600000,25900000,28900000,125800000,77500000,76100000,37800000,162500000,64000000,37700000,42800000,86700000
92,Common Stock Repurchased,- -,-367700000,-742400000,-453000000,-772600000,-952400000,-755800000,-756300000,-6400000,-4100000,-2600000,-556400000,-272700000,-153600000,-222700000,-850600000,-277300000,-220400000,-671600000,-281000000,-307000000,-937200000
93,Dividends Paid,- -,-1177500000,-83800000,-145300000,-166500000,-17700000,-24700000,-41200000,-149700000,-192500000,-209200000,-246700000,-264300000,-321400000,-409600000,-457500000,-464900000,-540000000,-598600000,-606000000,-614500000,-654100000
94,Other Financing Activites,-1006900000,6419800000,-94300000,154100000,1527900000,1313300000,2321200000,2131000000,2159000000,-4095600000,-2979900000,-765300000,901300000,-2232900000,-1664700000,776000000,3086000000,285900000,2260200000,2615200000,2578200000,3427900000
95,Cash Used/Provided by Financing Activities,-1006900000,-549200000,-1008500000,-511200000,182800000,414500000,1585900000,1292100000,1956000000,-3637400000,-3182200000,-1554700000,-126200000,-2800300000,-2438100000,-508600000,1450900000,-384000000,1052700000,1733700000,1621100000,1921500000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,357100000,-302800000,477400000,654300000,-740000000,1188800000,-50500000,-246400000,1263600000,-367600000,-363000000,956500000,1343300000,-1805400000,-507900000,700900000,154800000,-248800000,506700000,-461600000,333900000,-517800000
98,Cash at the End of Period,927100000,623800000,1038600000,1692900000,452500000,1641300000,1590800000,1344400000,2608000000,2240400000,1877400000,2833900000,4177200000,2371800000,1863900000,2564800000,2719600000,2470800000,2977500000,2515900000,2849800000,2332000000
99,Cash at the Beginning of Period,570000000,926600000,561200000,1038600000,1192500000,452500000,1641300000,1590800000,1344400000,2608000000,2240400000,1877400000,2833900000,4177200000,2371800000,1863900000,2564800000,2719600000,2470800000,2977500000,2515900000,2849800000
100,Free Cash Flow,2334300000,2596500000,4299000000,2332100000,1866500000,2123300000,2198900000,2746400000,2119800000,2216800000,2770200000,2656400000,3042000000,2161800000,2966900000,4240700000,3702900000,4023200000,5064200000,5360800000,3629800000,3088900000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1126328/000112632802000031/0001126328-02-000031-index.html,https://www.sec.gov/Archives/edgar/data/1126328/000112632803000122/0001126328-03-000122-index.html,https://www.sec.gov/Archives/edgar/data/1126328/000112632804000056/0001126328-04-000056-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1126328/000104746906002772/a2167692z10-k.htm,https://www.sec.gov/Archives/edgar/data/1126328/000104746907001453/a2176222z10-k.htm,https://www.sec.gov/Archives/edgar/data/1126328/000104746908001808/0001047469-08-001808-index.html,https://www.sec.gov/Archives/edgar/data/1126328/000104746909001547/0001047469-09-001547-index.html,https://www.sec.gov/Archives/edgar/data/1126328/000104746910000948/0001047469-10-000948-index.html,https://www.sec.gov/Archives/edgar/data/1126328/000104746911000974/a2201860z10-k.htm,https://www.sec.gov/Archives/edgar/data/1126328/000104746912001065/0001047469-12-001065-index.html,https://www.sec.gov/Archives/edgar/data/1126328/000104746913000940/0001047469-13-000940-index.html,https://www.sec.gov/Archives/edgar/data/1126328/000104746914000817/a2218175z10-k.htm,https://www.sec.gov/Archives/edgar/data/1126328/000104746915000727/a2222934z10-k.htm,https://www.sec.gov/Archives/edgar/data/1126328/000104746916010094/0001047469-16-010094-index.html,https://www.sec.gov/Archives/edgar/data/1126328/000104746917000589/0001047469-17-000589-index.html,https://www.sec.gov/Archives/edgar/data/1126328/000104746918000695/0001047469-18-000695-index.html,https://www.sec.gov/Archives/edgar/data/1126328/000104746919000469/0001047469-19-000469-index.html,https://www.sec.gov/Archives/edgar/data/1126328/000110465920021174/0001104659-20-021174-index.html,https://www.sec.gov/Archives/edgar/data/1126328/000110465921022074/0001104659-21-022074-index.htm,https://www.sec.gov/Archives/edgar/data/1126328/000110465922020401/0001104659-22-020401-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
