,https://roic.ai/company/SWM,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,462900000,471300000,460600000,546700000,504400000,496800000,499500000,501400000,566900000,657500000,669800000,655200000,714800000,767900000,740400000,740200000,816200000,788100000,772800000,794300000,764100000,839900000,982100000,1041300000,1022800000,1074400000,1440000000
2,COGS,348300000,343700000,324300000,415800000,371800000,382800000,400800000,396900000,458000000,535400000,572500000,571100000,606700000,664700000,559200000,543600000,575700000,537200000,520100000,575500000,539700000,583200000,699800000,762800000,732800000,766100000,1109700000
3,Gross Profit,114600000,127600000,136300000,130900000,132600000,114000000,98700000,104500000,108900000,122100000,97300000,84100000,108100000,103200000,181200000,196600000,240500000,250900000,252700000,218800000,224400000,256700000,282300000,278500000,290000000,308300000,330300000
4,Gross Profit Ratio,0.2476,0.2707,0.2959,0.2394,0.2629,0.2295,0.1976,0.2084,0.1921,0.1857,0.1453,0.1284,0.1512,0.1344,0.2447,0.2656,0.2947,0.3184,0.3270,0.2755,0.2937,0.3056,0.2874,0.2675,0.2835,0.2870,0.2294
5,Research and Development Exp.,- -,6000000,6400000,6500000,6700000,6300000,7600000,7600000,8300000,9300000,9000000,7300000,8000000,8300000,8100000,8500000,9300000,10000000,15300000,15700000,14000000,17500000,17800000,15200000,13500000,13800000,20300000
6,General and Administrative Exp.,- -,34200000,33600000,40500000,39100000,35900000,38700000,41500000,46700000,55100000,49000000,50400000,58200000,55900000,48800000,46100000,60100000,55000000,50300000,61900000,70600000,82200000,98400000,90900000,105100000,116900000,169900000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21100000,19000000,22000000,22400000,20900000,22000000,22200000,25300000,33300000,35700000,33700000,36900000,46700000
8,"Selling, General and Administrative Exp.",35200000,34200000,33600000,40500000,39100000,35900000,38700000,41500000,46700000,55100000,49000000,50400000,58200000,55900000,69900000,65100000,82100000,77400000,71200000,83900000,92800000,107500000,131700000,126600000,138800000,153800000,216600000
9,Other Expenses,13400000,13400000,14400000,24800000,22200000,22100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15900000,2100000,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,48600000,53600000,54400000,71800000,68000000,64300000,46300000,49100000,55000000,64400000,58000000,57700000,66200000,64200000,78000000,73600000,107300000,89500000,86500000,99600000,106800000,125000000,149500000,141800000,152300000,167600000,236900000
11,COGS and Expenses,396900000,397300000,378700000,487600000,439800000,447100000,447100000,446000000,513000000,599800000,630500000,628800000,672900000,728900000,637200000,617200000,683000000,626700000,606600000,675100000,646500000,708200000,849300000,904600000,885100000,933700000,1346600000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4800000,1800000,2600000,3400000,2900000,7200000,9700000,16600000,26900000,28200000,36100000,30500000,46100000
14,Depreciation and Amortization,13400000,13400000,14400000,24800000,22200000,22100000,21400000,21500000,24700000,30800000,32100000,37500000,33200000,41600000,43900000,40000000,43600000,39400000,37300000,45100000,41000000,44500000,59500000,61600000,57700000,72200000,92700000
15,EBITDA,67800000,78100000,88300000,73100000,77300000,64600000,62400000,70800000,71200000,79300000,61900000,32500000,37100000,40400000,97000000,146900000,169900000,174500000,169300000,162500000,162000000,159300000,190500000,195000000,194800000,204900000,218300000
16,EBITDA ratio,0.1465,0.1657,0.1917,0.1337,0.1533,0.1300,0.1249,0.1412,0.1256,0.1206,0.0924,0.0496,0.0519,0.0526,0.1310,0.1985,0.2082,0.2214,0.2191,0.2046,0.2120,0.1897,0.1940,0.1873,0.1905,0.1907,0.1516
17,Operating Income,66000000,74000000,81900000,59100000,64600000,49700000,47300000,55400000,53900000,57700000,39300000,5300000,17900000,16900000,53000000,109600000,119200000,133400000,124900000,106100000,103000000,106100000,124700000,135000000,134000000,128800000,83300000
18,Operating Income ratio,0.1426,0.1570,0.1778,0.1081,0.1281,0.1000,0.0947,0.1105,0.0951,0.0878,0.0587,0.0081,0.0250,0.0220,0.0716,0.1481,0.1460,0.1693,0.1616,0.1336,0.1348,0.1263,0.1270,0.1296,0.1310,0.1199,0.0578
19,Total Other Income Expenses (Gains),-11600000,-9300000,-8000000,-10800000,-9500000,-7200000,-2000000,-1100000,-2500000,-2200000,-3700000,-6000000,-6000000,-13900000,-5800000,-1600000,-5200000,-1800000,2800000,2100000,2500000,-12700000,-23200000,-18200000,-37100000,-31500000,-10200000
20,Income Before Tax,54400000,64700000,73900000,48300000,55100000,42500000,45300000,54300000,51400000,55500000,35600000,-700000,11900000,3000000,47200000,108000000,114000000,131600000,127700000,108200000,105500000,93400000,101500000,116800000,96900000,97300000,73100000
21,Income Before Tax Ratio,0.1175,0.1373,0.1604,0.0883,0.1092,0.0855,0.0907,0.1083,0.0907,0.0844,0.0532,-0.0011,0.0166,0.0039,0.0637,0.1459,0.1397,0.1670,0.1652,0.1362,0.1381,0.1112,0.1033,0.1122,0.0947,0.0906,0.0508
22,Income Tax expense (Gain),17600000,26000000,28600000,17300000,23700000,14700000,16500000,16700000,12000000,12100000,10400000,-4200000,500000,-1900000,12700000,39800000,31100000,51900000,53000000,20500000,21600000,15400000,69600000,10700000,15200000,18400000,-9400000
23,Net Income,36800000,38700000,45300000,31000000,31400000,27800000,24500000,32600000,34500000,36400000,19400000,-800000,3400000,700000,35600000,65300000,92600000,79800000,76100000,89700000,89700000,82800000,34500000,94500000,85800000,83800000,88900000
24,Net Income ratio,0.0795,0.0821,0.0983,0.0567,0.0623,0.0560,0.0490,0.0650,0.0609,0.0554,0.0290,-0.0012,0.0048,0.0009,0.0481,0.0882,0.1135,0.1013,0.0985,0.1129,0.1174,0.0986,0.0351,0.0908,0.0839,0.0780,0.0617
25,EPS,0.91,1.21,1.41,0.97,0.99,0.91,0.83,1.09,1.17,1.23,0.64,-0.03,0.11,0.03,1.14,1.80,2.75,2.54,2.44,2.94,2.95,2.71,1.12,3.07,2.78,2.68,2.88
26,EPS Diluted,0.91,1.21,1.39,0.96,0.99,0.91,0.81,1.07,1.14,1.18,0.63,-0.03,0.11,0.02,1.10,1.76,2.73,2.51,2.41,2.93,2.94,2.70,1.12,3.06,2.76,2.66,2.86
27,Weighted Average Shares Outstanding,40662983,32116183,32127660,31958763,31557789,30549451,29518072,29771689,29487179,29684000,30300200,30787000,31058800,30679400,31100200,35373400,33230200,30986200,31056700,30238000,30251400,30310900,30407100,30551300,30652200,30832700,30832700
28,Weighted Average Shares Outstanding Diluted,40662983,32459016,32707581,32291667,31557789,30549451,30061350,30467290,30263158,30844600,30900800,30787000,31483200,31088200,32007000,36098800,33486800,31341900,31238300,30356500,30374300,30463400,30549300,30692900,30838300,31104200,31104200
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1000623/000095014497002659/0000950144-97-002659-index.html,https://www.sec.gov/Archives/edgar/data/1000623/000095014498002403/0000950144-98-002403-index.html,https://www.sec.gov/Archives/edgar/data/1000623/000095014499002410/0000950144-99-002410-index.html,https://www.sec.gov/Archives/edgar/data/1000623/000095014400002914/0000950144-00-002914-index.html,https://www.sec.gov/Archives/edgar/data/1000623/000095014401003277/0000950144-01-003277-index.html,https://www.sec.gov/Archives/edgar/data/1000623/000095014402002150/0000950144-02-002150-index.html,https://www.sec.gov/Archives/edgar/data/1000623/000095014403002793/0000950144-03-002793-index.htm,https://www.sec.gov/Archives/edgar/data/1000623/000104746904007537/0001047469-04-007537-index.htm,https://www.sec.gov/Archives/edgar/data/1000623/000110465905009819/0001104659-05-009819-index.htm,https://www.sec.gov/Archives/edgar/data/1000623/000110465906014372/0001104659-06-014372-index.htm,https://www.sec.gov/Archives/edgar/data/1000623/000110465907015976/0001104659-07-015976-index.htm,https://www.sec.gov/Archives/edgar/data/1000623/000104746908002365/0001047469-08-002365-index.htm,https://www.sec.gov/Archives/edgar/data/1000623/000104746909002315/0001047469-09-002315-index.htm,https://www.sec.gov/Archives/edgar/data/1000623/000114420410011915/0001144204-10-011915-index.htm,https://www.sec.gov/Archives/edgar/data/1000623/000114036111012277/0001140361-11-012277-index.htm,https://www.sec.gov/Archives/edgar/data/1000623/000100062312000056/0001000623-12-000056-index.htm,https://www.sec.gov/Archives/edgar/data/1000623/000100062313000042/0001000623-13-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1000623/000100062314000035/0001000623-14-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1000623/000100062315000028/0001000623-15-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1000623/000100062316000141/0001000623-16-000141-index.htm,https://www.sec.gov/Archives/edgar/data/1000623/000100062317000036/0001000623-17-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1000623/000100062318000044/0001000623-18-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1000623/000100062319000048/0001000623-19-000048-index.htm,https://www.sec.gov/Archives/edgar/data/1000623/000100062320000048/0001000623-20-000048-index.htm,https://www.sec.gov/Archives/edgar/data/1000623/000100062321000047/0001000623-21-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1000623/000100062322000016/0001000623-22-000016-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
