,https://roic.ai/company/LYTS,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
36,Other Current Assets,300000,400000,700000,1100000,1800000,2100000,6300000,3200000,1400000,1800000,2300000,1800000,2000000,2700000,4397000,4752000,4700000,5626000,6701000,5416000,6725000,6782000,6111000,4635000,5512000,4977000,5453000,5445000,6930000,7562000,2792000,4427000,3516000,10892000,2977000,4825000
37,Total Current Assets,11500000,15600000,18000000,25800000,27700000,24200000,25100000,22600000,28500000,41800000,57900000,54900000,69500000,81500000,87080000,91780000,86176000,83505000,97123000,98804000,107088000,123358000,104303000,92117000,99411000,106100000,106623000,102913000,106077000,120814000,127743000,107129000,110081000,110980000,85858000,125008000
38,PP&E,5900000,6400000,6800000,16200000,19000000,18500000,14700000,14100000,16500000,19400000,20300000,27100000,27700000,33000000,37122000,42241000,54825000,55009000,54152000,51084000,52363000,47558000,44754000,42043000,44911000,44284000,42526000,45350000,44282000,43188000,47462000,47354000,43703000,31976000,35198000,42131000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59802000,42200000,15051000,1558000,10766000,10766000,12921000,10508000,10508000,10508000,10508000,58538000,30538000,10373000,10373000,43788000
40,Intangible Assets,- -,- -,- -,1400000,2800000,2800000,1500000,1400000,1400000,1300000,1300000,12700000,12900000,23300000,22581000,41572000,41825000,22496000,22013000,21347000,3751000,19166000,15060000,12981000,15103000,12514000,11074000,8579000,7227000,6092000,5586000,38169000,35409000,32647000,29960000,72773000
41,Intangible Assets,- -,- -,- -,1400000,2800000,2800000,1500000,1400000,1400000,1300000,1300000,12700000,12900000,23300000,22581000,41572000,41825000,22496000,22013000,21347000,63553000,61366000,30111000,14539000,25869000,23280000,23995000,19087000,17735000,16600000,16094000,96707000,65947000,43020000,40333000,116561000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1000000,200000,- -,100000,- -,100000,-100000,- -,-100000,100000,- -,500000,200000,-100000,- -,6166000,7016000,1766000,1444000,1402000,1397000,1330000,4372000,4419000,3654000,2357000,2082000,1829000,1794000,1777000,4261000,5490000,9786000,15124000,10874000,3121000
45,Total Non-Current Assets,6900000,6600000,6800000,17700000,21800000,21400000,16100000,15500000,17800000,20800000,21600000,40300000,40800000,56200000,59703000,89979000,103666000,79271000,77609000,73833000,117313000,110254000,79237000,61001000,74434000,69921000,68603000,66266000,63811000,61565000,67817000,149551000,119436000,90120000,86405000,161813000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,18400000,22200000,24800000,43500000,49500000,45600000,41200000,38100000,46300000,62600000,79500000,95200000,110300000,137700000,146783000,181759000,189842000,162776000,174732000,172637000,224401000,233612000,183540000,153118000,173845000,176021000,175226000,169179000,169888000,182379000,195560000,256680000,229517000,201100000,172263000,286821000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,5700000,5900000,8000000,10600000,10900000,12300000,13700000,14600000,12349000,15268000,14910000,13603000,18289000,15807000,22974000,19834000,15452000,9249000,12553000,9568000,11512000,12429000,13658000,14721000,13892000,19356000,17927000,18664000,14216000,32977000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,200000,200000,200000,600000,203000,352000,365000,85000,- -,- -,22000,- -,- -,- -,33000,35000,- -,- -,- -,- -,- -,- -,- -,- -,615000,1687000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,434000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,947000,1473000,1324000,1053000,1061000,1070000,1768000,1698000,11352000
52,Other Current Liabilities,3000000,3800000,4700000,11800000,14500000,12400000,7100000,6400000,9200000,12600000,10600000,12200000,15400000,16600000,13389000,14041000,15108000,10184000,14110000,15808000,17305000,35127000,15988000,10368000,13257000,11973000,11409000,12834000,14158000,20802000,24288000,25008000,23202000,19443000,18120000,24879000
53,Total Current Liabilities,3000000,3800000,4700000,11800000,14500000,12400000,12800000,12300000,17200000,24000000,21700000,24700000,29300000,31800000,25941000,29661000,30383000,23872000,32399000,31615000,40301000,54961000,31440000,19617000,25843000,21576000,22921000,26210000,29289000,36847000,39233000,45425000,42199000,39875000,34649000,70895000
54,Long-Term Debt,1900000,2800000,2300000,8300000,9400000,8200000,8700000,3600000,3400000,7300000,1400000,1200000,1000000,1700000,1498000,23638000,17688000,13999000,11554000,- -,16571000,- -,- -,- -,1099000,1064000,- -,- -,- -,- -,- -,49698000,45360000,39541000,10776000,80589000
