,https://roic.ai/company/LYTS,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,1900000,1700000,1800000,2100000,2400000,3000000,4400000,4800000,5511000,5558000,6096000,5702000,5925000,6974000,6773000,9002000,8789000,7746000,7849000,7877000,7805000,7197000,6226000,6331000,6677000,8262000,10222000,10221000,8654000,8114000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-500000,700000,-200000,100000,-100000,-100000,-400000,-100000,-566000,1023000,2191000,-4365000,1179000,-178000,569000,545000,-6204000,1001000,-1564000,1003000,309000,263000,856000,-226000,-1117000,-779000,-4748000,-6370000,3925000,-1058000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1225000,2679000,892000,48000,169000,99000,-761000,3054000,3286000,3371000,1247000,1072000,3511000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,3500000,-2000000,1000000,6500000,18400000,-6000000,10000000,9500000,11439000,980000,-6326000,3840000,5091000,2465000,-402000,1610000,4466000,-363000,1068000,10956000,-822000,-6999000,85000,7179000,4543000,-26806000,6178000,3223000,12217000,2904000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9229000,- -,-10147000,1010000,-1540000,3232000,-1631000,-3369000,4948000,-1943000,74000,16340000,-10570000
79,Inventory,- -,- -,- -,- -,- -,- -,800000,- -,-3500000,-7500000,-1100000,-600000,-1600000,2300000,-32000,-5450000,-3767000,-1480000,-7346000,8220000,-1955000,-4408000,-746000,10541000,2826000,-10492000,8894000,-1748000,-4779000,1000,-2784000,535000,-3591000,-326000,2246000,-11983000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6203000,2487000,-2985000,1722000,917000,1229000,910000,-1130000,2278000,-1883000,684000,-3883000,14442000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,12300000,10300000,11300000,17800000,36200000,30200000,40200000,49700000,61139000,62119000,55793000,59633000,64724000,67189000,66787000,68397000,72863000,72500000,73568000,84524000,83702000,76703000,76788000,83967000,88510000,61704000,67882000,71105000,-47000,54113000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,1900000,2500000,800000,-13100000,-27100000,5700000,-12300000,-9400000,-13868000,-20190000,11098000,18789000,-8771000,3585000,244000,5018000,19331000,20291000,5273000,-35362000,13796000,8343000,3363000,3256000,-4854000,34069000,16018000,19509000,-5748000,8670000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,2000000,4600000,7600000,1800000,400000,11500000,14300000,21900000,19795000,-2751000,27245000,13218000,12114000,27482000,21627000,36964000,12660000,16486000,16729000,-3806000,24360000,8850000,11559000,20930000,17785000,21032000,11500000,11491000,29712000,28009000
84,CAPEX,- -,- -,- -,- -,- -,- -,-1300000,-1300000,-4600000,-5100000,-3400000,-2600000,-4800000,-13100000,-8977000,-6492000,-16846000,-5452000,-4708000,-3630000,-3754000,-5960000,-3723000,-2994000,-6150000,-4731000,-3436000,-7571000,-5245000,-4754000,-10211000,-6633000,-3406000,-2618000,-2739000,-2233000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-29163000,-1603000,- -,- -,- -,-22043000,-141000,- -,- -,-675000,- -,-2973000,- -,- -,1494000,- -,-95077000,- -,- -,- -,-90725000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9000000,-8000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000000,3846000,8000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15600000,- -,- -,3000,155000,7000,21000,7000,150000,116000,- -,5000,2000,521000,55000,3000,38000,255000,1006000,68000,3095000,1538000,32000,20150000,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,-1300000,-1300000,-4600000,-5100000,-3400000,-18200000,-4800000,-13100000,-8974000,-35500000,-18442000,-5431000,-4701000,-3480000,-25681000,-10255000,4282000,-2992000,-6304000,-4676000,-6406000,-7533000,-4990000,-2254000,-10143000,-98615000,-1868000,-2586000,17411000,-92958000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1282000,-2237000,-33000,-1099000,- -,- -,- -,- -,-41282000,-99258000,-126431000,-204715000,-18818000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,400000,400000,20200000,300000,700000,1300000,2142000,821000,1678000,91000,500000,1362000,2301000,552000,1161000,159000,163000,22000,13000,25000,64000,975000,340000,218000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-200000,-200000,-349000,-305000,-256000,-243000,-211000,- -,-373000,-307000,-262000,-188000,-111000,-118000,-154000,-175000,-188000,-205000,-363000,-494000,-107000,-114000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-200000,-200000,-200000,-1100000,-1700000,-2100000,-2800000,-3200000,-3950000,-3986000,-3719000,-3784000,-5206000,-6805000,-11180000,-10952000,-13580000,-6471000,-4809000,-4809000,-5529000,-8648000,-5780000,-2900000,-4214000,-5048000,-5154000,-5184000,-5276000,-5288000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,-500000,-3200000,-1700000,4500000,-6500000,- -,-500000,-2100000,-579000,20095000,-6489000,-3969000,-2530000,-11554000,9418000,-16593000,- -,1282000,- -,59000,14000,175000,399000,850000,4021000,93393000,95026000,120612000,165595000,87684000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,-700000,-3400000,-1500000,3800000,12000000,-1800000,-2800000,-4200000,-2736000,16625000,-8786000,-7905000,-7447000,-16997000,166000,-27300000,-12681000,-6500000,-6994000,-4879000,-6755000,-8623000,-5505000,-1280000,-216000,46787000,-9493000,-11117000,-44396000,63578000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-176000,136000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6700000,4600000,8085000,-21626000,17000,-118000,-34000,7005000,-3888000,-591000,4261000,6994000,3431000,-13361000,11199000,-7306000,1064000,17396000,7426000,-30796000,139000,-2212000,2551000,-1235000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9300000,13900000,21966000,340000,357000,239000,205000,7210000,3322000,2731000,6992000,13986000,17417000,4056000,15255000,7949000,9013000,26409000,33835000,3039000,3178000,966000,3517000,2282000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,100000,200000,200000,1600000,2100000,11100000,2600000,9300000,13881000,21966000,340000,357000,239000,205000,7210000,3322000,2731000,6992000,13986000,17417000,4056000,15255000,7949000,9013000,26409000,33835000,3039000,3178000,966000,3517000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,700000,3300000,3000000,-3300000,-3000000,8900000,9500000,8800000,10818000,-9243000,10399000,7766000,7406000,23852000,17873000,31004000,8937000,13492000,10579000,-8537000,20924000,1279000,6314000,16176000,7574000,14399000,8094000,8873000,26973000,25776000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/763532/000095015200006907/0000950152-00-006907-index.html,https://www.sec.gov/Archives/edgar/data/763532/000102140801506994/0001021408-01-506994-index.html,https://www.sec.gov/Archives/edgar/data/763532/000102140802012029/0001021408-02-012029-index.html,https://www.sec.gov/Archives/edgar/data/763532/000119312503052503/0001193125-03-052503-index.html,https://www.sec.gov/Archives/edgar/data/763532/000119312504154715/d10k.htm,https://www.sec.gov/Archives/edgar/data/763532/000119312505184005/d10k.htm,https://www.sec.gov/Archives/edgar/data/763532/000119312506187706/d10k.htm,https://www.sec.gov/Archives/edgar/data/763532/000095015207007482/0000950152-07-007482-index.html,https://www.sec.gov/Archives/edgar/data/763532/000095015208007199/0000950152-08-007199-index.html,https://www.sec.gov/Archives/edgar/data/763532/000095012309042751/0000950123-09-042751-index.html,https://www.sec.gov/Archives/edgar/data/763532/000095012310084407/0000950123-10-084407-index.html,- -,https://www.sec.gov/Archives/edgar/data/763532/000143774912009194/0001437749-12-009194-index.html,https://www.sec.gov/Archives/edgar/data/763532/000143774913011691/0001437749-13-011691-index.html,https://www.sec.gov/Archives/edgar/data/763532/000143774914016818/0001437749-14-016818-index.html,https://www.sec.gov/Archives/edgar/data/763532/000143774915016955/0001437749-15-016955-index.html,https://www.sec.gov/Archives/edgar/data/763532/000143774916038404/lyts20160630_10k.htm,https://www.sec.gov/Archives/edgar/data/763532/000143774917015804/0001437749-17-015804-index.html,https://www.sec.gov/Archives/edgar/data/763532/000143774918016857/0001437749-18-016857-index.html,https://www.sec.gov/Archives/edgar/data/763532/000143774919018000/0001437749-19-018000-index.html,- -,https://www.sec.gov/Archives/edgar/data/763532/000143774921021914/0001437749-21-021914-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
