,https://roic.ai/company/WMT,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,8464500000,11909100000,15959300000,20649000000,25810700000,32601600000,43886900000,55483800000,67344600000,83412000000,94749000000,106146000000,119299000000,139208000000,166809000000,193295000000,219812000000,246525000000,258681000000,287989000000,315654000000,348650000000,378799000000,405607000000,408214000000,421849000000,446950000000,469162000000,476294000000,485651000000,482130000000,485873000000,500343000000,514405000000,523964000000,559151000000,572754000000
2,COGS,6271600000,8929600000,12115800000,15843200000,19800600000,25153200000,34310700000,43525500000,52595200000,65586000000,74564000000,83663000000,93438000000,108725000000,129664000000,150255000000,171562000000,191838000000,198747000000,219793000000,240391000000,264152000000,286515000000,306158000000,304657000000,315287000000,335127000000,352488000000,358069000000,365086000000,360984000000,361256000000,373396000000,385301000000,394605000000,420315000000,429000000000
3,Gross Profit,2192900000,2979500000,3843500000,4805800000,6010100000,7448400000,9576200000,11958300000,14749400000,17826000000,20185000000,22483000000,25861000000,30483000000,37145000000,43040000000,48250000000,54687000000,59934000000,68196000000,75263000000,84498000000,92284000000,99449000000,103557000000,106562000000,111823000000,116674000000,118225000000,120565000000,121146000000,124617000000,126947000000,129104000000,129359000000,138836000000,143754000000
4,Gross Profit Ratio,0.2591,0.2502,0.2408,0.2327,0.2329,0.2285,0.2182,0.2155,0.2190,0.2137,0.2130,0.2118,0.2168,0.2190,0.2227,0.2227,0.2195,0.2218,0.2317,0.2368,0.2384,0.2424,0.2436,0.2452,0.2537,0.2526,0.2502,0.2487,0.2482,0.2483,0.2513,0.2565,0.2537,0.2510,0.2469,0.2483,0.2510
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1485200000,2007600000,2599400000,3267900000,4069700000,5152200000,6684300000,8320800000,10333200000,12858000000,14951000000,16788000000,19358000000,22363000000,27040000000,31550000000,36173000000,41043000000,44909000000,51105000000,56733000000,64001000000,70288000000,76651000000,79607000000,81020000000,85265000000,88873000000,91353000000,93418000000,97041000000,101853000000,106510000000,107147000000,108791000000,116288000000,117812000000
9,Other Expenses,89700000,123600000,166000000,213600000,269400000,346600000,475400000,649100000,848700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
