,https://roic.ai/company/RGA,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,34100000,40400000,47300000,55072000,54619000,62081000,40858000,77669000,33046000,122806000,173141000,221891000,224180000,288210000,293834000,176796000,407086000,574402000,599620000,631893000,418837000,684047000,502166000,701443000,1822181000,715842000,870000000,415000000,617000000
24,Net Income ratio,0.0773,0.0768,0.0708,0.0663,0.0510,0.0462,0.0254,0.0450,0.0168,0.0516,0.0545,0.0549,0.0489,0.0555,0.0514,0.0311,0.0576,0.0695,0.0679,0.0642,0.0406,0.0627,0.0482,0.0609,0.1456,0.0556,0.0608,0.0284,0.0375
25,EPS,1.00,1.05,1.25,3.24,2.15,1.50,0.89,1.57,0.67,2.49,3.37,3.56,3.58,4.71,4.75,2.84,5.59,7.85,8.15,8.57,5.82,9.88,7.55,10.91,28.28,11.25,13.88,6.35,9.44
26,EPS Diluted,1.00,1.05,1.25,3.24,2.13,1.48,0.88,1.56,0.66,2.47,3.36,3.52,3.52,4.57,4.57,2.84,5.55,7.69,8.09,8.52,5.78,9.78,7.46,10.79,27.71,11.00,13.62,6.31,9.44
27,Weighted Average Shares Outstanding,34100000,38476190,37840000,17004000,25404186,41387333,45907865,49470701,49322388,49319679,51377151,62328933,62620112,61191083,61859789,62243494,73327000,74694000,73586000,73737000,71917000,69248000,66553000,64274000,64427000,63658000,62684000,65377000,68000000
28,Weighted Average Shares Outstanding Diluted,34100000,38476190,37840000,37731959,25604000,42559000,46246000,49920000,49905000,49648000,51530060,63037216,63687500,63065646,64296280,63906489,73348829,74694668,74108000,74153000,72461000,69962000,67292000,64989000,65753000,65094000,63882000,65835000,68000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/898174/000095013708002920/c24020e10vk.htm,https://www.sec.gov/Archives/edgar/data/898174/000095012309003732/0000950123-09-003732-index.html,https://www.sec.gov/Archives/edgar/data/898174/000095012310018205/0000950123-10-018205-index.html,https://www.sec.gov/Archives/edgar/data/898174/000095012311019862/c62390e10vk.htm,https://www.sec.gov/Archives/edgar/data/898174/000119312512085927/0001193125-12-085927-index.html,https://www.sec.gov/Archives/edgar/data/898174/000119312513085281/0001193125-13-085281-index.html,https://www.sec.gov/Archives/edgar/data/898174/000089817414000003/a201310-k.htm,https://www.sec.gov/Archives/edgar/data/898174/000089817415000010/a201410-k.htm,https://www.sec.gov/Archives/edgar/data/898174/000089817416000044/0000898174-16-000044-index.html,https://www.sec.gov/Archives/edgar/data/898174/000089817417000008/0000898174-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/898174/000089817418000006/0000898174-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/898174/000089817419000011/0000898174-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/898174/000089817420000005/0000898174-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/898174/000089817421000006/0000898174-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/898174/000089817422000005/0000898174-22-000005-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,13145000,37395000,15966000,24316000,70797000,226670000,88101000,84586000,152095000,128692000,160428000,404351000,875403000,512027000,463661000,962870000,1259892000,923647000,1645669000,1525275000,1200718000,1303524000,1889733000,1449000000,3408000000,2948000000
32,Short-Term Investments,- -,- -,- -,93548000,277635000,314953000,238424000,68735000,140573000,4269000,28917000,31964000,126296000,140281000,75062000,58123000,121060000,118387000,88566000,22579696000,21613531000,25578666000,30201189000,32170335000,38244124000,40134944000,51185000000,56962000000,60836000000
33,Cash and Short-Term Investments,- -,- -,- -,106693000,315030000,330919000,262740000,139532000,367243000,92370000,113503000,184059000,254988000,300709000,479413000,933526000,633087000,582048000,1051436000,23839588000,22537178000,27224335000,31726464000,33371053000,39547648000,42024677000,52634000000,60370000000,63784000000
34,Net Receivables,- -,- -,- -,136056000,435710000,433623000,590613000,522733000,572383000,706112000,875970000,810562000,935319000,563570000,722313000,640235000,850096000,1037679000,1059572000,1976988000,2034043000,2105935000,2435363000,2614727000,3120508000,3775440000,3844000000,3825000000,5468000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21638376000,23960808000,-2265070000,-2173438000,9272563000,9681159000,10403429000,10719242000,10722696000,19779000000,-60787000000,-38527000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23258103000,26071816000,23551506000,22397783000,38602833000,43842986000,46389209000,53387398000,56522813000,76257000000,3408000000,30725000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,222700000,219600000,221700000,236100000,248700000,244000000,260000000,270000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7000000,7000000,7000000,7000000,7000000,7000000,7000000,7000000,7000000,7000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,182300000,140900000,80800000,74200000,64300000,55600000,78200000,223000000,206000000,186000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,189300000,147900000,87800000,81200000,71300000,62600000,85200000,230000000,213000000,193000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,3482185000,4604652000,6055660000,7000539000,8512454000,9472978000,8589927000,11884418000,14422984000,16289516000,22579696000,21613531000,25578666000,30201189000,32170335000,38244124000,40217141000,51505000000,57094000000,60987000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8599179000,-10257300000,-5960064000,-4484741000,-19812388000,-23961823000,-25754665000,-31415404000,-32538609000,-51505000000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5823805000,6032216000,16808932000,17276690000,6076778000,6540166000,6708670000,7127420000,8012432000,474000000,57567000000,61450000000
46,Other Assets,- -,- -,- -,2893654000,4673550000,6318553000,5123743000,6061860000,6894345000,8892597000,12113374000,14048129000,16193866000,19036837000,21598009000,21658818000,25249501000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,138815000000,153625000000
47,Total Assets,- -,- -,- -,2893654000,4673550000,6318553000,5123743000,6061860000,6894345000,8892597000,12113374000,14048129000,16193866000,19036837000,21598009000,21658818000,25249501000,29081908000,32104032000,40360438000,39674473000,44679611000,50383152000,53097879000,60514818000,64535245000,76731000000,84656000000,92175000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,173645000,106706000,133590000,118219000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56078000,125610000,29384000,29773000,- -,- -,199985000,- -,1096526000,- -,- -,- -,299945000,- -,399941000,- -,400000000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,2362000000,4067000000,5462000000,4207000000,4927000000,5408000000,7184000000,9610000000,11204922000,12707390000,14506616000,16473227000,16941355000,19050294000,21681425000,23781781000,29886474000,31040000000,34559000000,41051062000,41775517000,47372980000,52214917000,61551000000,2863000000,- -
53,Total Current Liabilities,- -,- -,- -,2362000000,4067000000,5462000000,4207000000,4927000000,5408000000,7184000000,9610000000,11261000000,12833000000,14536000000,16503000000,17115000000,19157000000,22015000000,23900000000,30983000000,31040000000,34559000000,41051062000,42075462000,47372980000,52614858000,61551000000,3263000000,- -
54,Long-Term Debt,- -,- -,- -,106493000,106830000,107994000,183954000,272257000,323396000,327787000,398146000,349704000,674392000,676165000,896065000,918246000,9732091000,1016425000,1414688000,1370737000,2699102000,3096994000,3196709000,3629390000,3572303000,3069893000,3579000000,3561000000,3847000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,73275000,110763000,121988000,67914000,170905000,162092000,291980000,438973000,561985000,652024000,828848000,760633000,310360000,613222000,1396747000,1831869000,2120501000,1837577000,2365817000,2218328000,2770640000,2198309000,1798800000,2712000000,3263000000,2886000000
57,Other Non-Current Liabilities,- -,- -,- -,-73768000,-110593000,-121982000,-67868000,-171162000,-4488000,-133767000,-281119000,-403689000,-493416000,179987000,248302000,698394000,-8120313000,-387172000,-1179557000,-1024238000,-1837679000,-2365811000,-2218328000,-2470695000,-2198309000,-1398859000,-2712000000,-3251000000,- -
58,Total Non-Current Liabilities,- -,- -,- -,106000000,107000000,108000000,184000000,272000000,481000000,486000000,556000000,508000000,833000000,1685000000,1905000000,1927000000,2225000000,2026000000,2067000000,2467000000,2699000000,3097000000,3196709000,3929335000,3572303000,3469834000,3579000000,3573000000,6733000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1016104000,1666382000,3370453000,3810177000,3854010000,- -,4052341000,- -,4934251000,- -,6194159000,- -,- -,- -,- -,- -,70614000000,85894000000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,2461314000,4165964000,5562582000,4383265000,5198937000,5888757000,7511958000,10007359000,11769104000,13666382000,16221453000,18408177000,19042010000,21381574000,24041341000,25966927000,33450251000,33738946000,37656159000,44247771000,46004797000,50945283000,56084692000,65130000000,70304000000,79161000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,174000,261000,466000,511000,511000,511000,511000,631000,631000,631000,631000,631000,734000,734000,734000,791000,791000,791000,791000,791000,791000,791000,791000,1000000,1000000,1000000
64,Retained Earnings,- -,- -,- -,147824000,196685000,251512000,282389000,348158000,369349000,480301000,641502000,846572000,1048215000,1307743000,1540122000,1682087000,2055549000,2587403000,3131934000,3357255000,3659938000,4239647000,4620303000,5199130000,6736265000,7284949000,7952000000,8148000000,8563000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,447000000,445000000,535000000,-534000000,299000000,907000000,1618000000,2109000000,1006000000,1657000000,708000000,1139000000,2064000000,636000000,3137000000,5359000000,3642000000
66,Other Total Stockholders Equity,- -,- -,- -,277560000,302375000,496499000,450048000,514254000,635728000,741651000,1305590000,1431822000,1031638000,1062010000,1114079000,1467987000,1512644000,1545430000,1386380000,1443141000,1268798000,1126014000,806287000,754161000,768479000,528813000,511000000,844000000,808000000
67,Total Stockholders Equity,- -,- -,- -,425558000,499321000,748477000,732948000,862923000,1005588000,1222463000,1947723000,2279025000,2527484000,2815384000,3189832000,2616808000,3867927000,5040567000,6137105000,6910187000,5935527000,7023452000,6135381000,7093082000,9569535000,8450553000,11601000000,14352000000,13014000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,2886872000,4665285000,6311059000,5116213000,6061860000,6894345000,8734421000,11955082000,14048129000,16193866000,19036837000,21598009000,21658818000,25249501000,29081908000,32104032000,40360438000,39674473000,44679611000,50383152000,53097879000,60514818000,64535245000,76731000000,84656000000,92175000000
69,Minority Interest,- -,- -,- -,6782000,8265000,7494000,7530000,- -,- -,158176000,158292000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,2893654000,4673550000,6318553000,5123743000,6061860000,6894345000,8892597000,12113374000,14048129000,16193866000,19036837000,21598009000,21658818000,25249501000,29081908000,32104032000,40360438000,39674473000,44679611000,50383152000,53097879000,60514818000,64535245000,76731000000,84656000000,92175000000
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/898174/000095013708002920/c24020e10vk.htm,https://www.sec.gov/Archives/edgar/data/898174/000095012309003732/0000950123-09-003732-index.html,https://www.sec.gov/Archives/edgar/data/898174/000095012310018205/0000950123-10-018205-index.html,https://www.sec.gov/Archives/edgar/data/898174/000095012311019862/c62390e10vk.htm,https://www.sec.gov/Archives/edgar/data/898174/000119312512085927/0001193125-12-085927-index.html,https://www.sec.gov/Archives/edgar/data/898174/000119312513085281/0001193125-13-085281-index.html,https://www.sec.gov/Archives/edgar/data/898174/000089817414000003/a201310-k.htm,https://www.sec.gov/Archives/edgar/data/898174/000089817415000010/a201410-k.htm,https://www.sec.gov/Archives/edgar/data/898174/000089817416000044/0000898174-16-000044-index.html,https://www.sec.gov/Archives/edgar/data/898174/000089817417000008/0000898174-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/898174/000089817418000006/0000898174-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/898174/000089817419000011/0000898174-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/898174/000089817420000005/0000898174-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/898174/000089817421000006/0000898174-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/898174/000089817422000005/0000898174-22-000005-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,34100000,40400000,47300000,55072000,54619000,62081000,40858000,77669000,33046000,122806000,173141000,221891000,224180000,288210000,293834000,176796000,407086000,574402000,599620000,631893000,418837000,684047000,502166000,701443000,1822181000,715842000,870000000,415000000,617000000
74,Depreciation and Amortization,-1300000,-1800000,-7300000,-7900000,-14100000,-19100000,-26700000,-35884000,-38985000,-35902000,-40227000,-32580000,-40288000,-53344000,-75655000,- -,- -,- -,- -,- -,- -,- -,- -,26853000,52902000,45127000,49000000,49000000,43000000
75,Deferred Income Tax,2000000,4100000,14400000,14208000,15575000,27767000,48013000,57210000,-32901000,73793000,63895000,92638000,41393000,189578000,101758000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,127900000,- -,- -,-2362000000,-1705000000,-1395000000,1255000000,-720000000,-481000000,-1776000000,-2426000000,-1651000000,-1572000000,-1703000000,-1967000000,-612000000,-2042000000,20400103000,928713000,-9603310000,-1210723000,12686050000,-1251909000,1521823000,1700671000,-2106463000,10798045000,-14561000000,4583000000
78,Accounts Receivable,5100000,-39300000,-15800000,6900000,-72500000,-111700000,-121000000,68407000,64929000,-95989000,-166868000,69983000,-143099000,-124762000,-167430000,- -,- -,-111451000,-83650000,-279900000,-44078000,-97365000,-325622000,-210057000,-470793000,-697861000,-68000000,47000000,-207000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,5100000,-39300000,-15800000,256500000,722300000,461800000,323900000,188595000,357840000,460601000,1164871000,823621000,788769000,764194000,950269000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,-2362000000,-4067000000,-5462000000,-4207000000,-4927000000,-5408000000,-7184000000,-9610000000,-11261000000,-12833000000,-14536000000,-16503000000,-17115000000,-19157000000,1243103000,2171816000,-7431494000,-8642217000,4043833000,2791924000,4313747000,6014418000,3907955000,14706000000,145000000,-186000000
82,Other Non-Cash Items,-48700000,86700000,116600000,2557298000,2081631000,1673399000,-1039470000,813804000,763771000,1777154000,2801465000,2083530000,1946066000,2124781000,2604472000,1162186000,2999150000,-19131765000,-218801000,10945944000,2519046000,-11033942000,2838358000,-784401000,-1593446000,2926615000,-9410045000,17419000000,-1061000000
83,Cash Provided by Operating Activities,114000000,129400000,171000000,256678000,432725000,349147000,277701000,192799000,243931000,161851000,572274000,714479000,599351000,846225000,957409000,726982000,1364236000,1842740000,1309532000,1974527000,1727160000,2336155000,2088615000,1465718000,1982308000,1581121000,2307000000,3322000000,4182000000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-88361000,-23553000,-44642000,-44211000,-28891000,-34000000,-28000000,-19000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3000000,- -,-145000000,- -,- -,-32000000,4000000,- -,-137000000
86,Purchases of Investments,-314900000,-188000000,-376600000,-917700000,-947866000,-2109097000,-1369576000,-1352647000,-1357492000,-2939742000,-3099761000,-2137901000,-2569280000,-3725118000,-3180396000,-2993871000,-4808348000,-4891811000,-4103865000,-7243155000,-4856982000,-6216544000,-6213371000,-8129566000,-9166310000,-10156486000,-16036000000,-10262000000,-18160000000
87,Sales/Maturities of Investments,91200000,103100000,175400000,892648000,548500000,109577000,70848000,182899000,12410000,2357242000,1814533000,2103930000,1676166000,3741420000,164760000,1901873000,3019564000,3470140000,3384175000,5610437000,3712739000,5174499000,5508770000,5957409000,8157471000,10141474000,14114000000,7668000000,13827000000
88,Other Investing Activites,-71100000,-51800000,-88700000,-792640000,-856442000,397160000,2640551000,457264000,768705000,- -,- -,-737649000,- -,-1650659000,2038767000,18836000,-150274000,-298811000,-186091000,-335278000,-187858000,-180539000,-558587000,-608927000,-554523000,-560649000,-686000000,-58000000,-139000000
89,Cash Used for Investing Activites,-294800000,-136700000,-289900000,-817692000,-1255808000,-1602360000,1341823000,-712484000,-576377000,-582500000,-1285228000,-771620000,-893114000,-1634357000,-976869000,-1073162000,-1939058000,-1720482000,-905781000,-1967996000,-1335101000,-1310945000,-1431741000,-2825726000,-1607573000,-636552000,-2638000000,-2680000000,-4628000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-1801601000,- -,- -,- -,- -,- -,-27912000,-100000000,- -,- -,-62499000,- -,-200000000,- -,-119255000,-772000,-22112000,-67050000,-371011000,-99044000,-494000000,-217000000,-611000000
91,Common Stock Issued,- -,- -,200000,4031000,2105000,222824000,125806000,827000,4684000,1623000,440462000,7162000,6046000,8982000,13058000,331878000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,481000000,- -
92,Common Stock Repurchased,- -,-11300000,-2400000,- -,-12877000,- -,- -,-20000000,- -,-6594000,- -,- -,-75888000,-194000,-4502000,-3104000,-1607000,-718000,-380345000,-6924000,-269204000,-201525000,-384519000,-122916000,-43508000,-299679000,-101000000,-163000000,-99000000
93,Dividends Paid,-2100000,-4100000,-4400000,-5049000,-5758000,-7254000,-9981000,-11900000,-11855000,-11854000,-11940000,-16821000,-22537000,-22040000,-22256000,-23329000,-26212000,-35170000,-44229000,-61945000,-77642000,-87256000,-93381000,-100371000,-117291000,-140110000,-163000000,-182000000,-194000000
94,Other Financing Activites,187100000,27000000,132000000,556784000,863911000,1016245000,74343000,596562000,495036000,302371000,274822000,130522000,394640000,931135000,272196000,535718000,285317000,-157541000,726569000,350808000,-215112000,33994000,-208270000,1345726000,207188000,216860000,637000000,1335000000,924000000
95,Cash Used/Provided by Financing Activities,185000000,11600000,125400000,555766000,847381000,1231815000,-1611433000,565489000,487865000,285546000,703344000,120863000,274349000,817883000,258496000,841163000,194999000,-193429000,101995000,281939000,-681213000,-255559000,-708282000,1055389000,-324622000,-321973000,-121000000,1254000000,20000000
96,Effect of Forex Changes on Cash,-1800000,-100000,300000,135000,-48000,-31000,259000,677000,454000,-3466000,6095000,3787000,-3989000,1985000,4887000,-23931000,16447000,22805000,-6537000,8552000,-47091000,-47629000,-68986000,-19938000,52693000,-36387000,11000000,63000000,-34000000
97,Net Change In Cash,185000000,11600000,125400000,-5113000,24250000,-21429000,8350000,46481000,155873000,-138569000,-3515000,67509000,-23403000,31736000,243923000,471052000,-363376000,-48366000,499209000,297022000,-336245000,722022000,-120394000,-324557000,102806000,586209000,-441000000,1959000000,-460000000
98,Cash at the End of Period,- -,- -,- -,13145000,37395000,15966000,24316000,70797000,226670000,88101000,84586000,152095000,128692000,160428000,404351000,875403000,512027000,463661000,962870000,1259892000,923647000,1645669000,1525275000,1200718000,1303524000,1889733000,1449000000,3408000000,2948000000
99,Cash at the Beginning of Period,4900000,7300000,11500000,18258000,13145000,37395000,15966000,24316000,70797000,226670000,88101000,84586000,152095000,128692000,160428000,404351000,875403000,512027000,463661000,962870000,1259892000,923647000,1645669000,1525275000,1200718000,1303524000,1890000000,1449000000,3408000000
100,Free Cash Flow,114000000,129400000,171000000,256678000,432725000,349147000,277701000,192799000,243931000,161851000,572274000,714479000,599351000,846225000,957409000,726982000,1364236000,1842740000,1309532000,1974527000,1727160000,2247794000,2065062000,1421076000,1938097000,1552230000,2273000000,3294000000,4163000000
