,https://roic.ai/company/MNKD,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,1360000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17503000,3419000,3038000,- -,32503000,33275000,827000
52,Other Current Liabilities,- -,- -,3621000,5421000,9567000,17818000,34244000,32095000,37842000,22334000,14840000,20736000,25777000,21634000,223609000,160635000,14030000,24830000,58564000,23298000,30787000,33589000
53,Total Current Liabilities,- -,- -,7830000,8707000,13044000,21365000,44959000,67558000,53472000,28853000,18134000,25360000,144775000,127794000,403353000,268319000,92051000,87597000,75241000,65618000,73705000,48349000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,111267000,111761000,142253000,277765000,444654000,487845000,217218000,147960000,49521000,139505000,77156000,104077000,91188000,113871000,122324000,376171000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8344000,1662000,24493000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,6170000,5592000,76000,29000,24000,24000,- -,- -,- -,- -,- -,13605000,15335000,68917000,121449000,107633000,116358000,96418000,91336000,81497000
58,Total Non-Current Liabilities,- -,- -,6170000,5592000,76000,29000,111291000,111785000,142253000,277765000,444654000,487845000,217218000,161565000,64856000,208422000,198605000,211710000,207546000,218633000,215322000,482161000
59,Other Liabilities,10755000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2514000,1202000,1040000
61,Total Liabilities,10755000,- -,14000000,14299000,13120000,21394000,156250000,179343000,195725000,306618000,462788000,513205000,361993000,289359000,468209000,476741000,290656000,299307000,282787000,284251000,289027000,530510000
62,Preferred Stock,- -,- -,15000000,46847000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,165000,200000,327000,503000,734000,1014000,1020000,1130000,1278000,1315000,2860000,3697000,4061000,4287000,4784000,1192000,1870000,2118000,2421000,2515000
64,Retained Earnings,-46582000,- -,-301092000,-366971000,-442963000,-557301000,-787849000,-1081039000,-1384078000,-1604182000,-1774742000,-1935546000,-2104912000,-2296402000,-2494784000,-2863229000,-2737565000,-2854898000,-2940000000,-2991903000,-3049143000,-3130069000
65,Other Comprehensive Income/Loss,- -,- -,-8410000,-12696000,-19368000,-25381000,-33146000,-40726000,-51391000,-65741000,-81390000,-91764000,-101249000,-111060000,-118221000,-259925000,-99575000,-100952000,-100497000,-95364000,- -,- -
66,Other Total Stockholders Equity,78472000,- -,385110000,444197000,612367000,789156000,1203748000,1484851000,1521183000,1609572000,1669322000,1712343000,2092622000,2373052000,2535174000,2768538000,2648763000,2739926000,2863545000,2894623000,2866303000,2918205000
67,Total Stockholders Equity,31890000,- -,90773000,111577000,150363000,206977000,383487000,364100000,86734000,-59221000,-185532000,-313652000,-110679000,-30713000,-73770000,-350329000,-183593000,-214732000,-175082000,-190526000,-180419000,-209349000
68,Total Liabilities And Stockholders Equity,42645000,- -,104773000,125876000,163483000,228371000,539737000,543443000,282459000,247397000,277256000,199553000,251314000,258646000,394439000,126412000,107063000,84575000,107705000,93725000,108608000,321161000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,42645000,- -,104773000,125876000,163483000,228371000,539737000,543443000,282459000,247397000,277256000,199553000,251314000,258646000,394439000,126412000,107063000,84575000,107705000,93725000,108608000,321161000
71,SEC Link,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/899460/000095012905002522/v06789e10vk.htm,https://www.sec.gov/Archives/edgar/data/899460/000095014806000014/v18231e10vk.htm,https://www.sec.gov/Archives/edgar/data/899460/000095013707003905/v28206e10vk.htm,https://www.sec.gov/Archives/edgar/data/899460/000095012408001242/v39010e10vk.htm,https://www.sec.gov/Archives/edgar/data/899460/000095013409004010/0000950134-09-004010-index.html,https://www.sec.gov/Archives/edgar/data/899460/000095012310024869/0000950123-10-024869-index.html,https://www.sec.gov/Archives/edgar/data/899460/000095012311026011/v58971e10vk.htm,https://www.sec.gov/Archives/edgar/data/899460/000119312512117440/0001193125-12-117440-index.html,https://www.sec.gov/Archives/edgar/data/899460/000119312513112693/0001193125-13-112693-index.html,https://www.sec.gov/Archives/edgar/data/899460/000119312514080324/d647959d10k.htm,https://www.sec.gov/Archives/edgar/data/899460/000119312515073647/d844485d10k.htm,https://www.sec.gov/Archives/edgar/data/899460/000119312516505366/0001193125-16-505366-index.html,https://www.sec.gov/Archives/edgar/data/899460/000119312517085519/0001193125-17-085519-index.html,https://www.sec.gov/Archives/edgar/data/899460/000156459018003510/0001564590-18-003510-index.html,https://www.sec.gov/Archives/edgar/data/899460/000156459019004263/0001564590-19-004263-index.html,https://www.sec.gov/Archives/edgar/data/899460/000156459020006198/0001564590-20-006198-index.html,https://www.sec.gov/Archives/edgar/data/899460/000156459021008440/0001564590-21-008440-index.htm,https://www.sec.gov/Archives/edgar/data/899460/000156459022006702/0001564590-22-006702-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-206265000,-65879000,-75992000,-114338000,-230548000,-293190000,-303039000,-220104000,-170560000,-160804000,-169366000,-191490000,-198382000,-368445000,125664000,-117333000,-86975000,-51903000,-57240000,-80926000
74,Depreciation and Amortization,- -,- -,5072000,7657000,7179000,7391000,8517000,8973000,12287000,18725000,17324000,15912000,14402000,14057000,18575000,13276000,- -,- -,- -,2154000,3326000,5473000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,24793000,20219000,13580000,11204000,13292000,45186000,48622000,8725000,5135000,4847000,6857000,6203000,6511000,12200000
77,Change in Working Capital,- -,- -,881000,24926000,33740000,45670000,276081000,-93434000,-310651000,8310000,47007000,-75359000,-58426000,26446000,-150681000,10535000,177102000,-15818000,36994000,-11474000,10632000,-17730000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-302000,-2487000,-1339000,504000,-705000,-776000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9670000,-26434000,-2331000,-3297000,-3152000,-558000,-1314000,-4081000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,-14620000,-6371000,-4287000,2672000,44000,-1071000,3622000,8413000,-12118000,3800000,-1605000,-593000,793000,1374000
81,Other Working Capital,- -,- -,24171000,49097000,82837000,128507000,404588000,311154000,503000,8813000,55820000,-19539000,-77965000,-51519000,-202200000,-191665000,-14563000,-30381000,6613000,-4861000,5771000,-15509000
82,Other Non-Cash Items,- -,- -,151645000,-19475000,-24838000,-39952000,-243844000,132505000,305322000,-11233000,-56005000,85210000,80238000,-22931000,285952000,278677000,-385991000,63526000,5393000,-33463000,8643000,19274000
83,Cash Provided by Operating Activities,- -,- -,-48667000,-52771000,-59911000,-101229000,-189794000,-245146000,-271288000,-184083000,-148654000,-123837000,-119860000,-128732000,4086000,-57232000,-78090000,-64778000,-37731000,-88483000,-28128000,-61709000
84,CAPEX,- -,- -,-34147000,-5183000,-6895000,-17169000,-20773000,-78262000,-82453000,-18852000,-9542000,-6858000,-637000,-7987000,-24097000,-10285000,-1144000,- -,-354000,-2565000,-4784000,-11466000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4000000,- -
86,Purchases of Investments,- -,- -,-71055000,-50060000,-16353000,-258150000,-154431000,-169801000,-63651000,-2000000,-4178000,- -,- -,- -,- -,- -,- -,- -,- -,-44971000,- -,-199131000
87,Sales/Maturities of Investments,- -,- -,59853000,59294000,13648000,180245000,126900000,286725000,46100000,17800000,2000000,3828000,- -,- -,- -,- -,- -,- -,- -,24993000,20000000,59060000
88,Other Investing Activites,- -,- -,- -,75000,- -,673000,32000,- -,70000,- -,- -,93000,77000,- -,- -,82000,17000,16675000,120000,-300000,17000,- -
89,Cash Used for Investing Activites,- -,- -,-45349000,4126000,-9600000,-94401000,-48272000,38662000,-99934000,-3052000,-11720000,-2937000,-560000,-7987000,-24097000,-10203000,-1127000,16675000,-234000,-22843000,15216000,-151537000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-115000000,- -,-65118000,-5000000,-4000000,-5000000,-56265000,- -,-51171000
91,Common Stock Issued,- -,- -,58913000,50623000,84731000,172680000,390657000,255738000,902000,61507000,17025000,10941000,167735000,52421000,40120000,68680000,50893000,61564000,70519000,3199000,23665000,1992000
92,Common Stock Repurchased,- -,- -,- -,-1028000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,1290000,33253000,16747000,- -,110927000,-524000,29683000,127999000,179391000,52453000,11844000,208248000,29942000,2106000,-2855000,15999000,-4225000,122930000,26188000,319446000
95,Cash Used/Provided by Financing Activities,- -,- -,60203000,82848000,101478000,172680000,501584000,255214000,30585000,189506000,196416000,63394000,179579000,145669000,70062000,5668000,43038000,73563000,61294000,69864000,49853000,270267000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,-33813000,34203000,31967000,-22950000,263518000,48730000,-340637000,2371000,36042000,-63380000,59159000,8950000,50051000,-61767000,-36179000,25460000,23329000,-41462000,36941000,57021000
98,Cash at the End of Period,- -,- -,19917000,54120000,78987000,56037000,319555000,368285000,27648000,30019000,66061000,2681000,61840000,70790000,120841000,59074000,22895000,48355000,71684000,30222000,67163000,124184000
99,Cash at the Beginning of Period,- -,- -,53730000,19917000,47020000,78987000,56037000,319555000,368285000,27648000,30019000,66061000,2681000,61840000,70790000,120841000,59074000,22895000,48355000,71684000,30222000,67163000
100,Free Cash Flow,- -,- -,-82814000,-57954000,-66806000,-118398000,-210567000,-323408000,-353741000,-202935000,-158196000,-130695000,-120497000,-136719000,-20011000,-67517000,-79234000,-64778000,-38085000,-91048000,-32912000,-73175000
101,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/899460/000095012905002522/v06789e10vk.htm,https://www.sec.gov/Archives/edgar/data/899460/000095014806000014/v18231e10vk.htm,https://www.sec.gov/Archives/edgar/data/899460/000095013707003905/v28206e10vk.htm,https://www.sec.gov/Archives/edgar/data/899460/000095012408001242/v39010e10vk.htm,https://www.sec.gov/Archives/edgar/data/899460/000095013409004010/0000950134-09-004010-index.html,https://www.sec.gov/Archives/edgar/data/899460/000095012310024869/0000950123-10-024869-index.html,https://www.sec.gov/Archives/edgar/data/899460/000095012311026011/v58971e10vk.htm,https://www.sec.gov/Archives/edgar/data/899460/000119312512117440/0001193125-12-117440-index.html,https://www.sec.gov/Archives/edgar/data/899460/000119312513112693/0001193125-13-112693-index.html,https://www.sec.gov/Archives/edgar/data/899460/000119312514080324/d647959d10k.htm,https://www.sec.gov/Archives/edgar/data/899460/000119312515073647/d844485d10k.htm,https://www.sec.gov/Archives/edgar/data/899460/000119312516505366/0001193125-16-505366-index.html,https://www.sec.gov/Archives/edgar/data/899460/000119312517085519/0001193125-17-085519-index.html,https://www.sec.gov/Archives/edgar/data/899460/000156459018003510/0001564590-18-003510-index.html,https://www.sec.gov/Archives/edgar/data/899460/000156459019004263/0001564590-19-004263-index.html,https://www.sec.gov/Archives/edgar/data/899460/000156459020006198/0001564590-20-006198-index.html,https://www.sec.gov/Archives/edgar/data/899460/000156459021008440/0001564590-21-008440-index.htm,https://www.sec.gov/Archives/edgar/data/899460/000156459022006702/0001564590-22-006702-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
