,https://roic.ai/company/CMS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,3298300000,3108400000,2800500000,2942700000,2961100000,2977000000,2941000000,3073000000,3482000000,3619000000,3890000000,4333000000,4787000000,5141000000,6103000000,8998000000,9597000000,8687000000,5513000000,5472000000,6288000000,6810000000,6464000000,6821000000,6205000000,6432000000,6503000000,6253000000,6566000000,7179000000,6456000000,6399000000,6583000000,6873000000,6845000000,6680000000,7329000000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,2360000000,2489000000,2835000000,3179000000,3491000000,4042000000,2949000000,2856000000,3535000000,1400000000,1137000000,1066000000,4148000000,4102000000,4212000000,3570000000,3518000000,3512000000,4424000000,4562000000,5090000000,4281000000,4010000000,4080000000,4475000000,4281000000,3911000000,735000000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,1259000000,1401000000,1498000000,1608000000,1650000000,2061000000,6049000000,6741000000,5152000000,4113000000,4335000000,5222000000,2662000000,2362000000,2609000000,2635000000,2914000000,2991000000,1829000000,2004000000,2089000000,2175000000,2389000000,2503000000,2398000000,2564000000,2769000000,6594000000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.3479,0.3602,0.3457,0.3359,0.3209,0.3377,0.6723,0.7024,0.5931,0.7461,0.7922,0.8305,0.3909,0.3654,0.3825,0.4247,0.4530,0.4599,0.2925,0.3052,0.2910,0.3369,0.3733,0.3802,0.3489,0.3746,0.4145,0.8997
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,755000000,798000000,821000000,862000000,912000000,1149000000,5322000000,6440000000,5053000000,3682000000,3744000000,5617000000,2788000000,2450000000,1823000000,1937000000,1936000000,1988000000,827000000,862000000,937000000,1012000000,1092000000,1165000000,1236000000,1325000000,1407000000,6183000000
