,https://roic.ai/company/ROP,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,77900000,93000000,86300000,89800000,94142000,107520000,- -,- -,788187000,647302000,695040000,735010000,776298000,960946000,1025087000,1096999000,1138325000,1209841000,1306138000,1400389000,1470427000,1583949000,1732700000,1885800000,2079500000,2290200000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,137400000,177900000,197000000,232000000,270191000,323506000,376012000,655781000,1114086000,1249788000,1486839000,1789806000,2003738000,2421490000,2750907000,3195096000,3687726000,4213050000,4755360000,5298947000,5788865000,6863564000,7738500000,9491900000,10479800000,11563800000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,243000000,329300000,381500000,420200000,596902000,762122000,828973000,1514995000,2366404000,2522306000,2995359000,3453184000,3971538000,4327736000,5069524000,5319417000,7071104000,8184981000,8412934000,10168365000,14324927000,14316413000,15249500000,18108900000,24024800000,23713900000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-700000,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,243000000,329300000,381500000,420200000,596902000,762122000,828973000,1514995000,2366404000,2522306000,2995359000,3453184000,3971538000,4327736000,5069524000,5319417000,7071104000,8184981000,8412934000,10168365000,14324927000,14316413000,15249500000,18108900000,24024100000,23713900000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/882835/000088283509000004/0000882835-09-000004-index.html,https://www.sec.gov/Archives/edgar/data/882835/000088283510000009/0000882835-10-000009-index.html,https://www.sec.gov/Archives/edgar/data/882835/000088283511000004/cy2010.htm,https://www.sec.gov/Archives/edgar/data/882835/000088283512000013/0000882835-12-000013-index.html,- -,https://www.sec.gov/Archives/edgar/data/882835/000088283514000011/cy2013_10-k.htm,https://www.sec.gov/Archives/edgar/data/882835/000088283515000009/cy2014_10-k.htm,https://www.sec.gov/Archives/edgar/data/882835/000088283516000035/0000882835-16-000035-index.html,https://www.sec.gov/Archives/edgar/data/882835/000088283517000006/0000882835-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/882835/000088283518000011/0000882835-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/882835/000088283519000010/0000882835-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/882835/000088283520000006/0000882835-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/882835/000088283521000011/0000882835-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/882835/000088283522000012/0000882835-22-000012-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,4900000,4700000,19100000,20200000,23300000,28900000,36400000,39300000,47300000,49278000,55839000,40053000,45239000,93852000,153175000,193324000,250033000,286515000,239481000,322580000,427247000,483360000,538293000,646033000,696067000,658645000,971772000,944400000,1767900000,949700000,1152600000
74,Depreciation and Amortization,4100000,4400000,5100000,5300000,6000000,7900000,11400000,14400000,16000000,22298000,27455000,15176000,16378000,41387000,71319000,82044000,93180000,103108000,103448000,123021000,140143000,154748000,189190000,197284000,204261000,240453000,344965000,367000000,416000000,520800000,634100000
75,Deferred Income Tax,-400000,-200000,-400000,-700000,-300000,400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6225000,10123000,14526000,- -,- -,- -,- -,- -,- -,- -,- -,259600000,282900000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30905000,27476000,25150000,31730000,40773000,53133000,63027000,61766000,78827000,83075000,133800000,104500000,121700000,136100000
77,Change in Working Capital,2500000,- -,- -,- -,- -,45000000,42000000,-4700000,7300000,39863000,-290000,-11788000,102310000,82915000,-310028000,47264000,243761000,-44508000,153635000,65712000,102831000,-401945000,570914000,153912000,13761000,-566690000,-601236000,432507000,-560400000,-294200000,97300000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14609000,26978000,-9697000,-33333000,-16455000,32800000,-404000,52597000,-20734000,-6673000,-83500000,-46700000,53300000,-100200000
79,Inventory,1700000,1900000,-600000,-1500000,-2800000,-500000,2300000,5600000,3800000,-4357000,7418000,10723000,5300000,-1498000,9881000,-14442000,-489000,-8728000,31081000,-5687000,-23033000,18361000,-12687000,6349000,-1150000,6353000,-15363000,-21800000,-17300000,4600000,-13900000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17011000,26602000,1903000,-8480000,9014000,-5070000,-6554000,6393000,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,45000000,87000000,82300000,89600000,129463000,129173000,117385000,219695000,302610000,-7418000,39846000,283607000,239099000,392734000,458446000,561277000,159332000,730246000,884158000,897919000,331229000,-270007000,162500000,-397900000,-692100000,164500000
82,Other Non-Cash Items,200000,-400000,8200000,-10500000,-2800000,-49100000,-54400000,27200000,-17800000,-43800000,19438000,43528000,-92634000,-53329000,366835000,-60094000,-243167000,58418000,-150316000,-47046000,-114859000,400916000,-548977000,-219815000,-47030000,552550000,435906000,-447607000,-266200000,-32500000,-291100000
83,Cash Provided by Operating Activities,11300000,8500000,32000000,14300000,26200000,33100000,35400000,76200000,52800000,67639000,102442000,86969000,71293000,164825000,281301000,262538000,343807000,434438000,367499000,499540000,601618000,677852000,802553000,840441000,928825000,963785000,1234482000,1430100000,1461800000,1525100000,2011900000
84,CAPEX,-4300000,-900000,-3900000,-10400000,-3200000,-5000000,-5000000,-68200000,-41400000,-15150000,-7455000,-7780000,-10422000,-12141000,-24762000,-32153000,-30107000,-30047000,-25885000,-28591000,-40702000,-38405000,-42528000,-37644000,-36260000,-40106000,-59536000,-58600000,-62900000,-48900000,-62600000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-161546000,-170180000,-82813000,-492510000,-641147000,-329934000,-352125000,-106942000,-704764000,-354561000,-536413000,-233594000,-1467772000,-1074413000,-305379000,-1657259000,-3721758000,-153736000,-1275800000,-1230500000,-6022400000,-217000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,1800000,-30300000,-9500000,-3900000,-24200000,-74900000,-55500000,-200000,100000,-1531000,906000,-1871000,-4664000,-5111000,-1174000,-2387000,-5339000,-34530000,-19631000,-26861000,-42155000,-37773000,-41450000,-42726000,-41073000,-31098000,-55840000,-59300000,-65500000,-51500000,74100000
89,Cash Used for Investing Activites,-2500000,-31200000,-13400000,-14300000,-27400000,-79900000,-60500000,-68400000,-41300000,-178227000,-176729000,-92464000,-507596000,-658399000,-355870000,-386665000,-142388000,-739294000,-374192000,-563274000,-275749000,-1505545000,-1115863000,-348105000,-1698332000,-3752856000,-209576000,-1335100000,-1296000000,-6073900000,-142900000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-967971000,-143708000,-23411000,-256457000,-133945000,-512826000,-252079000,-17132000,-18450000,-1060000000,-1705000000,-865000000,-600000000,-500000000
91,Common Stock Issued,- -,27100000,1700000,200000,- -,- -,1800000,3300000,3900000,4223000,4788000,8839000,200920000,339205000,15686000,22259000,17026000,1894000,123143000,1697000,2104000,2195000,2449000,2751000,2889000,3340000,4198000,5400000,6800000,10500000,15100000
92,Common Stock Repurchased,-3100000,- -,- -,- -,- -,- -,- -,-18000000,-5600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-350000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-300000,-800000,-1300000,-2100000,-3300000,-4800000,-6000000,-7400000,-7900000,-8537000,-9232000,-10317000,-11738000,-14201000,-18151000,-20402000,-22954000,-25887000,-29823000,-35706000,-42090000,-69903000,-49092000,-79859000,-100334000,-121130000,-142753000,-170100000,-191700000,-214100000,-236400000
94,Other Financing Activites,-4000000,-4700000,-19400000,2700000,4700000,49800000,29500000,23200000,2500000,113929000,83310000,2258000,298837000,223368000,7848000,136434000,35476000,1179883000,386791000,225029000,39764000,1055523000,963102000,31083000,1110819000,2941503000,28538000,1481600000,1226900000,4940500000,-1092200000
95,Cash Used/Provided by Financing Activities,-7400000,21600000,-19000000,800000,1400000,45000000,25300000,1100000,-7100000,109615000,78866000,780000,488019000,548372000,5383000,138291000,29548000,187919000,-13597000,167609000,-256679000,853870000,403633000,-298104000,996242000,2805263000,-1170017000,-388100000,177000000,4136900000,-1813500000
