,https://roic.ai/company/ARGO,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,1100000,5500000,7800000,500000,300000,1000000,-100000,22600000,34800000,39800000,33300000,44200000,2700000,-42138631,-10799973,-17966892,64545000,96648000,22846000,-697558000,28502000,143800000,62900000,117500000,82600000,-82400000,52300000,143200000,183200000,163200000,146700000,50300000,63600000,-8400000,-54100000,5800000
24,Net Income ratio,0.0647,0.1378,0.1814,0.0132,0.0083,0.0204,-0.0016,0.2281,0.2591,0.3202,0.3343,0.3450,0.0245,-0.2401,-0.0543,-0.0890,0.2105,0.2720,0.0680,-1.6616,0.2068,0.1438,0.0501,0.0761,0.0597,-0.0655,0.0393,0.0973,0.1200,0.1086,0.0928,0.0285,0.0353,-0.0042,-0.0288,0.0027
25,EPS,5.42,10.52,12.48,0.85,0.52,1.63,-2.48,22.67,32.60,31.42,24.37,20.97,1.31,-23.78,-6.21,-10.13,30.71,45.54,3.99,-141.44,2.16,3.70,1.34,2.50,1.83,-1.98,1.34,3.83,5.04,4.61,4.23,1.46,1.87,-0.25,-2.21,-0.11
26,EPS Diluted,5.42,10.52,12.48,0.85,0.52,1.63,-2.48,17.97,26.07,29.53,24.11,20.84,1.31,-23.78,-6.21,-10.13,21.43,26.79,3.99,-141.44,2.16,3.65,1.34,2.49,1.80,-1.98,1.31,3.69,4.96,4.52,4.13,1.43,1.83,-0.25,-2.21,-0.11
27,Weighted Average Shares Outstanding,202857,522893,625082,588712,573994,612260,677859,916796,1006119,1266612,1384625,2108623,2041734,1770731,1743969,1772220,1806473,1835555,2209187,4980888,11013639,38828004,46871602,46990955,45307240,41633680,39031575,37431350,36318150,35420000,34730000,34500000,33900000,34200000,34600000,34816160
28,Weighted Average Shares Outstanding Diluted,202857,522893,625082,588712,573994,612260,708211,1141030,1258279,1358298,1386768,2126532,2059030,1770731,1743969,1772220,3009564,3608507,4246788,4980888,11014404,39450408,47091090,47144020,45766435,41633680,39796900,38822850,37013900,36179000,35420000,35420000,34700000,34200000,34600000,34816160
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1091748/000095011700000741/0000950117-00-000741-index.html,https://www.sec.gov/Archives/edgar/data/1091748/000095011701000614/0000950117-01-000614-index.html,https://www.sec.gov/Archives/edgar/data/1091748/000112528202000997/0001125282-02-000997-index.html,https://www.sec.gov/Archives/edgar/data/1091748/000112528203002350/0001125282-03-002350-index.html,https://www.sec.gov/Archives/edgar/data/1091748/000112528204001011/0001125282-04-001011-index.html,https://www.sec.gov/Archives/edgar/data/1091748/000112528205001024/0001125282-05-001024-index.html,https://www.sec.gov/Archives/edgar/data/1091748/000112528206001680/b412207_10k.htm,https://www.sec.gov/Archives/edgar/data/1091748/000095012307004010/y30986e10vk.htm,https://www.sec.gov/Archives/edgar/data/1091748/000120677408000455/argo_10-k.htm,https://www.sec.gov/Archives/edgar/data/1091748/000119312509042483/0001193125-09-042483-index.html,https://www.sec.gov/Archives/edgar/data/1091748/000119312510043345/0001193125-10-043345-index.html,https://www.sec.gov/Archives/edgar/data/1091748/000119312511050073/d10k.htm,https://www.sec.gov/Archives/edgar/data/1091748/000119312512089089/0001193125-12-089089-index.html,https://www.sec.gov/Archives/edgar/data/1091748/000119312513084723/0001193125-13-084723-index.html,https://www.sec.gov/Archives/edgar/data/1091748/000119312514077302/d635086d10k.htm,https://www.sec.gov/Archives/edgar/data/1091748/000156459015001103/agii-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1091748/000156459016013542/0001564590-16-013542-index.html,https://www.sec.gov/Archives/edgar/data/1091748/000156459017002394/0001564590-17-002394-index.html,https://www.sec.gov/Archives/edgar/data/1091748/000156459018003547/0001564590-18-003547-index.html,https://www.sec.gov/Archives/edgar/data/1091748/000162828019001883/0001628280-19-001883-index.html,https://www.sec.gov/Archives/edgar/data/1091748/000162828020002567/0001628280-20-002567-index.html,https://www.sec.gov/Archives/edgar/data/1091748/000162828021004668/0001628280-21-004668-index.htm,https://www.sec.gov/Archives/edgar/data/1091748/000162828022006331/0001628280-22-006331-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14735040,19008897,22887816,46630000,65808000,15668000,14504000,12251000,42200000,6100000,18100000,83500000,100900000,95800000,157400000,81000000,121700000,86000000,176600000,139200000,137800000,148800000,146100000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50004473,71467877,170239889,133318000,175771000,296318000,261076000,671197000,621600000,513600000,439300000,375300000,296400000,3388300000,3166000000,3116500000,3138100000,3337900000,3711900000,3942700000,4478500000,4649700000,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64739513,90476774,193127705,179948000,241579000,311986000,275580000,683448000,663800000,519700000,457400000,458800000,397300000,3484100000,3323400000,3197500000,3259800000,3423900000,3888500000,4081900000,4616300000,4798500000,146100000
34,Net Receivables,- -,- -,- -,19000000,18800000,24600000,28000000,17000000,25600000,29700000,23100000,20100000,33000000,106702307,117196459,394056370,361012000,283068000,232743000,353998000,139297000,338200000,345400000,388600000,306300000,320200000,1694800000,1611900000,1365700000,1537200000,1849400000,2693300000,3346400000,3792800000,3691800000,3622300000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4015500000,5259400000,5802800000,3835600000,3839900000,-1568100000,-1615100000,-1287900000,-1343500000,-4318000000,-5438100000,-6156900000,-6738100000,-3352100000,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5017500000,6124500000,6648800000,4600700000,4557400000,3610800000,3320200000,3275300000,3453500000,955300000,1143700000,1271400000,1671000000,5138200000,- -
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,91800000,82000000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,106300000,151400000,152200000,153800000,153800000,153800000,153800000,152200000,152200000,152200000,161400000,177000000,161400000,147300000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,106200000,96500000,95300000,93000000,91500000,86000000,78600000,73300000,67700000,96800000,93500000,91800000,60500000,17300000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,106300000,257600000,248700000,249100000,246800000,245300000,239800000,230800000,225500000,219900000,258200000,270500000,253200000,207800000,164600000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,634067000,814880000,1013599000,1495120000,1188948000,3540400000,3938400000,4237300000,4061200000,3915500000,3919700000,3700300000,3726400000,3746100000,3964300000,4378500000,4509000000,4871000000,5037800000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3540700000,-3939000000,-4238000000,-2429100000,-2317800000,-1086900000,-669300000,-876200000,-795000000,2065500000,2983600000,3507300000,3627500000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,106000000,257000000,248000000,1881200000,1844500000,3078100000,3270800000,3081000000,3176600000,6249700000,7620300000,8286800000,8843500000,5327600000,- -
46,Other Assets,74700000,97300000,111000000,121300000,105800000,109600000,144700000,349300000,353800000,393500000,543300000,609000000,632700000,780180109,784746795,1005938170,1237142000,1359647000,1454416000,2116047000,1401343000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15793400000,10316400000
47,Total Assets,74700000,97300000,111000000,121300000,105800000,109600000,144700000,349300000,353800000,393500000,543300000,609000000,632700000,780180109,784746795,1005938170,1237142000,1359647000,1454416000,2116047000,1401343000,5123500000,6381500000,6896800000,6481900000,6401900000,6688900000,6591000000,6356300000,6630100000,7205000000,8764000000,9558200000,10514500000,10465800000,10316400000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78604000,- -,- -,- -,34052000,- -,603400000,707900000,524300000,424500000,1724700000,1477400000,1084100000,1302700000,1637200000,2447000000,3062200000,3638000000,3450300000,724400000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,3500000,- -,- -,- -,- -,- -,- -,75000000,65000000,- -,- -,- -,- -,- -,- -,58000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2486000,- -,- -,- -,597000,5100000,2100000,- -,- -,- -,- -,5200000,- -,- -,8100000,- -,- -,800000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,367000000,395000000,711000000,675396000,795000000,591000000,1484000000,703948000,3312000000,3996600000,4193100000,3954700000,4121500000,3193300000,3147600000,3247000000,3287600000,3407500000,3916600000,4169100000,4516700000,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,3500000,- -,- -,- -,- -,- -,- -,442000000,460000000,711000000,754000000,795000000,591000000,1484000000,738000000,3370000000,4600000000,4901000000,4479000000,4546000000,4918000000,4625000000,4331100000,4590300000,5044700000,6363600000,7231300000,8154700000,- -,- -
54,Long-Term Debt,- -,- -,- -,10000000,8000000,6000000,5300000,75000000,69700000,67800000,64700000,21400000,50000000,- -,- -,55000000,30000000,- -,167075000,167081000,167089000,311400000,428700000,380600000,376500000,377000000,400900000,403400000,378500000,371700000,367600000,580700000,580200000,578700000,458700000,455500000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10500000,26100000,43800000,28700000,53000000,23600000,24100000,31300000,6200000,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75000000,65000000,- -,- -,- -,-75000,-81000,-89000,57600000,300000,400000,-10000000,-26100000,-187700000,-29100000,-53000000,-28100000,-24100000,-31300000,-6200000,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,10000000,8000000,6000000,5300000,75000000,69700000,67800000,64700000,21400000,50000000,75000000,65000000,55000000,30000000,- -,167000000,167000000,167000000,369000000,429000000,381000000,377000000,377000000,257000000,403000000,378500000,367200000,367600000,580700000,580200000,578700000,458700000,455500000
59,Other Liabilities,67600000,52400000,58300000,78300000,62800000,64300000,73000000,281600000,256700000,250100000,250300000,144200000,248800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,738900000,- -,- -,- -,- -,9066700000,9037500000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,105700000,95800000,- -
61,Total Liabilities,67600000,52400000,58300000,68300000,54800000,58300000,71200000,206600000,187000000,182300000,185600000,122800000,198800000,417380047,425835138,666627981,689343000,638290000,757861000,1650729000,904576000,3739000000,5028600000,5281900000,4855800000,4922900000,5174800000,5028000000,4709600000,4962000000,5412300000,6944300000,7811500000,8733400000,8608000000,8582000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,159077000,172190000,163871000,58132000,58132000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,144000000,144000000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11679769,11820079,11872842,12030000,13277000,20469000,72281000,72351000,30700000,30800000,31000000,31200000,31300000,31400000,34100000,34300000,37100000,40000000,40400000,45300000,45700000,46000000,- -
64,Retained Earnings,1100000,6600000,14400000,14700000,14200000,14400000,12100000,27600000,57900000,91900000,118700000,150700000,139800000,89932620,76301524,55472622,108062000,188670000,194081000,-527349000,-503711000,592300000,655200000,779200000,847500000,752000000,776000000,804400000,969400000,985700000,959900000,977000000,862600000,811100000,684100000,636400000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7142000,- -,-4855000,-5468000,-100000,75600000,-22200000,107400000,147600000,139800000,189500000,147800000,108100000,11500000,47700000,96600000,-78100000,2800000,58600000,-22000000
66,Other Total Stockholders Equity,6000000,38300000,38300000,38300000,36800000,36900000,61400000,115100000,108900000,119300000,239000000,335500000,294100000,261187673,270790054,271964725,167153000,190379000,322989000,867722000,870095000,685900000,689100000,697300000,599800000,555900000,517200000,576700000,534900000,633800000,745100000,705700000,916900000,921500000,925100000,- -
67,Total Stockholders Equity,7100000,44900000,52700000,53000000,51000000,51300000,73500000,142700000,166800000,211200000,357700000,486200000,433900000,362800062,358911657,339310189,453464000,564516000,696555000,465318000,496767000,1384500000,1352900000,1614900000,1626100000,1479000000,1514100000,1563000000,1646700000,1668100000,1792700000,1819700000,1746700000,1781100000,1857800000,1734400000
68,Total Liabilities And Stockholders Equity,74700000,97300000,111000000,121300000,105800000,109600000,144700000,349300000,353800000,393500000,543300000,609000000,632700000,780180109,784746795,1005938170,1142807000,1202806000,1454416000,2116047000,1401343000,5123500000,6381500000,6896800000,6481900000,6401900000,6688900000,6591000000,6356300000,6630100000,7205000000,8764000000,9558200000,10514500000,10465800000,10316400000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94335000,156841000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,74700000,97300000,111000000,121300000,105800000,109600000,144700000,349300000,353800000,393500000,543300000,609000000,632700000,780180109,784746795,1005938170,1237142000,1359647000,1454416000,2116047000,1401343000,5123500000,6381500000,6896800000,6481900000,6401900000,6688900000,6591000000,6356300000,6630100000,7205000000,8764000000,9558200000,10514500000,10465800000,10316400000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1091748/000095011700000741/0000950117-00-000741-index.html,https://www.sec.gov/Archives/edgar/data/1091748/000095011701000614/0000950117-01-000614-index.html,https://www.sec.gov/Archives/edgar/data/1091748/000112528202000997/0001125282-02-000997-index.html,https://www.sec.gov/Archives/edgar/data/1091748/000112528203002350/0001125282-03-002350-index.html,https://www.sec.gov/Archives/edgar/data/1091748/000112528204001011/0001125282-04-001011-index.html,https://www.sec.gov/Archives/edgar/data/1091748/000112528205001024/0001125282-05-001024-index.html,https://www.sec.gov/Archives/edgar/data/1091748/000112528206001680/b412207_10k.htm,https://www.sec.gov/Archives/edgar/data/1091748/000095012307004010/y30986e10vk.htm,https://www.sec.gov/Archives/edgar/data/1091748/000120677408000455/argo_10-k.htm,https://www.sec.gov/Archives/edgar/data/1091748/000119312509042483/0001193125-09-042483-index.html,https://www.sec.gov/Archives/edgar/data/1091748/000119312510043345/0001193125-10-043345-index.html,https://www.sec.gov/Archives/edgar/data/1091748/000119312511050073/d10k.htm,https://www.sec.gov/Archives/edgar/data/1091748/000119312512089089/0001193125-12-089089-index.html,https://www.sec.gov/Archives/edgar/data/1091748/000119312513084723/0001193125-13-084723-index.html,https://www.sec.gov/Archives/edgar/data/1091748/000119312514077302/d635086d10k.htm,https://www.sec.gov/Archives/edgar/data/1091748/000156459015001103/agii-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1091748/000156459016013542/0001564590-16-013542-index.html,https://www.sec.gov/Archives/edgar/data/1091748/000156459017002394/0001564590-17-002394-index.html,https://www.sec.gov/Archives/edgar/data/1091748/000156459018003547/0001564590-18-003547-index.html,https://www.sec.gov/Archives/edgar/data/1091748/000162828019001883/0001628280-19-001883-index.html,https://www.sec.gov/Archives/edgar/data/1091748/000162828020002567/0001628280-20-002567-index.html,https://www.sec.gov/Archives/edgar/data/1091748/000162828021004668/0001628280-21-004668-index.htm,https://www.sec.gov/Archives/edgar/data/1091748/000162828022006331/0001628280-22-006331-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,500000,300000,1000000,-100000,22600000,34800000,39800000,33300000,44200000,2700000,-42138631,-10799973,-17966892,64545000,96648000,22846000,-697558000,28502000,143800000,62900000,117500000,82600000,-82400000,52300000,143200000,183200000,163200000,146700000,50300000,63600000,-8400000,-54100000,5800000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8400000,- -,22400000,32300000,31900000,36600000,39600000,37200000,38700000,35400000,33800000,31900000,27300000,33200000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3600000,- -,-1900000,-6300000,9700000,5000000,3800000,27600000,8300000,-1100000,-17900000,-12600000,-26500000,-21600000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7900000,10100000,4600000,10500000,23300000,19600000,29100000,19800000,12300000,18300000,16900000,8700000,- -
77,Change in Working Capital,- -,- -,- -,-4300000,- -,- -,-3500000,3500000,- -,- -,- -,- -,- -,-442000000,-18000000,-251000000,-43000000,-41000000,204000000,-893000000,746000000,2385500000,-123000000,223300000,-1626100000,-110300000,-1318600000,2400000,249000000,-81000000,-2952600000,-1130500000,-740000000,-523800000,11621900000,- -
78,Accounts Receivable,- -,- -,- -,-4000000,1100000,-5900000,-5200000,44600000,-19000000,8600000,19900000,-12100000,-51200000,-96646915,-13115768,-169228250,29072000,68823000,-18234000,-106015000,207028000,57700000,- -,- -,- -,52400000,24900000,86700000,256700000,-182600000,-318000000,-602700000,-557500000,-460400000,84800000,47400000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,1700000,-800000,-1000000,8800000,-24200000,3000000,- -,-21500000,-10200000,51800000,184857136,17476884,238339157,2913000,-27717000,-42436000,19307000,-757345000,-4400000,- -,- -,- -,-97400000,-67500000,-246400000,-163900000,157200000,153600000,88800000,226500000,246500000,-238200000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,-3500000,- -,- -,- -,- -,- -,- -,-442000000,-460000000,-711000000,-754000000,-795000000,-591000000,-1484000000,-738000000,1647500000,1524500000,1747800000,121700000,11400000,-1307200000,-1304800000,-1055800000,-1136800000,-4089400000,-5219900000,-5959900000,-6483700000,5138200000,- -
82,Other Non-Cash Items,- -,- -,- -,400000,-11600000,3100000,-7500000,9700000,-3800000,-7400000,-5300000,-24600000,2300000,501651070,4467752,294062726,117837000,98609000,-181495000,1617833000,-1208749000,-2375100000,35100000,-67400000,1504300000,128800000,1244700000,-212500000,-386100000,124300000,2933200000,1217000000,940100000,697800000,-11516200000,-5800000
