,https://roic.ai/company/IT,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3121000,830000,1156000,1249000,1046000,1551000,1413000,1766000,2449000,3011000,2566000,3026000,2087000,1893000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22390000,16862000,16772000,11216000,9905000,10388000,12300000,22548000,27565000,127947000,126774000,102831000,115636000,118513000
14,Depreciation and Amortization,6500000,7300000,8100000,12900000,18200000,27300000,31600000,65676000,53240000,44453000,37320000,28337000,37152000,35824000,27752000,27495000,27023000,35874000,32064000,29771000,34442000,39412000,47131000,61969000,240171000,255601000,211779000,218984000,212405000
15,EBITDA,17900000,34700000,53700000,66000000,142000000,178400000,170900000,120048000,-22135000,118056000,72876000,62799000,42590000,121696000,141913000,201354000,159411000,186731000,245464000,275272000,311269000,326395000,341890000,377965000,240301000,563496000,590349000,660753000,1300788000
16,EBITDA ratio,0.1461,0.2053,0.2343,0.1672,0.2778,0.2779,0.2328,0.1398,-0.0233,0.1301,0.0849,0.0703,0.0431,0.1148,0.1193,0.1574,0.1399,0.1449,0.1671,0.1704,0.1745,0.1615,0.1581,0.1546,0.0726,0.1417,0.1391,0.1612,0.2748
17,Operating Income,14600000,27300000,43300000,84300000,116600000,150900000,161100000,65711000,42514000,96375000,47461000,42659000,25280000,103250000,133122000,164368000,134477000,149265000,214062000,245707000,275492000,286162000,287997000,305141000,-6329000,259715000,370087000,490150000,915751000
18,Operating Income ratio,0.1192,0.1615,0.1889,0.2136,0.2281,0.2350,0.2194,0.0765,0.0447,0.1062,0.0553,0.0477,0.0256,0.0974,0.1119,0.1285,0.1180,0.1158,0.1458,0.1521,0.1544,0.1416,0.1331,0.1248,-0.0019,0.0653,0.0872,0.1196,0.1934
19,Total Other Income Expenses (Gains),-2400000,100000,2300000,-31200000,7200000,200000,-21800000,-9610000,-51906000,-22772000,-11905000,-8197000,-19842000,-17378000,-18961000,-19627000,-18951000,-15180000,-11878000,-10111000,-9053000,-11479000,-15786000,-16710000,-121488000,-78594000,-94348000,-164017000,54119000
20,Income Before Tax,12200000,27400000,45600000,53100000,123800000,151100000,139300000,56101000,-9392000,73603000,35556000,34462000,5438000,85872000,114161000,144741000,115526000,134085000,202184000,235596000,266439000,274683000,272211000,288431000,-127817000,181121000,275739000,326133000,969870000
21,Income Before Tax Ratio,0.0996,0.1621,0.1990,0.1345,0.2422,0.2354,0.1897,0.0653,-0.0099,0.0811,0.0414,0.0386,0.0055,0.0810,0.0960,0.1132,0.1014,0.1041,0.1377,0.1458,0.1493,0.1359,0.1258,0.1180,-0.0386,0.0456,0.0650,0.0796,0.2049
22,Income Tax expense (Gain),5400000,12400000,20100000,36700000,50700000,62800000,51000000,28826000,-9172000,25025000,11863000,17573000,7875000,27680000,40608000,47598000,32562000,37800000,65282000,69693000,83638000,90917000,96576000,94849000,-131096000,58665000,42449000,59388000,176310000
23,Net Income,6000000,15000000,25500000,16400000,73100000,88300000,88300000,25546000,-66203000,48578000,23693000,16889000,-2437000,58192000,73553000,103871000,82964000,96285000,136902000,165903000,182801000,183766000,175635000,193582000,3279000,122456000,233290000,266745000,793560000
