,https://roic.ai/company/FLS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,146000000,144300000,182100000,230900000,281000000,296800000,296500000,300400000,313900000,345388000,532726000,605454000,1152200000,1083100000,1061300000,1538293000,1917507000,2251331000,2404371000,2638199000,2695277000,3061063000,3762694000,4473473000,4365262000,4032036000,4510201000,4751339000,4954619000,4877885000,4561030000,3991462000,3660831000,3832666000,3944850000,3728134000,3541060000
2,COGS,91400000,93300000,110700000,134300000,168800000,173400000,174100000,177100000,184000000,217249000,317306000,361354000,664300000,628500000,658300000,974344000,1302955000,1565800000,1681950000,1859383000,1833446000,2053761000,2514972000,2893161000,2817130000,2622343000,2996555000,3170388000,3266524000,3163268000,3073712000,2759908000,2575454000,2644830000,2649480000,2611365000,2491335000
3,Gross Profit,54600000,51000000,71400000,96600000,112200000,123400000,122400000,123300000,129900000,128139000,215420000,244100000,487900000,454600000,403000000,563949000,614552000,685531000,722421000,778816000,861831000,1007302000,1247722000,1580312000,1548132000,1409693000,1513646000,1580951000,1688095000,1714617000,1487318000,1231554000,1085377000,1187836000,1295370000,1116769000,1049725000
4,Gross Profit Ratio,0.3740,0.3534,0.3921,0.4184,0.3993,0.4158,0.4128,0.4105,0.4138,0.3710,0.4044,0.4032,0.4235,0.4197,0.3797,0.3666,0.3205,0.3045,0.3005,0.2952,0.3198,0.3291,0.3316,0.3533,0.3546,0.3496,0.3356,0.3327,0.3407,0.3515,0.3261,0.3085,0.2965,0.3099,0.3284,0.2996,0.2964
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,9613000,14972000,15482000,26900000,26400000,25600000,24800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,85345000,137346000,147223000,285900000,265600000,275900000,335506000,410563000,476923000,539782000,623035000,671738000,782503000,856501000,984403000,934451000,844990000,914080000,922125000,966829000,936900000,971611000,965322000,903864000,943714000,899813000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,85345000,137346000,147223000,285900000,265600000,275900000,335506000,410563000,476923000,539782000,623035000,671738000,782503000,856501000,984403000,934451000,844990000,914080000,922125000,966829000,936900000,971611000,965322000,903864000,943714000,899813000,- -,797076000
9,Other Expenses,42900000,44900000,56100000,65200000,75100000,83000000,88300000,93200000,99900000,1897000,-173000,6545000,39000000,39300000,39600000,57037000,- -,16179000,19768000,- -,- -,-14820000,-18695000,- -,- -,- -,-19111000,- -,- -,- -,- -,- -,- -,- -,- -,878245000,- -
