,https://roic.ai/company/SKY,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,316200000,312600000,322900000,383600000,365900000,327500000,339100000,491700000,580100000,642100000,646000000,613200000,623400000,664800000,589242000,463824000,450722000,419817000,432381000,454324000,508543000,365473000,301765000,166676000,136230000,162327000,182846000,177574000,191730000,186985000,211774000,236504000,1064722000,1360043000,1369730000,1420881000
2,COGS,- -,260100000,255400000,307500000,362900000,308300000,278700000,287500000,419300000,487100000,536600000,530200000,503300000,509900000,536800000,485502000,403622000,387050000,366633000,377807000,404728000,444686000,327514000,278956000,165622000,131400000,160525000,177962000,166111000,181443000,169891000,188461000,214527000,887611000,1114684000,1090755000,1133186000
3,Gross Profit,- -,56100000,57200000,15400000,20700000,57600000,48800000,51600000,72400000,93000000,105500000,115800000,109900000,113500000,128000000,103740000,60202000,63672000,53184000,54574000,49596000,63857000,37959000,22809000,1054000,4830000,1802000,4884000,11463000,10287000,17094000,23313000,21977000,177111000,245359000,278975000,287695000
4,Gross Profit Ratio,- -,0.1774,0.1830,0.0477,0.0540,0.1574,0.1490,0.1522,0.1472,0.1603,0.1643,0.1793,0.1792,0.1821,0.1925,0.1761,0.1298,0.1413,0.1267,0.1262,0.1092,0.1256,0.1039,0.0756,0.0063,0.0355,0.0111,0.0267,0.0646,0.0537,0.0914,0.1101,0.0929,0.1663,0.1804,0.2037,0.2025
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,70600000,82200000,84700000,79000000,82500000,87800000,81144000,50055000,47545000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,270158000,186255000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,41300000,38600000,- -,- -,48200000,46000000,45700000,59200000,70600000,82200000,84700000,79000000,82500000,87800000,81144000,50055000,47545000,44843000,45715000,43408000,45943000,40372000,36770000,30735000,26200000,28490000,27450000,23681000,22886000,21194000,21120000,22908000,122582000,270158000,186855000,178936000
9,Other Expenses,- -,2200000,2100000,2200000,2400000,2500000,2600000,2700000,2700000,2900000,3400000,3500000,3700000,3700000,3800000,4083000,- -,- -,- -,- -,- -,- -,- -,- -,3776000,-1956000,- -,- -,- -,- -,- -,- -,- -,487000,4943000,5665000,- -
10,Operating Expenses,- -,43500000,40700000,2200000,2400000,50700000,48600000,48400000,61900000,73500000,85600000,88200000,82700000,86200000,91600000,85227000,50055000,47545000,44843000,45715000,43408000,45943000,40372000,36770000,34511000,24244000,28490000,27450000,23681000,22886000,21194000,21120000,22908000,123069000,275101000,192520000,178936000
11,COGS and Expenses,- -,303600000,296100000,309700000,365300000,359000000,327300000,335900000,481200000,560600000,622200000,618400000,586000000,596100000,628400000,570729000,453677000,434595000,411476000,423522000,448136000,490629000,367886000,315726000,200133000,155644000,189015000,205412000,189792000,204329000,191085000,209581000,237435000,1010680000,1389785000,1283275000,1312122000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,911000,63000,61000,17000,64000,100000,50000,- -,- -,948000,2043000,3231000,565000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71000,381000,320000,344000,5133000,5333000,4632000,3813000
14,Depreciation and Amortization,- -,2200000,2100000,2200000,2400000,2500000,2600000,2700000,2700000,2900000,3400000,3500000,3700000,3700000,3800000,4083000,3985000,3890000,3785000,3450000,3389000,3154000,3148000,3181000,2704000,2189000,2683000,2359000,2002000,1716000,1320000,1057000,1026000,8260000,16079000,18546000,17704000
15,EBITDA,- -,22200000,24900000,23600000,30000000,18200000,11100000,12100000,19200000,27900000,29000000,36500000,38400000,37000000,46400000,29168000,22515000,24119000,14121000,13556000,12051000,26469000,6547000,-5957000,-22290000,-17162000,-23944000,-17006000,-8511000,-10077000,-8713000,3055000,1375000,56509000,-19891000,108232000,132917000
16,EBITDA ratio,- -,0.0702,0.0797,0.0731,0.0782,0.0497,0.0339,0.0357,0.0390,0.0481,0.0452,0.0565,0.0626,0.0594,0.0698,0.0495,0.0485,0.0535,0.0336,0.0314,0.0265,0.0520,0.0179,-0.0197,-0.1337,-0.1260,-0.1475,-0.0930,-0.0479,-0.0526,-0.0466,0.0144,0.0058,0.0531,-0.0146,0.0790,0.0935
17,Operating Income,- -,12600000,16500000,13200000,18300000,6900000,200000,3200000,10500000,19500000,19900000,27600000,27200000,27300000,36400000,18513000,10147000,16127000,8341000,8859000,6188000,17914000,-2413000,-13961000,-25905000,-19414000,-26688000,-19382000,-10577000,-11893000,-3857000,2193000,349000,54589000,-29742000,86455000,108759000
