,https://roic.ai/company/CCL,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,420800000,564100000,599700000,1147700000,1391300000,1404700000,1473600000,1556900000,1806016000,1998150000,2212572000,2447468000,3009306000,3497470000,3778542000,4535751000,4368269000,6718000000,9727000000,11087000000,11839000000,13033000000,14646000000,13157000000,14469000000,15793000000,15382000000,15456000000,15884000000,15714000000,16389000000,17510000000,18881000000,20825000000,5594000000,1908000000
2,COGS,232500000,305100000,326900000,659900000,815100000,810300000,865600000,907900000,1028475000,1131113000,1241269000,1322669000,1619377000,1862636000,2058342000,2468730000,2311919000,3818000000,5457000000,6217000000,6791000000,7628000000,9039000000,8104000000,9092000000,10299000000,10320000000,10624000000,10403000000,9447000000,9383000000,10501000000,11089000000,12909000000,8245000000,4655000000
3,Gross Profit,188300000,259000000,272800000,487800000,576200000,594400000,608000000,649000000,777541000,867037000,971303000,1124799000,1389929000,1634834000,1720200000,2067021000,2056350000,2900000000,4270000000,4870000000,5048000000,5405000000,5607000000,5053000000,5377000000,5494000000,5062000000,4832000000,5481000000,6267000000,7006000000,7009000000,7792000000,7916000000,-2651000000,-2747000000
4,Gross Profit Ratio,0.4475,0.4591,0.4549,0.4250,0.4141,0.4232,0.4126,0.4169,0.4305,0.4339,0.4390,0.4596,0.4619,0.4674,0.4553,0.4557,0.4707,0.4317,0.4390,0.4393,0.4264,0.4147,0.3828,0.3841,0.3716,0.3479,0.3291,0.3126,0.3451,0.3988,0.4275,0.4003,0.4127,0.3801,-0.4739,-1.4397
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,70500000,82400000,87300000,180300000,216800000,193300000,194300000,208000000,223272000,248566000,274855000,296533000,369469000,447235000,487403000,618664000,611948000,932000000,1285000000,1329000000,1447000000,1579000000,1629000000,1590000000,1614000000,1717000000,1720000000,1879000000,2054000000,2067000000,2197000000,2265000000,2450000000,2480000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",70500000,82400000,87300000,180300000,216800000,193300000,194300000,208000000,223272000,248566000,274855000,296533000,369469000,447235000,487403000,618664000,611948000,932000000,1285000000,1329000000,1447000000,1579000000,1629000000,1590000000,1614000000,1717000000,1720000000,1879000000,2054000000,2067000000,2197000000,2265000000,2450000000,2480000000,1878000000,1885000000
9,Other Expenses,16600000,24500000,27500000,66700000,89900000,85200000,88800000,93300000,110595000,128433000,144987000,167287000,200668000,243658000,287667000,372224000,382343000,585000000,812000000,902000000,988000000,1101000000,1249000000,1309000000,1416000000,1522000000,1527000000,1588000000,1635000000,1626000000,1738000000,1846000000,2017000000,2160000000,2241000000,2233000000
10,Operating Expenses,87100000,106900000,114800000,247000000,306700000,278500000,283100000,301300000,333867000,376999000,419842000,463820000,570137000,690893000,775070000,990888000,994291000,1517000000,2097000000,2231000000,2435000000,2680000000,2878000000,2899000000,3030000000,3239000000,3247000000,3467000000,3689000000,3693000000,3935000000,4111000000,4467000000,4640000000,4119000000,4118000000
11,COGS and Expenses,319600000,412000000,441700000,906900000,1121800000,1088800000,1148700000,1209200000,1362342000,1508112000,1661111000,1786489000,2189514000,2553529000,2833412000,3459618000,3306210000,5335000000,7554000000,8448000000,9226000000,10308000000,11917000000,11003000000,12122000000,13538000000,13567000000,14091000000,14092000000,13140000000,13318000000,14612000000,15556000000,17549000000,12364000000,8773000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35000000,14000000,12000000,11000000,10000000,11000000,8000000,8000000,6000000,9000000,14000000,23000000,18000000,12000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,414000000,380000000,378000000,365000000,336000000,319000000,288000000,217000000,223000000,198000000,194000000,206000000,895000000,1601000000
