,https://roic.ai/company/INTT,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,18600000,20700000,19100000,34500000,87651000,51627000,47127000,48028000,71211000,53359000,62346000,48705000,38790000,23499000,46204000,47266000,43376000,39426000,41796000,38889000,40227000,66801000,78563000,60660000,53823000,84878000
2,COGS,6700000,7600000,7900000,14700000,46021000,38916000,28888000,29179000,42421000,33633000,35952000,29924000,25005000,15686000,24059000,24373000,24317000,20411000,21334000,20191000,19849000,32111000,39162000,31435000,29719000,43654000
3,Gross Profit,11900000,13100000,11200000,19800000,41630000,12711000,18239000,18849000,28790000,19726000,26394000,18781000,13785000,7813000,22145000,22893000,19059000,19015000,20462000,18698000,20378000,34690000,39401000,29225000,24104000,41224000
4,Gross Profit Ratio,0.6398,0.6329,0.5864,0.5739,0.4750,0.2462,0.3870,0.3925,0.4043,0.3697,0.4233,0.3856,0.3554,0.3325,0.4793,0.4843,0.4394,0.4823,0.4896,0.4808,0.5066,0.5193,0.5015,0.4818,0.4478,0.4857
5,Research and Development Exp.,1900000,1700000,1900000,3200000,6576000,6132000,5668000,6402000,6973000,5941000,5439000,5519000,5064000,2418000,3044000,3240000,3895000,3683000,3580000,3935000,3660000,4301000,4908000,4964000,- -,5531000
6,General and Administrative Exp.,- -,5000000,6200000,9400000,18984000,16656000,- -,- -,- -,- -,- -,- -,8062000,5445000,6034000,6367000,6430000,5975000,6231000,6404000,7005000,11694000,12801000,13252000,11444000,15865000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7875000,4333000,5717000,5708000,5425000,5395000,5735000,5797000,5567000,8108000,9611000,8460000,7522000,11083000
8,"Selling, General and Administrative Exp.",- -,5000000,6200000,9400000,18984000,16656000,- -,- -,- -,- -,- -,- -,15937000,9778000,11751000,12075000,11855000,11370000,11966000,12201000,12572000,19802000,22412000,21712000,18966000,26948000
9,Other Expenses,4400000,200000,500000,900000,2074000,4612000,14377000,16281000,19524000,5977000,17412000,20115000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6355000,- -
