,https://roic.ai/company/AMOV,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,3898465000,4253773673,877108050,-822428087,4498701130,15334154402,16459869420,31664746685,42478325000,58735056000,59575394000,76913454000,91123052000,82853529000,91440880000,74624979000,46146370000,35054772000,8649427000,29325921000,52566197000,67730891000,46852605000,196025000000
24,Net Income ratio,0.4141,0.2782,0.0299,-0.0200,0.0777,0.1790,0.1226,0.1737,0.1828,0.1880,0.1724,0.1949,0.1499,0.1245,0.1180,0.0949,0.0544,0.0392,0.0089,0.0287,0.0506,0.0672,0.0461,0.2291
25,EPS,0.90,0.98,0.21,-0.20,1.16,3.85,4.38,8.68,12.06,16.67,17.40,23.50,23.10,21.46,24.11,21.18,13.48,10.62,2.63,8.88,13.83,20.52,14.01,58.64
26,EPS Diluted,0.90,0.98,0.21,-0.20,1.16,3.85,4.38,8.68,12.06,16.67,17.40,23.50,23.10,21.46,24.11,21.18,13.48,10.62,2.63,8.88,13.83,20.52,14.01,58.64
27,Weighted Average Shares Outstanding,4345500000,4349849850,4266600000,3959700000,3936900000,3873600000,3750600000,3653800000,3545900000,3514900000,3422000000,3273800000,3951000000,3849500000,3791950000,3523750000,3407650000,3299950000,3289900000,3303500000,3302736352,3300259836,3343100000,3343100000
28,Weighted Average Shares Outstanding Diluted,4345500000,4349849850,4350529025,3989897898,3936900000,3903903904,3750600000,3653800000,3593000000,3524000000,3422000000,3273800000,3951000000,3849500000,3791950000,3523750000,3407650000,3299950000,3289900000,3303500000,3302736352,3300259836,3343100000,3343100000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1129137/000119312503009401/0001193125-03-009401-index.htm,https://www.sec.gov/Archives/edgar/data/1129137/000119312504112016/0001193125-04-112016-index.htm,https://www.sec.gov/Archives/edgar/data/1129137/000119312505135833/0001193125-05-135833-index.htm,https://www.sec.gov/Archives/edgar/data/1129137/000119312506140183/0001193125-06-140183-index.htm,https://www.sec.gov/Archives/edgar/data/1129137/000119312507147907/0001193125-07-147907-index.htm,https://www.sec.gov/Archives/edgar/data/1129137/000119312508130737/0001193125-08-130737-index.htm,https://www.sec.gov/Archives/edgar/data/1129137/000119312509141628/0001193125-09-141628-index.htm,https://www.sec.gov/Archives/edgar/data/1129137/000119312510128293/0001193125-10-128293-index.htm,https://www.sec.gov/Archives/edgar/data/1129137/000119312511138519/0001193125-11-138519-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1129137/000119312513184772/0001193125-13-184772-index.htm,https://www.sec.gov/Archives/edgar/data/1129137/000119312514172789/0001193125-14-172789-index.htm,https://www.sec.gov/Archives/edgar/data/1129137/000119312515163682/0001193125-15-163682-index.htm,https://www.sec.gov/Archives/edgar/data/1129137/000119312516556690/0001193125-16-556690-index.htm,https://www.sec.gov/Archives/edgar/data/1129137/000119312517134802/0001193125-17-134802-index.htm,https://www.sec.gov/Archives/edgar/data/1129137/000119312518135124/0001193125-18-135124-index.htm,https://www.sec.gov/Archives/edgar/data/1129137/000119312519104076/0001193125-19-104076-index.htm,https://www.sec.gov/Archives/edgar/data/1129137/000119312520127000/0001193125-20-127000-index.htm,https://www.sec.gov/Archives/edgar/data/1129137/000119312521137773/0001193125-21-137773-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,36861336871,22573484100,2509985474,9215584070,9257385447,16464689424,11285485860,41074975000,12004086000,22092139000,27445880000,95938465000,59123996000,45487200000,48163550000,66473703000,45160032000,23218383000,24270473000,21659962000,19745656000,35917907000,- -
32,Short-Term Investments,- -,4327628049,1628914950,9831438104,1464935010,792322800,2581656336,1506109275,2051050000,54465000,- -,- -,- -,- -,- -,- -,- -,56347469000,54857157000,59120676000,49015934000,47718025000,54636395000,- -
33,Cash and Short-Term Investments,- -,41188964920,24202399050,12341423578,10680519080,10049708247,19046345760,12791595135,43126025000,12058551000,22092139000,27445880000,95938465000,59123996000,45487200000,48163550000,66473703000,101507501000,78075540000,83391149000,70675896000,67463681000,90554302000,156383000000
34,Net Receivables,- -,1736282611,4443371550,4353741078,6316882880,11378079947,20740255092,30864481835,41906190000,44868267000,53823472000,56387080000,96735223000,124973353000,120895007000,129219049000,146904514000,156086760000,206515031000,194644374000,217490525000,205979436000,209369254000,212339000000
35,Inventory,- -,2143299971,3604817700,3384973797,3033766120,5212488025,11206842480,12962390485,19193510000,21110634000,31805142000,21536018000,26081530000,34141317000,28697820000,36718953000,35930282000,35577472000,36871292000,38809565000,40305362000,41102012000,30377439000,24185000000
36,Other Current Assets,- -,850285518,1407228300,2287102424,1485714230,2818375013,4140005832,3593432260,3637915000,4498809000,5765126000,2729344000,14956754000,22038601000,14051212000,22596516000,39099658000,58159921000,20447144000,25390130000,20583741000,16299194000,29922242000,10611000000
37,Total Current Assets,- -,45918833020,33657816600,22367240876,21516882310,29458651232,55133449164,60211899715,107863640000,82536261000,113485879000,108098322000,233711972000,240277267000,209131239000,236698068000,288408157000,351331654000,341909007000,342235218000,349055524000,330844323000,360223237000,403518000000
38,PP&E,6574000000,12404148504,33281913150,39705115628,61038958750,70933470849,84638614986,111924613075,136826625000,167490768000,209896820000,227049009000,411820387000,466086773000,500434272000,501106951000,595596318000,573528878000,701190066000,676343198000,640000720000,757346593000,824906475000,821569000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,12253828620,25540970000,44835588000,44696281000,45805279000,70918967000,73038433000,99705859000,92486284000,140903391000,137113716000,152632635000,151463232000,145566497000,152899801000,143052859000,136578000000
40,Intangible Assets,- -,3876933776,7122888450,6685682049,28145453490,41587300358,44407585332,37608499170,39045515000,42264840000,48109524000,46557058000,49052735000,41537753000,45195745000,38220138000,109829650000,124745040000,152369446000,143539626000,122137703000,125169389000,133456967000,143226000000
41,Intangible Assets,- -,3876933776,7122888450,6685682049,28145453490,41587300358,44407585332,49862327790,64586485000,87100428000,92805805000,92362337000,119971702000,114576186000,144901604000,130706422000,250733041000,261858756000,305002081000,295002858000,267704200000,278069190000,276509826000,279804000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,789612000,974693000,50539455000,54218023000,73116285000,88887024000,49262581000,3110570000,3603484000,3735172000,3132707000,2474193000,1829760000,9947000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,657206495,788035000,3398616000,9296367000,15908795000,32768773000,33074458000,33996070000,50853686000,66500539000,81407012000,112651699000,116571349000,111186768000,106167897000,115370240000,- -
44,Other Non-Current Assets,- -,3172124446,15315655950,23273015910,3189610270,7518225710,9811484640,7510600790,8096250000,9444231000,9180987000,8614805000,27882245000,37384154000,42318543000,17340282000,27856033000,25249943000,50685937000,52324057000,58143473000,57031461000,46208689000,172549000000
45,Total Non-Current Assets,- -,19453206727,55720457550,69663813587,92374022510,120038996917,138857684958,169954748150,210297395000,267434043000,321969591000,344909639000,642982562000,705339594000,794766774000,788894365000,989948512000,945155159000,1173133267000,1143976634000,1080167868000,1201089334000,1264824990000,1283869000000
46,Other Assets,52190000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,52190000000,65372039747,89378274150,92031054463,113890904820,149497648149,193991134122,230166647865,318161035000,349970304000,435455470000,453007961000,876694534000,945616861000,1003898013000,1025592433000,1278356669000,1296486813000,1515042274000,1486211852000,1429223392000,1531933657000,1625048227000,1687387000000
48,Accounts Payable,- -,5128229542,10573489350,8181061240,11023376210,19880744354,36451624536,45971654300,51319332845,57297180000,90867401000,97086585000,1911295000,92484803000,91793858000,98763285000,118723997000,106399877000,132796101000,106483848000,118406380000,113370716000,74285881000,255733000000
49,Short-Term Debt,- -,390774506,6766262100,6261016441,10306493120,12069471118,5375037456,17020207765,25065990000,19999548000,26731355000,9167941000,9039204000,26643315000,13621806000,25841478000,57805517000,119589786000,82607259000,51745841000,96230634000,155066744000,173151089000,172774000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14612465000,16716549000,22479495000,28622319000,24944133000,22082241000,32554727000,20666548000,25288630000,33749493000,43211525000,57400006000,42614718000,- -
51,Deferred Revenue,- -,- -,- -,1467975836,2722077820,4608476182,7059129084,8803061960,11485880000,12428913000,14662631000,16240451000,25064230000,26248679000,25988883000,29682821000,33438558000,34824320000,38513393000,35732333000,34165179000,32859584000,37414028000,- -
52,Other Current Liabilities,- -,1097854241,549397350,2801454221,1963636290,3097601654,5507221068,17477289665,32870872155,26611599000,15534719000,17761704000,168528354000,117381634000,121454130000,119667369000,168943552000,164721476000,216086496000,219374475000,218288696000,224102701000,222459680000,99641000000
53,Total Current Liabilities,- -,6616858289,17889148800,18711507738,26015583440,39656293308,54393012144,89272213690,120742075000,116337240000,147796106000,140256681000,204543083000,262758431000,252858677000,273954953000,378911624000,425535459000,470003249000,413336497000,467090889000,525399745000,507310678000,528148000000
54,Long-Term Debt,- -,86010502,1185541650,15069171594,36238959680,37085250586,55885891770,51568264440,85129370000,85008972000,116755093000,101741199000,294060952000,353975487000,404048282000,464478366000,545949470000,563626958000,625194144000,646139058000,542691819000,589784466000,564559108000,489829000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3990184000,3175796000,1100195000,1105294000,1330757000,1052940000,1625270000,3183727000,3239301000,3425738000,2875467000,- -
56,Deferred Tax Liabilities,- -,- -,2563854300,1990913351,2077922000,3637153337,6173336736,3486411830,3368040000,12526950000,14621075000,22282245000,25178166000,16751716000,21231775000,1628409000,17469798000,11589865000,14061881000,11997364000,24573441000,18093041000,49067163000,- -
57,Other Non-Current Liabilities,- -,3080466313,1156626000,16680303,- -,128998657,222053364,114748150,151130000,8932260000,11358647000,10822273000,12884979000,13315736000,12335707000,74124334000,100055972000,133827405000,133133963000,150921689000,145755520000,168323802000,186118193000,211766000000
58,Total Non-Current Liabilities,- -,3166476814,4906021950,17076765249,38316881680,40851402580,62281281870,55169424420,88648540000,106468182000,142734815000,134845717000,336114281000,387218735000,438715959000,541336403000,664805997000,710097168000,774015258000,812241838000,716260081000,779627047000,802619931000,701595000000
59,Other Liabilities,2347000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,106862000,138077000,32160000,36962000,12460000,120608476000,109341151000,98654000000
61,Total Liabilities,2347000000,9783335104,22795170750,35788272987,64332465120,80507695888,116674294014,144441638110,209390615000,222805422000,290530921000,275102398000,540657364000,649977166000,691574636000,815291356000,1043717621000,1135632627000,1244018507000,1225578335000,1183350970000,1305026792000,1309930609000,1229743000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,27672277050,28197416177,30233765100,31091451705,32688978372,33902930050,- -,- -,- -,- -,- -,- -,96414841000,96392339000,96382631000,96338477000,96337514000,96338508000,96338378000,96338262000,96341695000,- -
64,Retained Earnings,- -,8144273118,7257828150,29598216048,33651946790,47552181695,52557201450,66480004140,86133305000,93908553000,88746689000,115866428000,196132692000,164052481000,213119991000,197318912000,192334408000,172331439000,157715300000,171087598000,237255485000,281450127000,314718025000,- -
65,Other Comprehensive Income/Loss,- -,-3769127389,-6997587300,-13273892554,-15511687730,-14736051407,-9583378506,-15680966290,-12975590000,-4008624000,18988897000,24782273000,15085830000,25168067000,-7737017000,-91310640000,-104332763000,-156391921000,-45137571000,-73261794000,-137598218000,-199878430000,-160580917000,- -
66,Other Total Stockholders Equity,49843000000,51213558914,38650585500,11721041804,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,49843000000,55588704643,66583103400,56242781476,48374024160,63907581993,75662801316,84701967900,108111925000,126543981000,144268067000,177173124000,307651983000,285640184000,301797815000,202400611000,184384276000,112277995000,208915243000,194164312000,195995645000,177909959000,250478803000,457644000000
68,Total Liabilities And Stockholders Equity,52190000000,65372039747,89378274150,92031054463,112706489280,144415277881,192337095330,229143606010,317502540000,349349403000,434798988000,452275522000,848309347000,935617350000,993372451000,1017691967000,1228101897000,1247910622000,1452933750000,1419742647000,1379346615000,1482936751000,1560409412000,1687387000000
69,Minority Interest,- -,- -,- -,- -,1184415540,5082370268,1654038792,1023041855,658495000,620901000,656482000,732439000,28385187000,9999511000,10525562000,7900466000,50254772000,48576191000,62108524000,66469205000,49876777000,48996906000,64638815000,- -
70,Total Liabilities & Equity,52190000000,65372039747,89378274150,92031054463,113890904820,149497648149,193991134122,230166647865,318161035000,349970304000,435455470000,453007961000,876694534000,945616861000,1003898013000,1025592433000,1278356669000,1296486813000,1515042274000,1486211852000,1429223392000,1531933657000,1625048227000,1687387000000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1129137/000119312503009401/0001193125-03-009401-index.htm,https://www.sec.gov/Archives/edgar/data/1129137/000119312504112016/0001193125-04-112016-index.htm,https://www.sec.gov/Archives/edgar/data/1129137/000119312505135833/0001193125-05-135833-index.htm,https://www.sec.gov/Archives/edgar/data/1129137/000119312506140183/0001193125-06-140183-index.htm,https://www.sec.gov/Archives/edgar/data/1129137/000119312507147907/0001193125-07-147907-index.htm,https://www.sec.gov/Archives/edgar/data/1129137/000119312508130737/0001193125-08-130737-index.htm,https://www.sec.gov/Archives/edgar/data/1129137/000119312509141628/0001193125-09-141628-index.htm,https://www.sec.gov/Archives/edgar/data/1129137/000119312510128293/0001193125-10-128293-index.htm,https://www.sec.gov/Archives/edgar/data/1129137/000119312511138519/0001193125-11-138519-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1129137/000119312513184772/0001193125-13-184772-index.htm,https://www.sec.gov/Archives/edgar/data/1129137/000119312514172789/0001193125-14-172789-index.htm,https://www.sec.gov/Archives/edgar/data/1129137/000119312515163682/0001193125-15-163682-index.htm,https://www.sec.gov/Archives/edgar/data/1129137/000119312516556690/0001193125-16-556690-index.htm,https://www.sec.gov/Archives/edgar/data/1129137/000119312517134802/0001193125-17-134802-index.htm,https://www.sec.gov/Archives/edgar/data/1129137/000119312518135124/0001193125-18-135124-index.htm,https://www.sec.gov/Archives/edgar/data/1129137/000119312519104076/0001193125-19-104076-index.htm,https://www.sec.gov/Archives/edgar/data/1129137/000119312520127000/0001193125-20-127000-index.htm,https://www.sec.gov/Archives/edgar/data/1129137/000119312521137773/0001193125-21-137773-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,3898465000,4253773673,877108050,-822428087,4498701130,15334154402,16459869420,31664746685,42478325000,58735056000,59575394000,76913454000,91123052000,82853529000,91440880000,74624979000,46146370000,35054772000,8649427000,29325921000,52566197000,67730891000,46852605000,- -
74,Depreciation and Amortization,788540000,1474580618,3007227600,4446637816,8342856830,14042164643,18534925566,21279805580,26803985000,40925001000,41767309000,53082307000,91071327000,93997035000,103584737000,101534833000,114993551000,125735395000,148525921000,160174942000,155712580000,158915210000,164243683000,- -
75,Deferred Income Tax,- -,- -,2554215750,-271386899,-374025960,79982077,2657299302,-2937775555,43180000,4673097000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,60150000,1443816632,346987800,-791441286,2254545370,-676563096,-382857138,10465222350,2266950000,-5392035000,-51310250000,-2479279000,-45318690000,-74752935000,-5255111000,-1679002000,-12661818000,-38325177000,28279199000,-10364701000,-6344440000,-31781904000,11117134000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5299903000,-7599026000,302354000,-11287204000,5077352000,-12386088000,-11791213000,-17641833000,-14192651000,1799095000,-15420291000,6800942000,3129237000,- -
79,Inventory,-218766000,-1743765487,-1137348900,290149966,602597380,-2095324503,-5723987976,-1336046360,-5818505000,-893226000,-9361512000,8479369000,-2868024000,-6721377000,4104304000,-9564979000,2470754000,-83902000,3076159000,-2991009000,-3232136000,-2095622000,11618280000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13888254000,8403243000,10192387000,20966860000,-1283784000,37754976000,14260208000,-6410783000,18196349000,5190137000,23997632000,- -,- -,- -
81,Other Working Capital,604779000,- -,- -,- -,- -,- -,- -,-887159240,-3529965000,-1372518000,-9978317000,3830103000,-48670776000,-70986195000,-9677503000,-12805021000,-17074104000,-4044611000,23350944000,-14188114000,-8872590000,-22158758000,-12569239000,- -
82,Other Non-Cash Items,-79974000,-310714357,819276750,5400270950,4083116730,165044868,444706452,111001055,-1101090000,1884489000,37431555000,25292472000,64709135000,91143130000,16833849000,13308482000,92132411000,41262001000,50343507000,38636213000,46396191000,39414271000,58614121000,- -
83,Cash Provided by Operating Activities,4667181000,6861456566,7604815950,7961652495,18805194100,28944782894,37713943602,60583000115,70491350000,100825608000,87464008000,152808954000,201584824000,193240759000,206604355000,187789292000,240610514000,163726991000,235798054000,217772375000,248330528000,234278468000,280827543000,- -
84,CAPEX,-3728267000,-6571762374,-16077101400,-10993247608,-24696102970,-22287872499,-21160150740,-48764397110,-46181010000,-39432660000,-40680459000,-53214185000,-81941638000,-121186880000,-129786195000,-121750750000,-145584953000,-151572739000,-155023895000,-136723678000,-151821680000,-151847191000,-129554989000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,4058920000,-19509363000,-479090000,- -,- -,- -,-73849936000,-12797290000,-2498887000,-3001848000,-1827300000,-6538753000,237880000,-13351158000,384272000,- -
86,Purchases of Investments,- -,-4327628049,-16048185750,-8174003489,- -,- -,1748239884,-2329472365,-14346555000,-795189000,- -,- -,-31463621000,-2271059000,- -,- -,- -,- -,- -,- -,- -,- -,-8671662000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,9080519140,712933846,- -,- -,1316990000,32679000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-1704581000,-4427932641,2746986750,-15162077428,-17620778560,-7103532014,-7176919320,-261479295,-485775000,-130716000,-13660964000,556219000,-3190988000,-955380000,-1822248000,-3078025000,-18863462000,-859785000,-10461046000,-15019633000,-5132878000,-16844596000,-18362685000,- -
89,Cash Used for Investing Activites,-3728267000,-15327323064,-29378300400,-34329328525,-33236362390,-28678470667,-26588830176,-51355348770,-55637430000,-59835249000,-41084011000,-52657481000,-112521018000,-123419627000,-197628131000,-134291601000,-147627646000,-131901546000,-150995503000,-140743523000,-148783031000,-163080089000,-135557493000,- -
90,Debt Repayment,-190453000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-41487985000,-62720695000,-148899354000,-41222218000,-97354311000,-60710863000,-36683909000,-133110776000,-125672444000,-171041215000,-202754264000,-136573891000,-360230964000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-972341226,-12387754566,-6553945145,-7459345000,-12886419000,-41632608000,-24657808000,-18150990000,-53726784000,-17836724000,-70745785000,-35049327000,-34443084000,-7021247000,-1233371000,-511421000,-435713000,-5076119000,- -
93,Dividends Paid,- -,- -,- -,-562409988,-602597380,-791371565,-1566856692,-13503575030,-2191385000,-42232161000,-8815570000,-25462328000,-17193902000,-17042980000,-15384647000,-15722576000,-17054829000,-37359600000,-13809957000,-16091390000,-22369793000,-24248145000,-9592253000,- -
94,Other Financing Activites,1267357000,4699359535,6351804450,6419870410,21558440750,1272315981,9556624152,5034354820,23641050000,-16916829000,53704868000,18225275000,131465953000,4857842000,112715306000,100532884000,14030045000,154708866000,35847604000,112327881000,124278383000,89952506000,247989202000,- -
95,Cash Used/Provided by Financing Activities,1076904000,4699359535,6351804450,5857460421,20955843370,-491396810,-4397987106,-15023165355,13990320000,-72035409000,-38231295000,-94615556000,-52778293000,-107134140000,-17860376000,-46646340000,-74758020000,-50204594000,-110656044000,-76038095000,-101357095000,-71305243000,-126910134000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1971318000,-182176000,-113581000,498539000,-4752644000,-4175001000,85305000,-2934522000,3911844000,61333000,-800913000,-1807442000,-2187665000,- -
97,Net Change In Cash,2015818000,-3766497503,-15421680000,-20510206514,6524675080,-225095774,6727137426,-5795524625,28844240000,-31055943000,10120020000,5353741000,36171932000,-36814469000,-13636796000,2676350000,18310153000,-21313671000,-21941649000,1052090000,-2610511000,-1914306000,16172251000,- -
98,Cash at the End of Period,41704485000,36861336871,22573484100,2509985474,9215584070,9257385447,16464689424,11285485860,41074975000,12004086000,22092139000,27445880000,95938465000,59123996000,45487200000,48163550000,66473703000,45160032000,23218383000,24270473000,21659962000,19745656000,35917907000,- -
99,Cash at the Beginning of Period,39688667000,40627834374,37995164100,23020191988,2690908990,9482481221,9737551998,17081010485,12230735000,43060029000,11972119000,22092139000,59766533000,95938465000,59123996000,45487200000,48163550000,66473703000,45160032000,23218383000,24270473000,21659962000,19745656000,- -
100,Free Cash Flow,938914000,289694192,-8472285450,-3031595113,-5890908870,6656910395,16553792862,11818603005,24310340000,61392948000,46783549000,99594769000,119643186000,72053879000,76818160000,66038542000,95025561000,12154252000,80774159000,81048697000,96508848000,82431277000,151272554000,- -
