,https://roic.ai/company/LUV,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,679700000,755900000,765100000,860400000,1015100000,1186800000,1313600000,1685200000,2296700000,2591933000,2872751000,3406170000,3816821000,4163980000,4735587000,5649560000,5555174000,5521771000,5937000000,6530000000,7584000000,9086000000,9861000000,11023000000,10350000000,12104000000,15658000000,17088000000,17699000000,18605000000,19820000000,20425000000,21171000000,21965000000,22428000000,9048000000,15790000000
2,COGS,311200000,267200000,351600000,400200000,482700000,596000000,675300000,793100000,1098700000,1526200000,1748000000,2107300000,2204000000,2228503000,2535300000,2965575000,3150046000,3232627000,3353000000,3687000000,4210000000,5238000000,6018000000,3618000000,2859000000,5358000000,7866000000,14243000000,14209000000,14049000000,13423000000,14151000000,14968000000,15907000000,16445000000,10938000000,11675000000
3,Gross Profit,368500000,488700000,413500000,460200000,532400000,590800000,638300000,892100000,1198000000,1065733000,1124751000,1298870000,1612821000,1935477000,2200287000,2683985000,2405128000,2289144000,2584000000,2843000000,3374000000,3848000000,3843000000,7405000000,7491000000,6746000000,7792000000,2845000000,3490000000,4556000000,6397000000,6274000000,6203000000,6058000000,5983000000,-1890000000,4115000000
4,Gross Profit Ratio,0.5422,0.6465,0.5405,0.5349,0.5245,0.4978,0.4859,0.5294,0.5216,0.4112,0.3915,0.3813,0.4226,0.4648,0.4646,0.4751,0.4330,0.4146,0.4352,0.4354,0.4449,0.4235,0.3897,0.6718,0.7238,0.5573,0.4976,0.1665,0.1972,0.2449,0.3228,0.3072,0.2930,0.2758,0.2668,-0.2089,0.2606
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,1339500000,1444600000,1659800000,1699542000,2018600000,2053337000,2304432000,2462429000,2578806000,2875000000,3034000000,3319000000,3705000000,3929000000,3340000000,3468000000,3704000000,4371000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,-151200000,-123400000,-140900000,-157200000,-157800000,-156400000,-159309000,-103014000,-54669000,-48000000,-2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",236300000,345100000,330800000,308100000,362400000,429400000,489200000,608200000,786700000,1188300000,1321200000,1518900000,1542342000,1860800000,1896937000,2145123000,2359415000,2524137000,2827000000,3032000000,3319000000,3705000000,3929000000,3340000000,3468000000,3704000000,4371000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
9,Other Expenses,53600000,67500000,65500000,66200000,72300000,79400000,86200000,101200000,119300000,1368024000,1567820000,1914735000,2156043000,2036669000,2498774000,2944726000,3067764000,3111948000,3566000000,3531000000,4062000000,5100000000,5857000000,1984000000,1953000000,2054000000,2594000000,2039000000,2126000000,2205000000,2242000000,2514000000,2688000000,2852000000,3026000000,1926000000,2394000000
10,Operating Expenses,289900000,412600000,396300000,374300000,434700000,508800000,575400000,709400000,906000000,2556324000,2889020000,3433635000,3698385000,3897469000,4395711000,5089849000,5427179000,5636085000,6393000000,6563000000,7381000000,8805000000,9786000000,5324000000,5421000000,5758000000,6965000000,2039000000,2126000000,2205000000,2242000000,2514000000,2688000000,2852000000,3026000000,1926000000,2394000000
11,COGS and Expenses,601100000,679800000,747900000,774500000,917400000,1104800000,1250700000,1502500000,2004700000,4082524000,4637020000,5540935000,5902385000,6125972000,6931011000,8055424000,8577225000,8868712000,9746000000,10250000000,11591000000,14043000000,15804000000,8942000000,8280000000,11116000000,14831000000,16282000000,16335000000,16254000000,15665000000,16665000000,17656000000,18759000000,19471000000,12864000000,14069000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51000000,13000000,12000000,10000000,7000000,6000000,7000000,9000000,24000000,35000000,69000000,90000000,32000000,13000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,130000000,165000000,149000000,182000000,126000000,107000000,107000000,90000000,75000000,65000000,93000000,82000000,314000000,431000000
14,Depreciation and Amortization,53600000,67500000,65500000,66200000,-72300000,-79400000,-86200000,-101200000,-119300000,139045000,156771000,183470000,195568000,225212000,248660000,281276000,317831000,356304000,384000000,431000000,469000000,515000000,555000000,599000000,616000000,628000000,715000000,844000000,867000000,938000000,1015000000,1221000000,1218000000,1201000000,1219000000,1255000000,1272000000
15,EBITDA,114400000,132900000,94600000,151600000,38700000,-4600000,-42400000,58100000,155700000,438568000,461911000,524832000,712524000,930324000,1022271000,1276509000,1145490000,748986000,1092000000,920000000,1343000000,1305000000,1613000000,1007000000,945000000,1522000000,1220000000,1655000000,2183000000,2861000000,4584000000,4843000000,4534000000,4458000000,4258000000,-2687000000,3028000000
16,EBITDA ratio,0.1683,0.1758,0.1236,0.1762,0.0381,-0.0039,-0.0323,0.0345,0.0678,0.1692,0.1608,0.1541,0.1867,0.2234,0.2159,0.2259,0.2062,0.1356,0.1839,0.1409,0.1771,0.1436,0.1636,0.0914,0.0913,0.1257,0.0779,0.0969,0.1233,0.1538,0.2313,0.2371,0.2142,0.2030,0.1899,-0.2970,0.1918
17,Operating Income,78600000,76100000,17200000,85900000,97700000,82000000,62900000,182700000,292000000,316709000,313531000,350835000,524236000,683611000,781576000,1021145000,631122000,417338000,483000000,554000000,820000000,934000000,791000000,449000000,262000000,988000000,693000000,623000000,1278000000,2225000000,4116000000,3760000000,3515000000,3206000000,2957000000,-3816000000,1721000000
18,Operating Income ratio,0.1156,0.1007,0.0225,0.0998,0.0962,0.0691,0.0479,0.1084,0.1271,0.1222,0.1091,0.1030,0.1373,0.1642,0.1650,0.1807,0.1136,0.0756,0.0814,0.0848,0.1081,0.1028,0.0802,0.0407,0.0253,0.0816,0.0443,0.0365,0.0722,0.1196,0.2077,0.1841,0.1660,0.1460,0.1318,-0.4218,0.1090
19,Total Other Income Expenses (Gains),-17800000,-10700000,11900000,-500000,13300000,-7200000,-19100000,-35900000,-32300000,-17186000,-8391000,-9473000,-7280000,21501000,-7965000,-3781000,196537000,-24656000,225000000,-65000000,54000000,-144000000,267000000,-171000000,-98000000,-243000000,-370000000,62000000,-69000000,-409000000,-637000000,-213000000,-264000000,-42000000,- -,-440000000,-396000000
20,Income Before Tax,60800000,65400000,29100000,85400000,111000000,74800000,43800000,146800000,259700000,299523000,305140000,341362000,516956000,705112000,773611000,1017364000,827659000,392682000,708000000,489000000,874000000,790000000,1058000000,278000000,164000000,745000000,323000000,685000000,1209000000,1816000000,3479000000,3547000000,3251000000,3164000000,2957000000,-4256000000,1325000000
21,Income Before Tax Ratio,0.0895,0.0865,0.0380,0.0993,0.1093,0.0630,0.0333,0.0871,0.1131,0.1156,0.1062,0.1002,0.1354,0.1693,0.1634,0.1801,0.1490,0.0711,0.1193,0.0749,0.1152,0.0869,0.1073,0.0252,0.0158,0.0615,0.0206,0.0401,0.0683,0.0976,0.1755,0.1737,0.1536,0.1440,0.1318,-0.4704,0.0839
22,Income Tax expense (Gain),13500000,15400000,8900000,27400000,39400000,27700000,16900000,55800000,105400000,120192000,122514000,134025000,199184000,271681000,299233000,392140000,316512000,151713000,266000000,176000000,326000000,291000000,413000000,100000000,65000000,286000000,145000000,264000000,455000000,680000000,1298000000,1303000000,-237000000,699000000,657000000,-1182000000,348000000
23,Net Income,47300000,50000000,20200000,58000000,71600000,47100000,26900000,103500000,169600000,179331000,182626000,207337000,317772000,433431000,474378000,603093000,511147000,240969000,442000000,313000000,548000000,499000000,645000000,178000000,99000000,459000000,178000000,421000000,754000000,1136000000,2181000000,2244000000,3488000000,2465000000,2300000000,-3074000000,977000000
24,Net Income ratio,0.0696,0.0661,0.0264,0.0674,0.0705,0.0397,0.0205,0.0614,0.0738,0.0692,0.0636,0.0609,0.0833,0.1041,0.1002,0.1068,0.0920,0.0436,0.0744,0.0479,0.0723,0.0549,0.0654,0.0161,0.0096,0.0379,0.0114,0.0246,0.0426,0.0611,0.1100,0.1099,0.1648,0.1122,0.1026,-0.3397,0.0619
25,EPS,0.07,0.07,0.03,0.08,0.10,0.07,0.04,0.15,0.23,0.24,0.24,0.27,0.43,0.58,0.63,0.81,0.67,0.31,0.56,0.40,0.70,0.63,0.85,0.24,0.13,0.62,0.23,0.56,1.06,1.65,3.30,3.58,5.80,4.30,4.28,-5.44,1.65
26,EPS Diluted,0.07,0.07,0.03,0.08,0.10,0.07,0.04,0.15,0.23,0.24,0.24,0.27,0.41,0.55,0.59,0.76,0.63,0.30,0.54,0.38,0.67,0.61,0.84,0.24,0.13,0.61,0.23,0.56,1.05,1.64,3.27,3.55,5.79,4.29,4.27,-5.44,1.61
27,Weighted Average Shares Outstanding,675714286,714285714,673333333,725000000,716000000,672857143,672500000,690000000,737391304,744150154,751661890,766163184,739641724,750169038,756986170,747635950,762905970,777319355,789285714,782500000,782857143,792063492,758823529,735000000,741000000,746000000,774000000,750000000,710000000,687000000,661000000,627000000,601000000,573000000,538000000,565000000,592000000
28,Weighted Average Shares Outstanding Diluted,675714286,714285714,673333333,725000000,716000000,672857143,672500000,690000000,737391304,757142857,751661890,779130435,766057500,792861585,799513483,793543421,811344444,803230000,818518519,823684211,817910448,818032787,767857143,739000000,741000000,747000000,775000000,757000000,718000000,696000000,669000000,633000000,603000000,574000000,539000000,565000000,607000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/92380/000095013499002046/0000950134-99-002046-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/92380/000095013405002093/0000950134-05-002093-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000095013406001553/0000950134-06-001553-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000095013407001724/0000950134-07-001724-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000095013408001572/0000950134-08-001572-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000119312509015591/0001193125-09-015591-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000119312510017191/0001193125-10-017191-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000119312511026045/0001193125-11-026045-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000119312512049647/0001193125-12-049647-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000119312513041608/0001193125-13-041608-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000009238014000010/0000092380-14-000010-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000009238015000027/0000092380-15-000027-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000009238016000175/0000092380-16-000175-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000009238017000029/0000092380-17-000029-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000009238018000031/0000092380-18-000031-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000009238019000022/0000092380-19-000022-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000009238020000024/0000092380-20-000024-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000009238021000033/0000092380-21-000033-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000009238022000007/0000092380-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,317363000,581841000,623343000,378511000,418819000,522995000,2279861000,1815352000,1865000000,1305000000,2280000000,1390000000,2213000000,1368000000,1114000000,1261000000,829000000,1113000000,1355000000,1282000000,1583000000,1680000000,1495000000,1854000000,2548000000,11063000000,12480000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,251000000,369000000,566000000,435000000,1479000000,2277000000,2315000000,1857000000,1797000000,1706000000,1468000000,1625000000,1778000000,1835000000,1524000000,2271000000,3024000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,317363000,581841000,623343000,378511000,418819000,522995000,2279861000,1815352000,1865000000,1305000000,2531000000,1759000000,2779000000,1803000000,2593000000,3538000000,3144000000,2970000000,3152000000,2988000000,3051000000,3305000000,3273000000,3689000000,4072000000,13334000000,15504000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79781000,73440000,76530000,88799000,73448000,138070000,71283000,174393000,132000000,248000000,258000000,241000000,279000000,209000000,169000000,195000000,299000000,332000000,419000000,365000000,474000000,546000000,662000000,568000000,1086000000,1130000000,1357000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41000000,51094000,52376000,50035000,65152000,80564000,70561000,86016000,93000000,137000000,150000000,181000000,259000000,203000000,221000000,243000000,401000000,469000000,467000000,342000000,311000000,337000000,420000000,461000000,529000000,414000000,537000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34992000,44615000,54167000,56810000,73586000,89907000,98514000,156199000,223000000,482000000,681000000,420000000,1126000000,678000000,375000000,303000000,501000000,456000000,418000000,709000000,188000000,310000000,460000000,310000000,287000000,295000000,638000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,473136000,750990000,806416000,574155000,631005000,831536000,2520219000,2231960000,2313000000,2172000000,3620000000,2601000000,4443000000,2893000000,3358000000,4279000000,4345000000,4227000000,4456000000,4404000000,4024000000,4498000000,4815000000,5028000000,5974000000,15173000000,18036000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2779307000,2969223000,3435693000,4137610000,5008166000,5819725000,6445487000,6645464000,7443000000,8723000000,9427000000,10094000000,10874000000,11040000000,10634000000,10578000000,12127000000,12766000000,13389000000,14292000000,15601000000,17044000000,18539000000,19525000000,18374000000,17723000000,16432000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,970000000,970000000,970000000,970000000,970000000,970000000,970000000,970000000,970000000,970000000,970000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,138000000,166000000,363000000,464000000,426000000,413000000,399000000,296000000,295000000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,970000000,1108000000,1136000000,1333000000,1434000000,1396000000,1383000000,1369000000,1266000000,1265000000,970000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41000000,44000000,35000000,40000000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3679000,3266000,4051000,4231000,12942000,18311000,31435000,76326000,122000000,442000000,1171000000,765000000,1455000000,375000000,277000000,606000000,626000000,454000000,320000000,136000000,213000000,348000000,373000000,320000000,281000000,427000000,882000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2782986000,2972489000,3439744000,4141841000,5021108000,5838036000,6476922000,6721790000,7565000000,9165000000,10598000000,10859000000,12329000000,11415000000,10911000000,11184000000,13723000000,14369000000,14889000000,15796000000,17288000000,18788000000,20295000000,21214000000,19921000000,19415000000,18284000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3256122000,3723479000,4246160000,4715996000,5652113000,6669572000,8997141000,8953750000,9878000000,11337000000,14218000000,13460000000,16772000000,14308000000,14269000000,15463000000,18068000000,18596000000,19345000000,20200000000,21312000000,23286000000,25110000000,26242000000,25895000000,34588000000,36320000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,117473000,214232000,160891000,157415000,156755000,312716000,504831000,362027000,405000000,420000000,524000000,643000000,759000000,668000000,746000000,739000000,1057000000,1107000000,189000000,123000000,178000000,138000000,186000000,263000000,304000000,111000000,1282000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13516000,12327000,121324000,11996000,7873000,108752000,514567000,130454000,206000000,146000000,601000000,122000000,41000000,163000000,190000000,505000000,644000000,271000000,629000000,258000000,637000000,566000000,348000000,606000000,1172000000,526000000,692000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67000000,211000000,244000000,241000000,252000000,260000000,288000000,306000000,133000000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1198000000,1836000000,2170000000,2571000000,2897000000,2990000000,3115000000,3460000000,4134000000,4457000000,3790000000,5566000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,479632000,538845000,586298000,681242000,795838000,876935000,1219787000,941347000,1112000000,1576000000,2723000000,2122000000,4038000000,1975000000,1740000000,863000000,996000000,1102000000,2287000000,2645000000,3601000000,3025000000,2911000000,2902000000,3019000000,3079000000,1624000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,610621000,765404000,868513000,850653000,960466000,1298403000,2239185000,1433828000,1723000000,2142000000,3848000000,2887000000,4838000000,2806000000,2676000000,3305000000,4533000000,4650000000,5676000000,5923000000,7406000000,6844000000,6905000000,7905000000,8952000000,7506000000,9164000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,661010000,650226000,628106000,623309000,871717000,760992000,1327158000,1552781000,1332000000,1700000000,1394000000,1567000000,2050000000,3498000000,3325000000,2875000000,3107000000,2883000000,2191000000,2434000000,2541000000,2821000000,3320000000,2771000000,1846000000,11673000000,11589000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,245154000,274891000,256255000,238412000,222700000,207522000,192342000,183797000,168000000,152000000,136000000,120000000,106000000,105000000,102000000,88000000,75000000,63000000,65000000,53000000,43000000,30000000,- -,936000000,1053000000,3343000000,2159000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,281650000,349987000,438981000,549207000,692342000,852865000,1058143000,1227475000,1420000000,1610000000,1896000000,2104000000,2535000000,1904000000,2207000000,2493000000,2566000000,2884000000,2934000000,3259000000,2490000000,3374000000,2358000000,2427000000,2364000000,1634000000,1770000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30369000,34659000,45287000,56497000,69100000,98470000,166260000,134252000,183000000,209000000,269000000,333000000,302000000,1042000000,493000000,465000000,910000000,1124000000,1143000000,1756000000,1474000000,1776000000,2097000000,2351000000,1848000000,1556000000,1224000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1218183000,1309763000,1368629000,1467425000,1855859000,1919849000,2743903000,3098305000,3103000000,3671000000,3695000000,4124000000,4993000000,6549000000,6127000000,5921000000,6658000000,6954000000,6333000000,7502000000,6548000000,8001000000,7775000000,8485000000,7111000000,18206000000,16742000000
