,https://roic.ai/company/GLP,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
45,Total Non-Current Assets,- -,- -,- -,47436445,35416000,42814000,198362000,195955000,189845000,474671000,455987000,822819000,1053611000,1078754000,1796640000,1488554000,1442034000,1549383000,1803915000,1759070000,1766080000
46,Other Assets,- -,263200000,304300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,263200000,304300000,392961518,554756000,638887000,1159227000,889262000,1052703000,1672316000,1868851000,2329752000,2427922000,2039977000,2663675000,2564020000,2320169000,2424291000,2808427000,2540500000,2831165000
48,Accounts Payable,- -,- -,- -,140484950,259463000,222034000,371341000,219783000,243449000,443469000,575776000,759698000,781119000,456619000,303781000,320262000,313412000,308979000,373386000,207873000,353296000
49,Short-Term Debt,- -,- -,- -,145177449,1498000,189019000,306039000,208210000,221711000,193198000,62805000,83746000,3700000,700000,98100000,274600000,126700000,103300000,217060000,109776000,267052000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,461000,69828000,76523000,91494000,80216000,105744000,95264000,101166000,110321000,42613000,42932000,36598000,44223000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000000,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,31642767,29652000,36737000,112530000,66719000,102475000,115014000,132473000,201751000,187753000,238172000,192853000,204363000,228545000,170473000,163441000,179882000,219252000
53,Total Current Liabilities,- -,- -,- -,317305166,290613000,447790000,789910000,494712000,567635000,751681000,771054000,1045195000,972572000,707491000,594734000,799225000,668657000,582752000,753887000,497531000,839600000
54,Long-Term Debt,- -,- -,- -,47855879,183158000,83239000,190200000,225290000,240889000,593502000,731095000,762754000,909968000,601936000,1075564000,1025850000,957774000,1034455000,1058233000,1009605000,1305357000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84836000,66054000,40105000,42856000,42879000,56218000,56817000
57,Other Non-Current Liabilities,- -,- -,- -,4638064,4677000,4619000,18766000,25792000,86759000,50317000,51413000,85342000,82202000,94394000,214557000,275050000,259315000,265034000,494189000,481647000,101624000
58,Total Non-Current Liabilities,- -,- -,- -,52493943,187835000,87858000,208966000,251082000,327648000,643819000,782508000,848096000,992170000,696330000,1374957000,1366954000,1257194000,1342345000,1595301000,1547470000,1463798000
59,Other Liabilities,- -,230700000,261700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,89790000,152444000,150334000,149997000,455636000,448559000,434999000
61,Total Liabilities,- -,230700000,261700000,369799109,478448000,535648000,998876000,745794000,895283000,1395500000,1553562000,1893291000,1964742000,1403821000,1969691000,2166179000,1925851000,1925097000,2349188000,2045001000,2303398000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,23162409,76308000,103239000,-2716000,143468000,-6967000,-13762000,-20495000,-19670000,-11310000,-13252000,-8094000,-5441000,-5468000,-5260000,-5076000,1600000,-1902000
66,Other Total Stockholders Equity,- -,32500000,- -,24447420,79092000,90239000,163351000,158468000,164420000,290816000,335289000,456461000,474180000,649156000,701984000,402841000,399318000,504194000,464239000,493899000,- -
67,Total Stockholders Equity,- -,- -,- -,23162409,76308000,103239000,160351000,143468000,- -,-13762000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
68,Total Liabilities And Stockholders Equity,- -,263200000,261700000,392961518,554756000,638887000,1159227000,889262000,1052703000,1381738000,1868851000,2329752000,2427922000,2039977000,2663675000,2564020000,2320169000,2424291000,2808427000,2540500000,2303398000
69,Minority Interest,- -,- -,42600000,- -,- -,- -,- -,- -,- -,290578000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,527767000
70,Total Liabilities & Equity,- -,263200000,304300000,392961518,554756000,638887000,1159227000,889262000,1052703000,1672316000,1868851000,2329752000,2427922000,2039977000,2663675000,2564020000,2320169000,2424291000,2808427000,2540500000,2831165000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1323468/000110465906021370/a06-7959_110k.htm,https://www.sec.gov/Archives/edgar/data/1323468/000110465907020106/a07-6021_210k.htm,https://www.sec.gov/Archives/edgar/data/1323468/000104746908002790/a2183777z10-k.htm,https://www.sec.gov/Archives/edgar/data/1323468/000104746909002646/0001047469-09-002646-index.html,https://www.sec.gov/Archives/edgar/data/1323468/000104746910002113/0001047469-10-002113-index.html,https://www.sec.gov/Archives/edgar/data/1323468/000104746911002040/a2202632z10-k.htm,https://www.sec.gov/Archives/edgar/data/1323468/000104746912002432/0001047469-12-002432-index.html,https://www.sec.gov/Archives/edgar/data/1323468/000104746913002831/0001047469-13-002831-index.html,https://www.sec.gov/Archives/edgar/data/1323468/000104746914003264/0001047469-14-003264-index.html,https://www.sec.gov/Archives/edgar/data/1323468/000104746915002167/a2223627z10-k.htm,https://www.sec.gov/Archives/edgar/data/1323468/000155837016003708/0001558370-16-003708-index.html,https://www.sec.gov/Archives/edgar/data/1323468/000155837017001611/0001558370-17-001611-index.html,https://www.sec.gov/Archives/edgar/data/1323468/000155837018001788/0001558370-18-001788-index.html,https://www.sec.gov/Archives/edgar/data/1323468/000155837019001709/0001558370-19-001709-index.html,https://www.sec.gov/Archives/edgar/data/1323468/000155837020002120/0001558370-20-002120-index.html,https://www.sec.gov/Archives/edgar/data/1323468/000155837021002439/0001558370-21-002439-index.htm,https://www.sec.gov/Archives/edgar/data/1323468/000155837022002325/0001558370-22-002325-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,20600000,6000000,16000000,17309259,18000000,33000000,47000000,21000000,34000000,27000000,19000000,47000000,43000000,114709000,43563000,-199412000,58752000,103905000,35867000,102210000,60796000
74,Depreciation and Amortization,- -,- -,- -,3232285,953000,4110000,9613000,15126000,14740000,20082000,30359000,45458000,77134000,86364000,115851000,111942000,105652000,106838000,108192000,100135000,102241000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1217000,336000,-11000,-3624000,-18782000,-25949000,-49876000,23000,13339000,599000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,1946000,228000,361000,6000,1806000,3485000,4208000,4145000,2755000,2738000,1966000,1077000,707000
77,Change in Working Capital,- -,- -,- -,28219907,200507093,-80444000,22672000,27640000,96628000,150741000,195846000,-180072000,-59999000,-148007000,18569000,3940000,-66763000,82678000,-41531000,33274000,-119344000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-90493000,-218214000,-70464000,-56691000,8427000,224463000,156041000,-110802000,3256000,80236000,-81366000,190581000,-182555000
79,Inventory,- -,- -,- -,-17887286,14336000,-27353000,-196192000,243913000,-225577000,-120908000,-77313000,40898000,61992000,235993000,-32648000,-135888000,173167000,-29778000,-64790000,65588000,-123889000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,23666000,200020000,132307000,146947000,18667000,-324500000,-172318000,17410000,-6850000,-4433000,64407000,-165513000,145423000
81,Other Working Capital,- -,- -,- -,28219907,228727000,148283000,170955000,198595000,295223000,445964000,641810000,461738000,401739000,253732000,272301000,276241000,209478000,292156000,250625000,283899000,-11997000
82,Other Non-Cash Items,6800000,21600000,22600000,-130713995,-253522093,-11145000,-194330000,35454000,-208443000,-285245000,-262923000,318843000,192870000,288362000,-116061000,-21719000,273995000,-77427000,-10115000,62491000,5219000
83,Cash Provided by Operating Activities,27400000,27600000,38600000,-81952544,-34062000,-54479000,-115045000,99220000,-61129000,-87194000,-17357000,232452000,255147000,344902000,62506000,-119886000,348442000,168856000,94402000,312526000,50218000
84,CAPEX,- -,-3300000,-2200000,-2025869,-760000,-5915000,-13720000,-11524000,-9075000,-14687000,-15957000,-44872000,-67132000,-95114000,-92925000,-71279000,-49866000,-69174000,-82864000,-76333000,-101717000
85,Acquisitions Net,- -,- -,- -,- -,- -,-6551000,-138020000,- -,- -,-248359000,- -,-188748000,-185262000,- -,-561170000,- -,-38479000,-171620000,- -,- -,-18034000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,15262000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,1200000,-3300000,-2200000,859348,12000,24000,14000,14000,-9062000,-14638000,-13369000,-37740000,-57945000,-91093000,-88594000,6447000,-23165000,-54100000,-67214000,-69728000,-97016000
89,Cash Used for Investing Activites,1200000,-3300000,-2200000,-1166521,-748000,-12442000,-136464000,-11510000,-9062000,-262997000,-13369000,-226488000,-243207000,-91093000,-649764000,6447000,-61644000,-225720000,-67214000,-69728000,-115050000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-212500000,-571144000,-700000,-52300000,-218600000,- -,-409186000,-516701000,-78600000
91,Common Stock Issued,- -,- -,- -,- -,181600000,- -,49099000,- -,- -,132240000,69626000,- -,- -,137844000,109305000,- -,- -,66366000,- -,- -,72167000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-3956000,-882000,-658000,-2248000,-6676000,-8632000,-3892000,- -,-522000,-835000,-657000,-568000,-5981000
93,Dividends Paid,- -,- -,- -,-16041427,- -,-19789000,-23322000,-26136000,-26050000,-31964000,-42800000,-54667000,-67329000,-73759000,-97495000,-62520000,-62660000,-66004000,-76626000,-71357000,-91919000
94,Other Financing Activites,-31200000,-24900000,-33600000,99010927,-150156000,88802000,223981000,-62739000,99914000,252496000,6525000,52600000,277805000,257903000,575918000,237171000,-186000,50600000,463202000,343500000,170300000
95,Cash Used/Provided by Financing Activities,-31200000,-24900000,-33600000,82969500,31444000,69013000,249758000,-88875000,69908000,351890000,32693000,-4315000,-8700000,-257788000,583136000,122351000,-281968000,50127000,-23267000,-245126000,65967000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-31200000,-24900000,-33600000,-149565,-3366000,2092000,-1751000,-1165000,-283000,1699000,1967000,1649000,3240000,-3979000,-4122000,8912000,4830000,-6737000,3921000,-2328000,1135000
98,Cash at the End of Period,- -,- -,- -,3305873,1769000,3861000,2110000,945000,662000,2361000,4328000,5977000,9217000,5238000,1116000,10028000,14858000,8121000,12042000,9714000,10849000
99,Cash at the Beginning of Period,- -,- -,- -,3455438,5135000,1769000,3861000,2110000,945000,662000,2361000,4328000,5977000,9217000,5238000,1116000,10028000,14858000,8121000,12042000,9714000
100,Free Cash Flow,27400000,24300000,36400000,-83978413,-34822000,-60394000,-128765000,87696000,-70204000,-101881000,-33314000,187580000,188015000,249788000,-30419000,-191165000,298576000,99682000,11538000,236193000,-51499000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1323468/000110465906021370/a06-7959_110k.htm,https://www.sec.gov/Archives/edgar/data/1323468/000110465907020106/a07-6021_210k.htm,https://www.sec.gov/Archives/edgar/data/1323468/000104746908002790/a2183777z10-k.htm,https://www.sec.gov/Archives/edgar/data/1323468/000104746909002646/0001047469-09-002646-index.html,https://www.sec.gov/Archives/edgar/data/1323468/000104746910002113/0001047469-10-002113-index.html,https://www.sec.gov/Archives/edgar/data/1323468/000104746911002040/a2202632z10-k.htm,https://www.sec.gov/Archives/edgar/data/1323468/000104746912002432/0001047469-12-002432-index.html,https://www.sec.gov/Archives/edgar/data/1323468/000104746913002831/0001047469-13-002831-index.html,https://www.sec.gov/Archives/edgar/data/1323468/000104746914003264/0001047469-14-003264-index.html,https://www.sec.gov/Archives/edgar/data/1323468/000104746915002167/a2223627z10-k.htm,https://www.sec.gov/Archives/edgar/data/1323468/000155837016003708/0001558370-16-003708-index.html,https://www.sec.gov/Archives/edgar/data/1323468/000155837017001611/0001558370-17-001611-index.html,https://www.sec.gov/Archives/edgar/data/1323468/000155837018001788/0001558370-18-001788-index.html,https://www.sec.gov/Archives/edgar/data/1323468/000155837019001709/0001558370-19-001709-index.html,https://www.sec.gov/Archives/edgar/data/1323468/000155837020002120/0001558370-20-002120-index.html,https://www.sec.gov/Archives/edgar/data/1323468/000155837021002439/0001558370-21-002439-index.htm,https://www.sec.gov/Archives/edgar/data/1323468/000155837022002325/0001558370-22-002325-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
