,https://roic.ai/company/KR,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,17122500000,17659700000,19053000000,19103700000,20261000000,21350500000,22144600000,22384300000,22959100000,23938000000,25171000000,26567000000,- -,2160000000,45352000000,49000000000,50098000000,51760000000,53791000000,56434000000,60553000000,66111000000,70235000000,76000000000,76733000000,82189000000,90374000000,96751000000,98375000000,108465000000,109830000000,115337000000,122662000000,121162000000,122286000000,- -,137888000000
2,COGS,16560700000,13696400000,14823700000,14845600000,15669700000,16480600000,17078800000,17029800000,17389600000,18098000000,19041000000,19996000000,- -,1651000000,33331000000,35806000000,36398000000,37810000000,39637000000,42140000000,45565000000,50115000000,53779000000,58564000000,58958000000,63927000000,71494000000,76858000000,78138000000,85512000000,85496000000,89502000000,95662000000,94894000000,95294000000,- -,110363000000
3,Gross Profit,561800000,3963300000,4229300000,4258100000,4591300000,4869900000,5065800000,5354500000,5569500000,5840000000,6130000000,6571000000,- -,509000000,12021000000,13194000000,13700000000,13950000000,14154000000,14294000000,14988000000,15996000000,16456000000,17436000000,17775000000,18262000000,18880000000,19893000000,20237000000,22953000000,24334000000,25835000000,27000000000,26268000000,26992000000,- -,27525000000
4,Gross Profit Ratio,0.0328,0.2244,0.2220,0.2229,0.2266,0.2281,0.2288,0.2392,0.2426,0.2440,0.2435,0.2473,- -,0.2356,0.2651,0.2693,0.2735,0.2695,0.2631,0.2533,0.2475,0.2420,0.2343,0.2294,0.2316,0.2222,0.2089,0.2056,0.2057,0.2116,0.2216,0.2240,0.2201,0.2168,0.2207,- -,0.1996
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,4527500000,4706000000,4918000000,5192000000,- -,415000000,8896000000,9797000000,10133000000,10274000000,11007000000,11291000000,11688000000,12488000000,12799000000,13543000000,14046000000,14462000000,15964000000,15477000000,15809000000,17868000000,18669000000,20043000000,21952000000,21189000000,22040000000,- -,23203000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,3328900000,3531100000,3410500000,3673100000,3928200000,4165700000,4314800000,4527500000,4706300000,4918300000,5192400000,- -,5270500000,8896000000,9797000000,10133000000,10274000000,11007000000,11291000000,11688000000,12488000000,12799000000,13543000000,14046000000,14462000000,15964000000,15477000000,15809000000,17868000000,18669000000,20059000000,22479000000,21189000000,22092000000,- -,23203000000
9,Other Expenses,211200000,223000000,253800000,241200000,244700000,242000000,251800000,343100000,293100000,311700000,344700000,380600000,- -,-4821500000,1344000000,1214000000,1208000000,1103000000,1773000000,2160000000,1265000000,1272000000,1356000000,1442000000,2638000000,1618000000,1638000000,1652000000,1703000000,1948000000,2089000000,2324000000,1909000000,683000000,2473000000,- -,- -
10,Operating Expenses,211200000,3551900000,3784900000,3651700000,3917800000,4170200000,4417500000,4657900000,4820600000,5018000000,5263000000,5573000000,- -,449000000,10240000000,11011000000,11341000000,11377000000,12780000000,13451000000,12953000000,13760000000,14155000000,14985000000,16684000000,16080000000,17602000000,17129000000,17512000000,19816000000,20758000000,22383000000,24388000000,21872000000,24565000000,- -,23203000000
11,COGS and Expenses,16771900000,17248300000,18608600000,18497300000,19587500000,20650800000,21496300000,21687700000,22210200000,23116000000,24304000000,25569000000,- -,2100000000,43571000000,46817000000,47739000000,49187000000,52417000000,55591000000,58518000000,63875000000,67934000000,73549000000,75642000000,80007000000,89096000000,93987000000,95650000000,105328000000,106254000000,111885000000,120050000000,116766000000,119859000000,- -,133566000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,502000000,448000000,435000000,462000000,443000000,488000000,482000000,522000000,601000000,620000000,603000000,- -,571000000
14,Depreciation and Amortization,211200000,223000000,253800000,241200000,244700000,242000000,251800000,343100000,293100000,324500000,356800000,394100000,- -,447100000,961000000,1008000000,1076000000,1087000000,1209000000,1256000000,1265000000,1272000000,1356000000,1442000000,1525000000,1600000000,1638000000,1652000000,1703000000,1948000000,2089000000,2340000000,2436000000,2465000000,3289000000,- -,2824000000
15,EBITDA,302500000,546100000,305600000,232400000,386900000,410600000,318200000,444000000,687800000,818500000,921800000,1074100000,- -,487100000,2080000000,2513000000,2787000000,3032000000,1979000000,1542000000,2790000000,3020000000,3183000000,3408000000,2629000000,3765000000,2922000000,4405000000,4416000000,5066000000,5655000000,5794000000,4539000000,7095000000,6020000000,- -,5435000000
16,EBITDA ratio,0.0177,0.0309,0.0160,0.0122,0.0191,0.0192,0.0144,0.0198,0.0300,0.0342,0.0366,0.0404,- -,0.2255,0.0459,0.0513,0.0556,0.0586,0.0368,0.0273,0.0461,0.0457,0.0453,0.0448,0.0343,0.0458,0.0323,0.0455,0.0449,0.0467,0.0515,0.0502,0.0370,0.0586,0.0492,- -,0.0394
17,Operating Income,350600000,411400000,444400000,606400000,673500000,699700000,648300000,696600000,748900000,822200000,867300000,998300000,- -,979800000,2164000000,2389000000,2359000000,2573000000,1374000000,847000000,2035000000,2236000000,2301000000,2451000000,1091000000,2182000000,1278000000,2764000000,2725000000,3137000000,3576000000,3436000000,2085000000,2614000000,2251000000,- -,3477000000
