,https://roic.ai/company/FIS,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,625777000,763297000,827374000,851123000,1007968000,1015464000,1039506000,1117141000,4132602000,4758016000,3446000000,3769500000,5269500000,5745700000,5807600000,6070700000,6413800000,6595200000,9241000000,9123000000,8423000000,10333000000,12552000000,13877000000
2,COGS,- -,- -,- -,601740000,730440000,732762000,739600000,791581000,2929567000,3401931000,2636900000,2800600000,3637700000,3998000000,3946900000,4085600000,4332700000,4393200000,6233000000,6181000000,5569000000,6610000000,8348000000,8682000000
3,Gross Profit,- -,- -,- -,249383000,277528000,282702000,299906000,325560000,1203035000,1356085000,809100000,968900000,1631800000,1747700000,1860700000,1985100000,2081100000,2202000000,3008000000,2942000000,2854000000,3723000000,4204000000,5195000000
4,Gross Profit Ratio,- -,- -,- -,0.2930,0.2753,0.2784,0.2885,0.2914,0.2911,0.2850,0.2348,0.2570,0.3097,0.3042,0.3204,0.3270,0.3245,0.3339,0.3255,0.3225,0.3388,0.3603,0.3349,0.3744
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,105580000,106314000,84800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,97964000,113349000,128302000,120252000,129443000,505528000,504130000,389400000,554100000,675800000,671800000,781500000,920700000,810500000,1102800000,1710000000,1450000000,1301000000,2667000000,3516000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,97964000,113349000,128302000,120252000,129443000,505528000,504130000,389400000,554100000,675800000,671800000,781500000,920700000,810500000,1102800000,1710000000,1450000000,1301000000,2667000000,3516000000,3938000000
9,Other Expenses,522486000,635812000,- -,- -,12230000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
