,https://roic.ai/company/OKE,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,- -,37500000,34500000,19400000,7100000,36600000,33000000,35900000,32600000,38400000,57300000,68100000,85800000,94100000,168380000,101308000,235893000,153799000,269109000,243015000,392145000,789066000,500076000,489518000,505980000,1102585000,1148022000,1195936000,1213971000,1148498000,1127466000,1152984000,1425681000,1727116000,2412783000,2619299000,2093864000,3338829000
16,EBITDA ratio,- -,0.0357,0.0468,0.0330,0.0124,0.0592,0.0494,0.0521,0.0481,0.0487,0.0723,0.0717,0.0701,0.0810,0.0917,0.1252,0.0355,0.0226,0.1279,0.0810,0.0655,0.0622,0.0420,0.0363,0.0313,0.0992,0.0881,0.0808,0.0961,0.0786,0.0925,0.1485,0.1598,0.1419,0.1916,0.2577,0.2451,0.2019
17,Operating Income,- -,1049100000,736800000,587000000,571400000,618300000,668000000,689500000,677100000,789100000,91500000,105000000,120400000,128200000,202949000,85964000,333933000,295232000,371478000,446064000,490010000,534765000,745674000,820634000,914688000,894640000,944017000,1158913000,1102500000,926734000,1143571000,996159000,1285676000,1380895000,1835464000,1914353000,1361357000,2596259000
18,Operating Income ratio,- -,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.1155,0.1105,0.0983,0.1103,0.1106,0.1063,0.0503,0.0434,0.1765,0.1487,0.0818,0.0422,0.0627,0.0609,0.0566,0.0805,0.0724,0.0783,0.0873,0.0635,0.0938,0.1283,0.1441,0.1134,0.1458,0.1883,0.1594,0.1570
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-34200000,-36900000,-34600000,-34100000,-34569000,-27883000,-100155000,-139282000,-113017000,-101245000,-97865000,110904000,-245233000,-331116000,-408708000,-196115000,-188853000,-175351000,-158054000,-186391000,-323698000,-474283000,-327720000,-340094000,-317529000,-263362000,-559041000,-612055000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57300000,68100000,85800000,94100000,168380000,58081000,233778000,155950000,258461000,344819000,392145000,645669000,500441000,489518000,505980000,698525000,755164000,983562000,944446000,740343000,819873000,521876000,957956000,1040801000,1517935000,1650991000,802316000,1984204000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0723,0.0717,0.0701,0.0810,0.0917,0.0718,0.0352,0.0229,0.1228,0.1150,0.0655,0.0509,0.0421,0.0363,0.0313,0.0629,0.0580,0.0664,0.0748,0.0507,0.0672,0.0672,0.1074,0.0855,0.1205,0.1624,0.0939,0.1200
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21100000,25300000,33000000,34800000,66585000,22737000,90286000,52234000,102485000,130527000,149967000,242521000,193764000,184597000,194071000,207321000,213834000,226048000,215195000,163382000,151158000,136600000,212406000,447282000,362903000,372414000,189507000,484498000
23,Net Income,- -,37500000,34500000,19400000,7100000,36600000,33000000,35900000,32600000,38400000,36200000,42800000,52800000,59300000,101795000,35344000,145607000,101565000,166624000,112488000,242178000,546545000,306312000,304921000,311909000,305451000,334632000,360594000,360619000,266533000,314107000,244977000,352039000,387841000,1151703000,1278577000,612809000,1499706000
24,Net Income ratio,- -,0.0357,0.0468,0.0330,0.0124,0.0592,0.0494,0.0521,0.0481,0.0487,0.0457,0.0451,0.0431,0.0510,0.0555,0.0437,0.0219,0.0149,0.0792,0.0375,0.0404,0.0431,0.0257,0.0226,0.0193,0.0275,0.0257,0.0244,0.0285,0.0183,0.0258,0.0316,0.0395,0.0319,0.0915,0.1258,0.0717,0.0907
25,EPS,- -,0.35,0.31,0.17,0.06,0.32,0.30,0.33,0.30,0.36,0.34,0.40,0.48,0.53,0.61,0.19,0.93,0.42,0.70,0.74,1.19,2.72,1.37,1.42,1.50,1.45,1.57,1.72,1.75,1.29,1.50,1.17,1.67,1.30,2.80,3.09,1.42,3.36
26,EPS Diluted,- -,0.35,0.31,0.17,0.06,0.32,0.30,0.33,0.30,0.36,0.34,0.40,0.48,0.53,0.56,0.17,0.74,0.42,0.69,0.61,1.15,2.53,1.34,1.40,1.48,1.44,1.55,1.68,1.71,1.27,1.49,1.16,1.66,1.29,2.78,3.07,1.42,3.35
27,Weighted Average Shares Outstanding,- -,106000000,110000000,111764706,111666667,112248062,107768595,106766917,106446281,106293706,106865672,107341772,108601036,110798122,122696000,121700000,116896000,198898000,199828000,161138000,203930000,201072000,224012000,214692000,208738000,210724000,212736000,209344000,206140000,206044000,209391000,210208000,211128000,297477000,411485000,413560000,431105000,446403000
28,Weighted Average Shares Outstanding Diluted,- -,106000000,110000000,111764706,111666667,112248062,107768595,106766917,106446281,106293706,106865672,107341772,108601036,110798122,182916000,201536000,196776000,199342000,201056000,193998000,210922000,216012000,228954000,218596000,211520000,212640000,215570000,214498000,210710000,209695000,210427000,210541000,212383000,299780000,414195000,415444000,431782000,447403000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1039684/000093066101000672/0000930661-01-000672-index.html,- -,https://www.sec.gov/Archives/edgar/data/1039684/000093066103000949/0000930661-03-000949-index.html,https://www.sec.gov/Archives/edgar/data/1039684/000119312504033606/0001193125-04-033606-index.html,https://www.sec.gov/Archives/edgar/data/1039684/000119312505044590/0001193125-05-044590-index.html,https://www.sec.gov/Archives/edgar/data/1039684/000119312506051266/d10k.htm,https://www.sec.gov/Archives/edgar/data/1039684/000119312507042960/d10k.htm,https://www.sec.gov/Archives/edgar/data/1039684/000119312508040037/d10k.htm,https://www.sec.gov/Archives/edgar/data/1039684/000103968409000010/0001039684-09-000010-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1039684/000103968413000024/0001039684-13-000024-index.html,https://www.sec.gov/Archives/edgar/data/1039684/000103968414000019/oke10-k2013.htm,https://www.sec.gov/Archives/edgar/data/1039684/000103968415000017/oke10-k2014.htm,https://www.sec.gov/Archives/edgar/data/1039684/000103968416000113/0001039684-16-000113-index.html,https://www.sec.gov/Archives/edgar/data/1039684/000103968417000019/0001039684-17-000019-index.html,https://www.sec.gov/Archives/edgar/data/1039684/000103968418000021/0001039684-18-000021-index.html,https://www.sec.gov/Archives/edgar/data/1039684/000103968419000016/0001039684-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/1039684/000103968420000012/0001039684-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/1039684/000103968421000015/0001039684-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1039684/000103968422000015/0001039684-22-000015-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,86000,- -,249000,28229000,73522000,12172000,9458000,7915000,68268000,19105000,510058000,29399000,31034000,65953000,583618000,149313000,172812000,97619000,248875000,37193000,11975000,20958000,524496000,146391000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,113039000,61940000,63452000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,86000,- -,249000,28229000,73522000,12172000,9458000,7915000,68268000,19105000,510058000,142438000,92974000,129405000,583618000,149313000,172812000,97619000,248875000,37193000,11975000,20958000,524496000,146391000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,177649000,- -,1627714000,677796000,773017000,970141000,1432425000,2202895000,1348490000,1723212000,1265300000,1437994000,1332726000,1339933000,1349371000,1549563000,745494000,593979000,872430000,1202951000,818958000,835121000,829796000,1441786000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,138380000,- -,75919000,148102000,75493000,519401000,615503000,911393000,925194000,841362000,858966000,583127000,708933000,549915000,517014000,417077000,134134000,204780000,200946000,432594000,437841000,506675000,370988000,580899000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21958000,- -,1621077000,707842000,704616000,378025000,461431000,1283590000,896648000,367796000,743278000,424905000,244412000,299559000,314657000,254849000,254804000,78832000,107433000,91720000,129858000,107580000,144495000,205298000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,338073000,- -,3324959000,1561969000,1626648000,1879739000,2518817000,4405793000,3238600000,2951475000,3377602000,2588464000,2379045000,2318812000,2764660000,2370802000,1307244000,975210000,1429684000,1764458000,1398632000,1470334000,1869775000,2374374000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1686161000,- -,3095513000,3272968000,3015049000,3691826000,3786821000,3994227000,4844921000,5845181000,7263769000,7793658000,7313183000,8444333000,10114340000,12297504000,11662437000,12373989000,12571403000,12698126000,14766651000,18348685000,19154928000,19319874000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,602844000,602844000,601743000,591488000,683488000,525535000,525535000,525535000,681100000,681100000,680996000,527592000,527592000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,427716000,420050000,412384000,404718000,499027000,489205000,491723000,479824000,312360000,286042000,276837000,246131000,235703000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,77422000,- -,93409000,113868000,113510000,225615000,225188000,683211000,1051440000,1043773000,1038226000,1030560000,1022894000,1014127000,996206000,1182515000,1014740000,1017258000,1005359000,993460000,967142000,957833000,773723000,763295000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,245000000,749000000,756000000,755000000,765163000,1190045000,1223398000,1221405000,1229838000,1132653000,948221000,958807000,1003156000,969150000,861844000,805032000,797613000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,205907000,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,320831000,- -,855255000,930354000,975651000,516868000,661823000,685235000,620760000,465605000,691465000,649838000,594008000,695965000,758664000,626899000,187486000,131433000,173498000,180830000,130096000,173425000,475296000,366457000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2084414000,- -,4044177000,4317190000,4104210000,4434309000,4673832000,5607673000,7266121000,8110559000,9748460000,10239219000,10120130000,11377823000,13090615000,15336756000,13997316000,14470901000,14709067000,15081479000,16833039000,20341787000,21208979000,21247239000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2422487000,- -,7369136000,5879159000,5730858000,6314048000,7192649000,10013466000,10504721000,11062034000,13126062000,12827683000,12499175000,13696635000,15855275000,17707558000,15304560000,15446111000,16138751000,16845937000,18231671000,21812121000,23078754000,23621613000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,136601000,- -,1256310000,390479000,672153000,813895000,1185351000,1756307000,1076954000,1436005000,1122761000,1240207000,1215468000,1341718000,1333489000,1503699000,891413000,615982000,874731000,1140571000,1118102000,1209900000,719302000,1332391000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,228909000,- -,834873000,849106000,271834000,606334000,985532000,1548046000,24159000,623079000,2388195000,1150085000,1200091000,1206373000,828025000,575118000,1065946000,656990000,1520927000,1047323000,507650000,227650000,21260000,909597000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,89428000,97537000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,95303000,- -,1444169000,578832000,776721000,805574000,743912000,1490988000,963064000,822583000,682808000,948620000,735553000,698084000,651480000,617590000,434986000,365294000,441043000,479441000,482684000,582748000,603985000,942631000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,460813000,- -,3535352000,1818417000,1720708000,2225803000,2914795000,4795341000,2064177000,2881667000,4193764000,3338912000,3151112000,3246175000,2812994000,2696407000,2392345000,1638266000,2836701000,2667335000,2108436000,2020298000,1344547000,3184619000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,312355000,- -,1336082000,1498012000,1511118000,1878264000,1543202000,2024070000,4030855000,4215046000,4112581000,4334204000,3686542000,4529551000,6515372000,7754975000,7192929000,8323582000,7919996000,8091629000,8873334000,12479757000,14316031000,12823272000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,313955000,- -,382363000,499432000,475163000,414734000,644512000,603835000,707444000,680543000,890815000,1037665000,1171997000,1446591000,1592802000,1938262000,1395222000,1436715000,1623822000,52697000,219731000,536063000,669697000,1166690000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,166690000,- -,890555000,798556000,657719000,554002000,484286000,796095000,1486701000,1315411000,1840604000,671440000,568683000,674586000,701657000,472734000,318181000,281212000,329317000,348924000,450627000,550052000,706081000,431869000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,793000000,- -,2609000000,2796000000,2644000000,2847000000,2672000000,3424000000,6225000000,6211000000,6844000000,6043309000,5427222000,6650728000,8809831000,10165971000,8906332000,10041509000,9873135000,8493250000,9543692000,13565872000,15691809000,14421831000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5288538000,- -,5344150000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,109051000,100292000,86817000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26245000,101220000,89419000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1253616000,- -,6144179000,4613869000,4365246000,5072656000,5586945000,8218709000,7488118000,8290762000,9958523000,9382221000,8578334000,9896903000,11622825000,12862378000,11298677000,11679775000,12709836000,11160585000,11652128000,15586170000,17036356000,17606450000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,199000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,316000,- -,316000,634000,634000,982000,1071000,1080000,1203000,1211000,1216000,1224000,1228000,1229000,2458000,2458000,2458000,2458000,2458000,4232000,4450000,4450000,4749000,4749000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,270808000,- -,387789000,415513000,507836000,495971000,649240000,1085845000,1256759000,1411492000,1553033000,1685710000,1826800000,1960374000,2059024000,2020815000,138128000,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-915769000,- -,-1110616000,-1234789000,-1200451000,-1487848000,-1619629000,-57000000,40000000,-7000000,-71000000,-118613000,-108802000,-206121000,-217000000,-122000000,-136000000,-127000000,-154000000,-189000000,-188000000,-374000000,-551449000,-471351000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1813516000,- -,1947468000,2083932000,2057394000,2232287000,2575022000,764832000,917996000,563605000,604921000,- -,- -,- -,285127000,436578000,587529000,460340000,340287000,5712635000,6763093000,6595501000,6589098000,6481765000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1168871000,- -,1224957000,1265290000,1365612000,1241392000,1605704000,1794757000,2215958000,1969308000,2088170000,2207194000,2448623000,2238573000,2129609000,2337851000,592115000,335798000,188745000,5527867000,6579543000,6225951000,6042398000,6015163000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2422487000,- -,7369136000,5879159000,5730858000,6314048000,7192649000,10013466000,9704076000,10260070000,12046693000,11589415000,11026957000,12135476000,13752434000,15200229000,11890792000,12015573000,12898581000,16688452000,18231671000,21812121000,23078754000,23621613000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,800645000,801964000,1079369000,1238268000,1472218000,1561159000,2102841000,2507329000,3413768000,3430538000,3240170000,157485000,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2422487000,- -,7369136000,5879159000,5730858000,6314048000,7192649000,10013466000,10504721000,11062034000,13126062000,12827683000,12499175000,13696635000,15855275000,17707558000,15304560000,15446111000,16138751000,16845937000,18231671000,21812121000,23078754000,23621613000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,undefined,https://www.sec.gov/Archives/edgar/data/1039684/000093066101000672/0000930661-01-000672-index.html,- -,https://www.sec.gov/Archives/edgar/data/1039684/000093066103000949/0000930661-03-000949-index.html,https://www.sec.gov/Archives/edgar/data/1039684/000119312504033606/0001193125-04-033606-index.html,https://www.sec.gov/Archives/edgar/data/1039684/000119312505044590/0001193125-05-044590-index.html,https://www.sec.gov/Archives/edgar/data/1039684/000119312506051266/d10k.htm,https://www.sec.gov/Archives/edgar/data/1039684/000119312507042960/d10k.htm,https://www.sec.gov/Archives/edgar/data/1039684/000119312508040037/d10k.htm,https://www.sec.gov/Archives/edgar/data/1039684/000103968409000010/0001039684-09-000010-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1039684/000103968413000024/0001039684-13-000024-index.html,https://www.sec.gov/Archives/edgar/data/1039684/000103968414000019/oke10-k2013.htm,https://www.sec.gov/Archives/edgar/data/1039684/000103968415000017/oke10-k2014.htm,https://www.sec.gov/Archives/edgar/data/1039684/000103968416000113/0001039684-16-000113-index.html,https://www.sec.gov/Archives/edgar/data/1039684/000103968417000019/0001039684-17-000019-index.html,https://www.sec.gov/Archives/edgar/data/1039684/000103968418000021/0001039684-18-000021-index.html,https://www.sec.gov/Archives/edgar/data/1039684/000103968419000016/0001039684-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/1039684/000103968420000012/0001039684-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/1039684/000103968421000015/0001039684-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1039684/000103968422000015/0001039684-22-000015-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36200000,42800000,52800000,59300000,101795000,35344000,145607000,101565000,166624000,112488000,242178000,546545000,306312000,304921000,311909000,305451000,334632000,360594000,360619000,266533000,314107000,244977000,352039000,387841000,1151703000,1278577000,612809000,1499706000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,288991000,307317000,312288000,335852000,384377000,306038000,354620000,391585000,406335000,428557000,476535000,578662000,621701000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,-15300000,-2000000,-3000000,-7623000,28317000,26143000,134933000,165723000,111788000,91238000,16372000,115384000,65017000,165191000,198713000,142303000,256688000,229398000,151515000,156728000,137737000,211638000,437917000,361010000,372729000,186730000,472057000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23148000,24372000,66371000,36692000,46194000,26226000,16435000,40563000,26262000,31664000,37147000,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20300000,- -,- -,- -,- -,-122740000,-87653000,-46055000,162388000,-252004000,-49914000,6430000,1563971000,-1104615000,-885970000,65714000,-21619000,-155296000,879029000,-277271000,-759496000,422045000,-743961000,504140000,193073000,159840000,1075192000,-141773000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-181426000,92469000,-55861000,-14774000,-189809000,381513000,157051000,-285806000,-330521000,383993000,-19688000,-1297000,-610531000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1500000,12300000,-9400000,13200000,1232000,- -,-41669000,-11906000,27334000,-428408000,-96510000,-320632000,-14107000,88860000,-370662000,266674000,-164722000,65845000,33343000,99937000,160860000,6050000,-11950000,-202259000,38456000,-8259000,77116000,-105038000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,154039000,-43883000,102621000,-30981000,165076000,-417993000,-205143000,287632000,261305000,-320132000,-62946000,-80257000,622425000
