,https://roic.ai/company/NUS,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,358600000,678600000,890500000,913500000,894200000,879758000,885621000,964067000,986457000,1137864000,1180930000,1115409000,1157667000,1247646000,1331058000,1537259000,1743991000,2169664000,3176718000,2569495000,2247047000,2207797000,2279099000,2679008000,2420416000,2581934000,2695669000
2,COGS,94600000,187800000,224400000,169100000,118500000,111740000,178083000,190868000,176545000,191211000,206163000,195203000,209283000,228597000,243648000,272431000,322624000,353152000,505806000,478434000,489510000,500457000,502078000,634140000,581420000,658028000,675223000
3,Gross Profit,264000000,490800000,666100000,744400000,775700000,768018000,707538000,773199000,809912000,946653000,974767000,920206000,948384000,1019049000,1087410000,1264828000,1421367000,1816512000,2670912000,2091061000,1757537000,1707340000,1777021000,2044868000,1838996000,1923906000,2020446000
4,Gross Profit Ratio,0.7362,0.7233,0.7480,0.8149,0.8675,0.8730,0.7989,0.8020,0.8210,0.8320,0.8254,0.8250,0.8192,0.8168,0.8170,0.8228,0.8150,0.8372,0.8408,0.8138,0.7822,0.7733,0.7797,0.7633,0.7598,0.7451,0.7495
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24300000,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,503600000,533600000,612800000,640003000,636057000,- -,- -,- -,- -,- -,- -,364253000,378336000,401418000,436177000,505449000,640028000,622301000,561463000,-367930000,564514000,662302000,615970000,646848000,666395000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,529368000,550637000,646348000,751448000,970219000,1476772000,1116572000,951372000,922083000,938024000,1071020000,955600000,1019494000,1068189000
8,"Selling, General and Administrative Exp.",203200000,357100000,503600000,533600000,612800000,640003000,636057000,667388000,697013000,820894000,851644000,833548000,857696000,893621000,928973000,1047766000,1187625000,1475668000,2116800000,1738873000,1512835000,554153000,1502538000,1733322000,1571570000,1666342000,1734584000
9,Other Expenses,2000000,5400000,24000000,41000000,33200000,37602000,- -,- -,- -,- -,- -,20840000,- -,- -,- -,- -,- -,- -,- -,- -,- -,897783000,- -,- -,- -,- -,- -
10,Operating Expenses,205200000,362500000,527600000,574600000,646000000,677605000,636057000,667388000,697013000,820894000,851644000,854388000,857696000,893621000,928973000,1047766000,1187625000,1475668000,2116800000,1738873000,1512835000,1476236000,1502538000,1733322000,1571570000,1666342000,1734584000
11,COGS and Expenses,299800000,550300000,752000000,743700000,764500000,789345000,814140000,858256000,873558000,1012105000,1057807000,1049591000,1066979000,1122218000,1172621000,1320197000,1510249000,1828820000,2622606000,2217307000,2002345000,1976693000,2004616000,2367462000,2152990000,2324370000,2409807000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
