,https://roic.ai/company/ANGO,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,-0.0124,0.0773,0.0842,0.1044,0.1281,0.1313,-0.1000,0.0975,0.0826,0.0966,0.0554,-0.0134,0.0207,0.0379,-0.0028,0.0029,0.0371,0.0307,-0.0347,-0.6326,-0.1212
19,Total Other Income Expenses (Gains),-880000,-818000,-983000,-742000,-127000,794000,4053000,1092000,-952000,-1252000,-1265000,-2320000,-7737000,-7068000,-7005000,-4271000,-3120000,-3093000,-5306000,-1037000,-769000
20,Income Before Tax,-1170000,1570000,2255000,4381000,7600000,11100000,-7172000,17328000,15152000,19619000,10698000,-5282000,-643000,6380000,-7999000,-3253000,9847000,7465000,-14702000,-168135000,-36052000
21,Income Before Tax Ratio,-0.0500,0.0508,0.0587,0.0893,0.1260,0.1414,-0.0639,0.1041,0.0777,0.0908,0.0496,-0.0238,-0.0019,0.0180,-0.0224,-0.0092,0.0282,0.0217,-0.0543,-0.6365,-0.1239
22,Income Tax expense (Gain),-1513000,561000,1069000,1238000,3069000,4256000,1955000,6439000,5220000,7307000,2581000,-188000,-31000,3292000,-4731000,40337000,4839000,-8870000,-3556000,-1348000,-4504000
23,Net Income,343000,1009000,1186000,3143000,4500000,6900000,-9127000,10889000,9932000,12312000,8117000,-5094000,-612000,3088000,-3268000,-43590000,5008000,16335000,-11146000,-166787000,-31548000
24,Net Income ratio,0.0147,0.0327,0.0309,0.0641,0.0746,0.0879,-0.0813,0.0654,0.0509,0.0570,0.0376,-0.0230,-0.0018,0.0087,-0.0092,-0.1232,0.0143,0.0474,-0.0412,-0.6314,-0.1084
25,EPS,0.04,0.11,0.13,0.34,0.39,0.55,-0.49,0.45,0.41,0.50,0.33,-0.20,-0.02,0.09,-0.09,-1.23,0.19,0.44,1.64,-4.37,-0.82
26,EPS Diluted,0.04,0.11,0.13,0.32,0.37,0.53,-0.49,0.45,0.41,0.50,0.33,-0.20,-0.02,0.09,-0.09,-1.23,0.19,0.44,1.61,-4.37,-0.82
27,Weighted Average Shares Outstanding,9200000,9200000,9200000,9216027,11571317,12377731,18443570,24081713,24363234,24580000,24870000,25382000,34817000,35136000,35683000,36161000,36617000,37075000,37485000,37961000,38342000
28,Weighted Average Shares Outstanding Diluted,9200000,9337425,9472233,9838168,12328783,12964574,18443570,24348960,24512670,24787000,25133000,25382000,34817000,35440000,35683000,36161000,36959000,37539000,38147000,37961000,38342000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1275187/000119312505175427/0001193125-05-175427-index.htm,https://www.sec.gov/Archives/edgar/data/1275187/000119312506170425/0001193125-06-170425-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1275187/000119312508177890/0001193125-08-177890-index.htm,https://www.sec.gov/Archives/edgar/data/1275187/000119312509175543/0001193125-09-175543-index.htm,https://www.sec.gov/Archives/edgar/data/1275187/000119312510181143/0001193125-10-181143-index.htm,https://www.sec.gov/Archives/edgar/data/1275187/000119312511221266/0001193125-11-221266-index.htm,https://www.sec.gov/Archives/edgar/data/1275187/000119312512355457/0001193125-12-355457-index.htm,https://www.sec.gov/Archives/edgar/data/1275187/000119312513334608/0001193125-13-334608-index.htm,https://www.sec.gov/Archives/edgar/data/1275187/000144530514003694/0001445305-14-003694-index.htm,https://www.sec.gov/Archives/edgar/data/1275187/000127518715000018/0001275187-15-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1275187/000127518716000034/0001275187-16-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1275187/000127518717000026/0001275187-17-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1275187/000127518718000011/0001275187-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1275187/000127518719000017/0001275187-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1275187/000127518720000024/0001275187-20-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1275187/000127518721000013/0001275187-21-000013-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
