,https://roic.ai/company/AGYS,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,202000000,212200000,254600000,302300000,319900000,345100000,362400000,430000000,580800000,832152000,1105281000,1508709000,1685265000,2259083000,2550685000,2901353000,2323593000,1171631000,1403216000,1622925000,1742460000,474570000,770960000,730720000,640431000,675470000,208889000,236140000,101261000,103514000,120366000,127678000,127360000,140842000,160757000,137176000
2,COGS,154600000,159800000,191500000,230500000,244500000,264100000,280800000,331900000,460300000,677171000,902629000,1249873000,1386666000,1906657000,2154932000,2454384000,2007618000,1022378000,1222314000,1415477000,1513481000,353863000,590806000,532042000,478904000,517779000,129053000,145970000,37221000,43433000,52260000,63893000,62943000,66962000,79805000,47800000
3,Gross Profit,47400000,52400000,63100000,71800000,75400000,81000000,81600000,98100000,120500000,154981000,202652000,258836000,298599000,352426000,395753000,446969000,315975000,149253000,180902000,207448000,228979000,120707000,180154000,198678000,161527000,157691000,79836000,90170000,64040000,60081000,68106000,63785000,64417000,73880000,80952000,89376000
4,Gross Profit Ratio,0.2347,0.2469,0.2478,0.2375,0.2357,0.2347,0.2252,0.2281,0.2075,0.1862,0.1833,0.1716,0.1772,0.1560,0.1552,0.1541,0.1360,0.1274,0.1289,0.1278,0.1314,0.2544,0.2337,0.2719,0.2522,0.2335,0.3822,0.3818,0.6324,0.5804,0.5658,0.4996,0.5058,0.5246,0.5036,0.6515
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30309000,32680000,25212000,25316000,26688000,29048000,27936000,37817000,41463000,55345000
6,General and Administrative Exp.,43600000,42000000,47400000,52500000,58500000,60100000,65100000,72400000,83800000,111302000,150704000,201449000,225649000,267505000,294299000,318400000,293903000,- -,- -,- -,- -,- -,- -,- -,- -,- -,32889000,27601000,20750000,21668000,21818000,19875000,24028000,23118000,24374000,33273000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24006000,21664000,14059000,16357000,19740000,20823000,18075000,19646000,19864000,14196000
8,"Selling, General and Administrative Exp.",43600000,42000000,47400000,52500000,58500000,60100000,65100000,72400000,83800000,111302000,150704000,201449000,225649000,267505000,294299000,318400000,293903000,135899000,141868000,164470000,167779000,133185000,199258000,206075000,167248000,173211000,56895000,49265000,34809000,38025000,41558000,40698000,42103000,42764000,44238000,47469000
9,Other Expenses,2400000,2500000,2800000,2800000,2800000,3500000,4100000,4600000,5300000,- -,- -,- -,- -,- -,- -,28387000,3796000,- -,- -,- -,- -,- -,- -,- -,- -,- -,8288000,6056000,8488000,5686000,3442000,3801000,4510000,5071000,5115000,4791000
10,Operating Expenses,46000000,44500000,50200000,55300000,61300000,63600000,69200000,77000000,89100000,111302000,150704000,201449000,225649000,267505000,294299000,346787000,297699000,135899000,141868000,164470000,167779000,133185000,199258000,206075000,167248000,173211000,95492000,88001000,68509000,69027000,71688000,73547000,74549000,85652000,90816000,107605000
