,https://roic.ai/company/EGO,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,-10700000,11221122,39912441,67156348,64668260,60482477,51451527,34467898,39296000,38230000,35915000,33797000,84689000,188690000,288231000,360729000,791175000,1098933000,1147541000,1123992000,1067899000,863292000,432727000,391406000,459016000,617823000,1026685000,943474000
2,COGS,- -,-5300000,6527319,29770157,70094439,49034176,40575101,34549273,23261717,20105000,24560000,36595000,42764000,58569000,84321000,104320000,147014000,306981000,499671000,541475000,630960000,698976000,660820000,269556000,265314000,375177000,487957000,691834000,650706000
3,Gross Profit,- -,-5400000,4693803,10142284,-2938091,15634084,19907376,16902254,11206181,19191000,13670000,-680000,-8967000,26120000,104369000,183911000,213715000,484194000,599262000,606066000,493032000,368923000,202472000,163171000,126092000,83839000,129866000,334851000,292768000
4,Gross Profit Ratio,- -,0.5047,0.4183,0.2541,-0.0438,0.2418,0.3291,0.3285,0.3251,0.4884,0.3576,-0.0189,-0.2653,0.3084,0.5531,0.6381,0.5925,0.6120,0.5453,0.5281,0.4386,0.3455,0.2345,0.3771,0.3222,0.1826,0.2102,0.3261,0.3103
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,3836512,3296268,3238000,6785000,9251000,14937000,19030000,26797000,38299000,32530000,62217000,81049000,93829000,90261000,88591000,73738000,54012000,69243000,57350000,42293000,42102000,46919000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,3836512,3296268,3238000,6785000,9251000,14937000,19030000,26797000,38299000,32530000,62217000,81049000,93829000,90261000,88591000,73738000,54012000,69243000,57350000,42293000,42102000,46919000
9,Other Expenses,- -,-2800000,6600660,11893470,26792585,19704115,14723164,11368183,8991079,10337000,10322000,4431000,9798000,1763000,20040000,25995000,35983000,108355000,1546000,41363000,36023000,18556000,30508000,36708000,48811000,52390000,34509000,30313000,36725000
