,https://roic.ai/company/RELY,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,Infinity,Infinity,0.1386,- -,- -,-Infinity,-Infinity,-0.5732,0.0093,-0.0920,0.0723,0.0553,-0.0112,-0.0569,- -,-0.3703,-0.1018,-0.0735
17,Operating Income,353756000,327948000,-9286000,- -,- -,-18253000,-14052000,-11973000,-2419000,-3106000,-4613000,10200000,-64700000,-84500000,- -,-50602000,-29183000,-39722000
18,Operating Income ratio,Infinity,Infinity,-0.0146,- -,- -,-Infinity,-Infinity,-0.7259,-0.0551,-0.0714,-0.1097,0.0089,-0.0518,-0.0628,- -,-0.3998,-0.1136,-0.0866
19,Total Other Income Expenses (Gains),247914000,220995000,- -,- -,- -,9378000,544000,- -,-968000,-6765000,3082000,-51000000,-39100000,-44100000,- -,-531000,-2218000,2009000
20,Income Before Tax,601670000,548943000,-9286000,- -,- -,-8875000,-13508000,-11973000,-3387000,-9871000,-1531000,-40800000,-103800000,-128600000,- -,-51133000,-31401000,-37713000
21,Income Before Tax Ratio,Infinity,Infinity,-0.0146,- -,- -,-Infinity,-Infinity,-0.7259,-0.0771,-0.2269,-0.0364,-0.0356,-0.0831,-0.0955,- -,-0.4040,-0.1222,-0.0822
22,Income Tax expense (Gain),-247914000,-220995000,- -,- -,- -,- -,150000,-2628000,580000,163000,-4680000,-9100000,-600000,-7800000,- -,259000,1163000,1043000
23,Net Income,353756000,327948000,-9286000,- -,- -,-23963000,-13658000,-12774000,-7468000,-10034000,5503000,-6900000,-102900000,-121700000,- -,-51392000,-32564000,-38756000
24,Net Income ratio,Infinity,Infinity,-0.0146,- -,- -,-Infinity,-Infinity,-0.7744,-0.1700,-0.2306,0.1309,-0.0060,-0.0823,-0.0904,- -,-0.4060,-0.1267,-0.0845
25,EPS,2.16,2.00,-0.06,- -,- -,-0.21,-0.12,-0.11,-0.61,-0.83,0.41,-0.24,-3.55,-4.20,- -,-0.42,-0.22,-0.26
26,EPS Diluted,2.16,2.00,-0.06,- -,- -,-0.21,-0.12,-0.11,-0.06,-0.85,0.38,-0.26,-3.58,-4.20,- -,-0.42,-0.22,-0.26
27,Weighted Average Shares Outstanding,164106010,164106010,164106010,- -,- -,115879042,115879042,115879042,12146271,12146271,13403083,29196598,28945331,28968363,- -,152030340,150015556,150015556
28,Weighted Average Shares Outstanding Diluted,164106010,164106010,164106010,- -,- -,115879042,115879042,115879042,116122223,11847023,14402118,26657832,28719098,28968363,- -,152030340,150015556,150015556
29,SEC Link,https://www.sec.gov/Archives/edgar/data/38984/000095012905002498/0000950129-05-002498-index.htm,https://www.sec.gov/Archives/edgar/data/38984/000095012906002726/0000950129-06-002726-index.htm,https://www.sec.gov/Archives/edgar/data/38984/000095012407005157/0000950124-07-005157-index.htm,undefined,undefined,https://www.sec.gov/Archives/edgar/data/38984/000114036111028101/0001140361-11-028101-index.htm,https://www.sec.gov/Archives/edgar/data/38984/000114036111035273/0001140361-11-035273-index.htm,https://www.sec.gov/Archives/edgar/data/38984/000119312512143990/0001193125-12-143990-index.htm,https://www.sec.gov/Archives/edgar/data/38984/000119312513136654/0001193125-13-136654-index.htm,https://www.sec.gov/Archives/edgar/data/38984/000156459014000748/0001564590-14-000748-index.html,https://www.sec.gov/Archives/edgar/data/38984/000156459015001692/0001564590-15-001692-index.htm,https://www.sec.gov/Archives/edgar/data/38984/000156459016014762/0001564590-16-014762-index.html,https://www.sec.gov/Archives/edgar/data/38984/000156459017004152/0001564590-17-004152-index.html,https://www.sec.gov/Archives/edgar/data/38984/000155837018002801/0001558370-18-002801-index.htm,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1782170/000178217022000048/0001782170-22-000048-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,904975000,768643000,761642000,- -,- -,355698000,70424000,52439000,53699000,47880000,62868000,35700000,27200000,24900000,- -,182354000,186694000,403262000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,4991000,3060000,3581000,5243000,- -,600000,7000000,- -,- -,- -,- -
33,Cash and Short-Term Investments,904975000,768643000,761642000,- -,- -,355698000,70424000,57430000,56759000,51461000,68111000,35700000,27800000,31900000,- -,182354000,186694000,403262000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,4112000,3607000,3736000,4509000,77200000,88400000,122500000,- -,29522000,50729000,67215000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,8681000,10247000,10345000,11349000,101200000,118200000,107300000,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,5500000,814000,2128000,57700000,52400000,43400000,- -,36655000,107908000,137075000
37,Total Current Assets,904975000,768643000,761642000,- -,- -,355698000,70424000,70223000,76113000,66356000,86097000,271800000,286800000,305100000,- -,248531000,345331000,607552000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,210000,386000,435000,301500000,289200000,247500000,- -,15811000,15280000,14551000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,18180000,17780000,17780000,17780000,104300000,42200000,9800000,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,6978000,4329000,2708000,1723000,15100000,12500000,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,25158000,22109000,20488000,19503000,119400000,54700000,9800000,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,1322000,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,661000,7000,6000,5104000,5800000,13500000,9000000,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,46976000,27272000,1562000,10784000,2400000,1300000,20700000,- -,1717000,2378000,3561000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,72795000,49598000,23764000,35826000,429100000,358700000,287000000,- -,17528000,17658000,18112000
46,Other Assets,9201021000,10715470000,12128882000,- -,- -,121482000,65120000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,10105996000,11484113000,12890524000,- -,- -,477180000,135544000,143018000,125711000,90120000,121923000,700900000,645500000,592100000,- -,266059000,362989000,625664000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,5916000,2222000,3205000,6218000,100900000,115800000,96400000,- -,202000,4256000,1210000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,39000000,5116000,3490000,3600000,3900000,2300000,2300000,3600000,- -,47618000,82959000,6480000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,464000,122000,400000,2000000,5300000,2700000,- -,- -,- -,- -
