,https://roic.ai/company/VSAT,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,1000000,1400000,2200000,2900000,3292000,9065000,14163000,19287000,20729000,20125000,21896000,26855000,28041000,28610000,46955000,103053000,125511000,157171000,185064000,221433000,242076000,245922000,255652000,318613000,342178000,397102000
15,EBITDA,2500000,6300000,10600000,13100000,15669000,22752000,13361000,-1778000,35860000,40671000,50516000,63810000,75062000,74213000,90847000,142305000,127667000,109910000,187655000,307071000,285392000,285389000,157156000,259986000,372692000,442921000
16,EBITDA ratio,0.0862,0.1321,0.1651,0.1832,0.2065,0.1384,0.0683,-0.0096,0.1287,0.1176,0.1164,0.1235,0.1306,0.1181,0.1320,0.1774,0.1478,0.0982,0.1388,0.2221,0.2013,0.1830,0.0986,0.1257,0.1614,0.1963
17,Operating Income,1800000,4700000,7800000,9600000,11464000,12674000,1984000,-18540000,15651000,20324000,28930000,35445000,42930000,44287000,43010000,39253000,2194000,-20362000,3299000,83144000,41119000,36459000,-92187000,-60620000,38421000,58233000
18,Operating Income ratio,0.0621,0.0985,0.1215,0.1343,0.1511,0.0771,0.0101,-0.1002,0.0562,0.0588,0.0667,0.0686,0.0747,0.0705,0.0625,0.0489,0.0025,-0.0182,0.0024,0.0601,0.0290,0.0234,-0.0578,-0.0293,0.0166,0.0258
19,Total Other Income Expenses (Gains),-300000,200000,600000,600000,913000,1013000,-2786000,-2525000,-351000,276000,-200000,1755000,5170000,913000,-6710000,-2853000,-8294000,-70338000,-37899000,-29426000,-23522000,-11075000,-13283000,-49861000,-36993000,-32247000
20,Income Before Tax,1500000,4900000,8400000,10200000,12377000,13687000,-802000,-21065000,15300000,20600000,28730000,37200000,48100000,45200000,36300000,36400000,-6100000,-90700000,-34600000,53718000,17597000,25384000,-105470000,-110481000,1428000,25986000
21,Income Before Tax Ratio,0.0517,0.1027,0.1308,0.1427,0.1631,0.0833,-0.0041,-0.1139,0.0549,0.0596,0.0662,0.0720,0.0837,0.0720,0.0528,0.0454,-0.0071,-0.0810,-0.0256,0.0389,0.0124,0.0163,-0.0661,-0.0534,0.0006,0.0115
22,Income Tax expense (Gain),-100000,1700000,3100000,3900000,4471000,3422000,-2959000,-11433000,1931000,1246000,5105000,6755000,13521000,6794000,5438000,-2000,-13651000,-50054000,-25947000,13827000,-4173000,3617000,-35217000,-41014000,-7915000,9441000
23,Net Income,1600000,3200000,5300000,6300000,7906000,10265000,2157000,-9632000,13200000,19300000,23515000,30200000,33500000,38300000,31100000,36100000,7500000,-41200000,-9400000,40363000,21741000,23767000,-67305000,-67623000,-212000,3691000
