,https://roic.ai/company/ACN,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,13061872000,13105024000,13397240000,15113582000,17094420000,18228366000,21452747000,25313826000,23170968000,23094000000,27353000000,29778000000,30394000000,31875000000,32914424000,34797661000,36176841000,40992534000,43215013000,44327039000,50533389000
2,COGS,7817365000,8427730000,9087300000,10497265000,12002221000,13234327000,15411274000,18128241000,16329854000,15843000000,18966000000,20790000000,21010000000,22190000000,23105185000,24520234000,25105349000,28499170000,29900325000,30350881000,34169261000
3,Gross Profit,5244507000,4677294000,4309940000,4616317000,5092199000,4994039000,6041473000,7185585000,6841114000,7251000000,8387000000,8988000000,9384000000,9685000000,9809239000,10277427000,11071492000,12493364000,13314688000,13976158000,16364128000
4,Gross Profit Ratio,0.4015,0.3569,0.3217,0.3054,0.2979,0.2740,0.2816,0.2839,0.2952,0.3140,0.3066,0.3018,0.3087,0.3038,0.2980,0.2953,0.3060,0.3048,0.3081,0.3153,0.3238
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,3581641000,3181319000,- -,1340467000,- -,- -,- -,- -,1788514000,1668306000,1820277000,1810984000,1835646000,1819136000,1868325000,1886543000,2643570000,2403315000,2562158000,2836585000,3454362000
7,Selling and Marketing Exp.,- -,- -,- -,1488333000,- -,- -,- -,- -,2159462000,2658058000,3094465000,3303478000,3481891000,3582833000,3505045000,3580439000,3754313000,4198557000,4447456000,4625929000,5288237000
8,"Selling, General and Administrative Exp.",3581641000,3181319000,- -,2828800000,- -,- -,- -,- -,3947976000,4326364000,4914742000,5114462000,5317537000,5401969000,5373370000,5466982000,6397883000,6601872000,7009614000,7462514000,8742599000
9,Other Expenses,967110000,- -,2758705000,- -,3070218000,3200946000,3522488000,4151131000,- -,- -,- -,- -,- -,- -,-0,- -,- -,- -,-0,- -,- -
10,Operating Expenses,4548751000,3181319000,2758705000,2828800000,3070218000,3200946000,3522488000,4151131000,3947976000,4326364000,4914742000,5114462000,5317537000,5401969000,5373370000,5466982000,6397883000,6601872000,7009614000,7462514000,8742599000
11,COGS and Expenses,12366116000,11609049000,11846005000,13326065000,15072439000,16435273000,18933762000,22279372000,20277830000,20179000000,23882000000,25906000000,26056000000,27574000000,28478555000,29138393000,31495484000,35093755000,36909939000,37813395000,42911860000
12,Interest Income ,- -,- -,- -,59939000,- -,- -,- -,- -,49922000,29931000,41083000,42550000,32893000,30370000,33991000,30484000,37940000,56337000,87508000,69331000,33365000
13,Interest Expense (Gain),- -,- -,- -,22044000,- -,- -,- -,- -,14121000,14677000,15000000,15061000,14035000,17621000,14578000,16258000,15545000,19539000,22963000,33071000,59492000
14,Depreciation and Amortization,414072000,285361000,237205000,257080000,282073000,320610000,444499000,491421000,498591000,474700000,513300000,593500000,593000000,620700000,645923000,729052000,801789000,926776000,892760000,1773124000,1891242000
15,EBITDA,1974091000,1021327000,1301542000,1545495000,1919644000,1784474000,2583508000,3093746000,2842265000,3124377000,3765300000,4241561000,4674035000,4701321000,4850823000,6111171000,5243583000,6422070000,7100391000,8503052000,9628114000
16,EBITDA ratio,0.1511,0.0779,0.0972,0.1023,0.1123,0.0979,0.1204,0.1222,0.1227,0.1353,0.1377,0.1424,0.1538,0.1475,0.1474,0.1756,0.1449,0.1567,0.1643,0.1918,0.1905
17,Operating Income,695756000,1385451000,1551235000,1758626000,2111238000,1841059000,2492619000,3011582000,2643865000,2914845000,3470457000,3871548000,4338680000,4300512000,4435869000,4810445000,4632609000,5841041000,6305074000,6513644000,7621529000
18,Operating Income ratio,0.0533,0.1057,0.1158,0.1164,0.1235,0.1010,0.1162,0.1190,0.1141,0.1262,0.1269,0.1300,0.1427,0.1349,0.1348,0.1382,0.1281,0.1425,0.1459,0.1469,0.1508
19,Total Other Income Expenses (Gains),99101000,-317893000,61582000,39944000,94764000,82608000,126299000,96180000,33871000,-845000,41543000,32452000,320000,-2512000,-25339000,793127000,-16577000,-32948000,-53277000,260687000,139587000
20,Income Before Tax,794857000,1067558000,1612817000,1798570000,2206002000,1923667000,2618918000,3107762000,2677736000,2914000000,3512000000,3904000000,4339000000,4298000000,4410530000,5603572000,4616032000,5808093000,6251797000,6774331000,7761116000
21,Income Before Tax Ratio,0.0609,0.0815,0.1204,0.1190,0.1290,0.1055,0.1221,0.1228,0.1156,0.1262,0.1284,0.1311,0.1428,0.1348,0.1340,0.1610,0.1276,0.1417,0.1447,0.1528,0.1536
22,Income Tax expense (Gain),502616000,491071000,566099000,575543000,697097000,490535000,895861000,910574000,739590000,854000000,959000000,1079000000,785000000,1122000000,1136741000,1253969000,981100000,1415848000,1405556000,1589018000,1770571000
23,Net Income,1057403000,244895000,498238000,690828000,940474000,973329000,1243148000,1691751000,1589963000,1781000000,2278000000,2554000000,3282000000,2941000000,3053581000,4111892000,3445149000,4059907000,4779112000,5107839000,5906809000
24,Net Income ratio,0.0810,0.0187,0.0372,0.0457,0.0550,0.0534,0.0579,0.0668,0.0686,0.0771,0.0833,0.0858,0.1080,0.0923,0.0928,0.1182,0.0952,0.0990,0.1106,0.1152,0.1169
25,EPS,0.91,0.57,1.06,1.25,1.60,1.65,2.06,2.77,2.55,2.79,3.53,3.97,5.08,4.64,4.87,6.58,5.56,6.46,7.49,8.03,9.31
26,EPS Diluted,0.91,0.56,1.05,1.22,1.56,1.59,1.97,2.65,2.44,2.66,3.40,3.84,4.93,4.52,4.76,6.45,5.44,6.34,7.36,7.89,9.16
27,Weighted Average Shares Outstanding,412705954,425941809,468592110,553298104,588505335,589099824,604128805,610949205,623007198,637170234,645631170,643132601,645536995,634216250,626799586,624797820,620104250,628451742,638098125,636299913,634745073
28,Weighted Average Shares Outstanding Diluted,1008163290,1023789546,996754596,1002813443,960514976,893810585,861923335,822371710,785374271,766047794,742184540,726416452,712763616,692389966,678757070,667770274,660463227,655296150,650204873,647797003,645909042
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1467373/000119312510235847/0001193125-10-235847-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000119312511277309/0001193125-11-277309-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737312000170/0001467373-12-000170-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737313000482/0001467373-13-000482-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737314000467/0001467373-14-000467-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737315000457/0001467373-15-000457-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737316001080/0001467373-16-001080-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737317000430/0001467373-17-000430-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737318000318/0001467373-18-000318-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737319000339/0001467373-19-000339-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737320000376/0001467373-20-000376-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737321000229/0001467373-21-000229-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
