,https://roic.ai/company/VECO,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,43100000,49400000,72400000,96800000,165400000,206800000,246600000,386668000,449251000,298885000,279321000,390443000,410190000,441034000,402475000,442809000,380149000,933231000,979135000,516020000,331749000,392873000,477038000,332451000,484756000,542082000,419349000,454163000,583277000
2,COGS,24500000,27800000,38300000,53500000,86900000,107100000,119900000,216023000,260148000,183042000,152307000,238686000,236090000,246910000,244964000,266215000,228587000,489406000,504801000,300887000,228607000,257991000,299797000,199593000,300438000,348363000,261155000,259863000,341003000
3,Gross Profit,18600000,21600000,34100000,43300000,78500000,99700000,126700000,170645000,189103000,115843000,127014000,151757000,174100000,194124000,157511000,176594000,151562000,443825000,474334000,215133000,103142000,134882000,177241000,132858000,184318000,193719000,158194000,194300000,242274000
4,Gross Profit Ratio,0.4316,0.4372,0.4710,0.4473,0.4746,0.4821,0.5138,0.4413,0.4209,0.3876,0.4547,0.3887,0.4244,0.4402,0.3914,0.3988,0.3987,0.4756,0.4844,0.4169,0.3109,0.3433,0.3715,0.3996,0.3802,0.3574,0.3772,0.4278,0.4154
5,Research and Development Exp.,- -,- -,7100000,9800000,18400000,27400000,31500000,53904000,59722000,53889000,48868000,58338000,60382000,61925000,61174000,60353000,57430000,71390000,96596000,95153000,81424000,81171000,78543000,81016000,81987000,97755000,90557000,78994000,88680000
6,General and Administrative Exp.,- -,- -,- -,19500000,33300000,42000000,52400000,78861000,90626000,75899000,67986000,82511000,84667000,93110000,90972000,92838000,85455000,91777000,95134000,73110000,85486000,89760000,90188000,77642000,100250000,92060000,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",15300000,16300000,16800000,19500000,33300000,42000000,52400000,78861000,90626000,75899000,67986000,82511000,84667000,93110000,90972000,92838000,85455000,91777000,95134000,73110000,85486000,89760000,90188000,77642000,100250000,92060000,79749000,76251000,84536000
9,Other Expenses,1300000,1400000,1200000,1600000,1600000,4700000,5800000,15551000,15384000,112702000,14082000,18904000,16820000,15473000,10700000,83399000,8128000,3262000,4473000,4908000,5527000,13146000,27634000,19219000,35475000,32351000,17043000,15112000,12348000
