,https://roic.ai/company/MMLP,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1176334/000095013403004530/0000950134-03-004530-index.html,- -,https://www.sec.gov/Archives/edgar/data/1176334/000095013405005238/0000950134-05-005238-index.htm,https://www.sec.gov/Archives/edgar/data/1176334/000095013406005053/0000950134-06-005053-index.htm,https://www.sec.gov/Archives/edgar/data/1176334/000095013407004800/0000950134-07-004800-index.htm,https://www.sec.gov/Archives/edgar/data/1176334/000095013408004164/0000950134-08-004164-index.htm,https://www.sec.gov/Archives/edgar/data/1176334/000095013409004457/0000950134-09-004457-index.htm,https://www.sec.gov/Archives/edgar/data/1176334/000095012310021099/0000950123-10-021099-index.htm,https://www.sec.gov/Archives/edgar/data/1176334/000114036111013485/0001140361-11-013485-index.htm,https://www.sec.gov/Archives/edgar/data/1176334/000114036112013129/0001140361-12-013129-index.htm,https://www.sec.gov/Archives/edgar/data/1176334/000117633413000050/0001176334-13-000050-index.htm,https://www.sec.gov/Archives/edgar/data/1176334/000117633414000049/0001176334-14-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1176334/000117633415000045/0001176334-15-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1176334/000117633416000159/0001176334-16-000159-index.htm,https://www.sec.gov/Archives/edgar/data/1176334/000117633417000011/0001176334-17-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1176334/000117633418000024/0001176334-18-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1176334/000117633419000019/0001176334-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1176334/000117633420000023/0001176334-20-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1176334/000117633421000061/0001176334-21-000061-index.htm,https://www.sec.gov/Archives/edgar/data/1176334/000117633422000053/0001176334-22-000053-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,1734000,2270000,3184000,6465000,3675000,4113000,7983000,5956000,11380000,266000,5162000,16542000,42000,31000,15000,27000,237000,2856000,4958000,52000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,1734000,2270000,3184000,6465000,3675000,4113000,7983000,5956000,11380000,266000,5162000,16542000,42000,31000,15000,27000,237000,2856000,4958000,52000
34,Net Receivables,- -,- -,- -,21597000,28972000,45468000,75778000,65118000,101276000,75596000,84596000,110812000,150075000,207411000,178681000,151731000,85531000,92282000,130939000,97806000,105083000,67555000,98608000
35,Inventory,- -,- -,- -,15511000,19663000,23165000,33909000,33019000,51798000,42461000,35510000,52616000,78163000,95987000,94902000,88718000,75870000,82631000,97252000,85068000,62540000,54122000,62120000
36,Other Current Assets,- -,- -,- -,273000,756000,724000,1420000,2041000,819000,4702000,3212000,4926000,2600000,6355000,7353000,47260000,6393000,19075000,14445000,10931000,10885000,8991000,12908000
37,Total Current Assets,- -,- -,- -,39115000,51661000,72541000,117572000,103853000,158006000,130742000,129274000,179734000,231104000,314915000,297478000,287751000,167825000,194003000,242663000,194042000,181364000,135626000,173688000
38,PP&E,- -,- -,- -,55857000,82961000,109769000,175713000,247845000,343037000,412125000,421915000,432180000,477342000,510381000,624375000,998277000,983240000,845684000,831928000,798349000,441098000,402131000,367331000
39,Goodwill,- -,- -,- -,2922000,2922000,2922000,27600000,27600000,37405000,37405000,37268000,37268000,37268000,19616000,23802000,23802000,23802000,17296000,17296000,17296000,17705000,16823000,16823000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,74386000,52270000,38808000,27004000,19532000,936000,2002000,2198000
41,Intangible Assets,- -,- -,- -,2922000,2922000,2922000,27600000,27600000,37405000,37405000,37268000,37268000,37268000,19616000,23802000,98188000,76072000,56104000,44300000,36828000,18641000,18825000,19021000
42,Investments,- -,- -,- -,- -,318000,- -,59879000,70651000,75690000,79843000,80582000,98217000,170497000,154309000,128662000,134506000,132292000,129506000,128810000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23422000,22253000,19821000
44,Other Non-Current Assets,- -,- -,- -,2561000,1823000,3100000,8280000,7512000,9439000,8801000,16900000,38079000,32898000,13775000,23602000,35197000,21044000,21066000,5797000,4179000,2631000,803000,- -
45,Total Non-Current Assets,- -,- -,- -,61340000,88024000,115791000,271472000,353608000,465571000,538174000,556665000,605744000,718005000,698081000,800441000,1266168000,1212648000,1052360000,1010835000,839356000,485792000,444012000,406173000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,100455000,139685000,188332000,389044000,457461000,623577000,668916000,685939000,785478000,949109000,1012996000,1097919000,1553919000,1380473000,1246363000,1253498000,1033398000,667156000,579638000,579861000
48,Accounts Payable,- -,- -,- -,14007000,17366000,26537000,67387000,53450000,104598000,100802000,85721000,89794000,181768000,140045000,142951000,125332000,81180000,70249000,92567000,63157000,64802000,51900000,70342000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,9104000,74000,21000,- -,- -,1121000,1261000,3206000,- -,- -,- -,- -,- -,- -,- -,39026000,280000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5425000,385000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,4342000,9427000,11953000,23078000,29173000,46629000,23893000,20778000,33480000,12277000,35231000,33637000,38243000,37988000,47325000,41841000,38356000,42478000,28449000,33465000
53,Total Current Liabilities,- -,- -,- -,18349000,26793000,38490000,99569000,82697000,151248000,124695000,106499000,124395000,195306000,178482000,176588000,163575000,119168000,117574000,134408000,101513000,107280000,119375000,104087000
54,Long-Term Debt,- -,- -,- -,35000000,67000000,74308000,193910000,174021000,225000000,295000000,304372000,372862000,458941000,474992000,658695000,902005000,865003000,808107000,812632000,656459000,569788000,500067000,514584000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,8815000,8538000,8628000,8213000,7657000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,2218000,2666000,5969000,1489000,5202000,1589000,1560000,2219000,2668000,2423000,8676000,8217000,10714000,26284000,7067000,9227000
58,Total Non-Current Liabilities,- -,- -,- -,35000000,67000000,74308000,193910000,176239000,236481000,309507000,314489000,386277000,468187000,476552000,660914000,904673000,867426000,816783000,820849000,667173000,596072000,507134000,523811000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,111000,- -,- -,- -,- -,- -,- -,- -,- -,- -,31853000,22999000,15713000
61,Total Liabilities,- -,- -,- -,53349000,93793000,112798000,293479000,258936000,387729000,434202000,420988000,510672000,663493000,655034000,837502000,1068248000,986594000,934357000,955257000,768686000,703352000,626509000,627898000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,47108000,45918000,74908000,12685000,198403000,242610000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,-27488000,-30946000,-38472000,-59505000,-76122000,-7000000,-5000000,-2000000,1000000,1000000,-256963000,-304808000,-345397000,-404574000,-378593000,-421137000,-466381000,-467531000,- -,816000
66,Other Total Stockholders Equity,- -,- -,- -,-19618000,-14946000,-37062000,-36060000,- -,-427184000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,- -,- -,2000,26000,-626000,-82880000,- -,-191574000,-239649000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
68,Total Liabilities And Stockholders Equity,- -,- -,- -,53351000,93819000,112172000,210599000,258936000,196155000,194553000,420988000,510672000,663493000,655034000,837502000,1068248000,986594000,934357000,955257000,768686000,703352000,579638000,627898000
69,Minority Interest,- -,- -,- -,47104000,45866000,76160000,178445000,198525000,427422000,474363000,264951000,274806000,285616000,357962000,260417000,485671000,393879000,312006000,298241000,264712000,-36196000,- -,-48037000
70,Total Liabilities & Equity,- -,- -,- -,100455000,139685000,188332000,389044000,457461000,623577000,668916000,685939000,785478000,949109000,1012996000,1097919000,1553919000,1380473000,1246363000,1253498000,1033398000,667156000,579638000,579861000
71,SEC Link,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1176334/000095013403004530/0000950134-03-004530-index.html,- -,https://www.sec.gov/Archives/edgar/data/1176334/000095013405005238/0000950134-05-005238-index.htm,https://www.sec.gov/Archives/edgar/data/1176334/000095013406005053/0000950134-06-005053-index.htm,https://www.sec.gov/Archives/edgar/data/1176334/000095013407004800/0000950134-07-004800-index.htm,https://www.sec.gov/Archives/edgar/data/1176334/000095013408004164/0000950134-08-004164-index.htm,https://www.sec.gov/Archives/edgar/data/1176334/000095013409004457/0000950134-09-004457-index.htm,https://www.sec.gov/Archives/edgar/data/1176334/000095012310021099/0000950123-10-021099-index.htm,https://www.sec.gov/Archives/edgar/data/1176334/000114036111013485/0001140361-11-013485-index.htm,https://www.sec.gov/Archives/edgar/data/1176334/000114036112013129/0001140361-12-013129-index.htm,https://www.sec.gov/Archives/edgar/data/1176334/000117633413000050/0001176334-13-000050-index.htm,https://www.sec.gov/Archives/edgar/data/1176334/000117633414000049/0001176334-14-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1176334/000117633415000045/0001176334-15-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1176334/000117633416000159/0001176334-16-000159-index.htm,https://www.sec.gov/Archives/edgar/data/1176334/000117633417000011/0001176334-17-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1176334/000117633418000024/0001176334-18-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1176334/000117633419000019/0001176334-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1176334/000117633420000023/0001176334-20-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1176334/000117633421000061/0001176334-21-000061-index.htm,https://www.sec.gov/Archives/edgar/data/1176334/000117633422000053/0001176334-22-000053-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1619000,930000,4678000,6200000,11981000,12326000,13880000,22243000,24939000,42810000,22203000,16022000,24342000,101987000,-13354000,-11705000,38380000,31652000,17135000,44105000,-174946000,-6771000,-211000
74,Depreciation and Amortization,- -,- -,4122000,4488000,4765000,8753000,12628000,17597000,23442000,31218000,39506000,40656000,44957000,42063000,52240000,68830000,92250000,92132000,85195000,76866000,60060000,61462000,56751000
75,Deferred Income Tax,- -,- -,2656000,1830000,- -,- -,- -,- -,-149000,-277000,294000,-415000,-157000,402000,- -,- -,- -,- -,- -,- -,1360000,1169000,2432000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,911000,817000,1429000,904000,650000,1224000,1424000,1422000,384000
77,Change in Working Capital,- -,- -,- -,20766000,4102000,9183000,-16048000,3153000,-14398000,-711000,16728000,32564000,-19541000,100635000,-15543000,3286000,-75519000,27772000,31826000,-15726000,-18445000,-57833000,-27941000
78,Accounts Receivable,- -,- -,- -,5198000,-7545000,-16496000,-12122000,8973000,-30902000,- -,- -,- -,- -,-56856000,23847000,29025000,59479000,-6153000,-26739000,28440000,62000,30741000,-31448000
79,Inventory,- -,- -,3931000,-1910000,-4152000,-3502000,-4474000,890000,-18297000,9337000,7135000,-17106000,-25547000,-2733000,3762000,5680000,12799000,-6761000,-14656000,11844000,21493000,5264000,-8334000
80,Accounts Payable,- -,- -,- -,5525000,3359000,9171000,27669000,-1842000,57352000,- -,- -,- -,- -,17595000,-6019000,-26349000,-44153000,3254000,20037000,-27478000,-898000,-7318000,14331000
81,Other Working Capital,- -,- -,- -,20766000,24868000,34051000,18003000,21156000,6758000,6047000,22775000,55339000,35798000,136433000,120890000,124176000,48657000,76429000,108255000,92529000,74084000,16251000,649000
82,Other Non-Cash Items,8156000,691000,-312000,-28144000,-10575000,-17450000,21643000,-3676000,24183000,6863000,-31139000,-51309000,37269000,-212409000,87929000,54352000,126032000,-41612000,-67300000,-15743000,206362000,65336000,4314000
83,Cash Provided by Operating Activities,6537000,1621000,11144000,5140000,10273000,12812000,32103000,39317000,58017000,79903000,47592000,37518000,86870000,32678000,112183000,115580000,182572000,110848000,67506000,90726000,75815000,64785000,35729000
84,CAPEX,- -,- -,-6229000,-5310000,-2904000,-5182000,-24814000,-66352000,-82164000,-94969000,-35846000,-18997000,-76097000,-93640000,-92243000,-84307000,-65791000,-40455000,-39749000,-37090000,-30621000,-28622000,-16059000
85,Acquisitions Net,- -,- -,-102000,-103000,-29028000,-31234000,-114167000,-24306000,-41271000,-4758000,550000,-43882000,-13923000,-255126000,-104048000,-240112000,- -,-2150000,-19923000,- -,-23720000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-322000,-11943000,-8862000,- -,- -,-20110000,-59319000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,433000,1952000,- -,- -,- -,- -,5980000,1738000,225000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-14952000,-3084000,-478000,1335000,4311000,2094000,792000,7070000,3242000,-457000,20621000,1671000,-17996000,327750000,7776000,-469000,41986000,106444000,21794000,184744000,229169000,31226000,-3182000
89,Cash Used for Investing Activites,-14952000,-3084000,-6809000,-4078000,-27621000,-34322000,-138511000,-95098000,-127103000,-100184000,-14675000,-81318000,-167335000,-15036000,-186777000,-324663000,-23805000,63839000,-37878000,147654000,174828000,2604000,-19241000
90,Debt Repayment,- -,- -,-62265000,-133487000,-921000,-44107000,-137746000,-163381000,-169276000,-257191000,-431982000,-441979000,-443132000,-712556000,-658809000,-1533087000,-308836000,-386700000,-339000000,-557000000,-729514000,-338199000,-336497000
91,Common Stock Issued,- -,- -,- -,50571000,- -,- -,15000000,95272000,55933000,- -,20000000,78600000,70330000,- -,- -,331728000,- -,- -,51056000,- -,-289000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-93000,-78000,-108000,-582000,-222000,-250000,-277000,-590000,-376000,-4000,-391000,-681000,-9000,-17000
93,Dividends Paid,- -,- -,- -,- -,-13195000,-17454000,-18967000,-32059000,-37903000,-45717000,-47462000,-56696000,-64497000,-76528000,-84588000,-97368000,-133316000,-118178000,-76938000,-78441000,-49093000,-5317000,-791000
94,Other Financing Activites,7947000,1421000,57865000,83526000,32000000,83985000,251402000,153159000,221142000,327152000,424578000,469407000,507232000,776560000,829621000,1491587000,283964000,330551000,335270000,397662000,531490000,278238000,315911000
95,Cash Used/Provided by Financing Activities,7947000,1421000,-4400000,610000,17884000,22424000,109689000,52991000,69896000,24151000,-34944000,49224000,69351000,-12746000,85974000,192583000,-158778000,-174703000,-29616000,-238170000,-248087000,-65287000,-21394000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,7947000,1421000,-65000,1672000,536000,914000,3281000,-2790000,810000,3870000,-2027000,5424000,-11114000,4896000,11380000,-16500000,-11000,-16000,12000,210000,2556000,2102000,-4906000
98,Cash at the End of Period,- -,- -,62000,7047000,2270000,3184000,6465000,3675000,4113000,7983000,5956000,11380000,266000,5162000,16542000,42000,31000,15000,27000,237000,2856000,4958000,52000
99,Cash at the Beginning of Period,- -,- -,127000,5375000,1734000,2270000,3184000,6465000,3303000,4113000,7983000,5956000,11380000,266000,5162000,16542000,42000,31000,15000,27000,300000,2856000,4958000
100,Free Cash Flow,6537000,1621000,4915000,-170000,7369000,7630000,7289000,-27035000,-24147000,-15066000,11746000,18521000,10773000,-60962000,19940000,31273000,116781000,70393000,27757000,53636000,45194000,36163000,19670000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1176334/000095013403004530/0000950134-03-004530-index.html,- -,https://www.sec.gov/Archives/edgar/data/1176334/000095013405005238/0000950134-05-005238-index.htm,https://www.sec.gov/Archives/edgar/data/1176334/000095013406005053/0000950134-06-005053-index.htm,https://www.sec.gov/Archives/edgar/data/1176334/000095013407004800/0000950134-07-004800-index.htm,https://www.sec.gov/Archives/edgar/data/1176334/000095013408004164/0000950134-08-004164-index.htm,https://www.sec.gov/Archives/edgar/data/1176334/000095013409004457/0000950134-09-004457-index.htm,https://www.sec.gov/Archives/edgar/data/1176334/000095012310021099/0000950123-10-021099-index.htm,https://www.sec.gov/Archives/edgar/data/1176334/000114036111013485/0001140361-11-013485-index.htm,https://www.sec.gov/Archives/edgar/data/1176334/000114036112013129/0001140361-12-013129-index.htm,https://www.sec.gov/Archives/edgar/data/1176334/000117633413000050/0001176334-13-000050-index.htm,https://www.sec.gov/Archives/edgar/data/1176334/000117633414000049/0001176334-14-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1176334/000117633415000045/0001176334-15-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1176334/000117633416000159/0001176334-16-000159-index.htm,https://www.sec.gov/Archives/edgar/data/1176334/000117633417000011/0001176334-17-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1176334/000117633418000024/0001176334-18-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1176334/000117633419000019/0001176334-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1176334/000117633420000023/0001176334-20-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1176334/000117633421000061/0001176334-21-000061-index.htm,https://www.sec.gov/Archives/edgar/data/1176334/000117633422000053/0001176334-22-000053-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
