,https://roic.ai/company/GFF,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,13500000,14400000,19300000,18700000,-1800000,28300000,38100000,52300000,45300000,56600000,47700000,51100000,64600000,62800000,55100000,60673000,80105000,55079000,99080000,120947000,107143000,113798000,73646000,7526000,78704000,71723000,100942000,140212000,134578000,110127000,171609000,174626000,113218000,247604000,193757000,211710000,234628000
16,EBITDA ratio,0.0740,0.0607,0.0541,0.0491,-0.0044,0.0617,0.0771,0.1046,0.1037,0.1157,0.0873,0.0780,0.0839,0.0686,0.0534,0.0543,0.0690,0.0462,0.0790,0.0868,0.0764,0.0695,0.0456,0.0059,0.0659,0.0554,0.0551,0.0753,0.0719,0.0553,0.0851,0.0892,0.0742,0.1252,0.0877,0.0879,0.1033
17,Operating Income,9700000,11400000,17000000,16400000,24400000,32800000,38800000,47200000,44200000,46400000,39600000,47600000,54400000,49400000,41700000,54922000,71414000,67517000,86403000,111182000,80101000,85058000,38778000,11231000,25147000,22721000,55549000,72420000,63854000,78164000,101017000,103507000,69027000,96450000,135265000,155028000,170583000
18,Operating Income ratio,0.0532,0.0480,0.0476,0.0430,0.0602,0.0715,0.0785,0.0944,0.1012,0.0949,0.0725,0.0727,0.0706,0.0540,0.0404,0.0491,0.0616,0.0566,0.0689,0.0798,0.0571,0.0520,0.0240,0.0088,0.0211,0.0176,0.0303,0.0389,0.0341,0.0392,0.0501,0.0529,0.0453,0.0488,0.0612,0.0644,0.0751
19,Total Other Income Expenses (Gains),-200000,-2500000,-3900000,-4500000,-15000000,-14300000,-11900000,-5900000,100000,400000,-600000,-1600000,-1300000,-2900000,-9600000,-12662000,-9687000,-10957000,-3338000,-6433000,-1156000,-6360000,-7146000,-6849000,859000,-8909000,-69898000,-50479000,-49521000,-83880000,-47381000,-50343000,-52329000,-62640000,-63087000,-72271000,-59404000
20,Income Before Tax,9500000,8900000,13100000,11900000,9400000,18500000,26900000,41300000,44300000,46800000,39000000,46000000,53100000,46500000,32100000,42260000,61727000,56560000,83065000,104749000,78945000,78698000,31632000,4382000,26006000,13812000,-14349000,21941000,14333000,-5716000,53636000,53164000,16698000,33810000,72178000,82757000,111179000
21,Income Before Tax Ratio,0.0521,0.0375,0.0367,0.0312,0.0232,0.0403,0.0544,0.0826,0.1014,0.0957,0.0714,0.0702,0.0689,0.0508,0.0311,0.0378,0.0532,0.0474,0.0662,0.0752,0.0563,0.0481,0.0196,0.0035,0.0218,0.0107,-0.0078,0.0118,0.0077,-0.0029,0.0266,0.0272,0.0109,0.0171,0.0327,0.0344,0.0490
22,Income Tax expense (Gain),4900000,4400000,6300000,5800000,4600000,9000000,11500000,17200000,17700000,17100000,15200000,17900000,19900000,17200000,11900000,17380000,25308000,22506000,29876000,38757000,25717000,26912000,9553000,4294000,4005000,4308000,-6918000,4930000,7543000,-5539000,19347000,23154000,-1085000,555000,26556000,29328000,39940000
23,Net Income,4600000,4500000,5600000,5100000,-14900000,9500000,15400000,24000000,18100000,29700000,23800000,22900000,33200000,29300000,20200000,19590000,30593000,9936000,43022000,53859000,48813000,51786000,22079000,-40503000,22791000,9592000,-7431000,17011000,3767000,-177000,34289000,30010000,14912000,125678000,37287000,53429000,79211000
24,Net Income ratio,0.0252,0.0190,0.0157,0.0134,-0.0368,0.0207,0.0312,0.0480,0.0414,0.0607,0.0436,0.0350,0.0431,0.0320,0.0196,0.0175,0.0264,0.0083,0.0343,0.0386,0.0348,0.0316,0.0137,-0.0319,0.0191,0.0074,-0.0041,0.0091,0.0020,-0.0001,0.0170,0.0153,0.0098,0.0635,0.0169,0.0222,0.0349
25,EPS,0.14,0.12,0.14,-0.04,-0.45,0.26,0.42,0.55,0.40,0.73,0.65,0.65,0.96,0.87,0.61,0.59,0.93,0.30,1.33,1.81,1.64,1.73,0.74,-1.24,0.32,0.16,-0.13,0.30,0.07,-0.00,0.77,0.73,0.36,3.06,0.91,1.25,1.56
26,EPS Diluted,0.14,0.12,0.14,-0.04,-0.45,0.26,0.42,0.55,0.40,0.73,0.65,0.65,0.96,0.85,0.60,0.59,0.92,0.28,1.28,1.71,1.55,1.65,0.71,-1.24,0.32,0.16,-0.13,0.30,0.07,-0.00,0.73,0.68,0.35,2.96,0.87,1.19,1.48
27,Weighted Average Shares Outstanding,32744451,38896747,38896747,38723872,36975920,35925468,36540909,44004400,45631646,40837500,36873239,34986111,34452830,33572917,33164179,33152308,32895699,33120000,32347368,29756354,29764024,29934104,29836486,32667000,58699000,58974000,58919000,55914000,54428000,49367000,44608000,41074000,41005000,41005000,40934000,42588000,50830000
28,Weighted Average Shares Outstanding Diluted,32744451,38896747,38896747,38723872,36975920,35925468,36540909,44004400,45631646,45320218,41195609,38943894,37567936,34287234,33666667,33152308,33253261,35485714,33610938,31496491,31492258,31385455,31097183,32836000,59002000,59993000,58919000,57329000,56563000,49367000,46939000,44109000,43011000,42422000,42888000,45015000,53369000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/50725/000005072596000009/0000050725-96-000009-index.html,- -,https://www.sec.gov/Archives/edgar/data/50725/000005072598000014/0000050725-98-000014-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/50725/000093221401500100/0000932214-01-500100-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/50725/000110465904039320/a04-14539_110k.htm,https://www.sec.gov/Archives/edgar/data/50725/000110465905060763/a05-21537_110k.htm,https://www.sec.gov/Archives/edgar/data/50725/000110465906081561/a06-25388_110k.htm,https://www.sec.gov/Archives/edgar/data/50725/000104746907009607/0001047469-07-009607-index.html,https://www.sec.gov/Archives/edgar/data/50725/000104746908013148/0001047469-08-013148-index.html,https://www.sec.gov/Archives/edgar/data/50725/000104746909010409/0001047469-09-010409-index.html,https://www.sec.gov/Archives/edgar/data/50725/000104746910009877/0001047469-10-009877-index.html,https://www.sec.gov/Archives/edgar/data/50725/000093041311007477/0000930413-11-007477-index.html,https://www.sec.gov/Archives/edgar/data/50725/000093041312006185/0000930413-12-006185-index.html,https://www.sec.gov/Archives/edgar/data/50725/000093041313005414/0000930413-13-005414-index.html,https://www.sec.gov/Archives/edgar/data/50725/000005072514000006/0000050725-14-000006-index.html,https://www.sec.gov/Archives/edgar/data/50725/000005072515000080/0000050725-15-000080-index.html,https://www.sec.gov/Archives/edgar/data/50725/000005072516000166/0000050725-16-000166-index.html,https://www.sec.gov/Archives/edgar/data/50725/000005072517000060/0000050725-17-000060-index.html,https://www.sec.gov/Archives/edgar/data/50725/000005072518000075/0000050725-18-000075-index.html,https://www.sec.gov/Archives/edgar/data/50725/000005072519000077/0000050725-19-000077-index.html,https://www.sec.gov/Archives/edgar/data/50725/000005072520000063/0000050725-20-000063-index.htm,https://www.sec.gov/Archives/edgar/data/50725/000005072521000068/0000050725-21-000068-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,35800000,11500000,20100000,14900000,33400000,25600000,23500000,18000000,26500000,28700000,9700000,17800000,15400000,19300000,21200000,26616000,40096000,45749000,69816000,88047000,60663000,22389000,44747000,311921000,320833000,169802000,243029000,209654000,178130000,92405000,52001000,72553000,47681000,69758000,72377000,218089000,248653000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,35800000,11500000,20100000,14900000,33400000,25600000,23500000,18000000,26500000,28700000,9700000,17800000,15400000,19300000,21200000,26616000,40096000,45749000,69816000,88047000,60663000,22389000,44747000,311921000,320833000,169802000,243029000,209654000,178130000,92405000,52001000,72553000,47681000,69758000,72377000,218089000,248653000
34,Net Receivables,21100000,34700000,40800000,40000000,67800000,82300000,83200000,42700000,51900000,59200000,71500000,87100000,105100000,162100000,188500000,144259000,212541000,206330000,220584000,207638000,232969000,315451000,287524000,232587000,240155000,315184000,342763000,310634000,256215000,258436000,218755000,233751000,208229000,280509000,264450000,348124000,294804000
35,Inventory,33800000,61500000,71500000,81500000,61100000,72100000,82700000,47300000,56000000,68900000,78800000,69900000,88100000,104500000,94400000,98440000,98044000,104792000,114003000,141567000,148350000,165089000,161775000,167158000,139170000,268801000,263809000,257868000,230120000,290135000,325809000,308869000,299437000,398359000,442121000,413825000,472794000
36,Other Current Assets,4900000,8900000,8400000,11100000,22300000,13400000,12900000,44400000,65200000,65900000,52000000,54200000,55500000,20700000,22900000,96404000,18148000,25470000,39280000,43381000,41227000,42075000,50889000,61925000,40837000,56861000,50209000,48059000,159945000,174123000,160297000,165785000,542782000,164248000,146231000,133414000,350028000
37,Total Current Assets,95600000,116600000,140800000,147500000,184600000,193400000,202300000,152400000,199600000,222700000,212000000,229000000,264100000,306600000,327000000,365719000,368829000,382341000,443683000,480633000,483209000,545004000,544935000,773591000,740995000,810648000,899810000,826215000,824410000,815099000,756862000,780958000,1098129000,912874000,925179000,1113452000,1366279000
38,PP&E,28800000,50500000,48200000,45100000,56700000,67100000,70000000,51200000,49800000,49900000,48400000,55700000,77100000,132200000,134900000,142944000,145931000,148253000,169852000,203539000,216900000,231975000,233449000,239003000,236019000,314926000,350050000,356879000,353593000,370565000,379972000,405404000,232135000,342492000,337326000,505591000,437220000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60232000,44978000,49983000,50554000,- -,99540000,114756000,93782000,97657000,357221000,357333000,358372000,357730000,371846000,356241000,361185000,319139000,439395000,437067000,442643000,426148000
40,Intangible Assets,9800000,25400000,27200000,26200000,23800000,23100000,22500000,18200000,17700000,18200000,21300000,22800000,35900000,38400000,51300000,62463000,- -,- -,- -,- -,151318000,51695000,66718000,34777000,34211000,233011000,223189000,230473000,221391000,233623000,213837000,210599000,205127000,370858000,356639000,355028000,350025000
41,Intangible Assets,9800000,25400000,27200000,26200000,23800000,23100000,22500000,18200000,17700000,18200000,21300000,22800000,35900000,38400000,51300000,62463000,60232000,44978000,49983000,50554000,151318000,151235000,181474000,128559000,131868000,590232000,580522000,588845000,579121000,605469000,570078000,571784000,524266000,810253000,793706000,797671000,776173000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1700000,4300000,6400000,4400000,5800000,10900000,8800000,25000000,3200000,2400000,3900000,3700000,7700000,10700000,20200000,10900000,10001000,12122000,15212000,14790000,- -,- -,- -,30413000,36525000,33710000,34872000,34253000,31655000,29228000,24521000,23950000,19011000,19271000,18728000,39303000,25013000
45,Total Non-Current Assets,40300000,80200000,81800000,75700000,86300000,101100000,101300000,94400000,70700000,70500000,73600000,82200000,120700000,181300000,206400000,216307000,216164000,205353000,235047000,268883000,368218000,383210000,414923000,397975000,404412000,938868000,965444000,979977000,964369000,1005262000,974571000,1001138000,775412000,1172016000,1149760000,1342565000,1238406000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,135900000,196800000,222600000,223200000,270900000,294500000,303600000,246800000,270300000,293200000,285600000,311200000,384800000,487900000,533400000,582026000,584993000,587694000,678730000,749516000,851427000,928214000,959858000,1171566000,1145407000,1749516000,1865254000,1806192000,1788779000,1820361000,1731433000,1782096000,1873541000,2084890000,2074939000,2456017000,2604685000
48,Accounts Payable,- -,- -,- -,- -,32000000,35900000,35600000,24300000,30900000,33700000,40000000,42100000,50600000,62500000,58500000,61895000,59206000,62023000,69555000,85589000,91970000,128104000,105324000,129823000,125027000,185165000,183136000,141704000,163610000,218703000,199811000,190341000,183951000,233658000,250576000,232107000,260140000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,9500000,7100000,5600000,5200000,9400000,17800000,44709000,8346000,10036000,12161000,14490000,16625000,8092000,3392000,2258000,81410000,20901000,25164000,17703000,10768000,7886000,16593000,22644000,11078000,13011000,10525000,41770000,42367000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6793000,5045000,6446000,12105000,13226000,6291000,8016000,7814000,14707000,11264000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,39600000,68300000,70400000,66800000,39600000,43500000,42500000,49700000,51900000,58400000,50700000,58100000,73300000,66200000,61700000,67452000,95399000,117088000,112347000,110552000,101448000,100103000,93154000,79367000,66052000,128989000,106579000,113976000,110031000,104574000,107226000,105278000,176050000,146402000,128998000,175369000,229129000
53,Total Current Liabilities,39600000,68300000,70400000,66800000,71600000,79400000,78100000,74000000,82800000,101600000,97800000,105800000,129100000,138100000,138000000,174056000,162951000,189147000,194063000,210631000,210043000,236299000,201870000,211448000,272489000,335055000,314879000,273383000,284409000,331163000,323630000,318263000,371079000,393071000,390099000,449246000,531636000
54,Long-Term Debt,29700000,54700000,27200000,26900000,121500000,117500000,104600000,23300000,23300000,15500000,16100000,32500000,53900000,107500000,127700000,125916000,108615000,74640000,155483000,154445000,196540000,209228000,229438000,230930000,98394000,503935000,688247000,681907000,678487000,805101000,826976000,913914000,968080000,1108071000,1093749000,1173096000,1152512000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,400000,- -,- -,- -,- -,- -,4700000,5100000,2800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,2800000,3800000,52300000,64500000,3300000,2800000,2300000,100000,100000,100000,- -,-100000,- -,- -,-100000,- -,- -,- -,- -,40293000,82890000,70242000,61611000,69508000,87621000,199811000,210220000,196750000,175419000,152070000,150302000,138972000,135574000,109357000,113328000,133524000,113379000
58,Total Non-Current Liabilities,32900000,58500000,79500000,91400000,124800000,120300000,111600000,28500000,26200000,15600000,16100000,32400000,53900000,107500000,127600000,125916000,108615000,74640000,155483000,194738000,279430000,279470000,291049000,300438000,186015000,703746000,898467000,878657000,853906000,957171000,977278000,1052886000,1103654000,1217428000,1207077000,1306620000,1265891000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,167902000,149196000
61,Total Liabilities,72500000,126800000,149900000,158200000,196400000,199700000,189700000,102500000,109000000,117200000,113900000,138200000,183000000,245600000,265600000,299972000,271566000,263787000,349546000,405369000,489473000,515769000,492919000,511886000,458504000,1038801000,1213346000,1152040000,1138315000,1288334000,1300908000,1371149000,1474733000,1610499000,1597176000,1755866000,1797527000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7900000,7937000,8756000,9084000,9156000,9502000,10186000,10407000,10582000,17774000,18010000,18096000,19046000,19127000,19404000,19621000,19770000,19992000,20166000,20380000,20694000,20935000,21094000
64,Retained Earnings,23100000,-15000000,6300000,2600000,12400000,3000000,19200000,42800000,60400000,89700000,113100000,135500000,168700000,198000000,218200000,237786000,231668000,241604000,284626000,338485000,387298000,439084000,461163000,415991000,438782000,431584000,424153000,436421000,434363000,427913000,454548000,475760000,480347000,550523000,568516000,607518000,669998000
65,Other Comprehensive Income/Loss,-13300000,-16500000,-19400000,-22700000,-24200000,-30300000,-37200000,-35100000,-40900000,-44800000,-48300000,-45000000,-53700000,-62700000,-72200000,-87533000,-104231000,-126560000,-9547000,-8028000,-16069000,-2448000,27903000,23720000,28170000,17582000,-7724000,-19559000,-3339000,-30064000,-91188000,-81241000,-60481000,-34112000,-65916000,-72092000,-45977000
66,Other Total Stockholders Equity,53600000,101500000,85800000,85100000,86300000,122100000,131900000,136600000,141800000,131100000,106900000,82500000,86800000,107000000,113900000,123864000,177234000,199779000,-181000,-20987000,-19461000,-34598000,-32709000,202195000,201941000,243453000,216433000,218163000,200036000,114557000,47395000,-3564000,-41224000,-62400000,-45531000,143790000,162043000
67,Total Stockholders Equity,63400000,70000000,72700000,65000000,74500000,94800000,113900000,144300000,161300000,176000000,171700000,173000000,201800000,242300000,267800000,282054000,313427000,323907000,284054000,318972000,361954000,412445000,466939000,659680000,686903000,710715000,651908000,654152000,650464000,532027000,430525000,410947000,398808000,474391000,477763000,700151000,807158000
68,Total Liabilities And Stockholders Equity,135900000,196800000,222600000,223200000,270900000,294500000,303600000,246800000,270300000,293200000,285600000,311200000,384800000,487900000,533400000,582026000,584993000,587694000,633600000,724341000,851427000,928214000,959858000,1171566000,1145407000,1749516000,1865254000,1806192000,1788779000,1820361000,1731433000,1782096000,1873541000,2084890000,2074939000,2456017000,2604685000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45130000,25175000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,135900000,196800000,222600000,223200000,270900000,294500000,303600000,246800000,270300000,293200000,285600000,311200000,384800000,487900000,533400000,582026000,584993000,587694000,678730000,749516000,851427000,928214000,959858000,1171566000,1145407000,1749516000,1865254000,1806192000,1788779000,1820361000,1731433000,1782096000,1873541000,2084890000,2074939000,2456017000,2604685000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/50725/000005072596000009/0000050725-96-000009-index.html,- -,https://www.sec.gov/Archives/edgar/data/50725/000005072598000014/0000050725-98-000014-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/50725/000093221401500100/0000932214-01-500100-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/50725/000110465904039320/a04-14539_110k.htm,https://www.sec.gov/Archives/edgar/data/50725/000110465905060763/a05-21537_110k.htm,https://www.sec.gov/Archives/edgar/data/50725/000110465906081561/a06-25388_110k.htm,https://www.sec.gov/Archives/edgar/data/50725/000104746907009607/0001047469-07-009607-index.html,https://www.sec.gov/Archives/edgar/data/50725/000104746908013148/0001047469-08-013148-index.html,https://www.sec.gov/Archives/edgar/data/50725/000104746909010409/0001047469-09-010409-index.html,https://www.sec.gov/Archives/edgar/data/50725/000104746910009877/0001047469-10-009877-index.html,https://www.sec.gov/Archives/edgar/data/50725/000093041311007477/0000930413-11-007477-index.html,https://www.sec.gov/Archives/edgar/data/50725/000093041312006185/0000930413-12-006185-index.html,https://www.sec.gov/Archives/edgar/data/50725/000093041313005414/0000930413-13-005414-index.html,https://www.sec.gov/Archives/edgar/data/50725/000005072514000006/0000050725-14-000006-index.html,https://www.sec.gov/Archives/edgar/data/50725/000005072515000080/0000050725-15-000080-index.html,https://www.sec.gov/Archives/edgar/data/50725/000005072516000166/0000050725-16-000166-index.html,https://www.sec.gov/Archives/edgar/data/50725/000005072517000060/0000050725-17-000060-index.html,https://www.sec.gov/Archives/edgar/data/50725/000005072518000075/0000050725-18-000075-index.html,https://www.sec.gov/Archives/edgar/data/50725/000005072519000077/0000050725-19-000077-index.html,https://www.sec.gov/Archives/edgar/data/50725/000005072520000063/0000050725-20-000063-index.htm,https://www.sec.gov/Archives/edgar/data/50725/000005072521000068/0000050725-21-000068-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,-14900000,9500000,15400000,24000000,18100000,29700000,23800000,22900000,33200000,29300000,20200000,19590000,30593000,9936000,43022000,53859000,48813000,51786000,22079000,-40503000,22791000,9592000,-7431000,17011000,3767000,-177000,34289000,30010000,14912000,125678000,37287000,53429000,79211000
74,Depreciation and Amortization,- -,- -,- -,- -,8500000,9800000,11200000,11100000,9500000,9800000,8700000,10300000,11500000,16300000,23000000,23703000,24204000,22637000,26182000,28331000,32613000,35100000,42014000,43735000,42346000,45501000,67445000,66264000,70748000,67396000,69800000,70208000,47878000,55803000,61848000,62409000,52302000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,4700000,-2600000,-1600000,-100000,1400000,-2600000,2900000,-1000000,- -,-1798000,4268000,-3275000,4535000,8336000,-1740000,-4012000,-10004000,212000,-826000,-3666000,-2749000,-2627000,5075000,-5131000,2132000,8082000,2341000,-17633000,-2222000,2095000,13763000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4145000,5778000,8956000,10439000,12495000,11473000,11110000,10136000,8090000,10078000,13285000,17580000,20088000
77,Change in Working Capital,- -,- -,- -,- -,-12800000,-2600000,-13700000,-27900000,-17600000,-4100000,-22900000,-3300000,-7600000,-25700000,-32300000,-22067000,27472000,11760000,-18299000,337000,-23023000,-70093000,6205000,30656000,21486000,22460000,-73126000,-8248000,-21276000,-26371000,-47918000,-19902000,-31597000,-20662000,-10324000,-15807000,-96387000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30593000,27269000,-58026000,6009000,32150000,-34296000,-19131000,2681000,8279000,-62366000,-7002000
