,https://roic.ai/company/MRK,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,3547500000,4128900000,5061300000,5939500000,6550500000,7671500000,8602700000,9662500000,10498200000,14969800000,16681100000,19828700000,23636900000,26898200000,32714000000,40363200000,47715700000,51790300000,22485900000,22938600000,22011900000,22636000000,24197700000,23850300000,27428300000,45987000000,48047000000,47267000000,44033000000,42237000000,39498000000,39807000000,40122000000,42294000000,46840000000,47994000000,48704000000
2,COGS,1089900000,1144100000,1234300000,1321200000,1328600000,1524100000,1671100000,1774700000,2111100000,5281100000,6789100000,8588300000,10953200000,13174600000,16706800000,21166200000,28976500000,33053600000,4315300000,4959800000,5149600000,6001100000,6140700000,5582500000,9018900000,18396000000,16871000000,16446000000,16954000000,16768000000,14934000000,13891000000,12775000000,13509000000,14112000000,15485000000,13626000000
3,Gross Profit,2457600000,2984800000,3827000000,4618300000,5221900000,6147400000,6931600000,7887800000,8387100000,9688700000,9892000000,11240400000,12683700000,13723600000,16007200000,19197000000,18739200000,18736700000,18170600000,17978800000,16862300000,16634900000,18057000000,18267800000,18409400000,27591000000,31176000000,30821000000,27079000000,25469000000,24564000000,25916000000,27347000000,28785000000,32728000000,32509000000,35078000000
4,Gross Profit Ratio,0.6928,0.7229,0.7561,0.7776,0.7972,0.8013,0.8057,0.8163,0.7989,0.6472,0.5930,0.5669,0.5366,0.5102,0.4893,0.4756,0.3927,0.3618,0.8081,0.7838,0.7661,0.7349,0.7462,0.7659,0.6712,0.6000,0.6489,0.6521,0.6150,0.6030,0.6219,0.6510,0.6816,0.6806,0.6987,0.6774,0.7202
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,1172800000,1230600000,1331400000,1487300000,1683700000,1821100000,2068300000,2343800000,2456400000,2677200000,3178100000,4010200000,3848000000,4782900000,4882800000,4805300000,5845000000,10991000000,8467000000,8168000000,7503000000,7180000000,6704000000,10124000000,10208000000,9752000000,9872000000,13558000000,12245000000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,3177500000,3297800000,3841300000,4299200000,4511400000,5199900000,6167700000,6224400000,6186800000,6394900000,7346300000,7155500000,8165400000,7556700000,7377000000,8543200000,13245000000,13733000000,- -,- -,- -,- -,- -,- -,10102000000,10615000000,10468000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12776000000,11911000000,11606000000,10313000000,9762000000,9830000000,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1330600000,1749700000,2247800000,2546600000,2763900000,3242000000,3558100000,4074900000,2913900000,3177500000,3297800000,3841300000,4299200000,4511400000,5199900000,6167700000,6224400000,6186800000,6394900000,7346300000,7155500000,8165400000,7556700000,7377000000,8543200000,13245000000,13733000000,12776000000,11911000000,11606000000,10313000000,9762000000,9830000000,10102000000,10615000000,10468000000,9634000000
9,Other Expenses,287200000,193900000,210000000,204900000,221700000,254000000,263800000,321400000,414700000,875500000,859200000,927100000,1034300000,1015100000,1144800000,1596400000,330100000,204900000,140800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,1617800000,1943600000,2457800000,2751500000,2985600000,3496000000,3821900000,4396300000,4501400000,5283600000,5488400000,6255700000,7017200000,7347600000,8413000000,10107900000,9010900000,9068900000,9713800000,11356500000,11003500000,12948300000,12439500000,12182300000,14388200000,24236000000,22200000000,20944000000,19414000000,18786000000,17017000000,19886000000,20038000000,19854000000,20487000000,24026000000,21879000000
11,COGS and Expenses,2707700000,3087700000,3692100000,4072700000,4314200000,5020100000,5493000000,6171000000,6612500000,10564700000,12277500000,14844000000,17970400000,20522200000,25119800000,31274100000,37987400000,42122500000,14029100000,16316300000,16153100000,18949400000,18580200000,17764800000,23407100000,42632000000,39071000000,37390000000,36368000000,35554000000,31951000000,33777000000,32813000000,33363000000,34599000000,39511000000,35505000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,210200000,83000000,199000000,232000000,264000000,266000000,289000000,328000000,385000000,343000000,274000000,59000000,36000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,458000000,715000000,749000000,714000000,801000000,732000000,672000000,693000000,754000000,772000000,893000000,831000000,806000000
14,Depreciation and Amortization,182500000,193900000,210000000,204900000,221700000,254000000,263800000,321400000,414700000,875500000,859200000,927100000,1034300000,1015100000,1144800000,1277300000,1463800000,1488300000,1314200000,1450700000,1708100000,2268400000,1988200000,1631200000,2576000000,7381000000,7427000000,6978000000,6988000000,6691000000,6375000000,5441000000,4637000000,4519000000,3652000000,3625000000,3214000000
15,EBITDA,1039500000,1267200000,1615200000,2075900000,2504700000,2952800000,3430500000,3422600000,3517400000,5290700000,5656400000,6467900000,7496600000,9148200000,9764300000,11101400000,11866400000,11701900000,10607100000,9425200000,9072000000,8489800000,5358900000,11439000000,18202900000,9628000000,15390000000,16300000000,13221000000,24692000000,12431000000,10772000000,11888000000,14019000000,16075000000,13232000000,18590000000
16,EBITDA ratio,0.2930,0.3069,0.3191,0.3495,0.3824,0.3849,0.3988,0.3542,0.3350,0.3534,0.3391,0.3262,0.3172,0.3401,0.2985,0.2750,0.2487,0.2259,0.4717,0.4109,0.4121,0.3751,0.2215,0.4796,0.6637,0.2094,0.3203,0.3448,0.3003,0.5846,0.3147,0.2706,0.2963,0.3315,0.3432,0.2757,0.3817
17,Operating Income,839800000,1041200000,1369200000,1866800000,2236300000,2651400000,3109700000,3491500000,3885700000,4405100000,4403600000,4984700000,5666500000,6376000000,7594200000,9089100000,9728300000,9667800000,8456800000,6622300000,5858800000,3686600000,5617500000,6085500000,4021200000,3355000000,8976000000,9877000000,7665000000,6683000000,7547000000,6030000000,7309000000,8931000000,12241000000,8483000000,13199000000
18,Operating Income ratio,0.2367,0.2522,0.2705,0.3143,0.3414,0.3456,0.3615,0.3613,0.3701,0.2943,0.2640,0.2514,0.2397,0.2370,0.2321,0.2252,0.2039,0.1867,0.3761,0.2887,0.2662,0.1629,0.2322,0.2552,0.1466,0.0730,0.1868,0.2090,0.1741,0.1582,0.1911,0.1515,0.1822,0.2112,0.2613,0.1768,0.2710
